,station,date,time,PM25,PM10,O3,CO,NO2,SO2
0,02t,2019-09-17,00:00:00,21.0,27.0,,0.65,23.0,
1,02t,2019-09-17,01:00:00,22.0,33.0,,0.53,22.0,
2,02t,2019-09-17,02:00:00,23.0,35.0,,0.44,17.0,
3,02t,2019-09-17,03:00:00,20.0,30.0,,0.64,17.0,
4,02t,2019-09-17,04:00:00,19.0,28.0,,0.7,19.0,
5,02t,2019-09-17,05:00:00,21.0,38.0,,0.43,21.0,
6,02t,2019-09-17,06:00:00,18.0,33.0,,0.73,18.0,
7,02t,2019-09-17,07:00:00,25.0,40.0,,1.06,21.0,
8,02t,2019-09-17,08:00:00,26.0,48.0,,0.58,16.0,
9,02t,2019-09-17,09:00:00,2.0,26.0,,0.25,10.0,
10,02t,2019-09-17,10:00:00,,23.0,,0.31,16.0,
11,02t,2019-09-17,11:00:00,,23.0,,0.35,11.0,
12,02t,2019-09-17,12:00:00,,32.0,,0.61,15.0,
13,02t,2019-09-17,13:00:00,,,,,,
14,02t,2019-09-17,14:00:00,,,,,,
15,02t,2019-09-17,15:00:00,,,,,,
16,02t,2019-09-17,16:00:00,,,,,,
17,02t,2019-09-17,17:00:00,,,,,,
18,02t,2019-09-17,18:00:00,,,,,,
19,02t,2019-09-17,19:00:00,,,,,,
20,02t,2019-09-17,20:00:00,,,,,,
21,02t,2019-09-17,21:00:00,,,,,,
22,02t,2019-09-17,22:00:00,,,,,,
23,02t,2019-09-17,23:00:00,,,,,,
24,03t,2019-09-17,00:00:00,12.0,29.0,4.0,2.33,,
25,03t,2019-09-17,01:00:00,16.0,32.0,5.0,2.27,54.0,
26,03t,2019-09-17,02:00:00,18.0,30.0,9.0,2.11,6.0,
27,03t,2019-09-17,03:00:00,16.0,31.0,4.0,2.15,3.0,
28,03t,2019-09-17,04:00:00,19.0,52.0,4.0,2.21,2.0,
29,03t,2019-09-17,05:00:00,30.0,80.0,4.0,2.15,2.0,
30,03t,2019-09-17,06:00:00,37.0,103.0,4.0,2.29,,
31,03t,2019-09-17,07:00:00,28.0,78.0,4.0,2.37,,
32,03t,2019-09-17,08:00:00,24.0,56.0,4.0,2.37,,
33,03t,2019-09-17,09:00:00,27.0,48.0,4.0,2.23,1.0,
34,03t,2019-09-17,10:00:00,27.0,41.0,4.0,2.23,1.0,
35,03t,2019-09-17,11:00:00,22.0,60.0,4.0,2.24,4.0,
36,03t,2019-09-17,12:00:00,22.0,52.0,4.0,2.12,13.0,
37,03t,2019-09-17,13:00:00,,,,,,
38,03t,2019-09-17,14:00:00,,,,,,
39,03t,2019-09-17,15:00:00,,,,,,
40,03t,2019-09-17,16:00:00,,,,,,
41,03t,2019-09-17,17:00:00,,,,,,
42,03t,2019-09-17,18:00:00,,,,,,
43,03t,2019-09-17,19:00:00,,,,,,
44,03t,2019-09-17,20:00:00,,,,,,
45,03t,2019-09-17,21:00:00,,,,,,
46,03t,2019-09-17,22:00:00,,,,,,
47,03t,2019-09-17,23:00:00,,,,,,
48,05t,2019-09-17,00:00:00,12.0,42.0,3.0,0.43,19.0,
49,05t,2019-09-17,01:00:00,26.0,43.0,2.0,0.35,21.0,
50,05t,2019-09-17,02:00:00,19.0,36.0,3.0,0.33,21.0,
51,05t,2019-09-17,03:00:00,18.0,36.0,1.0,0.44,25.0,1.0
52,05t,2019-09-17,04:00:00,19.0,36.0,3.0,0.44,17.0,
53,05t,2019-09-17,05:00:00,21.0,39.0,2.0,0.56,20.0,1.0
54,05t,2019-09-17,06:00:00,23.0,56.0,2.0,0.81,24.0,1.0
55,05t,2019-09-17,07:00:00,26.0,55.0,2.0,0.79,47.0,2.0
56,05t,2019-09-17,08:00:00,25.0,49.0,7.0,0.94,29.0,
57,05t,2019-09-17,09:00:00,35.0,53.0,9.0,0.98,35.0,
58,05t,2019-09-17,10:00:00,36.0,84.0,19.0,0.67,34.0,1.0
59,05t,2019-09-17,11:00:00,23.0,56.0,29.0,0.52,52.0,2.0
60,05t,2019-09-17,12:00:00,17.0,43.0,34.0,0.41,22.0,2.0
61,05t,2019-09-17,13:00:00,,,,,,
62,05t,2019-09-17,14:00:00,,,,,,
63,05t,2019-09-17,15:00:00,,,,,,
64,05t,2019-09-17,16:00:00,,,,,,
65,05t,2019-09-17,17:00:00,,,,,,
66,05t,2019-09-17,18:00:00,,,,,,
67,05t,2019-09-17,19:00:00,,,,,,
68,05t,2019-09-17,20:00:00,,,,,,
69,05t,2019-09-17,21:00:00,,,,,,
70,05t,2019-09-17,22:00:00,,,,,,
71,05t,2019-09-17,23:00:00,,,,,,
72,08t,2019-09-17,00:00:00,33.0,50.0,2.0,0.31,19.0,3.0
73,08t,2019-09-17,01:00:00,31.0,47.0,2.0,0.19,26.0,
74,08t,2019-09-17,02:00:00,34.0,48.0,2.0,0.13,27.0,
75,08t,2019-09-17,03:00:00,36.0,44.0,2.0,0.14,23.0,
76,08t,2019-09-17,04:00:00,32.0,44.0,2.0,0.18,20.0,
77,08t,2019-09-17,05:00:00,37.0,47.0,2.0,0.13,20.0,
