,station,date,time,PM25,PM10,O3,CO,NO2,SO2
0,02t,2018-12-13,00:00:00,,,,,,
1,02t,2018-12-13,01:00:00,,,,,,
2,02t,2018-12-13,02:00:00,,,,,,
3,02t,2018-12-13,03:00:00,,,,,,
4,02t,2018-12-13,04:00:00,,,,,,
5,02t,2018-12-13,05:00:00,,,,,,
6,02t,2018-12-13,06:00:00,,,,,,
7,02t,2018-12-13,07:00:00,,,,,,
8,02t,2018-12-13,08:00:00,,,,,,
9,02t,2018-12-13,09:00:00,,,,,,
10,02t,2018-12-13,10:00:00,,,,,,
11,02t,2018-12-13,11:00:00,,,,,,
12,02t,2018-12-13,12:00:00,,,,,,
13,02t,2018-12-13,13:00:00,,,,,,
14,02t,2018-12-13,14:00:00,,,,,,
15,02t,2018-12-13,15:00:00,,,,,,
16,02t,2018-12-13,16:00:00,,,,,,
17,02t,2018-12-13,17:00:00,,,,,,
18,02t,2018-12-13,18:00:00,,,,,,
19,02t,2018-12-13,19:00:00,,,,,,
20,02t,2018-12-13,20:00:00,,,,,,
21,02t,2018-12-13,21:00:00,,,,,,
22,02t,2018-12-13,22:00:00,,,,,,
23,02t,2018-12-13,23:00:00,,,,,,
24,03t,2018-12-13,00:00:00,37.0,66.0,4.0,1.22,31.0,
25,03t,2018-12-13,01:00:00,43.0,61.0,6.0,1.16,28.0,
26,03t,2018-12-13,02:00:00,38.0,57.0,6.0,1.21,26.0,
27,03t,2018-12-13,03:00:00,35.0,53.0,6.0,1.19,28.0,
28,03t,2018-12-13,04:00:00,31.0,55.0,7.0,1.15,27.0,
29,03t,2018-12-13,05:00:00,22.0,45.0,4.0,1.15,31.0,
30,03t,2018-12-13,06:00:00,22.0,49.0,2.0,1.27,33.0,
31,03t,2018-12-13,07:00:00,25.0,46.0,4.0,1.46,33.0,
32,03t,2018-12-13,08:00:00,22.0,45.0,8.0,1.49,34.0,
33,03t,2018-12-13,09:00:00,19.0,46.0,21.0,1.22,25.0,
34,03t,2018-12-13,10:00:00,19.0,40.0,28.0,1.19,21.0,
35,03t,2018-12-13,11:00:00,17.0,35.0,40.0,1.08,14.0,
36,03t,2018-12-13,12:00:00,15.0,33.0,47.0,1.03,15.0,
37,03t,2018-12-13,13:00:00,22.0,30.0,53.0,1.0,14.0,
38,03t,2018-12-13,14:00:00,19.0,30.0,57.0,1.08,17.0,
39,03t,2018-12-13,15:00:00,12.0,36.0,54.0,1.04,16.0,
40,03t,2018-12-13,16:00:00,9.0,36.0,45.0,1.02,17.0,
41,03t,2018-12-13,17:00:00,7.0,33.0,39.0,1.05,31.0,
42,03t,2018-12-13,18:00:00,12.0,36.0,25.0,1.31,54.0,
43,03t,2018-12-13,19:00:00,23.0,55.0,7.0,1.49,70.0,
44,03t,2018-12-13,20:00:00,39.0,81.0,5.0,1.43,64.0,
45,03t,2018-12-13,21:00:00,37.0,76.0,,,,
46,03t,2018-12-13,22:00:00,34.0,70.0,4.0,1.37,55.0,
47,03t,2018-12-13,23:00:00,40.0,60.0,4.0,1.31,48.0,
48,05t,2018-12-13,00:00:00,30.0,68.0,4.0,0.85,40.0,2.0
49,05t,2018-12-13,01:00:00,38.0,65.0,4.0,0.82,38.0,2.0
