,station,date,time,PM25,PM10,O3,CO,NO2,SO2
0,02t,2018-12-21,00:00:00,,,,,,
1,02t,2018-12-21,01:00:00,,,,,,
2,02t,2018-12-21,02:00:00,,,,,,
3,02t,2018-12-21,03:00:00,,,,,,
4,02t,2018-12-21,04:00:00,,,,,,
5,02t,2018-12-21,05:00:00,,,,,,
6,02t,2018-12-21,06:00:00,,,,,,
7,02t,2018-12-21,07:00:00,,,,,,
8,02t,2018-12-21,08:00:00,,,,,,
9,02t,2018-12-21,09:00:00,,,,,,
10,02t,2018-12-21,10:00:00,,,,,,
11,02t,2018-12-21,11:00:00,,,,,,
12,02t,2018-12-21,12:00:00,,,,,,
13,02t,2018-12-21,13:00:00,,,,,,
14,02t,2018-12-21,14:00:00,,,,,,
15,02t,2018-12-21,15:00:00,,,,,,
16,02t,2018-12-21,16:00:00,,,,,,
17,02t,2018-12-21,17:00:00,,,,,,
18,02t,2018-12-21,18:00:00,,,,,,
19,02t,2018-12-21,19:00:00,,,,,,
20,02t,2018-12-21,20:00:00,,,,,,
21,02t,2018-12-21,21:00:00,,,,,,
22,02t,2018-12-21,22:00:00,,,,,,
23,02t,2018-12-21,23:00:00,,,,,,
24,03t,2018-12-21,00:00:00,84.0,117.0,7.0,1.66,90.0,
25,03t,2018-12-21,01:00:00,85.0,114.0,11.0,1.63,82.0,
26,03t,2018-12-21,02:00:00,85.0,122.0,12.0,1.59,73.0,
27,03t,2018-12-21,03:00:00,82.0,132.0,2.0,1.6,85.0,
28,03t,2018-12-21,04:00:00,86.0,133.0,2.0,1.7,77.0,
29,03t,2018-12-21,05:00:00,88.0,141.0,1.0,1.7,71.0,
30,03t,2018-12-21,06:00:00,93.0,166.0,1.0,2.1,61.0,
31,03t,2018-12-21,07:00:00,105.0,157.0,1.0,2.24,59.0,
32,03t,2018-12-21,08:00:00,105.0,170.0,9.0,1.89,63.0,
33,03t,2018-12-21,09:00:00,88.0,142.0,6.0,1.89,82.0,
34,03t,2018-12-21,10:00:00,79.0,134.0,22.0,1.62,77.0,
35,03t,2018-12-21,11:00:00,72.0,126.0,20.0,1.74,112.0,
36,03t,2018-12-21,12:00:00,79.0,191.0,20.0,1.67,122.0,
37,03t,2018-12-21,13:00:00,88.0,152.0,,,,
38,03t,2018-12-21,14:00:00,86.0,112.0,20.0,1.53,98.0,
39,03t,2018-12-21,15:00:00,71.0,94.0,12.0,1.6,95.0,
40,03t,2018-12-21,16:00:00,67.0,90.0,6.0,1.7,98.0,
41,03t,2018-12-21,17:00:00,66.0,101.0,8.0,1.68,93.0,
42,03t,2018-12-21,18:00:00,70.0,100.0,8.0,1.79,88.0,
43,03t,2018-12-21,19:00:00,84.0,92.0,1.0,2.09,96.0,
44,03t,2018-12-21,20:00:00,78.0,114.0,2.0,2.07,90.0,
45,03t,2018-12-21,21:00:00,71.0,125.0,2.0,2.02,78.0,
46,03t,2018-12-21,22:00:00,70.0,117.0,3.0,1.79,67.0,
47,03t,2018-12-21,23:00:00,69.0,78.0,4.0,1.43,53.0,
48,05t,2018-12-21,00:00:00,87.0,127.0,15.0,1.19,69.0,
49,05t,2018-12-21,01:00:00,83.0,124.0,42.0,0.84,29.0,
50,05t,2018-12-21,02:00:00,71.0,98.0,39.0,0.93,30.0,
51,05t,2018-12-21,03:00:00,88.0,112.0,37.0,0.91,30.0,
52,05t,2018-12-21,04:00:00,93.0,119.0,29.0,0.89,27.0,
53,05t,2018-12-21,05:00:00,84.0,110.0,16.0,1.03,45.0,
54,05t,2018-12-21,06:00:00,80.0,111.0,2.0,1.29,56.0,
55,05t,2018-12-21,07:00:00,85.0,129.0,6.0,1.74,57.0,
56,05t,2018-12-21,08:00:00,97.0,136.0,37.0,1.12,36.0,
57,05t,2018-12-21,09:00:00,70.0,103.0,48.0,1.09,44.0,
58,05t,2018-12-21,10:00:00,74.0,112.0,60.0,0.94,41.0,
59,05t,2018-12-21,11:00:00,84.0,128.0,81.0,0.81,44.0,13.0
60,05t,2018-12-21,12:00:00,76.0,128.0,91.0,0.67,23.0,8.0
61,05t,2018-12-21,13:00:00,59.0,89.0,87.0,0.69,15.0,7.0
62,05t,2018-12-21,14:00:00,49.0,83.0,85.0,0.65,15.0,6.0
63,05t,2018-12-21,15:00:00,50.0,80.0,78.0,0.53,14.0,6.0
64,05t,2018-12-21,16:00:00,48.0,80.0,70.0,0.51,18.0,6.0
65,05t,2018-12-21,17:00:00,42.0,79.0,60.0,0.53,21.0,6.0
66,05t,2018-12-21,18:00:00,40.0,71.0,51.0,0.68,27.0,6.0
67,05t,2018-12-21,19:00:00,52.0,71.0,39.0,0.8,36.0,6.0
68,05t,2018-12-21,20:00:00,42.0,77.0,,,,
69,05t,2018-12-21,21:00:00,61.0,99.0,28.0,0.86,39.0,6.0
70,05t,2018-12-21,22:00:00,48.0,80.0,34.0,0.62,20.0,5.0
71,05t,2018-12-21,23:00:00,34.0,50.0,27.0,0.59,17.0,4.0
72,08t,2018-12-21,00:00:00,86.0,107.0,34.0,1.01,14.0,
73,08t,2018-12-21,01:00:00,90.0,95.0,30.0,0.99,10.0,
74,08t,2018-12-21,02:00:00,90.0,98.0,26.0,1.05,10.0,
75,08t,2018-12-21,03:00:00,93.0,103.0,30.0,0.96,10.0,
76,08t,2018-12-21,04:00:00,104.0,120.0,10.0,1.14,24.0,
77,08t,2018-12-21,05:00:00,112.0,145.0,1.0,1.55,30.0,2.0
78,08t,2018-12-21,06:00:00,125.0,133.0,,1.69,56.0,4.0
79,08t,2018-12-21,07:00:00,129.0,142.0,1.0,1.42,48.0,4.0
80,08t,2018-12-21,08:00:00,129.0,145.0,26.0,1.16,41.0,10.0
81,08t,2018-12-21,09:00:00,103.0,131.0,46.0,1.01,30.0,8.0
82,08t,2018-12-21,10:00:00,83.0,107.0,79.0,1.02,23.0,5.0
83,08t,2018-12-21,11:00:00,78.0,114.0,109.0,0.78,7.0,4.0
84,08t,2018-12-21,12:00:00,63.0,92.0,107.0,0.74,16.0,2.0
