,station,date,time,PM25,PM10,O3,CO,NO2,SO2
0,02t,2018-12-08,00:00:00,,,,,,
1,02t,2018-12-08,01:00:00,,,,,,
2,02t,2018-12-08,02:00:00,,,,,,
3,02t,2018-12-08,03:00:00,,,,,,
4,02t,2018-12-08,04:00:00,,,,,,
5,02t,2018-12-08,05:00:00,,,,,,
6,02t,2018-12-08,06:00:00,,,,,,
7,02t,2018-12-08,07:00:00,,,,,,
8,02t,2018-12-08,08:00:00,,,,,,
9,02t,2018-12-08,09:00:00,,,,,,
10,02t,2018-12-08,10:00:00,,,,,,
11,02t,2018-12-08,11:00:00,,,,,,
12,02t,2018-12-08,12:00:00,,,,,,
13,02t,2018-12-08,13:00:00,,,,,,
14,02t,2018-12-08,14:00:00,,,,,,
15,02t,2018-12-08,15:00:00,,,,,,
16,02t,2018-12-08,16:00:00,,,,,,
17,02t,2018-12-08,17:00:00,,,,,,
18,02t,2018-12-08,18:00:00,,,,,,
19,02t,2018-12-08,19:00:00,,,,,,
20,02t,2018-12-08,20:00:00,,,,,,
21,02t,2018-12-08,21:00:00,,,,,,
22,02t,2018-12-08,22:00:00,,,,,,
23,02t,2018-12-08,23:00:00,,,,,,
24,03t,2018-12-08,00:00:00,37.0,44.0,2.0,1.05,27.0,
25,03t,2018-12-08,01:00:00,29.0,45.0,2.0,1.0,27.0,
26,03t,2018-12-08,02:00:00,27.0,48.0,2.0,1.06,24.0,
27,03t,2018-12-08,03:00:00,22.0,45.0,,,,
28,03t,2018-12-08,04:00:00,18.0,37.0,4.0,0.89,19.0,
29,03t,2018-12-08,05:00:00,26.0,32.0,1.0,1.06,32.0,
30,03t,2018-12-08,06:00:00,35.0,51.0,1.0,1.11,29.0,
31,03t,2018-12-08,07:00:00,33.0,41.0,1.0,1.1,23.0,
32,03t,2018-12-08,08:00:00,26.0,44.0,2.0,0.97,18.0,
33,03t,2018-12-08,09:00:00,17.0,26.0,4.0,0.84,15.0,
34,03t,2018-12-08,10:00:00,10.0,15.0,1.0,1.16,26.0,
35,03t,2018-12-08,11:00:00,14.0,21.0,3.0,1.08,25.0,
36,03t,2018-12-08,12:00:00,15.0,27.0,6.0,0.93,17.0,
37,03t,2018-12-08,13:00:00,9.0,15.0,6.0,0.94,22.0,
38,03t,2018-12-08,14:00:00,17.0,24.0,8.0,0.97,21.0,
39,03t,2018-12-08,15:00:00,21.0,38.0,6.0,1.01,27.0,
40,03t,2018-12-08,16:00:00,18.0,45.0,7.0,0.97,24.0,
41,03t,2018-12-08,17:00:00,17.0,39.0,7.0,0.96,23.0,
42,03t,2018-12-08,18:00:00,16.0,43.0,4.0,1.1,28.0,
43,03t,2018-12-08,19:00:00,22.0,43.0,3.0,1.09,27.0,
44,03t,2018-12-08,20:00:00,34.0,43.0,3.0,1.06,25.0,
45,03t,2018-12-08,21:00:00,33.0,52.0,3.0,0.99,21.0,
46,03t,2018-12-08,22:00:00,29.0,46.0,2.0,1.05,22.0,
47,03t,2018-12-08,23:00:00,26.0,50.0,4.0,1.0,18.0,
48,05t,2018-12-08,00:00:00,32.0,57.0,4.0,0.54,27.0,2.0
49,05t,2018-12-08,01:00:00,31.0,58.0,3.0,0.53,28.0,2.0
50,05t,2018-12-08,02:00:00,36.0,50.0,6.0,0.41,19.0,2.0
51,05t,2018-12-08,03:00:00,22.0,38.0,7.0,0.38,13.0,2.0
52,05t,2018-12-08,04:00:00,22.0,34.0,3.0,0.47,16.0,1.0
53,05t,2018-12-08,05:00:00,16.0,31.0,,,,
54,05t,2018-12-08,06:00:00,14.0,27.0,4.0,0.56,22.0,2.0
55,05t,2018-12-08,07:00:00,13.0,26.0,4.0,0.72,24.0,2.0
56,05t,2018-12-08,08:00:00,14.0,27.0,9.0,0.39,14.0,2.0
57,05t,2018-12-08,09:00:00,9.0,11.0,6.0,0.41,17.0,2.0
58,05t,2018-12-08,10:00:00,11.0,12.0,5.0,0.53,23.0,2.0
59,05t,2018-12-08,11:00:00,14.0,15.0,7.0,0.54,21.0,1.0
60,05t,2018-12-08,12:00:00,13.0,22.0,11.0,0.5,20.0,1.0
61,05t,2018-12-08,13:00:00,11.0,20.0,11.0,0.49,20.0,1.0
62,05t,2018-12-08,14:00:00,16.0,21.0,11.0,0.5,22.0,2.0
63,05t,2018-12-08,15:00:00,21.0,30.0,10.0,0.52,24.0,2.0
64,05t,2018-12-08,16:00:00,25.0,37.0,7.0,0.51,27.0,2.0
65,05t,2018-12-08,17:00:00,25.0,43.0,4.0,0.56,31.0,1.0
66,05t,2018-12-08,18:00:00,24.0,40.0,4.0,0.64,34.0,2.0
67,05t,2018-12-08,19:00:00,31.0,49.0,6.0,0.63,30.0,2.0
68,05t,2018-12-08,20:00:00,31.0,49.0,6.0,0.58,26.0,1.0
69,05t,2018-12-08,21:00:00,35.0,47.0,6.0,0.58,26.0,2.0
70,05t,2018-12-08,22:00:00,35.0,51.0,4.0,0.58,26.0,2.0
71,05t,2018-12-08,23:00:00,34.0,52.0,4.0,0.56,24.0,2.0
72,08t,2018-12-08,00:00:00,42.0,76.0,2.0,0.56,23.0,
73,08t,2018-12-08,01:00:00,36.0,48.0,2.0,0.49,22.0,
74,08t,2018-12-08,02:00:00,34.0,66.0,3.0,0.38,18.0,
75,08t,2018-12-08,03:00:00,32.0,95.0,3.0,0.38,17.0,
76,08t,2018-12-08,04:00:00,28.0,,5.0,0.36,13.0,
77,08t,2018-12-08,05:00:00,18.0,,,,,
78,08t,2018-12-08,06:00:00,25.0,,3.0,0.6,20.0,2.0
79,08t,2018-12-08,07:00:00,14.0,,2.0,0.83,22.0,1.0
80,08t,2018-12-08,08:00:00,25.0,45.0,8.0,0.6,14.0,1.0
81,08t,2018-12-08,09:00:00,14.0,38.0,5.0,0.55,17.0,2.0
82,08t,2018-12-08,10:00:00,17.0,35.0,5.0,0.62,20.0,2.0
83,08t,2018-12-08,11:00:00,19.0,31.0,5.0,0.72,23.0,
84,08t,2018-12-08,12:00:00,21.0,41.0,9.0,0.5,16.0,
85,08t,2018-12-08,13:00:00,20.0,35.0,10.0,0.51,16.0,
86,08t,2018-12-08,14:00:00,18.0,31.0,10.0,0.51,18.0,
87,08t,2018-12-08,15:00:00,25.0,48.0,9.0,0.53,21.0,
88,08t,2018-12-08,16:00:00,29.0,47.0,6.0,0.58,24.0,
89,08t,2018-12-08,17:00:00,35.0,58.0,3.0,0.7,34.0,2.0
90,08t,2018-12-08,18:00:00,31.0,53.0,2.0,0.76,31.0,2.0
91,08t,2018-12-08,19:00:00,38.0,55.0,4.0,0.79,27.0,1.0
92,08t,2018-12-08,20:00:00,34.0,59.0,6.0,0.74,23.0,1.0
93,08t,2018-12-08,21:00:00,43.0,64.0,7.0,0.72,21.0,2.0
94,08t,2018-12-08,22:00:00,41.0,68.0,4.0,0.69,22.0,1.0
95,08t,2018-12-08,23:00:00,39.0,64.0,4.0,0.59,20.0,
96,10t,2018-12-08,00:00:00,28.0,32.0,5.0,,20.0,
97,10t,2018-12-08,01:00:00,26.0,29.0,7.0,,15.0,
98,10t,2018-12-08,02:00:00,24.0,37.0,7.0,,13.0,
99,10t,2018-12-08,03:00:00,23.0,30.0,10.0,,9.0,
100,10t,2018-12-08,04:00:00,18.0,30.0,8.0,,10.0,
101,10t,2018-12-08,05:00:00,15.0,17.0,5.0,,14.0,
102,10t,2018-12-08,06:00:00,17.0,18.0,4.0,,15.0,
103,10t,2018-12-08,07:00:00,20.0,21.0,4.0,,14.0,
104,10t,2018-12-08,08:00:00,21.0,24.0,6.0,,9.0,
105,10t,2018-12-08,09:00:00,8.0,9.0,5.0,,13.0,
106,10t,2018-12-08,10:00:00,10.0,11.0,5.0,,16.0,
107,10t,2018-12-08,11:00:00,11.0,14.0,5.0,,19.0,
108,10t,2018-12-08,12:00:00,13.0,18.0,7.0,,15.0,
109,10t,2018-12-08,13:00:00,14.0,20.0,7.0,,16.0,
110,10t,2018-12-08,14:00:00,17.0,23.0,7.0,,18.0,
111,10t,2018-12-08,15:00:00,21.0,26.0,7.0,,19.0,
112,10t,2018-12-08,16:00:00,23.0,40.0,6.0,,19.0,
113,10t,2018-12-08,17:00:00,23.0,35.0,6.0,,,
114,10t,2018-12-08,18:00:00,23.0,42.0,,,26.0,
115,10t,2018-12-08,19:00:00,24.0,43.0,5.0,,25.0,
