,station,date,time,PM25,PM10,O3,CO,NO2,SO2
0,02t,2019-10-10,00:00:00,42.0,64.0,3.0,1.3,42.0,1.0
1,02t,2019-10-10,01:00:00,41.0,62.0,3.0,0.72,34.0,
2,02t,2019-10-10,02:00:00,47.0,71.0,3.0,0.61,30.0,
3,02t,2019-10-10,03:00:00,32.0,48.0,3.0,0.44,27.0,
4,02t,2019-10-10,04:00:00,34.0,51.0,3.0,0.46,25.0,
5,02t,2019-10-10,05:00:00,31.0,48.0,3.0,0.35,26.0,
6,02t,2019-10-10,06:00:00,29.0,45.0,3.0,0.55,24.0,
7,02t,2019-10-10,07:00:00,36.0,56.0,3.0,0.42,24.0,
8,02t,2019-10-10,08:00:00,20.0,47.0,4.0,0.89,29.0,1.0
9,02t,2019-10-10,09:00:00,19.0,39.0,9.0,0.65,23.0,3.0
10,02t,2019-10-10,10:00:00,18.0,41.0,9.0,0.43,26.0,2.0
11,02t,2019-10-10,11:00:00,20.0,45.0,15.0,0.36,20.0,1.0
12,02t,2019-10-10,12:00:00,23.0,52.0,,0.43,18.0,1.0
13,02t,2019-10-10,13:00:00,35.0,69.0,,0.51,21.0,
14,02t,2019-10-10,14:00:00,33.0,64.0,34.0,,,
15,02t,2019-10-10,15:00:00,27.0,52.0,,0.9,40.0,1.0
16,02t,2019-10-10,16:00:00,33.0,63.0,,1.01,50.0,1.0
17,02t,2019-10-10,17:00:00,40.0,76.0,,0.87,39.0,1.0
18,02t,2019-10-10,18:00:00,37.0,70.0,,1.05,52.0,1.0
19,02t,2019-10-10,19:00:00,34.0,64.0,,0.89,45.0,1.0
20,02t,2019-10-10,20:00:00,28.0,53.0,,0.69,37.0,1.0
21,02t,2019-10-10,21:00:00,22.0,42.0,,0.68,47.0,1.0
22,02t,2019-10-10,22:00:00,28.0,53.0,,0.64,46.0,1.0
23,02t,2019-10-10,23:00:00,24.0,45.0,,0.7,51.0,1.0
24,03t,2019-10-10,00:00:00,55.0,141.0,,2.9,6.0,
25,03t,2019-10-10,01:00:00,55.0,68.0,,2.99,10.0,
