,station,date,time,PM25,PM10,O3,CO,NO2,SO2
0,02t,2018-12-22,00:00:00,,,,,,
1,02t,2018-12-22,01:00:00,,,,,,
2,02t,2018-12-22,02:00:00,,,,,,
3,02t,2018-12-22,03:00:00,,,,,,
4,02t,2018-12-22,04:00:00,,,,,,
5,02t,2018-12-22,05:00:00,,,,,,
6,02t,2018-12-22,06:00:00,,,,,,
7,02t,2018-12-22,07:00:00,,,,,,
8,02t,2018-12-22,08:00:00,,,,,,
9,02t,2018-12-22,09:00:00,,,,,,
10,02t,2018-12-22,10:00:00,,,,,,
11,02t,2018-12-22,11:00:00,,,,,,
12,02t,2018-12-22,12:00:00,,,,,,
13,02t,2018-12-22,13:00:00,,,,,,
14,02t,2018-12-22,14:00:00,,,,,,
15,02t,2018-12-22,15:00:00,,,,,,
16,02t,2018-12-22,16:00:00,,,,,,
17,02t,2018-12-22,17:00:00,,,,,,
18,02t,2018-12-22,18:00:00,,,,,,
19,02t,2018-12-22,19:00:00,,,,,,
20,02t,2018-12-22,20:00:00,,,,,,
21,02t,2018-12-22,21:00:00,,,,,,
22,02t,2018-12-22,22:00:00,,,,,,
23,02t,2018-12-22,23:00:00,,,,,,
24,03t,2018-12-22,00:00:00,65.0,74.0,4.0,1.37,49.0,
25,03t,2018-12-22,01:00:00,43.0,49.0,2.0,1.29,48.0,
26,03t,2018-12-22,02:00:00,54.0,57.0,2.0,1.37,47.0,
27,03t,2018-12-22,03:00:00,51.0,74.0,1.0,1.47,47.0,
28,03t,2018-12-22,04:00:00,53.0,97.0,2.0,1.55,41.0,
29,03t,2018-12-22,05:00:00,55.0,105.0,1.0,1.55,37.0,
30,03t,2018-12-22,06:00:00,66.0,104.0,,1.55,28.0,
31,03t,2018-12-22,07:00:00,47.0,74.0,2.0,1.89,29.0,
32,03t,2018-12-22,08:00:00,71.0,120.0,2.0,1.62,35.0,
33,03t,2018-12-22,09:00:00,60.0,92.0,5.0,1.36,36.0,
34,03t,2018-12-22,10:00:00,48.0,71.0,8.0,1.42,47.0,
35,03t,2018-12-22,11:00:00,36.0,75.0,15.0,1.48,63.0,
36,03t,2018-12-22,12:00:00,32.0,88.0,,,,
37,03t,2018-12-22,13:00:00,38.0,74.0,72.0,1.32,48.0,
38,03t,2018-12-22,14:00:00,53.0,93.0,90.0,1.4,35.0,
39,03t,2018-12-22,15:00:00,56.0,114.0,43.0,1.56,80.0,
40,03t,2018-12-22,16:00:00,56.0,113.0,75.0,1.25,22.0,
41,03t,2018-12-22,17:00:00,57.0,88.0,35.0,1.22,49.0,
42,03t,2018-12-22,18:00:00,67.0,74.0,15.0,1.56,74.0,
43,03t,2018-12-22,19:00:00,62.0,90.0,14.0,1.75,72.0,
44,03t,2018-12-22,20:00:00,60.0,105.0,3.0,1.96,83.0,
45,03t,2018-12-22,21:00:00,66.0,122.0,1.0,2.23,86.0,
46,03t,2018-12-22,22:00:00,76.0,118.0,1.0,2.49,80.0,
47,03t,2018-12-22,23:00:00,77.0,129.0,1.0,2.24,69.0,
48,05t,2018-12-22,00:00:00,27.0,48.0,21.0,0.57,17.0,4.0
49,05t,2018-12-22,01:00:00,26.0,47.0,14.0,0.62,23.0,4.0
50,05t,2018-12-22,02:00:00,28.0,56.0,14.0,0.6,25.0,5.0
51,05t,2018-12-22,03:00:00,33.0,51.0,5.0,0.68,31.0,6.0
52,05t,2018-12-22,04:00:00,34.0,59.0,,0.83,48.0,7.0
53,05t,2018-12-22,05:00:00,42.0,75.0,,1.1,48.0,6.0
54,05t,2018-12-22,06:00:00,42.0,62.0,,1.01,44.0,6.0
55,05t,2018-12-22,07:00:00,42.0,69.0,,1.2,41.0,6.0
56,05t,2018-12-22,08:00:00,49.0,83.0,3.0,1.09,47.0,7.0
57,05t,2018-12-22,09:00:00,52.0,84.0,10.0,1.02,50.0,8.0
58,05t,2018-12-22,10:00:00,43.0,88.0,28.0,0.93,47.0,7.0
59,05t,2018-12-22,11:00:00,49.0,99.0,52.0,0.72,38.0,7.0
60,05t,2018-12-22,12:00:00,52.0,94.0,79.0,0.66,26.0,8.0
61,05t,2018-12-22,13:00:00,57.0,94.0,86.0,0.58,20.0,7.0
62,05t,2018-12-22,14:00:00,57.0,90.0,82.0,0.52,16.0,6.0
63,05t,2018-12-22,15:00:00,47.0,74.0,93.0,0.63,23.0,6.0
64,05t,2018-12-22,16:00:00,53.0,88.0,90.0,0.96,49.0,9.0
