,station,date,time,PM25,PM10,O3,CO,NO2,SO2
0,02t,2018-12-01,00:00:00,,,,,,
1,02t,2018-12-01,01:00:00,,,,,,
2,02t,2018-12-01,02:00:00,,,,,,
3,02t,2018-12-01,03:00:00,,,,,,
4,02t,2018-12-01,04:00:00,,,,,,
5,02t,2018-12-01,05:00:00,,,,,,
6,02t,2018-12-01,06:00:00,,,,,,
7,02t,2018-12-01,07:00:00,,,,,,
8,02t,2018-12-01,08:00:00,,,,,,
9,02t,2018-12-01,09:00:00,,,,,,
10,02t,2018-12-01,10:00:00,,,,,,
11,02t,2018-12-01,11:00:00,,,,,,
12,02t,2018-12-01,12:00:00,,,,,,
13,02t,2018-12-01,13:00:00,,,,,,
14,02t,2018-12-01,14:00:00,,,,,,
15,02t,2018-12-01,15:00:00,,,,,,
16,02t,2018-12-01,16:00:00,,,,,,
17,02t,2018-12-01,17:00:00,,,,,,
18,02t,2018-12-01,18:00:00,,,,,,
19,02t,2018-12-01,19:00:00,,,,,,
20,02t,2018-12-01,20:00:00,,,,,,
21,02t,2018-12-01,21:00:00,,,,,,
22,02t,2018-12-01,22:00:00,,,,,,
23,02t,2018-12-01,23:00:00,,,,,,
24,03t,2018-12-01,00:00:00,63.0,100.0,1.0,1.52,56.0,
25,03t,2018-12-01,01:00:00,59.0,78.0,1.0,1.3,49.0,
26,03t,2018-12-01,02:00:00,57.0,70.0,1.0,1.28,45.0,
27,03t,2018-12-01,03:00:00,50.0,66.0,2.0,1.18,37.0,
28,03t,2018-12-01,04:00:00,45.0,75.0,2.0,1.13,31.0,
29,03t,2018-12-01,05:00:00,41.0,74.0,1.0,1.13,31.0,
30,03t,2018-12-01,06:00:00,48.0,83.0,1.0,1.24,28.0,
31,03t,2018-12-01,07:00:00,53.0,85.0,2.0,1.32,28.0,
32,03t,2018-12-01,08:00:00,56.0,99.0,5.0,1.43,36.0,
33,03t,2018-12-01,09:00:00,54.0,112.0,12.0,1.31,43.0,
34,03t,2018-12-01,10:00:00,52.0,102.0,,,,
35,03t,2018-12-01,11:00:00,43.0,77.0,40.0,0.96,19.0,
36,03t,2018-12-01,12:00:00,32.0,41.0,51.0,0.86,13.0,
37,03t,2018-12-01,13:00:00,24.0,31.0,50.0,0.93,33.0,
38,03t,2018-12-01,14:00:00,40.0,49.0,24.0,1.28,87.0,
39,03t,2018-12-01,15:00:00,47.0,78.0,19.0,1.28,94.0,
40,03t,2018-12-01,16:00:00,49.0,89.0,16.0,1.41,104.0,
41,03t,2018-12-01,17:00:00,53.0,101.0,12.0,1.51,98.0,
42,03t,2018-12-01,18:00:00,65.0,114.0,4.0,1.78,88.0,
43,03t,2018-12-01,19:00:00,65.0,123.0,3.0,1.83,78.0,
44,03t,2018-12-01,20:00:00,70.0,137.0,2.0,2.08,75.0,
45,03t,2018-12-01,21:00:00,77.0,183.0,2.0,2.34,75.0,
46,03t,2018-12-01,22:00:00,88.0,195.0,1.0,2.43,70.0,
47,03t,2018-12-01,23:00:00,88.0,168.0,1.0,1.93,63.0,
48,05t,2018-12-01,00:00:00,51.0,84.0,4.0,1.31,73.0,3.0
49,05t,2018-12-01,01:00:00,55.0,95.0,4.0,1.39,70.0,3.0
50,05t,2018-12-01,02:00:00,54.0,94.0,4.0,1.58,69.0,4.0
