,station,date,time,PM25,PM10,O3,CO,NO2,SO2
0,02t,2019-07-26,00:00:00,,,,,,
1,02t,2019-07-26,01:00:00,,,,,,
2,02t,2019-07-26,02:00:00,,,,,,
3,02t,2019-07-26,03:00:00,,,,,,
4,02t,2019-07-26,04:00:00,,,,,,
5,02t,2019-07-26,05:00:00,,,,,,
6,02t,2019-07-26,06:00:00,,,,,,
7,02t,2019-07-26,07:00:00,,,,,,
8,02t,2019-07-26,08:00:00,,,,,,
9,02t,2019-07-26,09:00:00,,,,,,
10,02t,2019-07-26,10:00:00,,,,,,
11,02t,2019-07-26,11:00:00,,,,,,
12,02t,2019-07-26,12:00:00,,,,,,
13,02t,2019-07-26,13:00:00,,,,,,
14,02t,2019-07-26,14:00:00,,,,,,
15,02t,2019-07-26,15:00:00,,,,,,
16,02t,2019-07-26,16:00:00,,,,,,
17,02t,2019-07-26,17:00:00,,,,,,
18,02t,2019-07-26,18:00:00,,,,,,
19,02t,2019-07-26,19:00:00,,,,,,
20,02t,2019-07-26,20:00:00,,,,,,
21,02t,2019-07-26,21:00:00,,,,,,
22,02t,2019-07-26,22:00:00,,,,,,
23,02t,2019-07-26,23:00:00,,,,,,
24,03t,2019-07-26,00:00:00,56.0,153.0,,1.67,5.0,
25,03t,2019-07-26,01:00:00,43.0,97.0,,1.55,4.0,
26,03t,2019-07-26,02:00:00,48.0,90.0,,1.55,6.0,
27,03t,2019-07-26,03:00:00,56.0,127.0,,,,
28,03t,2019-07-26,04:00:00,55.0,107.0,,1.54,1.0,
29,03t,2019-07-26,05:00:00,48.0,80.0,,1.44,9.0,
30,03t,2019-07-26,06:00:00,31.0,52.0,,1.56,11.0,
31,03t,2019-07-26,07:00:00,26.0,44.0,,1.68,8.0,
32,03t,2019-07-26,08:00:00,20.0,34.0,,1.64,4.0,
33,03t,2019-07-26,09:00:00,41.0,70.0,,1.48,13.0,
34,03t,2019-07-26,10:00:00,45.0,94.0,,1.43,15.0,
35,03t,2019-07-26,11:00:00,33.0,78.0,,1.37,18.0,
36,03t,2019-07-26,12:00:00,29.0,57.0,,1.3,20.0,
37,03t,2019-07-26,13:00:00,31.0,57.0,,1.19,26.0,
38,03t,2019-07-26,14:00:00,29.0,62.0,,1.21,28.0,
39,03t,2019-07-26,15:00:00,24.0,66.0,,1.24,25.0,
40,03t,2019-07-26,16:00:00,26.0,65.0,,1.27,27.0,
41,03t,2019-07-26,17:00:00,32.0,61.0,,1.26,22.0,
42,03t,2019-07-26,18:00:00,31.0,58.0,,1.32,23.0,
43,03t,2019-07-26,19:00:00,28.0,68.0,,1.4,26.0,
44,03t,2019-07-26,20:00:00,31.0,77.0,,1.47,23.0,
45,03t,2019-07-26,21:00:00,39.0,75.0,,1.38,13.0,
46,03t,2019-07-26,22:00:00,42.0,65.0,,1.36,8.0,
47,03t,2019-07-26,23:00:00,45.0,53.0,,1.32,8.0,
