,station,date,time,PM25,PM10,O3,CO,NO2,SO2
0,02t,2018-11-20,00:00:00,,,,,,
1,02t,2018-11-20,01:00:00,,,,,,
2,02t,2018-11-20,02:00:00,,,,,,
3,02t,2018-11-20,03:00:00,,,,,,
4,02t,2018-11-20,04:00:00,,,,,,
5,02t,2018-11-20,05:00:00,,,,,,
6,02t,2018-11-20,06:00:00,,,,,,
7,02t,2018-11-20,07:00:00,,,,,,
8,02t,2018-11-20,08:00:00,,,,,,
9,02t,2018-11-20,09:00:00,,,,,,
10,02t,2018-11-20,10:00:00,,,,,,
11,02t,2018-11-20,11:00:00,,,,,,
12,02t,2018-11-20,12:00:00,,,,,,
13,02t,2018-11-20,13:00:00,,,,,,
14,02t,2018-11-20,14:00:00,,,,,,
15,02t,2018-11-20,15:00:00,,,,,,
16,02t,2018-11-20,16:00:00,,,,,,
17,02t,2018-11-20,17:00:00,,,,,,
18,02t,2018-11-20,18:00:00,,,,,,
19,02t,2018-11-20,19:00:00,,,,,,
20,02t,2018-11-20,20:00:00,,,,,,
21,02t,2018-11-20,21:00:00,,,,,,
22,02t,2018-11-20,22:00:00,,,,,,
23,02t,2018-11-20,23:00:00,,,,,,
24,03t,2018-11-20,00:00:00,13.0,41.0,10.0,0.76,24.0,
25,03t,2018-11-20,01:00:00,9.0,27.0,2.0,0.83,35.0,
26,03t,2018-11-20,02:00:00,34.0,70.0,,0.84,33.0,
27,03t,2018-11-20,03:00:00,17.0,34.0,3.0,0.86,26.0,
28,03t,2018-11-20,04:00:00,16.0,32.0,1.0,1.04,34.0,
29,03t,2018-11-20,05:00:00,36.0,91.0,1.0,1.14,38.0,
30,03t,2018-11-20,06:00:00,27.0,104.0,1.0,1.57,47.0,
31,03t,2018-11-20,07:00:00,33.0,147.0,2.0,1.45,43.0,
32,03t,2018-11-20,08:00:00,41.0,125.0,9.0,1.1,31.0,
33,03t,2018-11-20,09:00:00,33.0,67.0,20.0,1.07,33.0,
34,03t,2018-11-20,10:00:00,29.0,64.0,29.0,1.11,43.0,
35,03t,2018-11-20,11:00:00,26.0,64.0,43.0,1.14,35.0,
36,03t,2018-11-20,12:00:00,31.0,52.0,29.0,1.37,92.0,
37,03t,2018-11-20,13:00:00,40.0,89.0,29.0,1.29,98.0,
38,03t,2018-11-20,14:00:00,43.0,104.0,19.0,1.3,94.0,
39,03t,2018-11-20,15:00:00,47.0,105.0,29.0,0.93,38.0,
40,03t,2018-11-20,16:00:00,38.0,49.0,4.0,1.39,83.0,
41,03t,2018-11-20,17:00:00,37.0,92.0,7.0,1.77,99.0,
42,03t,2018-11-20,18:00:00,46.0,143.0,1.0,2.18,103.0,
43,03t,2018-11-20,19:00:00,89.0,201.0,1.0,2.01,90.0,
44,03t,2018-11-20,20:00:00,85.0,186.0,3.0,2.23,79.0,
45,03t,2018-11-20,21:00:00,74.0,184.0,,,,
46,03t,2018-11-20,22:00:00,76.0,199.0,1.0,2.24,81.0,
47,03t,2018-11-20,23:00:00,80.0,203.0,1.0,2.35,77.0,
48,05t,2018-11-20,00:00:00,4.0,12.0,21.0,0.33,11.0,2.0
49,05t,2018-11-20,01:00:00,4.0,16.0,11.0,0.42,21.0,2.0
50,05t,2018-11-20,02:00:00,12.0,27.0,11.0,0.4,19.0,2.0
51,05t,2018-11-20,03:00:00,17.0,27.0,5.0,0.44,27.0,2.0
52,05t,2018-11-20,04:00:00,12.0,27.0,4.0,0.53,33.0,3.0
53,05t,2018-11-20,05:00:00,16.0,42.0,4.0,0.69,36.0,5.0
54,05t,2018-11-20,06:00:00,30.0,77.0,4.0,1.1,37.0,5.0
55,05t,2018-11-20,07:00:00,39.0,92.0,5.0,1.16,39.0,4.0
56,05t,2018-11-20,08:00:00,29.0,66.0,9.0,1.19,46.0,4.0
57,05t,2018-11-20,09:00:00,30.0,68.0,24.0,0.55,27.0,2.0
58,05t,2018-11-20,10:00:00,21.0,45.0,40.0,0.44,19.0,3.0
59,05t,2018-11-20,11:00:00,19.0,49.0,57.0,0.39,12.0,3.0
60,05t,2018-11-20,12:00:00,23.0,44.0,62.0,0.35,7.0,3.0
61,05t,2018-11-20,13:00:00,23.0,41.0,63.0,0.34,8.0,3.0
62,05t,2018-11-20,14:00:00,22.0,45.0,52.0,0.32,8.0,2.0
63,05t,2018-11-20,15:00:00,15.0,31.0,52.0,0.39,16.0,2.0
64,05t,2018-11-20,16:00:00,23.0,42.0,61.0,0.64,38.0,4.0
65,05t,2018-11-20,17:00:00,50.0,77.0,44.0,0.72,41.0,1.0
66,05t,2018-11-20,18:00:00,49.0,75.0,,,,
67,05t,2018-11-20,19:00:00,55.0,94.0,10.0,0.78,40.0,3.0
68,05t,2018-11-20,20:00:00,33.0,61.0,5.0,0.76,38.0,2.0
69,05t,2018-11-20,21:00:00,24.0,59.0,10.0,0.72,35.0,2.0
70,05t,2018-11-20,22:00:00,27.0,53.0,28.0,0.44,13.0,2.0
71,05t,2018-11-20,23:00:00,21.0,38.0,24.0,0.38,10.0,2.0
72,08t,2018-11-20,00:00:00,22.0,57.0,10.0,0.42,24.0,
73,08t,2018-11-20,01:00:00,23.0,42.0,1.0,0.52,27.0,1.0
74,08t,2018-11-20,02:00:00,30.0,58.0,1.0,0.63,27.0,1.0
75,08t,2018-11-20,03:00:00,33.0,65.0,1.0,0.64,27.0,2.0
76,08t,2018-11-20,04:00:00,30.0,65.0,1.0,0.65,26.0,1.0
77,08t,2018-11-20,05:00:00,34.0,59.0,1.0,0.89,32.0,3.0
78,08t,2018-11-20,06:00:00,31.0,53.0,1.0,1.08,23.0,4.0
79,08t,2018-11-20,07:00:00,40.0,63.0,3.0,1.21,32.0,3.0
80,08t,2018-11-20,08:00:00,45.0,68.0,12.0,1.11,36.0,3.0
81,08t,2018-11-20,09:00:00,47.0,70.0,20.0,1.01,40.0,4.0
82,08t,2018-11-20,10:00:00,42.0,72.0,38.0,0.7,24.0,6.0
83,08t,2018-11-20,11:00:00,,72.0,60.0,0.64,18.0,3.0
84,08t,2018-11-20,12:00:00,31.0,59.0,71.0,0.64,21.0,
85,08t,2018-11-20,13:00:00,46.0,77.0,78.0,0.69,28.0,
86,08t,2018-11-20,14:00:00,58.0,90.0,81.0,0.59,23.0,1.0
87,08t,2018-11-20,15:00:00,52.0,81.0,74.0,0.56,20.0,1.0
88,08t,2018-11-20,16:00:00,46.0,67.0,84.0,0.61,21.0,
89,08t,2018-11-20,17:00:00,59.0,70.0,74.0,0.76,26.0,2.0
90,08t,2018-11-20,18:00:00,59.0,79.0,,,,
91,08t,2018-11-20,19:00:00,56.0,84.0,30.0,0.79,35.0,5.0
92,08t,2018-11-20,20:00:00,47.0,77.0,24.0,0.8,35.0,4.0
93,08t,2018-11-20,21:00:00,50.0,80.0,31.0,0.74,25.0,4.0
94,08t,2018-11-20,22:00:00,47.0,73.0,30.0,0.73,23.0,3.0
95,08t,2018-11-20,23:00:00,35.0,68.0,19.0,0.59,29.0,1.0
96,10t,2018-11-20,00:00:00,18.0,13.0,,,18.0,
97,10t,2018-11-20,01:00:00,10.0,13.0,10.0,,21.0,
98,10t,2018-11-20,02:00:00,8.0,14.0,10.0,,20.0,
99,10t,2018-11-20,03:00:00,8.0,15.0,4.0,,28.0,
100,10t,2018-11-20,04:00:00,14.0,26.0,4.0,,28.0,
101,10t,2018-11-20,05:00:00,19.0,27.0,4.0,,27.0,
102,10t,2018-11-20,06:00:00,23.0,31.0,4.0,,26.0,
103,10t,2018-11-20,07:00:00,23.0,42.0,5.0,,26.0,
104,10t,2018-11-20,08:00:00,23.0,47.0,7.0,,28.0,
105,10t,2018-11-20,09:00:00,22.0,39.0,20.0,,17.0,
106,10t,2018-11-20,10:00:00,20.0,31.0,34.0,,13.0,
107,10t,2018-11-20,11:00:00,20.0,33.0,46.0,,9.0,
108,10t,2018-11-20,12:00:00,20.0,30.0,46.0,,7.0,
109,10t,2018-11-20,13:00:00,20.0,33.0,45.0,,6.0,
110,10t,2018-11-20,14:00:00,20.0,25.0,39.0,,6.0,
111,10t,2018-11-20,15:00:00,19.0,25.0,41.0,,6.0,
112,10t,2018-11-20,16:00:00,18.0,26.0,36.0,,10.0,
113,10t,2018-11-20,17:00:00,16.0,30.0,29.0,,12.0,
114,10t,2018-11-20,18:00:00,14.0,30.0,18.0,,18.0,
115,10t,2018-11-20,19:00:00,17.0,44.0,12.0,,24.0,
116,10t,2018-11-20,20:00:00,24.0,54.0,6.0,,30.0,
117,10t,2018-11-20,21:00:00,32.0,50.0,5.0,,32.0,
118,10t,2018-11-20,22:00:00,34.0,53.0,3.0,,30.0,
119,10t,2018-11-20,23:00:00,30.0,51.0,4.0,,30.0,
120,11t,2018-11-20,00:00:00,27.0,,15.0,,,1.0
121,11t,2018-11-20,01:00:00,20.0,,6.0,,,9.0
122,11t,2018-11-20,02:00:00,18.0,,5.0,,,7.0
123,11t,2018-11-20,03:00:00,16.0,,7.0,,,3.0
124,11t,2018-11-20,04:00:00,15.0,,2.0,,,4.0
125,11t,2018-11-20,05:00:00,14.0,,4.0,,,3.0
126,11t,2018-11-20,06:00:00,15.0,,4.0,,,2.0
127,11t,2018-11-20,07:00:00,18.0,,6.0,,,3.0
128,11t,2018-11-20,08:00:00,22.0,,9.0,,,3.0
129,11t,2018-11-20,09:00:00,25.0,,21.0,,,3.0
130,11t,2018-11-20,10:00:00,23.0,,30.0,,,3.0
131,11t,2018-11-20,11:00:00,22.0,,62.0,,,2.0
132,11t,2018-11-20,12:00:00,21.0,,63.0,,,2.0
133,11t,2018-11-20,13:00:00,19.0,,52.0,,,2.0
134,11t,2018-11-20,14:00:00,18.0,,44.0,,,2.0
135,11t,2018-11-20,15:00:00,15.0,,51.0,,,2.0
136,11t,2018-11-20,16:00:00,18.0,,51.0,,,3.0
137,11t,2018-11-20,17:00:00,29.0,,48.0,,,3.0
138,11t,2018-11-20,18:00:00,41.0,,27.0,,,3.0
139,11t,2018-11-20,19:00:00,46.0,,16.0,,,4.0
140,11t,2018-11-20,20:00:00,46.0,,9.0,,,4.0
141,11t,2018-11-20,21:00:00,39.0,,3.0,,,2.0
142,11t,2018-11-20,22:00:00,33.0,,2.0,,,2.0
143,11t,2018-11-20,23:00:00,32.0,,24.0,,,3.0
144,12t,2018-11-20,00:00:00,,,,,,
145,12t,2018-11-20,01:00:00,,,,,,
146,12t,2018-11-20,02:00:00,,,,,,
147,12t,2018-11-20,03:00:00,,,,,,
148,12t,2018-11-20,04:00:00,,,,,,
149,12t,2018-11-20,05:00:00,,,,,,
150,12t,2018-11-20,06:00:00,,,,,,
151,12t,2018-11-20,07:00:00,,,,,,
152,12t,2018-11-20,08:00:00,,,,,,
153,12t,2018-11-20,09:00:00,,,,,,
154,12t,2018-11-20,10:00:00,,,,,,
155,12t,2018-11-20,11:00:00,,,,,,
156,12t,2018-11-20,12:00:00,,,,,,
157,12t,2018-11-20,13:00:00,,,,,,
158,12t,2018-11-20,14:00:00,,,,,,
159,12t,2018-11-20,15:00:00,,,,,,
160,12t,2018-11-20,16:00:00,,,,,,
161,12t,2018-11-20,17:00:00,,,,,,
162,12t,2018-11-20,18:00:00,,,,,,
163,12t,2018-11-20,19:00:00,,,,,,
164,12t,2018-11-20,20:00:00,,,,,,
165,12t,2018-11-20,21:00:00,,,,,,
166,12t,2018-11-20,22:00:00,,,,,,
167,12t,2018-11-20,23:00:00,,,,,,
168,13t,2018-11-20,00:00:00,,22.0,1.0,0.7,21.0,1.0
169,13t,2018-11-20,01:00:00,,16.0,1.0,0.5,20.0,
170,13t,2018-11-20,02:00:00,,18.0,2.0,0.4,20.0,
171,13t,2018-11-20,03:00:00,,21.0,1.0,0.4,19.0,
172,13t,2018-11-20,04:00:00,,29.0,1.0,0.4,20.0,
173,13t,2018-11-20,05:00:00,,39.0,1.0,0.3,18.0,
174,13t,2018-11-20,06:00:00,,126.0,,,,
175,13t,2018-11-20,07:00:00,,94.0,2.0,1.8,21.0,
176,13t,2018-11-20,08:00:00,,107.0,1.0,1.3,22.0,1.0
177,13t,2018-11-20,09:00:00,,,2.0,1.0,27.0,
178,13t,2018-11-20,10:00:00,,62.0,3.0,0.8,36.0,
179,13t,2018-11-20,11:00:00,,68.0,6.0,0.8,30.0,
180,13t,2018-11-20,12:00:00,,45.0,10.0,,,
181,13t,2018-11-20,13:00:00,,58.0,22.0,0.5,19.0,
182,13t,2018-11-20,14:00:00,,29.0,11.0,0.4,17.0,
