,station,date,time,PM25,PM10,O3,CO,NO2,SO2
0,02t,2019-03-18,00:00:00,,,,,,
1,02t,2019-03-18,01:00:00,,,,,,
2,02t,2019-03-18,02:00:00,,,,,,
3,02t,2019-03-18,03:00:00,,,,,,
4,02t,2019-03-18,04:00:00,,,,,,
5,02t,2019-03-18,05:00:00,,,,,,
6,02t,2019-03-18,06:00:00,,,,,,
7,02t,2019-03-18,07:00:00,,,,,,
8,02t,2019-03-18,08:00:00,,,,,,
9,02t,2019-03-18,09:00:00,,,,,,
10,02t,2019-03-18,10:00:00,,,,,,
11,02t,2019-03-18,11:00:00,,,,,,
12,02t,2019-03-18,12:00:00,,,,,,
13,02t,2019-03-18,13:00:00,,,,,,
14,02t,2019-03-18,14:00:00,,,,,,
15,02t,2019-03-18,15:00:00,,,,,,
16,02t,2019-03-18,16:00:00,,,,,,
17,02t,2019-03-18,17:00:00,,,,,,
18,02t,2019-03-18,18:00:00,,,,,,
19,02t,2019-03-18,19:00:00,,,,,,
20,02t,2019-03-18,20:00:00,,,,,,
21,02t,2019-03-18,21:00:00,,,,,,
22,02t,2019-03-18,22:00:00,,,,,,
23,02t,2019-03-18,23:00:00,,,,,,
24,03t,2019-03-18,00:00:00,37.0,64.0,6.0,0.83,31.0,
25,03t,2019-03-18,01:00:00,35.0,60.0,5.0,0.78,33.0,
26,03t,2019-03-18,02:00:00,40.0,63.0,3.0,0.88,33.0,
27,03t,2019-03-18,03:00:00,42.0,65.0,2.0,0.95,38.0,
28,03t,2019-03-18,04:00:00,46.0,70.0,2.0,0.99,41.0,
29,03t,2019-03-18,05:00:00,47.0,88.0,1.0,1.13,47.0,
30,03t,2019-03-18,06:00:00,52.0,103.0,1.0,1.32,50.0,
31,03t,2019-03-18,07:00:00,61.0,98.0,2.0,1.4,47.0,
32,03t,2019-03-18,08:00:00,61.0,94.0,3.0,1.24,44.0,
33,03t,2019-03-18,09:00:00,58.0,88.0,,,,
34,03t,2019-03-18,10:00:00,57.0,91.0,5.0,1.1,47.0,
35,03t,2019-03-18,11:00:00,56.0,81.0,7.0,1.02,47.0,
36,03t,2019-03-18,12:00:00,54.0,69.0,7.0,1.01,46.0,
37,03t,2019-03-18,13:00:00,43.0,75.0,9.0,0.95,45.0,
38,03t,2019-03-18,14:00:00,48.0,68.0,9.0,1.03,50.0,
39,03t,2019-03-18,15:00:00,43.0,71.0,8.0,1.02,42.0,
40,03t,2019-03-18,16:00:00,38.0,72.0,7.0,1.02,39.0,
41,03t,2019-03-18,17:00:00,38.0,69.0,7.0,1.03,42.0,
42,03t,2019-03-18,18:00:00,42.0,68.0,6.0,1.1,43.0,
43,03t,2019-03-18,19:00:00,49.0,103.0,8.0,1.1,42.0,
44,03t,2019-03-18,20:00:00,52.0,79.0,6.0,1.09,49.0,
45,03t,2019-03-18,21:00:00,49.0,104.0,7.0,1.0,45.0,
46,03t,2019-03-18,22:00:00,44.0,90.0,7.0,1.01,41.0,
47,03t,2019-03-18,23:00:00,35.0,72.0,6.0,0.97,43.0,
48,05t,2019-03-18,00:00:00,19.0,31.0,29.0,0.25,2.0,
49,05t,2019-03-18,01:00:00,22.0,34.0,26.0,0.27,4.0,
50,05t,2019-03-18,02:00:00,24.0,37.0,26.0,0.27,3.0,
51,05t,2019-03-18,03:00:00,27.0,35.0,29.0,0.29,1.0,
52,05t,2019-03-18,04:00:00,28.0,38.0,27.0,0.3,2.0,
53,05t,2019-03-18,05:00:00,28.0,43.0,23.0,0.37,8.0,
54,05t,2019-03-18,06:00:00,30.0,47.0,17.0,0.47,13.0,
55,05t,2019-03-18,07:00:00,34.0,46.0,17.0,0.66,17.0,
56,05t,2019-03-18,08:00:00,38.0,60.0,25.0,0.43,8.0,
57,05t,2019-03-18,09:00:00,31.0,54.0,33.0,0.35,5.0,
58,05t,2019-03-18,10:00:00,29.0,51.0,38.0,0.34,4.0,
59,05t,2019-03-18,11:00:00,26.0,55.0,41.0,0.37,4.0,
60,05t,2019-03-18,12:00:00,30.0,56.0,40.0,0.38,5.0,
61,05t,2019-03-18,13:00:00,32.0,49.0,44.0,0.34,1.0,
62,05t,2019-03-18,14:00:00,28.0,49.0,43.0,0.35,2.0,
63,05t,2019-03-18,15:00:00,29.0,51.0,40.0,0.33,1.0,
64,05t,2019-03-18,16:00:00,27.0,47.0,34.0,0.35,3.0,
65,05t,2019-03-18,17:00:00,26.0,45.0,35.0,0.37,2.0,
66,05t,2019-03-18,18:00:00,27.0,43.0,31.0,0.4,5.0,
67,05t,2019-03-18,19:00:00,25.0,47.0,38.0,0.4,4.0,
