,station,date,time,PM25,PM10,O3,CO,NO2,SO2
0,02t,2019-03-28,00:00:00,,,,,,
1,02t,2019-03-28,01:00:00,,,,,,
2,02t,2019-03-28,02:00:00,,,,,,
3,02t,2019-03-28,03:00:00,,,,,,
4,02t,2019-03-28,04:00:00,,,,,,
5,02t,2019-03-28,05:00:00,,,,,,
6,02t,2019-03-28,06:00:00,,,,,,
7,02t,2019-03-28,07:00:00,,,,,,
8,02t,2019-03-28,08:00:00,,,,,,
9,02t,2019-03-28,09:00:00,,,,,,
10,02t,2019-03-28,10:00:00,,,,,,
11,02t,2019-03-28,11:00:00,,,,,,
12,02t,2019-03-28,12:00:00,,,,,,
13,02t,2019-03-28,13:00:00,,,,,,
14,02t,2019-03-28,14:00:00,,,,,,
15,02t,2019-03-28,15:00:00,,,,,,
16,02t,2019-03-28,16:00:00,,,,,,
17,02t,2019-03-28,17:00:00,,,,,,
18,02t,2019-03-28,18:00:00,,,,,,
19,02t,2019-03-28,19:00:00,,,,,,
20,02t,2019-03-28,20:00:00,,,,,,
21,02t,2019-03-28,21:00:00,,,,,,
22,02t,2019-03-28,22:00:00,,,,,,
23,02t,2019-03-28,23:00:00,,,,,,
24,03t,2019-03-28,00:00:00,18.0,42.0,,0.78,20.0,
25,03t,2019-03-28,01:00:00,11.0,47.0,,0.71,20.0,
26,03t,2019-03-28,02:00:00,16.0,37.0,,0.81,22.0,
27,03t,2019-03-28,03:00:00,21.0,28.0,,0.92,30.0,
28,03t,2019-03-28,04:00:00,33.0,57.0,,0.98,35.0,
29,03t,2019-03-28,05:00:00,48.0,73.0,,1.02,36.0,
30,03t,2019-03-28,06:00:00,48.0,85.0,,1.14,27.0,
31,03t,2019-03-28,07:00:00,48.0,60.0,,1.72,42.0,
32,03t,2019-03-28,08:00:00,53.0,117.0,,1.52,44.0,
33,03t,2019-03-28,09:00:00,49.0,154.0,,1.11,43.0,
34,03t,2019-03-28,10:00:00,44.0,107.0,,1.14,53.0,
35,03t,2019-03-28,11:00:00,46.0,98.0,,1.1,50.0,
36,03t,2019-03-28,12:00:00,44.0,75.0,,1.07,47.0,
37,03t,2019-03-28,13:00:00,35.0,74.0,,0.99,52.0,
38,03t,2019-03-28,14:00:00,40.0,77.0,,1.07,48.0,
39,03t,2019-03-28,15:00:00,48.0,78.0,,1.13,49.0,
40,03t,2019-03-28,16:00:00,39.0,78.0,,1.13,50.0,
41,03t,2019-03-28,17:00:00,39.0,80.0,,1.17,46.0,
42,03t,2019-03-28,18:00:00,42.0,78.0,,1.16,39.0,
43,03t,2019-03-28,19:00:00,40.0,76.0,,1.04,31.0,
44,03t,2019-03-28,20:00:00,30.0,74.0,,0.98,31.0,
45,03t,2019-03-28,21:00:00,22.0,55.0,,0.83,27.0,
46,03t,2019-03-28,22:00:00,,,,,,
47,03t,2019-03-28,23:00:00,,,,,,
48,05t,2019-03-28,00:00:00,12.0,34.0,20.0,,1.0,
49,05t,2019-03-28,01:00:00,14.0,29.0,19.0,,1.0,
50,05t,2019-03-28,02:00:00,9.0,29.0,19.0,,,
51,05t,2019-03-28,03:00:00,12.0,27.0,18.0,,1.0,
