,station,date,time,PM25,PM10,O3,CO,NO2,SO2
0,02t,2019-02-25,00:00:00,,,,,,
1,02t,2019-02-25,01:00:00,,,,,,
2,02t,2019-02-25,02:00:00,,,,,,
3,02t,2019-02-25,03:00:00,,,,,,
4,02t,2019-02-25,04:00:00,,,,,,
5,02t,2019-02-25,05:00:00,,,,,,
6,02t,2019-02-25,06:00:00,,,,,,
7,02t,2019-02-25,07:00:00,,,,,,
8,02t,2019-02-25,08:00:00,,,,,,
9,02t,2019-02-25,09:00:00,,,,,,
10,02t,2019-02-25,10:00:00,,,,,,
11,02t,2019-02-25,11:00:00,,,,,,
12,02t,2019-02-25,12:00:00,,,,,,
13,02t,2019-02-25,13:00:00,,,,,,
14,02t,2019-02-25,14:00:00,,,,,,
15,02t,2019-02-25,15:00:00,,,,,,
16,02t,2019-02-25,16:00:00,,,,,,
17,02t,2019-02-25,17:00:00,,,,,,
18,02t,2019-02-25,18:00:00,,,,,,
19,02t,2019-02-25,19:00:00,,,,,,
20,02t,2019-02-25,20:00:00,,,,,,
21,02t,2019-02-25,21:00:00,,,,,,
22,02t,2019-02-25,22:00:00,,,,,,
23,02t,2019-02-25,23:00:00,,,,,,
24,03t,2019-02-25,00:00:00,32.0,34.0,10.0,0.47,19.0,
25,03t,2019-02-25,01:00:00,17.0,27.0,12.0,0.4,17.0,
26,03t,2019-02-25,02:00:00,15.0,27.0,7.0,0.49,20.0,
27,03t,2019-02-25,03:00:00,18.0,31.0,6.0,0.52,24.0,
28,03t,2019-02-25,04:00:00,20.0,35.0,3.0,0.63,33.0,
29,03t,2019-02-25,05:00:00,30.0,48.0,2.0,0.71,39.0,
30,03t,2019-02-25,06:00:00,38.0,60.0,1.0,1.12,41.0,
31,03t,2019-02-25,07:00:00,49.0,66.0,1.0,1.31,43.0,
32,03t,2019-02-25,08:00:00,54.0,80.0,3.0,0.92,37.0,
33,03t,2019-02-25,09:00:00,46.0,71.0,4.0,0.82,41.0,
34,03t,2019-02-25,10:00:00,35.0,68.0,5.0,0.8,41.0,
35,03t,2019-02-25,11:00:00,32.0,71.0,5.0,0.8,38.0,
36,03t,2019-02-25,12:00:00,36.0,60.0,6.0,0.74,39.0,
37,03t,2019-02-25,13:00:00,25.0,61.0,6.0,0.67,43.0,
38,03t,2019-02-25,14:00:00,25.0,53.0,6.0,0.8,42.0,
39,03t,2019-02-25,15:00:00,34.0,66.0,6.0,0.8,37.0,
40,03t,2019-02-25,16:00:00,40.0,63.0,,,,
41,03t,2019-02-25,17:00:00,34.0,63.0,6.0,0.8,42.0,
42,03t,2019-02-25,18:00:00,36.0,63.0,5.0,0.81,40.0,
43,03t,2019-02-25,19:00:00,36.0,69.0,6.0,0.78,38.0,
44,03t,2019-02-25,20:00:00,29.0,56.0,8.0,0.71,38.0,
45,03t,2019-02-25,21:00:00,30.0,57.0,9.0,0.65,40.0,
46,03t,2019-02-25,22:00:00,42.0,60.0,11.0,0.62,37.0,
47,03t,2019-02-25,23:00:00,42.0,47.0,10.0,0.61,33.0,
48,05t,2019-02-25,00:00:00,11.0,25.0,,,,
49,05t,2019-02-25,01:00:00,17.0,26.0,24.0,0.13,1.0,
50,05t,2019-02-25,02:00:00,10.0,23.0,24.0,0.13,,
51,05t,2019-02-25,03:00:00,10.0,21.0,28.0,0.14,1.0,
52,05t,2019-02-25,04:00:00,7.0,22.0,25.0,0.15,,
53,05t,2019-02-25,05:00:00,8.0,23.0,21.0,0.21,4.0,
54,05t,2019-02-25,06:00:00,15.0,29.0,19.0,0.3,9.0,
55,05t,2019-02-25,07:00:00,12.0,31.0,17.0,0.44,16.0,
56,05t,2019-02-25,08:00:00,16.0,34.0,24.0,0.27,7.0,
57,05t,2019-02-25,09:00:00,11.0,33.0,28.0,0.2,6.0,
58,05t,2019-02-25,10:00:00,12.0,34.0,32.0,0.2,3.0,
59,05t,2019-02-25,11:00:00,15.0,32.0,34.0,0.22,4.0,
60,05t,2019-02-25,12:00:00,16.0,30.0,39.0,0.19,3.0,
