,station,date,time,PM25,PM10,O3,CO,NO2,SO2
0,02t,2019-01-06,00:00:00,,,,,,
1,02t,2019-01-06,01:00:00,,,,,,
2,02t,2019-01-06,02:00:00,,,,,,
3,02t,2019-01-06,03:00:00,,,,,,
4,02t,2019-01-06,04:00:00,,,,,,
5,02t,2019-01-06,05:00:00,,,,,,
6,02t,2019-01-06,06:00:00,,,,,,
7,02t,2019-01-06,07:00:00,,,,,,
8,02t,2019-01-06,08:00:00,,,,,,
9,02t,2019-01-06,09:00:00,,,,,,
10,02t,2019-01-06,10:00:00,,,,,,
11,02t,2019-01-06,11:00:00,,,,,,
12,02t,2019-01-06,12:00:00,,,,,,
13,02t,2019-01-06,13:00:00,,,,,,
14,02t,2019-01-06,14:00:00,,,,,,
15,02t,2019-01-06,15:00:00,,,,,,
16,02t,2019-01-06,16:00:00,,,,,,
17,02t,2019-01-06,17:00:00,,,,,,
18,02t,2019-01-06,18:00:00,,,,,,
19,02t,2019-01-06,19:00:00,,,,,,
20,02t,2019-01-06,20:00:00,,,,,,
21,02t,2019-01-06,21:00:00,,,,,,
22,02t,2019-01-06,22:00:00,,,,,,
23,02t,2019-01-06,23:00:00,,,,,,
24,03t,2019-01-06,00:00:00,85.0,131.0,2.0,1.75,37.0,
25,03t,2019-01-06,01:00:00,88.0,126.0,1.0,1.66,34.0,
26,03t,2019-01-06,02:00:00,90.0,116.0,1.0,1.69,30.0,
27,03t,2019-01-06,03:00:00,87.0,108.0,1.0,1.67,28.0,
28,03t,2019-01-06,04:00:00,79.0,111.0,1.0,1.72,29.0,
29,03t,2019-01-06,05:00:00,76.0,121.0,1.0,1.74,30.0,
30,03t,2019-01-06,06:00:00,81.0,120.0,1.0,1.89,32.0,
31,03t,2019-01-06,07:00:00,88.0,158.0,1.0,1.89,37.0,
32,03t,2019-01-06,08:00:00,90.0,176.0,2.0,1.83,31.0,
33,03t,2019-01-06,09:00:00,87.0,175.0,3.0,1.71,35.0,
34,03t,2019-01-06,10:00:00,83.0,142.0,7.0,1.72,35.0,
35,03t,2019-01-06,11:00:00,73.0,117.0,20.0,1.54,28.0,
36,03t,2019-01-06,12:00:00,65.0,86.0,37.0,1.49,30.0,
37,03t,2019-01-06,13:00:00,61.0,78.0,34.0,1.48,53.0,
38,03t,2019-01-06,14:00:00,62.0,77.0,58.0,1.31,25.0,
39,03t,2019-01-06,15:00:00,51.0,61.0,33.0,1.57,69.0,
40,03t,2019-01-06,16:00:00,48.0,83.0,18.0,1.66,82.0,
41,03t,2019-01-06,17:00:00,51.0,96.0,13.0,1.83,92.0,
42,03t,2019-01-06,18:00:00,64.0,121.0,6.0,2.01,90.0,
43,03t,2019-01-06,19:00:00,73.0,123.0,3.0,2.18,79.0,
44,03t,2019-01-06,20:00:00,82.0,151.0,,,,
45,03t,2019-01-06,21:00:00,87.0,124.0,2.0,2.18,70.0,
46,03t,2019-01-06,22:00:00,94.0,143.0,1.0,2.24,63.0,
47,03t,2019-01-06,23:00:00,87.0,149.0,2.0,2.18,57.0,
48,05t,2019-01-06,00:00:00,56.0,87.0,,1.02,41.0,1.0
49,05t,2019-01-06,01:00:00,55.0,94.0,,1.21,41.0,1.0
50,05t,2019-01-06,02:00:00,70.0,99.0,,1.36,42.0,2.0
51,05t,2019-01-06,03:00:00,90.0,118.0,,1.31,40.0,2.0
52,05t,2019-01-06,04:00:00,83.0,109.0,,,,
53,05t,2019-01-06,05:00:00,68.0,88.0,,1.35,34.0,2.0
54,05t,2019-01-06,06:00:00,73.0,108.0,,1.42,34.0,2.0
55,05t,2019-01-06,07:00:00,86.0,114.0,,1.29,30.0,2.0
56,05t,2019-01-06,08:00:00,87.0,123.0,,1.27,34.0,2.0
57,05t,2019-01-06,09:00:00,83.0,124.0,1.0,1.38,41.0,2.0
58,05t,2019-01-06,10:00:00,87.0,129.0,14.0,0.98,36.0,3.0
59,05t,2019-01-06,11:00:00,58.0,94.0,29.0,0.69,25.0,3.0
60,05t,2019-01-06,12:00:00,39.0,66.0,49.0,0.52,9.0,2.0
61,05t,2019-01-06,13:00:00,31.0,58.0,57.0,0.49,6.0,1.0
62,05t,2019-01-06,14:00:00,35.0,58.0,62.0,0.52,5.0,1.0
63,05t,2019-01-06,15:00:00,43.0,77.0,68.0,0.55,9.0,2.0
64,05t,2019-01-06,16:00:00,42.0,66.0,57.0,0.56,14.0,2.0
65,05t,2019-01-06,17:00:00,43.0,67.0,39.0,0.66,31.0,2.0
66,05t,2019-01-06,18:00:00,43.0,71.0,29.0,0.79,32.0,2.0
67,05t,2019-01-06,19:00:00,45.0,82.0,20.0,0.98,47.0,2.0
68,05t,2019-01-06,20:00:00,57.0,100.0,12.0,1.07,52.0,1.0
69,05t,2019-01-06,21:00:00,68.0,102.0,13.0,0.97,46.0,1.0
70,05t,2019-01-06,22:00:00,72.0,108.0,6.0,1.04,50.0,1.0
