,station,date,time,PM25,PM10,O3,CO,NO2,SO2
0,02t,2019-08-31,00:00:00,,,,,,
1,02t,2019-08-31,01:00:00,,,,,,
2,02t,2019-08-31,02:00:00,,,,,,
3,02t,2019-08-31,03:00:00,,,,,,
4,02t,2019-08-31,04:00:00,,,,,,
5,02t,2019-08-31,05:00:00,,,,,,
6,02t,2019-08-31,06:00:00,,,,,,
7,02t,2019-08-31,07:00:00,,,,,,
8,02t,2019-08-31,08:00:00,,,,,,
9,02t,2019-08-31,09:00:00,,,,,,
10,02t,2019-08-31,10:00:00,,,,,,
11,02t,2019-08-31,11:00:00,,,,,,
12,02t,2019-08-31,12:00:00,,,,,,
13,02t,2019-08-31,13:00:00,,,,,,
14,02t,2019-08-31,14:00:00,,,,,,
15,02t,2019-08-31,15:00:00,,,,,,
16,02t,2019-08-31,16:00:00,,,,,,
17,02t,2019-08-31,17:00:00,,,,,,
18,02t,2019-08-31,18:00:00,,,,,,
19,02t,2019-08-31,19:00:00,,,,,,
20,02t,2019-08-31,20:00:00,,,,,,
21,02t,2019-08-31,21:00:00,,,,,,
22,02t,2019-08-31,22:00:00,,,,,,
23,02t,2019-08-31,23:00:00,,,,,,
24,03t,2019-08-31,00:00:00,19.0,31.0,2.0,2.02,1.0,
25,03t,2019-08-31,01:00:00,21.0,26.0,2.0,2.03,,
26,03t,2019-08-31,02:00:00,28.0,33.0,2.0,1.99,,
27,03t,2019-08-31,03:00:00,32.0,53.0,2.0,1.99,,
28,03t,2019-08-31,04:00:00,24.0,39.0,3.0,1.97,,
29,03t,2019-08-31,05:00:00,45.0,58.0,3.0,2.03,,
30,03t,2019-08-31,06:00:00,40.0,68.0,3.0,2.27,1.0,
31,03t,2019-08-31,07:00:00,33.0,61.0,11.0,2.25,3.0,
32,03t,2019-08-31,08:00:00,27.0,71.0,2.0,2.26,12.0,
33,03t,2019-08-31,09:00:00,23.0,69.0,2.0,1.97,12.0,
34,03t,2019-08-31,10:00:00,20.0,44.0,2.0,2.03,10.0,
35,03t,2019-08-31,11:00:00,23.0,44.0,2.0,1.97,10.0,
36,03t,2019-08-31,12:00:00,18.0,38.0,2.0,2.01,7.0,
37,03t,2019-08-31,13:00:00,15.0,87.0,,,,
38,03t,2019-08-31,14:00:00,27.0,73.0,2.0,2.0,11.0,
39,03t,2019-08-31,15:00:00,27.0,54.0,2.0,2.13,10.0,
40,03t,2019-08-31,16:00:00,25.0,63.0,2.0,2.28,10.0,
41,03t,2019-08-31,17:00:00,25.0,84.0,1.0,2.14,10.0,
42,03t,2019-08-31,18:00:00,22.0,46.0,1.0,2.05,10.0,
43,03t,2019-08-31,19:00:00,24.0,40.0,2.0,2.06,7.0,
44,03t,2019-08-31,20:00:00,26.0,48.0,1.0,1.98,8.0,
45,03t,2019-08-31,21:00:00,21.0,30.0,1.0,1.98,5.0,
46,03t,2019-08-31,22:00:00,13.0,28.0,1.0,1.98,5.0,
47,03t,2019-08-31,23:00:00,5.0,33.0,10.0,1.87,2.0,
48,05t,2019-08-31,00:00:00,4.0,15.0,12.0,0.16,9.0,
49,05t,2019-08-31,01:00:00,7.0,13.0,12.0,0.21,10.0,
50,05t,2019-08-31,02:00:00,6.0,16.0,12.0,0.17,9.0,1.0
51,05t,2019-08-31,03:00:00,4.0,9.0,9.0,0.21,13.0,1.0
52,05t,2019-08-31,04:00:00,6.0,15.0,12.0,0.14,7.0,
53,05t,2019-08-31,05:00:00,4.0,15.0,11.0,0.17,12.0,
54,05t,2019-08-31,06:00:00,2.0,15.0,13.0,0.2,8.0,
55,05t,2019-08-31,07:00:00,4.0,10.0,13.0,0.24,8.0,
56,05t,2019-08-31,08:00:00,6.0,16.0,16.0,0.18,4.0,
57,05t,2019-08-31,09:00:00,5.0,13.0,18.0,0.18,5.0,
58,05t,2019-08-31,10:00:00,5.0,25.0,20.0,0.15,4.0,
59,05t,2019-08-31,11:00:00,3.0,17.0,19.0,0.18,6.0,
60,05t,2019-08-31,12:00:00,4.0,26.0,20.0,0.18,8.0,
61,05t,2019-08-31,13:00:00,2.0,17.0,22.0,0.17,4.0,
62,05t,2019-08-31,14:00:00,5.0,23.0,21.0,0.17,6.0,
63,05t,2019-08-31,15:00:00,6.0,22.0,19.0,0.21,7.0,
64,05t,2019-08-31,16:00:00,5.0,22.0,17.0,0.22,7.0,
65,05t,2019-08-31,17:00:00,6.0,19.0,17.0,0.2,5.0,
66,05t,2019-08-31,18:00:00,5.0,15.0,,,,
67,05t,2019-08-31,19:00:00,5.0,16.0,12.0,0.21,7.0,
68,05t,2019-08-31,20:00:00,5.0,12.0,13.0,0.16,5.0,
69,05t,2019-08-31,21:00:00,6.0,14.0,13.0,0.16,5.0,
70,05t,2019-08-31,22:00:00,8.0,18.0,14.0,0.14,5.0,
71,05t,2019-08-31,23:00:00,7.0,19.0,13.0,0.16,6.0,
72,08t,2019-08-31,00:00:00,12.0,30.0,9.0,0.03,5.0,1.0
73,08t,2019-08-31,01:00:00,6.0,15.0,9.0,0.06,5.0,
74,08t,2019-08-31,02:00:00,8.0,16.0,7.0,0.07,8.0,1.0
75,08t,2019-08-31,03:00:00,9.0,16.0,5.0,0.06,11.0,1.0
76,08t,2019-08-31,04:00:00,10.0,13.0,8.0,0.03,11.0,
77,08t,2019-08-31,05:00:00,12.0,23.0,5.0,0.04,16.0,1.0
78,08t,2019-08-31,06:00:00,12.0,25.0,6.0,0.05,17.0,2.0
