,station,date,time,PM25,PM10,O3,CO,NO2,SO2
0,02t,2019-01-30,00:00:00,,,,,,
1,02t,2019-01-30,01:00:00,,,,,,
2,02t,2019-01-30,02:00:00,,,,,,
3,02t,2019-01-30,03:00:00,,,,,,
4,02t,2019-01-30,04:00:00,,,,,,
5,02t,2019-01-30,05:00:00,,,,,,
6,02t,2019-01-30,06:00:00,,,,,,
7,02t,2019-01-30,07:00:00,,,,,,
8,02t,2019-01-30,08:00:00,,,,,,
9,02t,2019-01-30,09:00:00,,,,,,
10,02t,2019-01-30,10:00:00,,,,,,
11,02t,2019-01-30,11:00:00,,,,,,
12,02t,2019-01-30,12:00:00,,,,,,
13,02t,2019-01-30,13:00:00,,,,,,
14,02t,2019-01-30,14:00:00,,,,,,
15,02t,2019-01-30,15:00:00,,,,,,
16,02t,2019-01-30,16:00:00,,,,,,
17,02t,2019-01-30,17:00:00,,,,,,
18,02t,2019-01-30,18:00:00,,,,,,
19,02t,2019-01-30,19:00:00,,,,,,
20,02t,2019-01-30,20:00:00,,,,,,
21,02t,2019-01-30,21:00:00,,,,,,
22,02t,2019-01-30,22:00:00,,,,,,
23,02t,2019-01-30,23:00:00,,,,,,
24,03t,2019-01-30,00:00:00,79.0,166.0,2.0,1.33,76.0,
25,03t,2019-01-30,01:00:00,86.0,137.0,4.0,1.48,71.0,
26,03t,2019-01-30,02:00:00,100.0,147.0,2.0,1.5,78.0,
27,03t,2019-01-30,03:00:00,114.0,189.0,3.0,1.53,75.0,
28,03t,2019-01-30,04:00:00,126.0,214.0,3.0,1.49,68.0,
29,03t,2019-01-30,05:00:00,135.0,231.0,3.0,1.34,61.0,
30,03t,2019-01-30,06:00:00,138.0,218.0,3.0,1.68,64.0,
31,03t,2019-01-30,07:00:00,145.0,224.0,3.0,2.18,75.0,
32,03t,2019-01-30,08:00:00,150.0,219.0,3.0,1.82,81.0,
33,03t,2019-01-30,09:00:00,136.0,205.0,9.0,1.19,88.0,
34,03t,2019-01-30,10:00:00,116.0,170.0,19.0,0.94,92.0,
35,03t,2019-01-30,11:00:00,94.0,148.0,39.0,0.89,88.0,
36,03t,2019-01-30,12:00:00,87.0,146.0,27.0,0.86,118.0,
37,03t,2019-01-30,13:00:00,87.0,143.0,20.0,0.77,101.0,
38,03t,2019-01-30,14:00:00,87.0,109.0,15.0,0.89,96.0,
39,03t,2019-01-30,15:00:00,85.0,120.0,10.0,1.0,105.0,
40,03t,2019-01-30,16:00:00,84.0,120.0,8.0,0.93,109.0,
41,03t,2019-01-30,17:00:00,78.0,131.0,6.0,1.08,111.0,
42,03t,2019-01-30,18:00:00,85.0,140.0,3.0,1.25,103.0,
43,03t,2019-01-30,19:00:00,102.0,142.0,,,,
44,03t,2019-01-30,20:00:00,103.0,151.0,3.0,1.33,86.0,
45,03t,2019-01-30,21:00:00,94.0,153.0,2.0,1.21,86.0,
46,03t,2019-01-30,22:00:00,94.0,140.0,2.0,1.01,73.0,
47,03t,2019-01-30,23:00:00,96.0,128.0,1.0,0.96,65.0,
48,05t,2019-01-30,00:00:00,83.0,142.0,2.0,1.8,104.0,5.0
49,05t,2019-01-30,01:00:00,78.0,133.0,2.0,1.77,92.0,4.0
50,05t,2019-01-30,02:00:00,88.0,142.0,2.0,1.66,90.0,21.0
51,05t,2019-01-30,03:00:00,99.0,146.0,2.0,1.68,90.0,11.0
52,05t,2019-01-30,04:00:00,92.0,144.0,2.0,1.76,89.0,8.0
53,05t,2019-01-30,05:00:00,93.0,154.0,2.0,1.87,82.0,7.0
54,05t,2019-01-30,06:00:00,94.0,149.0,2.0,2.24,85.0,10.0
55,05t,2019-01-30,07:00:00,109.0,174.0,2.0,2.4,87.0,10.0
56,05t,2019-01-30,08:00:00,105.0,176.0,6.0,1.85,95.0,13.0
57,05t,2019-01-30,09:00:00,110.0,179.0,32.0,1.03,59.0,10.0
58,05t,2019-01-30,10:00:00,78.0,123.0,60.0,1.03,52.0,12.0
59,05t,2019-01-30,11:00:00,84.0,136.0,91.0,0.94,41.0,10.0
60,05t,2019-01-30,12:00:00,81.0,134.0,111.0,0.79,24.0,7.0
61,05t,2019-01-30,13:00:00,70.0,117.0,102.0,0.66,8.0,4.0
62,05t,2019-01-30,14:00:00,57.0,102.0,99.0,0.67,13.0,4.0
63,05t,2019-01-30,15:00:00,64.0,102.0,94.0,0.69,18.0,4.0
64,05t,2019-01-30,16:00:00,61.0,107.0,78.0,0.69,19.0,3.0
65,05t,2019-01-30,17:00:00,57.0,101.0,61.0,0.83,38.0,4.0
66,05t,2019-01-30,18:00:00,63.0,114.0,,,,
67,05t,2019-01-30,19:00:00,74.0,113.0,37.0,1.06,52.0,7.0
68,05t,2019-01-30,20:00:00,74.0,120.0,29.0,1.08,51.0,5.0
69,05t,2019-01-30,21:00:00,76.0,118.0,36.0,0.86,38.0,4.0
70,05t,2019-01-30,22:00:00,58.0,96.0,40.0,0.8,21.0,2.0
71,05t,2019-01-30,23:00:00,54.0,84.0,29.0,0.83,28.0,2.0
72,08t,2019-01-30,00:00:00,85.0,142.0,,1.56,67.0,2.0
73,08t,2019-01-30,01:00:00,83.0,136.0,,1.83,76.0,5.0
74,08t,2019-01-30,02:00:00,109.0,204.0,,1.72,68.0,5.0
