,station,date,time,PM25,PM10,O3,CO,NO2,SO2
0,02t,2019-01-09,00:00:00,,,,,,
1,02t,2019-01-09,01:00:00,,,,,,
2,02t,2019-01-09,02:00:00,,,,,,
3,02t,2019-01-09,03:00:00,,,,,,
4,02t,2019-01-09,04:00:00,,,,,,
5,02t,2019-01-09,05:00:00,,,,,,
6,02t,2019-01-09,06:00:00,,,,,,
7,02t,2019-01-09,07:00:00,,,,,,
8,02t,2019-01-09,08:00:00,,,,,,
9,02t,2019-01-09,09:00:00,,,,,,
10,02t,2019-01-09,10:00:00,,,,,,
11,02t,2019-01-09,11:00:00,,,,,,
12,02t,2019-01-09,12:00:00,,,,,,
13,02t,2019-01-09,13:00:00,,,,,,
14,02t,2019-01-09,14:00:00,,,,,,
15,02t,2019-01-09,15:00:00,,,,,,
16,02t,2019-01-09,16:00:00,,,,,,
17,02t,2019-01-09,17:00:00,,,,,,
18,02t,2019-01-09,18:00:00,,,,,,
19,02t,2019-01-09,19:00:00,,,,,,
20,02t,2019-01-09,20:00:00,,,,,,
21,02t,2019-01-09,21:00:00,,,,,,
22,02t,2019-01-09,22:00:00,,,,,,
23,02t,2019-01-09,23:00:00,,,,,,
24,03t,2019-01-09,00:00:00,37.0,47.0,2.0,1.26,27.0,
25,03t,2019-01-09,01:00:00,,42.0,2.0,1.15,25.0,
26,03t,2019-01-09,02:00:00,,48.0,1.0,1.34,25.0,
27,03t,2019-01-09,03:00:00,,60.0,1.0,1.27,27.0,
28,03t,2019-01-09,04:00:00,,58.0,2.0,1.33,35.0,
29,03t,2019-01-09,05:00:00,,69.0,1.0,1.45,36.0,
30,03t,2019-01-09,06:00:00,,77.0,1.0,1.44,29.0,
31,03t,2019-01-09,07:00:00,,66.0,1.0,1.52,26.0,
32,03t,2019-01-09,08:00:00,,52.0,2.0,1.47,32.0,
33,03t,2019-01-09,09:00:00,,56.0,2.0,1.47,43.0,
34,03t,2019-01-09,10:00:00,,72.0,3.0,1.42,42.0,
35,03t,2019-01-09,11:00:00,,69.0,3.0,1.35,44.0,
36,03t,2019-01-09,12:00:00,,62.0,3.0,1.38,47.0,
37,03t,2019-01-09,13:00:00,,64.0,5.0,1.31,50.0,
38,03t,2019-01-09,14:00:00,,61.0,6.0,1.4,58.0,
39,03t,2019-01-09,15:00:00,56.0,71.0,8.0,1.41,56.0,
40,03t,2019-01-09,16:00:00,53.0,67.0,15.0,1.41,47.0,
41,03t,2019-01-09,17:00:00,63.0,78.0,,,,
42,03t,2019-01-09,18:00:00,55.0,98.0,1.0,1.97,61.0,
43,03t,2019-01-09,19:00:00,56.0,147.0,2.0,1.91,55.0,
44,03t,2019-01-09,20:00:00,71.0,198.0,2.0,1.79,52.0,
45,03t,2019-01-09,21:00:00,71.0,177.0,2.0,1.74,46.0,
46,03t,2019-01-09,22:00:00,67.0,171.0,1.0,1.52,43.0,
47,03t,2019-01-09,23:00:00,56.0,136.0,1.0,1.33,35.0,
48,05t,2019-01-09,00:00:00,7.0,27.0,12.0,0.31,17.0,
49,05t,2019-01-09,01:00:00,18.0,33.0,14.0,0.27,12.0,
50,05t,2019-01-09,02:00:00,11.0,29.0,15.0,0.24,6.0,
51,05t,2019-01-09,03:00:00,7.0,22.0,12.0,0.27,13.0,
52,05t,2019-01-09,04:00:00,5.0,26.0,7.0,0.32,21.0,
53,05t,2019-01-09,05:00:00,10.0,32.0,6.0,0.43,23.0,
54,05t,2019-01-09,06:00:00,16.0,37.0,3.0,0.66,25.0,
55,05t,2019-01-09,07:00:00,15.0,38.0,6.0,0.77,24.0,
56,05t,2019-01-09,08:00:00,16.0,39.0,7.0,0.91,26.0,
57,05t,2019-01-09,09:00:00,25.0,57.0,7.0,0.65,27.0,
58,05t,2019-01-09,10:00:00,21.0,60.0,18.0,0.39,18.0,
59,05t,2019-01-09,11:00:00,20.0,51.0,30.0,0.35,19.0,
60,05t,2019-01-09,12:00:00,20.0,49.0,32.0,0.37,19.0,
61,05t,2019-01-09,13:00:00,28.0,50.0,39.0,0.35,14.0,
62,05t,2019-01-09,14:00:00,23.0,52.0,47.0,0.41,17.0,
63,05t,2019-01-09,15:00:00,31.0,64.0,53.0,0.42,18.0,
64,05t,2019-01-09,16:00:00,29.0,64.0,16.0,0.82,57.0,
65,05t,2019-01-09,17:00:00,39.0,76.0,14.0,0.94,61.0,
66,05t,2019-01-09,18:00:00,40.0,76.0,7.0,1.02,63.0,
67,05t,2019-01-09,19:00:00,45.0,96.0,9.0,0.77,43.0,
68,05t,2019-01-09,20:00:00,37.0,77.0,,,,
69,05t,2019-01-09,21:00:00,31.0,65.0,8.0,0.59,39.0,
70,05t,2019-01-09,22:00:00,22.0,52.0,12.0,0.44,27.0,
71,05t,2019-01-09,23:00:00,21.0,45.0,15.0,0.41,21.0,
72,08t,2019-01-09,00:00:00,19.0,37.0,9.0,0.36,3.0,1.0
73,08t,2019-01-09,01:00:00,23.0,36.0,11.0,0.3,2.0,1.0
74,08t,2019-01-09,02:00:00,22.0,46.0,7.0,0.39,6.0,1.0
75,08t,2019-01-09,03:00:00,17.0,41.0,9.0,0.34,2.0,1.0
76,08t,2019-01-09,04:00:00,20.0,39.0,6.0,0.42,,
77,08t,2019-01-09,05:00:00,17.0,38.0,4.0,0.57,3.0,1.0
78,08t,2019-01-09,06:00:00,30.0,43.0,2.0,1.02,6.0,1.0
79,08t,2019-01-09,07:00:00,37.0,60.0,2.0,1.45,11.0,2.0
80,08t,2019-01-09,08:00:00,35.0,67.0,5.0,0.59,13.0,1.0
81,08t,2019-01-09,09:00:00,34.0,55.0,11.0,0.51,8.0,1.0
82,08t,2019-01-09,10:00:00,35.0,61.0,18.0,0.43,10.0,2.0
83,08t,2019-01-09,11:00:00,33.0,47.0,26.0,0.37,4.0,2.0
84,08t,2019-01-09,12:00:00,26.0,50.0,25.0,0.37,8.0,2.0
85,08t,2019-01-09,13:00:00,31.0,51.0,37.0,0.4,4.0,2.0
86,08t,2019-01-09,14:00:00,29.0,59.0,46.0,0.43,5.0,2.0
87,08t,2019-01-09,15:00:00,47.0,65.0,38.0,0.57,16.0,1.0
88,08t,2019-01-09,16:00:00,43.0,80.0,21.0,0.76,33.0,2.0
89,08t,2019-01-09,17:00:00,53.0,73.0,18.0,0.9,31.0,2.0
90,08t,2019-01-09,18:00:00,56.0,73.0,9.0,0.83,30.0,2.0
91,08t,2019-01-09,19:00:00,46.0,78.0,13.0,0.66,19.0,2.0
92,08t,2019-01-09,20:00:00,35.0,56.0,,,,
93,08t,2019-01-09,21:00:00,33.0,57.0,5.0,0.77,19.0,2.0
94,08t,2019-01-09,22:00:00,37.0,56.0,8.0,0.5,17.0,1.0
95,08t,2019-01-09,23:00:00,26.0,51.0,15.0,0.37,2.0,
96,10t,2019-01-09,00:00:00,13.0,23.0,,,15.0,
97,10t,2019-01-09,01:00:00,12.0,19.0,7.0,,16.0,
98,10t,2019-01-09,02:00:00,11.0,20.0,9.0,,13.0,
99,10t,2019-01-09,03:00:00,9.0,22.0,8.0,,12.0,
100,10t,2019-01-09,04:00:00,9.0,18.0,6.0,,15.0,
101,10t,2019-01-09,05:00:00,12.0,17.0,4.0,,20.0,
102,10t,2019-01-09,06:00:00,19.0,24.0,4.0,,17.0,
103,10t,2019-01-09,07:00:00,28.0,39.0,4.0,,15.0,
