WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,WindSpeed,Date,Time,RelativeHumidity,AirTemperature,Rainfall,StationPressure,VaporPressure,WindDirection,Rainfall24Hr,MeanSeaLevelPressure,LandVisibility,DewPoint
48300,MAE HONG SON,แม่ฮ่องสอน,แม่ฮ่องสอน,19.29897,97.97578,0.0,10-11-2019,16:00:00,58,32.8,0.00,976.09,28.85,000,1.20,1006.31,15.00,23.4
48302,DOI ANG KANG,ดอยอ่างขาง,เชียงใหม่,19.93139,99.04833,9.3,10-11-2019,16:00:00,88,20.5,0.00,846.25,21.19,130,2.40,1006.61,8.00,18.4
48303,CHIANG RAI,เชียงราย,เชียงราย,19.96139,99.88139,11.1,10-11-2019,16:00:00,57,32.1,0.00,963.26,27.19,200,35.60,1005.93,10.00,22.5
48304,CHAING RAI AGROMET.,เชียงราย สกษ.,เชียงราย,19.87083,99.78278,0.0,10-11-2019,16:00:00,65,30.1,0.00,961.77,27.74,000,0.40,1006.62,15.00,22.8
48307,THUNG CHANG,ทุ่งช้าง,น่าน,19.41194,100.88353,0.0,10-11-2019,16:00:00,69,31.1,0.00,970.02,31.39,000,0.00,1007.00,12.00,24.8
48310,PHAYAO,พะเยา,พะเยา,19.13333,99.90000,5.6,10-11-2019,16:00:00,64,30.2,0.00,962.23,27.39,310,0.00,1006.63,8.00,22.6
48315,THA WANGPHA,ท่าวังผา,น่าน,19.11056,100.80250,5.6,10-11-2019,16:00:00,65,32.3,0.00,981.02,31.27,010,0.00,1007.21,10.00,24.8
48324,THOEN,เถิน,ลำปาง,17.63661,99.24475,3.7,10-11-2019,16:00:00,58,33.5,0.00,985.67,29.99,160,10.30,1006.92,14.00,24.1
48325,MAE SARIANG,แม่สะเรียง,แม่ฮ่องสอน,18.16667,97.93333,0.0,10-11-2019,16:00:00,59,34.0,0.00,983.04,31.34,000,5.50,1006.53,10.00,24.8
48327,CHIANG MAI,เชียงใหม่,เชียงใหม่,18.79000,98.97694,5.6,10-11-2019,16:00:00,48,33.7,0.00,972.90,25.32,190,3.90,1006.55,10.00,21.3
48328,LAMPANG,ลำปาง,ลำปาง,18.28333,99.51667,0.0,10-11-2019,16:00:00,54,33.5,0.00,979.88,27.99,000,0.00,1006.76,10.00,22.9
48329,LAMPHUN,ลำพูน,ลำพูน,18.56722,99.03389,0.0,10-11-2019,16:00:00,55,33.1,0.00,973.83,28.04,000,15.60,1006.62,12.00,23.0
48330,PHRAE,แพร่,แพร่,18.16667,100.16667,0.0,10-11-2019,16:00:00,88,26.0,3.90,990.25,29.50,000,4.00,1008.82,8.00,23.8
48331,NAN,น่าน,น่าน,18.77972,100.77778,0.0,10-11-2019,16:00:00,49,35.3,0.00,983.91,27.93,000,0.00,1006.06,10.00,22.9
48333,NAN AGROMET.,น่าน สกษ.,น่าน,18.86667,100.75000,0.0,10-11-2019,16:00:00,48,34.8,0.00,977.12,26.92,000,0.00,1006.17,12.00,22.3
48334,LAMPANG AGROMET.,ลำปาง สกษ.,ลำปาง,18.31667,99.28333,0.0,10-11-2019,16:00:00,60,32.5,0.00,971.72,29.38,000,0.00,1006.49,8.00,23.7
48350,LOEI AGROMET.,เลย สกษ.,เลย,17.40000,101.73333,7.4,10-11-2019,16:00:00,57,34.0,0.00,976.86,30.46,090,0.00,1005.81,17.00,24.3
48351,UTTARADIT,อุตรดิตถ์,อุตรดิตถ์,17.61667,100.10000,0.0,10-11-2019,16:00:00,56,34.1,0.00,999.84,30.08,000,31.30,1006.98,10.00,24.1
48352,NONG KHAI,หนองคาย,หนองคาย,17.86717,102.73303,5.6,10-11-2019,16:00:00,55,34.5,0.00,986.93,30.04,080,0.00,1006.32,8.00,24.1
48353,LOEI,เลย,เลย,17.45000,101.73333,7.4,10-11-2019,16:00:00,41,34.5,0.00,978.48,22.51,070,0.00,1006.39,12.00,19.4
48354,UDON THANI,อุดรธานี,อุดรธานี,17.38333,102.80000,9.3,10-11-2019,16:00:00,51,34.2,0.00,987.13,27.41,110,0.00,1006.81,14.00,22.6
48355,SAKON NAKHON AGROMET.,สกลนคร สกษ.,สกลนคร,17.12503,104.06100,3.7,10-11-2019,16:00:00,55,33.0,0.00,985.81,27.56,090,0.00,1007.11,12.00,22.7
48356,SAKON NAKHON,สกลนคร,สกลนคร,17.15000,104.13333,3.7,10-11-2019,16:00:00,50,33.3,0.00,987.52,25.38,100,0.00,1006.59,14.00,21.3
48357,NAKHON PHANOM,นครพนม,นครพนม,17.41083,104.78250,0.0,10-11-2019,16:00:00,44,34.1,0.00,990.96,23.37,000,0.00,1007.32,12.00,20.0
