WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,Rainfall24Hr,Date,Time,DewPoint,AirTemperature,WindDirection,StationPressure,LandVisibility,MeanSeaLevelPressure,WindSpeed,VaporPressure,Rainfall,RelativeHumidity
48300,MAE HONG SON,แม่ฮ่องสอน,แม่ฮ่องสอน,19.29897,97.97578,0.10,08-13-2019,01:00:00,23.4,25.2,000,976.85,10.00,1007.87,0.0,28.83,0.00,90
48302,DOI ANG KANG,ดอยอ่างขาง,เชียงใหม่,19.93139,99.04833,15.50,08-13-2019,01:00:00,17.8,18.0,000,841.67,.10,1002.63,0.0,20.41,0.00,99
48303,CHIANG RAI,เชียงราย,เชียงราย,19.96139,99.88139,40.30,08-13-2019,01:00:00,23.0,24.5,200,962.98,8.00,1006.75,5.6,28.11,27.40,91
48304,CHAING RAI AGROMET.,เชียงราย สกษ.,เชียงราย,19.87083,99.78278,15.40,08-13-2019,01:00:00,22.9,23.8,000,960.89,1.00,1006.67,0.0,27.92,10.00,95
48307,THUNG CHANG,ทุ่งช้าง,น่าน,19.41194,100.88353,35.20,08-13-2019,01:00:00,24.5,24.5,000,969.35,6.00,1007.14,0.0,30.73,0.80,100
48315,THA WANGPHA,ท่าวังผา,น่าน,19.11056,100.80250,32.10,08-13-2019,01:00:00,25.2,25.6,000,980.60,6.00,1007.37,0.0,31.98,1.70,97
48324,THOEN,เถิน,ลำปาง,17.63661,99.24475,2.20,08-13-2019,01:00:00,24.5,25.8,000,985.61,12.00,1007.42,0.0,30.73,0.00,93
48325,MAE SARIANG,แม่สะเรียง,แม่ฮ่องสอน,18.16667,97.93333,6.90,08-13-2019,01:00:00,23.4,24.6,000,983.37,6.00,1007.62,0.0,28.81,2.10,93
48327,CHIANG MAI,เชียงใหม่,เชียงใหม่,18.79000,98.97694,0.00,08-13-2019,01:00:00,23.1,26.0,000,973.03,10.00,1007.56,0.0,28.18,0.00,84
48328,LAMPANG,ลำปาง,ลำปาง,18.28333,99.51667,0.00,08-13-2019,01:00:00,23.8,27.0,000,979.57,10.00,1007.03,0.0,29.48,0.00,83
48329,LAMPHUN,ลำพูน,ลำพูน,18.56722,99.03389,26.20,08-13-2019,01:00:00,24.3,25.2,000,973.18,10.00,1006.83,0.0,30.42,0.20,95
48330,PHRAE,แพร่,แพร่,18.16667,100.16667,5.30,08-13-2019,01:00:00,23.8,26.0,270,988.32,10.00,1006.85,1.9,29.50,0.00,88
48331,NAN,น่าน,น่าน,18.77972,100.77778,9.70,08-13-2019,01:00:00,25.4,26.5,000,984.15,10.00,1006.96,0.0,32.35,0.00,93
48333,NAN AGROMET.,น่าน สกษ.,น่าน,18.86667,100.75000,11.30,08-13-2019,01:00:00,24.2,25.2,000,977.14,8.00,1007.14,0.0,30.15,0.00,94
48334,LAMPANG AGROMET.,ลำปาง สกษ.,ลำปาง,18.31667,99.28333,4.60,08-13-2019,01:00:00,24.3,25.2,000,971.79,6.00,1007.42,0.0,30.42,0.00,95
48350,LOEI AGROMET.,เลย สกษ.,เลย,17.40000,101.73333,10.30,08-13-2019,01:00:00,24.8,25.0,000,976.82,3.00,1006.65,0.0,31.39,1.00,99
48351,UTTARADIT,อุตรดิตถ์,อุตรดิตถ์,17.61667,100.10000,11.00,08-13-2019,01:00:00,24.6,25.8,000,999.85,7.00,1007.19,0.0,31.00,0.00,93
48352,NONG KHAI,หนองคาย,หนองคาย,17.86717,102.73303,40.30,08-13-2019,01:00:00,24.6,25.0,300,986.32,8.00,1006.32,5.6,30.85,6.80,97
48353,LOEI,เลย,เลย,17.45000,101.73333,3.90,08-13-2019,01:00:00,24.7,25.6,000,978.39,5.00,1007.14,0.0,31.17,0.50,95
48354,UDON THANI,อุดรธานี,อุดรธานี,17.38333,102.80000,4.30,08-13-2019,01:00:00,24.8,26.2,000,986.43,7.00,1006.63,0.0,31.22,1.40,92
48355,SAKON NAKHON AGROMET.,สกลนคร สกษ.,สกลนคร,17.12503,104.06100,0.40,08-13-2019,01:00:00,24.8,27.0,310,984.69,12.00,1006.38,3.7,31.38,0.00,88
48356,SAKON NAKHON,สกลนคร,สกลนคร,17.15000,104.13333,1.20,08-13-2019,01:00:00,25.7,28.0,300,986.37,10.00,1005.76,3.7,33.08,0.00,88
48357,NAKHON PHANOM,นครพนม,นครพนม,17.41083,104.78250,1.60,08-13-2019,01:00:00,26.5,27.8,000,989.23,10.00,1005.91,0.0,34.69,0.30,93
48358,NAKHON PHANOM AGROMET.,นครพนม สกษ.,นครพนม,17.44306,104.77361,0.01,08-13-2019,01:00:00,25.8,27.2,000,989.19,10.00,1006.57,0.0,33.17,0.00,92
48360,NONG BUA LAM PHU,หนองบัวลำภู,หนองบัวลำภู,17.23250,102.42944,6.00,08-13-2019,01:00:00,24.9,25.2,000,979.92,10.00,1005.80,0.0,31.49,1.60,98
48372,SUKHOTHAI*,สุโขทัย,สุโขทัย,17.10611,99.80000,6.30,08-13-2019,01:00:00,26.0,26.0,000,1001.24,8.00,1007.04,0.0,33.60,2.40,100
48373,SI SAMRONG AGROMET.,ศรีสำโรง สกษ.,สุโขทัย,17.16136,99.86167,9.10,08-13-2019,01:00:00,25.4,25.8,000,1000.01,6.00,1006.22,0.0,32.37,0.80,97
48374,LOM SAK,หล่มสัก,เพชรบูรณ์,16.77361,101.24944,0.00,08-13-2019,01:00:00,24.1,25.7,000,991.04,8.00,1007.55,0.0,30.01,0.00,91
48375,MAE SOT,แม่สอด,ตาก,16.65917,98.55083,12.70,08-13-2019,01:00:00,24.3,25.0,000,983.71,10.00,1006.15,0.0,30.32,2.00,96
48376,TAK,ตาก,ตาก,16.87833,99.14333,1.70,08-13-2019,01:00:00,24.6,25.6,000,993.53,6.00,1007.99,0.0,30.90,0.00,94
48377,BHUMIBOL DAM,เขื่อนภูมิพล,ตาก,17.24389,99.00250,2.90,08-13-2019,01:00:00,23.8,24.5,000,990.69,6.00,1007.21,0.0,29.41,0.00,96
48378,PHITSANULOK,พิษณุโลก,พิษณุโลก,16.79481,100.27930,0.10,08-13-2019,01:00:00,24.8,26.2,000,1002.64,10.00,1007.89,0.0,31.22,0.00,92
