WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,AirTemperature,Date,Time,DewPoint,WindSpeed,StationPressure,MinimumTemperature,Rainfall,MeanSeaLevelPressure,Rainfall24Hr,LandVisibility,VaporPressure,WindDirection,RelativeHumidity
48379,PHETCHABUN,\u0e40\u0e1e\u0e0a\u0e23\u0e1a\u0e39\u0e23\u0e13\u0e4c,\u0e40\u0e1e\u0e0a\u0e23\u0e1a\u0e39\u0e23\u0e13\u0e4c,16.43333,101.15000,26.3,07-08-2019,07:00:00,24.3,0.0,993.45,25.3,0.00,1006.67,0.00,10.00,30.32,000,89
48380,KAMPHAENG PHET,\u0e01\u0e33\u0e41\u0e1e\u0e07\u0e40\u0e1e\u0e0a\u0e23,\u0e01\u0e33\u0e41\u0e1e\u0e07\u0e40\u0e1e\u0e0a\u0e23,16.48681,99.52697,27.0,07-08-2019,07:00:00,24.7,0.0,998.65,26.2,0.00,1007.98,0.00,10.00,31.11,000,87
48381,KHON KAEN,\u0e02\u0e2d\u0e19\u0e41\u0e01\u0e48\u0e19,\u0e02\u0e2d\u0e19\u0e41\u0e01\u0e48\u0e19,16.46111,102.78972,26.5,07-08-2019,07:00:00,23.3,5.6,985.88,25.5,0.00,1007.61,0.00,10.00,28.55,230,83
48382,MAHASARAKHAM,\u0e21\u0e2b\u0e32\u0e2a\u0e32\u0e23\u0e04\u0e32\u0e21,\u0e21\u0e2b\u0e32\u0e2a\u0e32\u0e23\u0e04\u0e32\u0e21,16.24722,103.06805,28.2,07-08-2019,07:00:00,23.5,11.1,990.96,26.6,0.00,1008.41,0.00,10.00,29.03,250,76
48383,MUKDAHAN,\u0e21\u0e38\u0e01\u0e14\u0e32\u0e2b\u0e32\u0e23,\u0e21\u0e38\u0e01\u0e14\u0e32\u0e2b\u0e32\u0e23,16.54139,104.72889,27.5,07-08-2019,07:00:00,23.9,9.3,991.27,26.5,0.00,1007.08,0.00,10.00,29.60,200,81
48384,THA PHRA AGROMET.,\u0e17\u0e48\u0e32\u0e1e\u0e23\u0e30 \u0e2a\u0e01\u0e29.,\u0e02\u0e2d\u0e19\u0e41\u0e01\u0e48\u0e19,16.33333,102.81667,27.0,07-08-2019,07:00:00,25.0,5.6,987.92,26.1,0.00,1006.80,0.00,10.00,31.66,200,89
48385,UMPHANG,\u0e2d\u0e38\u0e49\u0e21\u0e1c\u0e32\u0e07,\u0e15\u0e32\u0e01,16.02472,98.86444,23.4,07-08-2019,07:00:00,21.9,0.0,957.44,22.4,0.70,1009.16,2.30,8.00,26.25,000,91
48386,PICHIT AGROMET.,\u0e1e\u0e34\u0e08\u0e34\u0e15\u0e23 \u0e2a\u0e01\u0e29.,\u0e1e\u0e34\u0e08\u0e34\u0e15\u0e23,16.43806,100.29250,26.6,07-08-2019,07:00:00,25.2,0.0,1003.78,25.8,0.00,1007.75,0.00,7.00,31.99,000,92
48387,DOI MU SOE AGROMET.,\u0e14\u0e2d\u0e22\u0e21\u0e39\u0e40\u0e0b\u0e2d\u0e23\u0e4c \u0e2a\u0e01\u0e29.,\u0e15\u0e32\u0e01,16.75000,98.93333,21.1,07-08-2019,07:00:00,20.8,11.1,913.47,20.6,4.30,1008.86,6.70,.40,24.53,210,98
48390,KALASIN,\u0e01\u0e32\u0e2c\u0e2a\u0e34\u0e19\u0e18\u0e38\u0e4c,\u0e01\u0e32\u0e2c\u0e2a\u0e34\u0e19\u0e18\u0e38\u0e4c,16.33250,103.58833,27.0,07-08-2019,07:00:00,23.6,0.0,991.67,26.4,0.00,1007.67,0.00,10.00,29.21,000,82
