WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,RelativeHumidity,Date,Time,WindSpeed,VaporPressure,DewPoint,MeanSeaLevelPressure,LandVisibility,AirTemperature,StationPressure,Rainfall,WindDirection,Rainfall24Hr,MaximumTemperature
48300,MAE HONG SON,แม่ฮ่องสอน,แม่ฮ่องสอน,19.29897,97.97578,85,10-13-2019,19:00:00,7.4,29.72,23.9,1010.33,8.00,26.7,979.38,0.40,290,0.40,35.0
48302,DOI ANG KANG,ดอยอ่างขาง,เชียงใหม่,19.93139,99.04833,99,10-13-2019,19:00:00,7.4,19.77,17.3,1010.52,8.00,17.5,848.05,0.90,140,14.20,21.0
48303,CHIANG RAI,เชียงราย,เชียงราย,19.96139,99.88139,90,10-13-2019,19:00:00,5.6,28.66,23.3,1010.66,9.00,25.1,966.81,3.90,030,7.60,33.4
48304,CHAING RAI AGROMET.,เชียงราย สกษ.,เชียงราย,19.87083,99.78278,89,10-13-2019,19:00:00,0.0,28.22,23.1,1010.41,10.00,25.0,964.64,0.50,000,0.50,34.5
48307,THUNG CHANG,ทุ่งช้าง,น่าน,19.41194,100.88353,88,10-13-2019,19:00:00,0.0,30.43,24.3,1010.52,6.00,26.5,972.85,7.20,000,7.20,33.2
48310,PHAYAO,พะเยา,พะเยา,19.13333,99.90000,85,10-13-2019,19:00:00,0.0,29.35,23.7,1010.61,10.00,26.5,965.50,0.00,000,0.00,34.0
48315,THA WANGPHA,ท่าวังผา,น่าน,19.11056,100.80250,85,10-13-2019,19:00:00,0.0,31.25,24.8,1010.82,9.00,27.5,984.12,0.20,000,0.20,34.8
48324,THOEN,เถิน,ลำปาง,17.63661,99.24475,97,10-13-2019,19:00:00,0.0,31.04,24.7,1010.35,12.00,25.1,988.43,0.20,000,12.90,30.5
48325,MAE SARIANG,แม่สะเรียง,แม่ฮ่องสอน,18.16667,97.93333,92,10-13-2019,19:00:00,0.0,30.84,24.6,1009.68,8.00,26.0,985.49,0.90,000,0.90,33.8
48327,CHIANG MAI,เชียงใหม่,เชียงใหม่,18.79000,98.97694,86,10-13-2019,19:00:00,0.0,29.33,23.7,1010.59,10.00,26.2,975.98,0.00,000,6.60,34.7
48328,LAMPANG,ลำปาง,ลำปาง,18.28333,99.51667,92,10-13-2019,19:00:00,0.0,27.51,22.7,1011.31,10.00,24.0,983.46,0.00,000,0.30,33.5
48329,LAMPHUN,ลำพูน,ลำพูน,18.56722,99.03389,88,10-13-2019,19:00:00,0.0,28.59,23.3,1010.62,10.00,25.5,976.87,0.00,000,0.20,32.8
48330,PHRAE,แพร่,แพร่,18.16667,100.16667,88,10-13-2019,19:00:00,1.9,30.43,24.3,1010.15,6.00,26.5,991.59,0.00,090,0.00,32.0
48331,NAN,น่าน,น่าน,18.77972,100.77778,92,10-13-2019,19:00:00,0.0,30.09,24.1,1010.36,10.00,25.6,987.41,8.50,000,8.50,33.5
48333,NAN AGROMET.,น่าน สกษ.,น่าน,18.86667,100.75000,84,10-13-2019,19:00:00,0.0,29.08,23.6,1010.33,10.00,26.5,980.37,0.00,000,0.00,33.0
48334,LAMPANG AGROMET.,ลำปาง สกษ.,ลำปาง,18.31667,99.28333,96,10-13-2019,19:00:00,0.0,30.32,24.3,1010.50,6.00,25.0,974.74,0.20,000,0.30,31.5
48350,LOEI AGROMET.,เลย สกษ.,เลย,17.40000,101.73333,94,10-13-2019,19:00:00,5.6,30.71,24.5,1009.85,12.00,25.5,979.98,0.70,330,1.30,32.8
48351,UTTARADIT,อุตรดิตถ์,อุตรดิตถ์,17.61667,100.10000,88,10-13-2019,19:00:00,0.0,30.62,24.4,1010.04,8.00,26.6,1002.70,0.00,000,10.30,34.5
48352,NONG KHAI,หนองคาย,หนองคาย,17.86717,102.73303,76,10-13-2019,19:00:00,3.7,33.55,26.0,1009.67,5.00,30.6,989.96,0.00,020,0.00,34.5
48353,LOEI,เลย,เลย,17.45000,101.73333,86,10-13-2019,19:00:00,0.0,29.25,23.7,1010.54,12.00,26.3,981.76,0.40,000,0.40,33.5
48354,UDON THANI,อุดรธานี,อุดรธานี,17.38333,102.80000,65,10-13-2019,19:00:00,3.7,26.44,22.0,1010.16,12.00,29.4,990.10,0.00,170,0.00,33.9
48355,SAKON NAKHON AGROMET.,สกลนคร สกษ.,สกลนคร,17.12503,104.06100,75,10-13-2019,19:00:00,0.0,27.19,22.5,1010.02,12.00,27.2,988.26,0.00,000,0.00,34.3
48356,SAKON NAKHON,สกลนคร,สกลนคร,17.15000,104.13333,61,10-13-2019,19:00:00,0.0,24.95,21.1,1009.75,13.00,29.3,990.37,0.00,000,0.00,33.8
48357,NAKHON PHANOM,นครพนม,นครพนม,17.41083,104.78250,56,10-13-2019,19:00:00,1.9,23.68,20.2,1010.55,10.00,29.9,993.92,0.00,080,0.00,34.6
48358,NAKHON PHANOM AGROMET.,นครพนม สกษ.,นครพนม,17.44306,104.77361,68,10-13-2019,19:00:00,0.0,25.41,21.4,1010.58,12.00,27.8,993.17,0.00,000,0.00,33.5
