WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,Rainfall,Date,Time,WindDirection,StationPressure,WindSpeed,Rainfall24Hr,AirTemperature,VaporPressure,MeanSeaLevelPressure,RelativeHumidity,LandVisibility,DewPoint
48300,MAE HONG SON,แม่ฮ่องสอน,แม่ฮ่องสอน,19.29897,97.97578,0.00,08-27-2019,01:00:00,000,974.54,0.0,0.00,25.4,29.46,1005.47,91,8.00,23.8
48302,DOI ANG KANG,ดอยอ่างขาง,เชียงใหม่,19.93139,99.04833,0.00,08-27-2019,01:00:00,280,843.33,9.3,0.00,19.8,21.30,1003.55,92,8.00,18.5
48303,CHIANG RAI,เชียงราย,เชียงราย,19.96139,99.88139,0.00,08-27-2019,01:00:00,000,960.70,0.0,0.00,26.4,29.43,1004.08,86,10.00,23.8
48304,CHAING RAI AGROMET.,เชียงราย สกษ.,เชียงราย,19.87083,99.78278,0.00,08-27-2019,01:00:00,000,958.98,0.0,0.00,25.2,28.83,1004.44,90,10.00,23.4
48307,THUNG CHANG,ทุ่งช้าง,น่าน,19.41194,100.88353,0.00,08-27-2019,01:00:00,000,967.53,0.0,5.40,25.4,31.87,1005.13,98,6.00,25.1
48310,PHAYAO,พะเยา,พะเยา,19.13333,99.90000,0.00,08-27-2019,01:00:00,000,958.45,0.0,0.00,24.8,28.64,1003.49,92,10.00,23.3
48315,THA WANGPHA,ท่าวังผา,น่าน,19.11056,100.80250,0.00,08-27-2019,01:00:00,000,978.13,0.0,2.90,26.0,31.65,1004.80,94,7.00,25.0
48324,THOEN,เถิน,ลำปาง,17.63661,99.24475,0.00,08-27-2019,01:00:00,090,983.64,5.6,4.70,24.5,29.15,1005.50,95,15.00,23.6
48325,MAE SARIANG,แม่สะเรียง,แม่ฮ่องสอน,18.16667,97.93333,0.00,08-27-2019,01:00:00,000,982.18,0.0,0.30,25.0,29.00,1006.37,92,6.00,23.5
48327,CHIANG MAI,เชียงใหม่,เชียงใหม่,18.79000,98.97694,0.00,08-27-2019,01:00:00,000,970.77,0.0,22.10,25.0,29.52,1005.34,93,10.00,23.8
48328,LAMPANG,ลำปาง,ลำปาง,18.28333,99.51667,0.00,08-27-2019,01:00:00,000,978.64,0.0,1.70,25.3,30.07,1006.23,93,10.00,24.1
48329,LAMPHUN,ลำพูน,ลำพูน,18.56722,99.03389,0.00,08-27-2019,01:00:00,000,971.66,0.0,0.40,25.5,30.44,1005.22,93,10.00,24.3
48330,PHRAE,แพร่,แพร่,18.16667,100.16667,0.00,08-27-2019,01:00:00,300,986.37,3.7,0.00,25.5,29.91,1004.90,92,10.00,24.0
48331,NAN,น่าน,น่าน,18.77972,100.77778,0.00,08-27-2019,01:00:00,000,982.06,0.0,4.50,26.3,31.96,1004.83,93,10.00,25.1
48333,NAN AGROMET.,น่าน สกษ.,น่าน,18.86667,100.75000,0.00,08-27-2019,01:00:00,000,975.57,0.0,3.20,26.8,30.18,1005.35,86,6.00,24.2
48334,LAMPANG AGROMET.,ลำปาง สกษ.,ลำปาง,18.31667,99.28333,0.00,08-27-2019,01:00:00,000,969.48,0.0,12.00,25.2,30.69,1005.02,96,6.00,24.5
