WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,MeanSeaLevelPressure,Date,Time,WindDirection,Rainfall24Hr,RelativeHumidity,StationPressure,VaporPressure,AirTemperature,LandVisibility,WindSpeed,DewPoint,Rainfall
48300,MAE HONG SON,แม่ฮ่องสอน,แม่ฮ่องสอน,19.29897,97.97578,1008.32,07-08-2019,10:00:00,000,1.80,86,977.50,31.14,27.3,10.00,0.0,24.7,0.40
48302,DOI ANG KANG,ดอยอ่างขาง,เชียงใหม่,19.93139,99.04833,1005.23,07-08-2019,10:00:00,280,1.50,92,844.84,21.57,20.0,7.00,11.1,18.7,0.00
48303,CHIANG RAI,เชียงราย,เชียงราย,19.96139,99.88139,1006.54,07-08-2019,10:00:00,130,0.00,67,963.41,26.77,29.0,15.00,5.6,22.2,0.00
48304,CHAING RAI AGROMET.,เชียงราย สกษ.,เชียงราย,19.87083,99.78278,1006.66,07-08-2019,10:00:00,210,2.00,65,961.72,26.62,29.5,15.00,9.3,22.1,0.00
48307,THUNG CHANG,ทุ่งช้าง,น่าน,19.41194,100.88353,1007.29,07-08-2019,10:00:00,000,0.80,61,970.29,27.27,31.0,12.00,0.0,22.5,0.00
48310,PHAYAO,พะเยา,พะเยา,19.13333,99.90000,1007.18,07-08-2019,10:00:00,000,0.00,65,962.66,26.62,29.5,10.00,0.0,22.1,0.00
48315,THA WANGPHA,ท่าวังผา,น่าน,19.11056,100.80250,1007.88,07-08-2019,10:00:00,170,7.90,60,981.60,27.68,31.5,12.00,14.8,22.8,0.00
48324,THOEN,เถิน,ลำปาง,17.63661,99.24475,1008.06,07-08-2019,10:00:00,270,0.00,61,986.61,27.27,31.0,15.00,14.8,22.5,0.00
48325,MAE SARIANG,แม่สะเรียง,แม่ฮ่องสอน,18.16667,97.93333,1009.64,07-08-2019,10:00:00,000,14.90,93,985.36,29.16,24.8,6.00,0.0,23.6,3.00
48327,CHIANG MAI,เชียงใหม่,เชียงใหม่,18.79000,98.97694,1007.86,07-08-2019,10:00:00,000,0.01,64,973.66,25.71,29.0,10.00,0.0,21.6,0.00
48328,LAMPANG,ลำปาง,ลำปาง,18.28333,99.51667,1008.07,07-08-2019,10:00:00,000,0.00,61,980.91,26.97,30.7,10.00,0.0,22.3,0.00
48329,LAMPHUN,ลำพูน,ลำพูน,18.56722,99.03389,1007.66,07-08-2019,10:00:00,000,0.00,69,974.42,28.12,29.3,12.00,0.0,23.0,0.00
48330,PHRAE,แพร่,แพร่,18.16667,100.16667,1007.77,07-08-2019,10:00:00,260,0.01,62,989.51,27.52,30.7,12.00,5.6,22.7,0.00
