WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,MaximumTemperature,Date,Time,VaporPressure,AirTemperature,Rainfall,RelativeHumidity,StationPressure,WindDirection,WindSpeed,Rainfall24Hr,MeanSeaLevelPressure,DewPoint,LandVisibility
48300,MAE HONG SON,แม่ฮ่องสอน,แม่ฮ่องสอน,19.29897,97.97578,34.0,07-15-2019,19:00:00,29.98,30.4,0.00,69,971.25,160,3.7,3.90,1001.56,24.1,15.00
48302,DOI ANG KANG,ดอยอ่างขาง,เชียงใหม่,19.93139,99.04833,27.4,07-15-2019,19:00:00,21.74,23.1,0.00,77,841.22,270,27.8,0.00,999.15,18.8,8.00
48303,CHIANG RAI,เชียงราย,เชียงราย,19.96139,99.88139,35.8,07-15-2019,19:00:00,26.50,32.6,0.00,54,957.25,000,0.0,0.00,999.59,22.0,15.00
48304,CHAING RAI AGROMET.,เชียงราย สกษ.,เชียงราย,19.87083,99.78278,35.0,07-15-2019,19:00:00,28.25,32.5,0.00,58,954.99,000,0.0,0.00,999.16,23.1,15.00
48307,THUNG CHANG,ทุ่งช้าง,น่าน,19.41194,100.88353,36.1,07-15-2019,19:00:00,30.16,31.2,0.00,66,964.37,000,0.0,2.50,1001.12,24.2,12.00
48310,PHAYAO,พะเยา,พะเยา,19.13333,99.90000,35.5,07-15-2019,19:00:00,27.82,32.0,0.00,59,955.82,220,13.0,0.00,999.66,22.8,12.00
48315,THA WANGPHA,ท่าวังผา,น่าน,19.11056,100.80250,35.0,07-15-2019,19:00:00,33.50,32.1,0.00,70,974.88,290,3.7,0.00,1000.93,25.9,12.00
48324,THOEN,เถิน,ลำปาง,17.63661,99.24475,34.9,07-15-2019,19:00:00,25.11,30.7,0.00,57,980.97,150,11.1,1.10,1002.32,21.2,15.00
48325,MAE SARIANG,แม่สะเรียง,แม่ฮ่องสอน,18.16667,97.93333,33.0,07-15-2019,19:00:00,28.84,26.8,0.00,82,980.29,000,0.0,0.50,1004.29,23.4,8.00
48327,CHIANG MAI,เชียงใหม่,เชียงใหม่,18.79000,98.97694,35.5,07-15-2019,19:00:00,26.17,33.0,0.00,52,966.94,000,0.0,9.50,1000.46,21.8,10.00
48328,LAMPANG,ลำปาง,ลำปาง,18.28333,99.51667,36.7,07-15-2019,19:00:00,25.87,32.7,0.00,52,974.18,160,7.4,0.00,1000.97,21.7,10.00
48329,LAMPHUN,ลำพูน,ลำพูน,18.56722,99.03389,37.3,07-15-2019,19:00:00,26.20,32.3,0.00,54,967.56,200,7.4,0.00,1000.23,21.9,15.00
48330,PHRAE,แพร่,แพร่,18.16667,100.16667,36.3,07-15-2019,19:00:00,29.08,29.8,0.01,69,983.35,270,9.3,0.01,1001.56,23.6,10.00
48331,NAN,น่าน,น่าน,18.77972,100.77778,36.2,07-15-2019,19:00:00,27.22,32.4,0.00,56,979.11,000,0.0,0.01,1001.36,22.5,10.00
