WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,StationPressure,Date,Time,Rainfall,MeanSeaLevelPressure,WindSpeed,AirTemperature,VaporPressure,WindDirection,Rainfall24Hr,RelativeHumidity,DewPoint,LandVisibility
48554,NAKHONSI THAMMARAT AGROMET.,นครศรีธรรมราช สกษ.,นครศรีธรรมราช,8.35931,100.00000,1007.18,09-20-2019,16:00:00,1.90,1007.59,7.4,27.2,34.60,120,49.60,96,26.5,7.00
48555,SURAT THANI AGROMET.,สุราษฎร์ธานี สกษ.,สุราษฎร์ธานี,9.10000,99.63333,1005.03,09-20-2019,16:00:00,0.00,1009.22,7.4,28.7,30.26,250,0.00,77,24.2,6.00
48556,PHRA SANG,พระแสง สอท.,สุราษฎร์ธานี,8.57022,99.25825,1005.99,09-20-2019,16:00:00,3.60,1007.60,0.0,27.0,32.77,000,4.20,92,25.6,10.00
48557,CHAWANG,ฉวาง,นครศรีธรรมราช,8.43194,99.51194,1004.12,09-20-2019,16:00:00,0.00,1007.53,11.1,32.5,29.66,340,3.50,61,23.9,8.00
48560,PHATTHALUNG AGROMET.,พัทลุง สกษ.,พัทลุง,7.58333,100.16667,1006.47,09-20-2019,16:00:00,1.10,1007.83,3.7,27.0,31.11,240,2.20,87,24.7,7.00
48561,TAKUA PA,ตะกั่วป่า,พังงา,8.68417,98.25222,1007.03,09-20-2019,16:00:00,0.00,1007.91,0.0,29.5,27.96,000,1.60,68,22.9,10.00
48563,KRABI,กระบี่,กระบี่,8.10361,98.97528,1004.42,09-20-2019,16:00:00,0.00,1007.94,9.3,30.2,30.99,170,2.30,72,24.6,10.00
48564,PHUKET,ภูเก็ต,ภูเก็ต,7.88333,98.40000,1007.36,09-20-2019,16:00:00,0.00,1007.79,9.3,32.5,26.04,270,0.00,53,21.8,10.00
48565,PHUKET AIRPORT,ภูเก็ต (ศูนย์ฯ),ภูเก็ต,8.14500,98.31444,1006.69,09-20-2019,16:00:00,0.00,1007.67,5.6,31.1,29.96,210,0.00,66,24.1,10.00
48566,KO LANTA,เกาะลันตา,กระบี่,7.53333,99.05000,1007.56,09-20-2019,16:00:00,0.00,1008.37,9.3,29.5,30.72,160,0.00,75,24.5,10.00
48567,TRANG AIRPORT,ตรัง,ตรัง,7.51667,99.61667,1006.20,09-20-2019,16:00:00,0.00,1008.00,13.0,30.0,31.72,220,2.60,75,25.0,7.00
48568,SONGKHLA,สงขลา,สงขลา,7.18211,100.60769,1006.61,09-20-2019,16:00:00,0.00,1007.35,5.6,31.6,27.87,140,0.00,60,22.9,8.00
48569,HAT YAI AIRPORT,หาดใหญ่,สงขลา,6.91667,100.43333,1003.76,09-20-2019,16:00:00,0.00,1007.70,13.0,31.2,28.48,240,0.20,63,23.2,8.00
48570,SATUN,สตูล,สตูล,6.65000,100.08333,1007.13,09-20-2019,16:00:00,0.00,1007.80,7.4,30.4,31.68,200,0.20,73,25.0,5.00
48571,KHO HONG AGROMET.,คอหงษ์ สกษ.,สงขลา,7.00000,100.50000,1006.17,09-20-2019,16:00:00,0.00,1007.27,14.8,32.0,27.27,200,0.00,57,22.5,10.00
48574,SA DAO,สะเดา,สงขลา,6.79806,100.39056,1004.97,09-20-2019,16:00:00,0.00,1007.85,5.6,31.2,32.18,240,0.00,71,25.3,8.00
48580,PATTANI AIRPORT,ปัตตานี,ปัตตานี,6.78333,101.15000,1006.39,09-20-2019,16:00:00,0.00,1007.07,5.6,32.2,33.42,180,2.70,70,25.9,5.00
48581,YALA AGROMET.,ยะลา สกษ.,ยะลา,6.51667,101.28333,1003.83,09-20-2019,16:00:00,0.00,1007.90,3.7,30.7,32.01,230,0.40,72,25.2,4.00
48583,NARATHIWAT,นราธิวาส,นราธิวาส,6.41667,101.81667,1007.31,09-20-2019,16:00:00,8.80,1007.90,5.6,26.0,29.50,150,30.70,88,23.8,9.00
