WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,VaporPressure,Date,Time,AirTemperature,Rainfall,DewPoint,MeanSeaLevelPressure,LandVisibility,WindSpeed,RelativeHumidity,WindDirection,Rainfall24Hr,StationPressure
48300,MAE HONG SON,แม่ฮ่องสอน,แม่ฮ่องสอน,19.29897,97.97578,27.95,07-15-2019,16:00:00,33.2,0.00,22.9,1002.33,15.00,0.0,55,000,7.20,972.27
48302,DOI ANG KANG,ดอยอ่างขาง,เชียงใหม่,19.93139,99.04833,20.99,07-15-2019,16:00:00,26.0,0.00,18.3,997.20,8.00,25.9,62,300,1.50,840.95
48303,CHIANG RAI,เชียงราย,เชียงราย,19.96139,99.88139,24.20,07-15-2019,16:00:00,35.4,0.00,20.6,998.95,15.00,16.7,42,200,0.00,957.02
48304,CHAING RAI AGROMET.,เชียงราย สกษ.,เชียงราย,19.87083,99.78278,22.51,07-15-2019,16:00:00,34.5,0.00,19.4,999.02,15.00,9.3,41,220,0.00,955.13
48307,THUNG CHANG,ทุ่งช้าง,น่าน,19.41194,100.88353,26.86,07-15-2019,16:00:00,32.5,0.00,22.3,1000.81,12.00,11.1,55,150,8.80,964.22
48310,PHAYAO,พะเยา,พะเยา,19.13333,99.90000,24.10,07-15-2019,16:00:00,34.2,0.00,20.5,998.73,15.00,9.3,45,250,0.00,955.24
48315,THA WANGPHA,ท่าวังผา,น่าน,19.11056,100.80250,29.13,07-15-2019,16:00:00,34.2,0.00,23.6,1001.56,12.00,0.0,54,000,0.00,975.67
48324,THOEN,เถิน,ลำปาง,17.63661,99.24475,30.16,07-15-2019,16:00:00,31.2,1.10,24.2,1002.00,15.00,5.6,66,350,1.10,980.70
48325,MAE SARIANG,แม่สะเรียง,แม่ฮ่องสอน,18.16667,97.93333,29.47,07-15-2019,16:00:00,30.0,0.00,23.8,1002.98,10.00,0.0,69,000,9.80,979.26
48327,CHIANG MAI,เชียงใหม่,เชียงใหม่,18.79000,98.97694,26.46,07-15-2019,16:00:00,34.0,0.00,22.0,1000.89,10.00,3.7,50,320,9.50,967.46
48328,LAMPANG,ลำปาง,ลำปาง,18.28333,99.51667,27.00,07-15-2019,16:00:00,32.0,0.00,22.3,1000.79,10.00,0.0,57,000,0.00,973.94
48329,LAMPHUN,ลำพูน,ลำพูน,18.56722,99.03389,23.90,07-15-2019,16:00:00,36.1,0.00,20.4,999.69,15.00,0.0,40,000,0.00,967.43
48330,PHRAE,แพร่,แพร่,18.16667,100.16667,25.93,07-15-2019,16:00:00,36.0,0.00,21.7,1000.18,15.00,3.7,44,180,0.40,982.36
48331,NAN,น่าน,น่าน,18.77972,100.77778,25.14,07-15-2019,16:00:00,35.6,0.00,21.2,999.91,10.00,0.0,43,000,1.90,977.91
48333,NAN AGROMET.,น่าน สกษ.,น่าน,18.86667,100.75000,26.60,07-15-2019,16:00:00,34.5,0.00,22.1,999.91,12.00,0.0,49,000,24.90,971.01
48334,LAMPANG AGROMET.,ลำปาง สกษ.,ลำปาง,18.31667,99.28333,23.40,07-15-2019,16:00:00,36.7,0.00,20.0,1000.20,10.00,0.0,38,000,0.00,966.11
48350,LOEI AGROMET.,เลย สกษ.,เลย,17.40000,101.73333,30.07,07-15-2019,16:00:00,33.4,0.00,24.1,1000.26,15.00,14.8,58,320,0.00,971.42
48351,UTTARADIT,อุตรดิตถ์,อุตรดิตถ์,17.61667,100.10000,28.47,07-15-2019,16:00:00,35.7,0.00,23.2,1001.62,11.00,0.0,49,000,0.00,994.56
48352,NONG KHAI,หนองคาย,หนองคาย,17.86717,102.73303,31.88,07-15-2019,16:00:00,34.8,0.00,25.1,1000.73,20.00,7.4,57,250,0.00,981.47
48353,LOEI,เลย,เลย,17.45000,101.73333,28.04,07-15-2019,16:00:00,33.1,0.00,23.0,1001.05,15.00,9.3,55,060,0.00,973.17
48354,UDON THANI,อุดรธานี,อุดรธานี,17.38333,102.80000,27.94,07-15-2019,16:00:00,34.6,0.00,22.9,1001.28,15.00,7.4,51,170,0.10,981.73
48355,SAKON NAKHON AGROMET.,สกลนคร สกษ.,สกลนคร,17.12503,104.06100,29.05,07-15-2019,16:00:00,35.0,0.00,23.6,1001.42,15.00,7.4,52,270,1.20,980.39
