WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,DewPoint,Date,Time,AirTemperature,LandVisibility,Rainfall24Hr,Rainfall,WindSpeed,RelativeHumidity,WindDirection,StationPressure,MeanSeaLevelPressure,VaporPressure
48415,AYUTTHAYA,พระนครศรีอยุธยา,พระนครศรีอยุธยา,14.53472,100.72500,21.8,08-02-2019,04:00:00,24.4,8.00,0.60,0.00,3.7,86,230,1004.45,1005.56,26.17
48416,THA TUM,ท่าตูม,สุรินทร์,15.31667,103.68333,22.9,08-02-2019,04:00:00,25.9,8.00,0.00,0.00,0.0,84,000,990.03,1004.73,28.00
48417,NAKORNNAYOK,นครนายก,นครนายก,14.36222,101.39278,17.3,08-02-2019,04:00:00,17.6,.10,15.90,1.60,16.7,98,280,871.67,1007.53,19.69
48418,BUA CHUM,บัวชุม  ,ลพบุรี,15.26667,101.18736,22.8,08-02-2019,04:00:00,23.5,10.00,10.30,0.00,3.7,96,210,999.38,1005.32,27.66
48419,PATHUMTHANI,ปทุมธานี สกษ.,ปทุมธานี,14.10000,100.61667,20.8,08-02-2019,04:00:00,27.3,8.00,0.00,0.00,5.6,68,240,1007.40,1008.21,24.55
48420,Samut Prakarn,สมุทรปราการ สกษ.,สมุทรปราการ,13.51667,100.76167,23.8,08-02-2019,04:00:00,28.6,10.00,0.00,0.00,9.3,75,230,1005.89,1006.34,29.52
48421,THONG PHAPHUM,ทองผาภูมิ,กาญจนบุรี,14.74222,98.63639,22.4,08-02-2019,04:00:00,23.2,4.00,32.00,0.00,0.0,96,000,997.19,1008.65,27.16
48425,SUPHAN BURI,สุพรรณบุรี,สุพรรณบุรี,14.47444,100.13889,22.2,08-02-2019,04:00:00,25.2,10.00,0.50,0.00,0.0,84,000,1004.75,1005.77,26.78
48426,LOP BURI,ลพบุรี,ลพบุรี,14.79972,100.64500,22.7,08-02-2019,04:00:00,24.3,7.00,1.60,0.00,0.0,91,000,1003.90,1005.74,27.51
48427,U THONG AGROMET.,อู่ทอง สกษ.,สุพรรณบุรี,14.30361,99.86472,21.2,08-02-2019,04:00:00,24.8,7.00,0.01,0.00,0.0,80,000,1004.51,1005.28,25.10
48429,SUVARNABHUMI AIRPORT,สนามบินสุวรรณภูมิ,สมุทรปราการ,13.68639,100.76750,21.2,08-02-2019,04:00:00,26.2,10.00,0.80,0.00,3.7,74,210,1005.68,1006.39,25.20
48430,PRACHIN BURI,ปราจีนบุรี,ปราจีนบุรี,14.05842,101.36930,23.2,08-02-2019,04:00:00,25.8,7.00,15.00,0.20,3.7,85,290,1005.10,1005.81,28.34
48431,NAKHON RATCHASIMA,นครราชสีมา,นครราชสีมา,14.96830,102.08603,22.3,08-02-2019,04:00:00,24.1,10.00,1.00,0.01,7.4,90,270,983.61,1004.92,26.92
48432,SURIN,สุรินทร์,สุรินทร์,14.88333,103.50000,22.4,08-02-2019,04:00:00,24.8,6.00,0.20,0.00,0.0,87,000,987.91,1004.71,27.10
48433,SURIN AGROMET.,สุรินทร์ สกษ.,สุรินทร์,14.88333,103.45000,21.3,08-02-2019,04:00:00,24.5,6.00,0.30,0.00,3.7,82,230,988.68,1005.22,25.35
48434,CHOK CHAI,โชคชัย,นครราชสีมา,14.71889,102.16861,21.3,08-02-2019,04:00:00,24.9,10.00,0.10,0.10,3.7,80,270,982.98,1004.94,25.27
48435,PAKCHONG AGROMET.,ปากช่อง สกษ.,นครราชสีมา,14.64389,101.33194,19.6,08-02-2019,04:00:00,23.5,10.00,1.60,0.01,13.0,79,240,961.99,1005.66,22.80
48436,NANG RONG,นางรอง,บุรีรัมย์,14.58333,102.80000,20.8,08-02-2019,04:00:00,25.8,10.00,0.01,0.00,11.1,74,210,984.10,1004.69,24.53
48437,BURIRUM,บุรีรัมย์,บุรีรัมย์,15.22575,103.24808,22.2,08-02-2019,04:00:00,24.7,8.00,0.20,0.00,14.8,86,240,984.80,1005.75,26.68
48438,SAMUTSONGKRAM,สมุทรสงคราม,สมุทรสงคราม,13.40778,100.03222,21.9,08-02-2019,04:00:00,26.5,10.00,0.01,0.00,3.7,76,290,1005.83,1006.27,26.22
48439,KABIN BURI,กบินทร์บุรี,ปราจีนบุรี,13.98333,101.70722,23.2,08-02-2019,04:00:00,24.1,6.00,12.40,0.30,0.0,95,000,1004.44,1005.87,28.44
48440,SA KAEW,สระแก้ว,สระแก้ว,13.78889,102.03472,23.8,08-02-2019,04:00:00,24.5,6.00,9.20,0.00,0.0,96,000,1001.22,1006.19,29.41
48450,KANCHANA BURI,กาญจนบุรี,กาญจนบุรี,14.02250,99.53583,22.1,08-02-2019,04:00:00,26.4,10.00,0.01,0.00,3.7,77,300,1002.59,1005.89,26.56
48451,NAKHONPATHOM,นครปฐม,นครปฐม,14.01167,99.97000,22.1,08-02-2019,04:00:00,24.9,10.00,0.01,0.00,0.0,84,000,1004.88,1005.99,26.52
48453,BANG NA AGROMET.,กรุงเทพฯ บางนา สกษ.,กรุงเทพมหานคร,13.66639,100.60611,21.9,08-02-2019,04:00:00,27.0,10.00,0.01,0.00,0.0,74,000,1005.76,1006.06,26.32
48455,BANGKOK METROPOLIS,กรุงเทพมหานคร,กรุงเทพมหานคร,13.72639,100.56000,21.1,08-02-2019,04:00:00,26.8,10.00,0.50,0.00,1.9,71,300,1005.89,1006.38,24.96
48456,DON MUANG AIRPORT,สนามบินดอนเมือง,กรุงเทพมหานคร,13.91917,100.60500,21.9,08-02-2019,04:00:00,25.8,10.00,0.20,0.01,11.1,79,260,1005.40,1006.82,26.28
48458,CHACHOENGSAO,ฉะเชิงเทรา,ฉะเชิงเทรา,13.51556,101.45833,23.2,08-02-2019,04:00:00,24.1,10.00,2.70,0.00,0.0,95,000,999.36,1007.44,28.44
48459,CHON BURI,ชลบุรี,ชลบุรี,13.36667,100.98333,24.0,08-02-2019,04:00:00,27.8,10.00,2.20,0.00,3.7,80,300,1006.04,1006.33,29.90
48460,KO SICHANG,เกาะสีชัง,ชลบุรี,13.16167,100.80194,23.2,08-02-2019,04:00:00,28.2,10.00,0.00,0.00,5.6,75,220,1003.24,1006.36,28.49
48461,PHATTHAYA,พัทยา,ชลบุรี,12.92000,100.86944,22.9,08-02-2019,04:00:00,28.5,10.00,0.00,0.00,7.4,72,210,999.47,1006.37,27.97
48462,ARANYA PRATHET,อรัญประเทศ,สระแก้ว,13.70000,102.58333,23.1,08-02-2019,04:00:00,25.0,7.00,14.20,0.00,0.0,89,000,1000.25,1005.88,28.22
48464,RATCHA BURI,ราชบุรี,ราชบุรี,13.48931,99.79239,22.5,08-02-2019,04:00:00,24.7,10.00,0.01,0.01,0.0,87,000,1006.32,1007.59,27.19
48465,PHETCHA BURI,เพชรบุรี,เพชรบุรี,12.99944,100.06056,21.5,08-02-2019,04:00:00,27.5,11.00,0.00,0.00,0.0,70,000,1005.75,1006.18,25.65
48474,NONG PHLUB AGROMET.,หนองพลับ สกษ.,ประจวบคีรีขันธ์,12.58333,99.73333,23.4,08-02-2019,04:00:00,24.7,8.00,9.80,0.00,0.0,92,000,994.50,1006.85,28.72
48475,HUA HIN,หัวหิน,ประจวบคีรีขันธ์,12.58611,99.96250,24.1,08-02-2019,04:00:00,26.9,10.00,3.70,0.00,0.0,85,000,1005.91,1006.62,30.10
