WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,Date,Time,MeanSeaLevelPressure,WindSpeed,RelativeHumidity,WindDirection,Rainfall,LandVisibility,VaporPressure,DewPoint,AirTemperature,StationPressure,Rainfall24Hr
48300,MAE HONG SON,แม่ฮ่องสอน,แม่ฮ่องสอน,19.29897,97.97578,07-20-2019,22:00:00,1004.35,0.0,80,000,0.00,10.00,32.18,25.3,29.1,973.83,0.00
48302,DOI ANG KANG,ดอยอ่างขาง,เชียงใหม่,19.93139,99.04833,07-20-2019,22:00:00,1003.22,3.7,82,260,0.00,8.00,21.30,18.5,21.7,843.97,0.00
48303,CHIANG RAI,เชียงราย,เชียงราย,19.96139,99.88139,07-20-2019,22:00:00,1003.23,3.7,71,010,0.00,15.00,29.13,23.6,29.4,960.30,0.00
48304,CHAING RAI AGROMET.,เชียงราย สกษ.,เชียงราย,19.87083,99.78278,07-20-2019,22:00:00,1003.44,0.0,79,000,0.00,12.00,31.69,25.0,29.0,958.57,0.00
48307,THUNG CHANG,ทุ่งช้าง,น่าน,19.41194,100.88353,07-20-2019,22:00:00,1003.78,0.0,61,000,0.00,7.00,25.30,21.3,29.5,966.73,0.00
48310,PHAYAO,พะเยา,พะเยา,19.13333,99.90000,07-20-2019,22:00:00,1004.04,0.0,92,000,11.60,10.00,29.91,24.0,25.5,959.08,11.60
48315,THA WANGPHA,ท่าวังผา,น่าน,19.11056,100.80250,07-20-2019,22:00:00,1004.67,0.0,75,000,0.00,8.00,33.81,26.1,31.0,978.44,0.00
48324,THOEN,เถิน,ลำปาง,17.63661,99.24475,07-20-2019,22:00:00,1004.78,0.0,68,000,0.00,12.00,29.89,24.0,30.5,983.37,0.01
48325,MAE SARIANG,แม่สะเรียง,แม่ฮ่องสอน,18.16667,97.93333,07-20-2019,22:00:00,1006.50,0.0,82,000,0.00,8.00,31.70,25.0,28.3,982.57,0.00
48327,CHIANG MAI,เชียงใหม่,เชียงใหม่,18.79000,98.97694,07-20-2019,22:00:00,1004.20,5.6,73,150,0.01,10.00,29.19,23.6,29.0,970.12,0.01
48328,LAMPANG,ลำปาง,ลำปาง,18.28333,99.51667,07-20-2019,22:00:00,1004.91,0.0,62,000,0.00,10.00,30.12,24.2,32.3,977.98,0.00
48329,LAMPHUN,ลำพูน,ลำพูน,18.56722,99.03389,07-20-2019,22:00:00,1004.42,9.3,91,130,13.20,10.00,30.76,24.5,26.1,970.95,13.20
48330,PHRAE,แพร่,แพร่,18.16667,100.16667,07-20-2019,22:00:00,1004.36,0.0,68,000,0.00,10.00,29.89,24.0,30.5,986.14,0.00
48331,NAN,น่าน,น่าน,18.77972,100.77778,07-20-2019,22:00:00,1004.35,0.0,60,000,0.00,10.00,28.27,23.1,31.8,981.99,0.00
48333,NAN AGROMET.,น่าน สกษ.,น่าน,18.86667,100.75000,07-20-2019,22:00:00,1004.29,0.0,68,000,0.00,10.00,29.81,24.0,30.6,974.90,0.00
48334,LAMPANG AGROMET.,ลำปาง สกษ.,ลำปาง,18.31667,99.28333,07-20-2019,22:00:00,1004.73,0.0,60,000,0.00,8.00,28.66,23.3,32.0,969.98,0.00
