WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,Rainfall,Date,Time,Rainfall24Hr,MaximumTemperature,WindSpeed,RelativeHumidity,WindDirection,VaporPressure,StationPressure,DewPoint,AirTemperature,MeanSeaLevelPressure,LandVisibility
48300,MAE HONG SON,แม่ฮ่องสอน,แม่ฮ่องสอน,19.29897,97.97578,0.80,08-04-2019,19:00:00,8.80,26.7,0.0,92,000,30.84,969.24,24.6,26.0,999.94,7.00
48302,DOI ANG KANG,ดอยอ่างขาง,เชียงใหม่,19.93139,99.04833,3.70,08-04-2019,19:00:00,36.20,18.5,37.0,100,270,20.88,837.79,18.2,18.2,997.89,.10
48303,CHIANG RAI,เชียงราย,เชียงราย,19.96139,99.88139,6.90,08-04-2019,19:00:00,27.60,25.8,9.3,92,190,27.51,954.07,22.7,24.0,997.51,8.00
48304,CHAING RAI AGROMET.,เชียงราย สกษ.,เชียงราย,19.87083,99.78278,5.00,08-04-2019,19:00:00,35.00,26.2,0.0,96,000,28.53,952.54,23.3,24.0,997.89,4.00
48307,THUNG CHANG,ทุ่งช้าง,น่าน,19.41194,100.88353,8.40,08-04-2019,19:00:00,73.60,24.0,5.6,100,220,28.07,961.44,23.0,23.0,999.11,6.00
48310,PHAYAO,พะเยา,พะเยา,19.13333,99.90000,7.60,08-04-2019,19:00:00,56.40,26.5,7.4,98,130,28.60,953.71,23.3,23.6,998.71,6.00
48315,THA WANGPHA,ท่าวังผา,น่าน,19.11056,100.80250,12.90,08-04-2019,19:00:00,72.50,25.2,5.6,95,130,27.92,973.05,22.9,23.8,999.78,5.00
48324,THOEN,เถิน,ลำปาง,17.63661,99.24475,1.30,08-04-2019,19:00:00,3.50,28.1,5.6,93,120,30.25,978.83,24.2,25.4,1000.51,8.00
48325,MAE SARIANG,แม่สะเรียง,แม่ฮ่องสอน,18.16667,97.93333,0.60,08-04-2019,19:00:00,5.10,27.5,0.0,93,000,30.07,976.53,24.1,25.3,1000.56,6.00
48327,CHIANG MAI,เชียงใหม่,เชียงใหม่,18.79000,98.97694,2.40,08-04-2019,19:00:00,15.20,26.3,0.0,92,000,29.08,965.87,23.6,24.9,1000.28,8.00
48328,LAMPANG,ลำปาง,ลำปาง,18.28333,99.51667,0.80,08-04-2019,19:00:00,10.90,25.4,0.0,96,000,29.41,972.80,23.8,24.5,1000.30,7.00
48329,LAMPHUN,ลำพูน,ลำพูน,18.56722,99.03389,2.60,08-04-2019,19:00:00,13.80,26.7,0.0,93,000,29.52,966.62,23.8,25.0,1000.07,10.00
48330,PHRAE,แพร่,แพร่,18.16667,100.16667,2.90,08-04-2019,19:00:00,17.20,25.5,3.7,97,240,29.67,981.84,23.9,24.5,1000.34,4.00
48331,NAN,น่าน,น่าน,18.77972,100.77778,11.00,08-04-2019,19:00:00,58.30,25.0,0.0,97,000,28.61,976.93,23.3,23.9,999.77,10.00
48333,NAN AGROMET.,น่าน สกษ.,น่าน,18.86667,100.75000,8.10,08-04-2019,19:00:00,52.20,25.0,0.0,96,000,27.66,969.85,22.8,23.5,999.79,6.00
48334,LAMPANG AGROMET.,ลำปาง สกษ.,ลำปาง,18.31667,99.28333,0.60,08-04-2019,19:00:00,10.60,26.0,0.0,96,000,30.32,965.14,24.3,25.0,1000.55,5.00
48350,LOEI AGROMET.,เลย สกษ.,เลย,17.40000,101.73333,0.00,08-04-2019,19:00:00,20.30,28.3,7.4,83,140,27.74,971.99,22.8,25.9,1001.58,15.00
48351,UTTARADIT,อุตรดิตถ์,อุตรดิตถ์,17.61667,100.10000,1.80,08-04-2019,19:00:00,9.00,27.0,0.0,93,000,30.25,993.62,24.2,25.4,1000.92,7.00
48352,NONG KHAI,หนองคาย,หนองคาย,17.86717,102.73303,0.00,08-04-2019,19:00:00,11.80,28.4,0.0,86,000,32.12,980.63,25.2,27.8,1000.33,12.00
48353,LOEI,เลย,เลย,17.45000,101.73333,0.00,08-04-2019,19:00:00,11.80,29.2,0.0,71,000,25.30,972.45,21.3,27.0,1000.89,13.00
48354,UDON THANI,อุดรธานี,อุดรธานี,17.38333,102.80000,0.00,08-04-2019,19:00:00,0.60,31.7,5.6,67,230,27.32,980.39,22.5,29.3,1000.26,15.00
48355,SAKON NAKHON AGROMET.,สกลนคร สกษ.,สกลนคร,17.12503,104.06100,0.00,08-04-2019,19:00:00,3.60,30.4,0.0,85,000,30.29,979.73,24.3,27.0,1001.32,10.00
48356,SAKON NAKHON,สกลนคร,สกลนคร,17.15000,104.13333,0.00,08-04-2019,19:00:00,4.00,29.8,1.9,84,030,30.02,981.71,24.1,27.0,1001.07,12.00
48357,NAKHON PHANOM,นครพนม,นครพนม,17.41083,104.78250,11.30,08-04-2019,19:00:00,14.20,28.0,0.0,92,000,29.00,985.52,23.5,25.0,1002.29,10.00
48358,NAKHON PHANOM AGROMET.,นครพนม สกษ.,นครพนม,17.44306,104.77361,0.30,08-04-2019,19:00:00,16.40,27.9,0.0,93,000,31.38,985.07,24.8,26.0,1002.45,7.00
48360,NONG BUA LAM PHU,หนองบัวลำภู,หนองบัวลำภู,17.23250,102.42944,0.00,08-04-2019,19:00:00,1.30,31.0,9.3,67,290,26.77,973.77,22.2,29.0,999.16,12.00
48372,SUKHOTHAI*,สุโขทัย,สุโขทัย,17.10611,99.80000,0.00,08-04-2019,19:00:00,0.20,30.7,9.3,75,250,28.49,995.00,23.2,28.2,1000.73,10.00
48373,SI SAMRONG AGROMET.,ศรีสำโรง สกษ.,สุโขทัย,17.16136,99.86167,0.01,08-04-2019,19:00:00,0.20,30.6,11.1,77,240,28.45,994.53,23.2,27.6,1000.67,7.00
48374,LOM SAK,หล่มสัก,เพชรบูรณ์,16.77361,101.24944,0.40,08-04-2019,19:00:00,1.00,31.0,0.0,83,000,29.85,985.34,24.0,27.2,1001.67,10.00
48375,MAE SOT,แม่สอด,ตาก,16.65917,98.55083,5.30,08-04-2019,19:00:00,28.60,28.8,3.7,93,150,28.28,978.37,23.1,24.3,1000.75,10.00
48376,TAK,ตาก,ตาก,16.87833,99.14333,1.80,08-04-2019,19:00:00,2.20,29.9,5.6,83,260,27.39,986.82,22.6,25.7,1001.19,6.00
