WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,AirTemperature,Date,Time,Rainfall,MaximumTemperature,MeanSeaLevelPressure,DewPoint,WindSpeed,WindDirection,StationPressure,RelativeHumidity,Rainfall24Hr,VaporPressure,LandVisibility
48300,MAE HONG SON,แม่ฮ่องสอน,แม่ฮ่องสอน,19.29897,97.97578,25.9,10-14-2019,19:00:00,0.10,28.4,1012.12,23.9,3.7,270,981.04,89,4.60,29.58,8.00
48302,DOI ANG KANG,ดอยอ่างขาง,เชียงใหม่,19.93139,99.04833,20.8,10-14-2019,19:00:00,0.00,25.4,1011.00,19.5,22.2,270,850.08,93,6.70,22.71,8.00
48303,CHIANG RAI,เชียงราย,เชียงราย,19.96139,99.88139,24.5,10-14-2019,19:00:00,0.00,29.4,1013.64,23.2,7.4,050,969.57,92,29.90,28.37,10.00
48304,CHAING RAI AGROMET.,เชียงราย สกษ.,เชียงราย,19.87083,99.78278,25.0,10-14-2019,19:00:00,0.00,30.0,1014.08,22.8,0.0,000,968.15,88,12.50,27.70,15.00
48307,THUNG CHANG,ทุ่งช้าง,น่าน,19.41194,100.88353,23.5,10-14-2019,19:00:00,0.30,29.7,1013.99,23.5,0.0,000,975.82,100,27.30,28.94,8.00
48310,PHAYAO,พะเยา,พะเยา,19.13333,99.90000,25.0,10-14-2019,19:00:00,0.00,30.1,1014.42,24.1,3.7,330,968.92,95,6.80,30.05,10.00
48315,THA WANGPHA,ท่าวังผา,น่าน,19.11056,100.80250,27.0,10-14-2019,19:00:00,0.00,31.4,1013.35,24.8,0.0,000,986.54,88,0.90,31.38,10.00
48324,THOEN,เถิน,ลำปาง,17.63661,99.24475,27.8,10-14-2019,19:00:00,0.00,33.7,1011.82,24.2,5.6,080,990.07,81,0.00,30.17,13.00
48325,MAE SARIANG,แม่สะเรียง,แม่ฮ่องสอน,18.16667,97.93333,25.3,10-14-2019,19:00:00,0.00,28.0,1012.25,23.8,0.0,000,987.94,92,3.20,29.54,8.00
48327,CHIANG MAI,เชียงใหม่,เชียงใหม่,18.79000,98.97694,23.8,10-14-2019,19:00:00,0.00,29.4,1013.58,22.6,0.0,000,978.59,93,61.10,27.42,10.00
48328,LAMPANG,ลำปาง,ลำปาง,18.28333,99.51667,25.2,10-14-2019,19:00:00,0.00,32.0,1012.89,24.5,0.0,000,985.10,96,10.80,30.69,10.00
