WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,Date,Time,Rainfall,MeanSeaLevelPressure,WindSpeed,AirTemperature,DewPoint,WindDirection,Rainfall24Hr,RelativeHumidity,VaporPressure,LandVisibility,StationPressure
48300,MAE HONG SON,แม่ฮ่องสอน,แม่ฮ่องสอน,19.29897,97.97578,10-02-2019,04:00:00,0.00,1010.63,0.0,24.0,23.0,000,0.00,94,28.01,6.00,979.40
48302,DOI ANG KANG,ดอยอ่างขาง,เชียงใหม่,19.93139,99.04833,10-02-2019,04:00:00,0.00,1007.38,7.4,18.2,17.2,300,0.00,94,19.62,8.00,845.76
48303,CHIANG RAI,เชียงราย,เชียงราย,19.96139,99.88139,10-02-2019,04:00:00,0.00,1009.88,0.0,24.9,21.1,000,0.00,80,25.02,8.00,966.03
48304,CHAING RAI AGROMET.,เชียงราย สกษ.,เชียงราย,19.87083,99.78278,10-02-2019,04:00:00,0.00,1010.24,0.0,22.5,21.7,000,0.00,95,26.01,12.00,964.10
48307,THUNG CHANG,ทุ่งช้าง,น่าน,19.41194,100.88353,10-02-2019,04:00:00,0.00,1011.16,0.0,22.5,22.3,000,0.00,99,26.99,4.00,972.97
48310,PHAYAO,พะเยา,พะเยา,19.13333,99.90000,10-02-2019,04:00:00,0.00,1010.48,0.0,24.2,23.6,000,0.00,97,29.13,7.00,965.04
48315,THA WANGPHA,ท่าวังผา,น่าน,19.11056,100.80250,10-02-2019,04:00:00,0.00,1011.05,0.0,23.5,22.4,000,0.00,94,27.16,5.00,983.99
48324,THOEN,เถิน,ลำปาง,17.63661,99.24475,10-02-2019,04:00:00,0.00,1010.22,0.0,24.5,23.3,000,0.00,93,28.63,10.00,988.26
48325,MAE SARIANG,แม่สะเรียง,แม่ฮ่องสอน,18.16667,97.93333,10-02-2019,04:00:00,0.00,1010.69,0.0,24.5,23.8,000,0.00,96,29.41,6.00,986.36
48327,CHIANG MAI,เชียงใหม่,เชียงใหม่,18.79000,98.97694,10-02-2019,04:00:00,0.00,1010.81,0.0,23.3,22.1,000,12.20,93,26.58,10.00,975.86
48328,LAMPANG,ลำปาง,ลำปาง,18.28333,99.51667,10-02-2019,04:00:00,0.00,1010.60,0.0,24.5,23.8,000,0.30,96,29.41,10.00,982.82
48329,LAMPHUN,ลำพูน,ลำพูน,18.56722,99.03389,10-02-2019,04:00:00,0.00,1011.02,0.0,23.5,22.8,000,0.00,96,27.66,8.00,977.04
48330,PHRAE,แพร่,แพร่,18.16667,100.16667,10-02-2019,04:00:00,0.00,1009.56,0.0,24.8,23.6,000,0.00,93,29.16,3.00,990.90
48331,NAN,น่าน,น่าน,18.77972,100.77778,10-02-2019,04:00:00,0.00,1010.50,0.0,24.1,23.1,000,0.00,94,28.19,7.00,987.42
48333,NAN AGROMET.,น่าน สกษ.,น่าน,18.86667,100.75000,10-02-2019,04:00:00,0.00,1009.77,0.0,23.2,22.1,000,0.00,94,26.66,5.00,979.49
48334,LAMPANG AGROMET.,ลำปาง สกษ.,ลำปาง,18.31667,99.28333,10-02-2019,04:00:00,0.00,1010.38,0.0,23.5,22.8,000,0.80,96,27.66,6.00,974.45
48350,LOEI AGROMET.,เลย สกษ.,เลย,17.40000,101.73333,10-02-2019,04:00:00,0.00,1009.46,0.0,22.2,21.7,000,0.00,97,26.01,1.00,979.27
48351,UTTARADIT,อุตรดิตถ์,อุตรดิตถ์,17.61667,100.10000,10-02-2019,04:00:00,0.00,1009.37,0.0,26.3,24.6,000,0.00,90,30.86,7.00,1002.03
48352,NONG KHAI,หนองคาย,หนองคาย,17.86717,102.73303,10-02-2019,04:00:00,0.00,1009.73,0.0,26.5,24.3,000,0.00,88,30.43,5.00,989.76
48354,UDON THANI,อุดรธานี,อุดรธานี,17.38333,102.80000,10-02-2019,04:00:00,0.00,1009.72,0.0,25.4,23.2,000,0.00,88,28.41,7.00,989.40
48355,SAKON NAKHON AGROMET.,สกลนคร สกษ.,สกลนคร,17.12503,104.06100,10-02-2019,04:00:00,0.00,1010.41,0.0,23.9,22.6,000,0.00,92,27.34,5.00,988.40
48356,SAKON NAKHON,สกลนคร,สกลนคร,17.15000,104.13333,10-02-2019,04:00:00,0.00,1010.08,0.0,25.0,23.2,000,0.00,90,28.48,7.00,990.41
48357,NAKHON PHANOM,นครพนม,นครพนม,17.41083,104.78250,10-02-2019,04:00:00,0.00,1010.57,0.0,25.0,22.0,000,0.00,83,26.43,7.00,993.66
48358,NAKHON PHANOM AGROMET.,นครพนม สกษ.,นครพนม,17.44306,104.77361,10-02-2019,04:00:00,0.00,1011.02,0.0,23.0,22.2,000,0.00,96,26.83,5.00,993.31
48360,NONG BUA LAM PHU,หนองบัวลำภู,หนองบัวลำภู,17.23250,102.42944,10-02-2019,04:00:00,0.00,1008.57,0.0,25.0,22.8,000,0.00,88,27.70,6.00,982.60
48372,SUKHOTHAI*,สุโขทัย,สุโขทัย,17.10611,99.80000,10-02-2019,04:00:00,0.00,1009.18,0.0,27.0,25.6,000,0.00,92,32.77,8.00,1003.38
48373,SI SAMRONG AGROMET.,ศรีสำโรง สกษ.,สุโขทัย,17.16136,99.86167,10-02-2019,04:00:00,0.00,1007.50,0.0,26.3,24.9,000,0.00,92,31.41,6.00,1001.30
48374,LOM SAK,หล่มสัก,เพชรบูรณ์,16.77361,101.24944,10-02-2019,04:00:00,0.00,1010.78,0.0,25.5,23.3,000,0.00,88,28.59,8.00,994.21
48375,MAE SOT,แม่สอด,ตาก,16.65917,98.55083,10-02-2019,04:00:00,0.00,1009.51,3.7,23.5,22.3,160,0.00,93,26.91,8.00,986.88
48376,TAK,ตาก,ตาก,16.87833,99.14333,10-02-2019,04:00:00,0.00,1010.39,0.0,25.0,22.5,000,0.00,86,27.19,7.00,995.86
48377,BHUMIBOL DAM,เขื่อนภูมิพล,ตาก,17.24389,99.00250,10-02-2019,04:00:00,0.00,1009.95,0.0,25.0,23.8,000,0.00,93,29.52,8.00,993.41
48378,PHITSANULOK,พิษณุโลก,พิษณุโลก,16.79481,100.27930,10-02-2019,04:00:00,0.00,1009.77,0.0,25.5,24.3,000,0.00,93,30.44,6.00,1004.50
48379,PHETCHABUN,เพชรบูรณ์,เพชรบูรณ์,16.43333,101.15000,10-02-2019,04:00:00,0.00,1008.64,0.0,26.1,24.1,000,0.00,89,29.95,8.00,995.38
48380,KAMPHAENG PHET,กำแพงเพชร,กำแพงเพชร,16.48681,99.52697,10-02-2019,04:00:00,0.00,1009.88,0.0,25.8,24.9,000,2.40,95,31.55,6.00,1000.49
48381,KHON KAEN,ขอนแก่น,ขอนแก่น,16.46111,102.78972,10-02-2019,04:00:00,0.00,1010.08,1.9,25.7,24.2,080,0.00,92,30.28,7.00,988.24
48382,MAHASARAKHAM,มหาสารคาม,มหาสารคาม,16.24722,103.06805,10-02-2019,04:00:00,0.00,1008.08,0.0,26.5,22.8,000,0.00,80,27.77,8.00,990.53
48383,MUKDAHAN,มุกดาหาร,มุกดาหาร,16.54139,104.72889,10-02-2019,04:00:00,0.00,1008.82,0.0,25.0,23.5,000,0.00,92,29.00,10.00,992.86
48384,THA PHRA AGROMET.,ท่าพระ สกษ.,ขอนแก่น,16.33333,102.81667,10-02-2019,04:00:00,0.00,1009.31,0.0,24.9,23.9,000,0.00,94,29.61,5.00,990.25
48385,UMPHANG,อุ้มผาง,ตาก,16.02472,98.86444,10-02-2019,04:00:00,0.00,1012.58,0.0,23.0,21.8,000,16.70,93,26.09,5.00,960.62
48386,PICHIT AGROMET.,พิจิตร สกษ.,พิจิตร,16.43806,100.29250,10-02-2019,04:00:00,0.00,1009.64,0.0,27.2,26.2,000,0.00,94,34.03,3.00,1005.68
48387,DOI MU SOE AGROMET.,ดอยมูเซอร์ สกษ.,ตาก,16.75000,98.93333,10-02-2019,04:00:00,0.00,1012.10,0.0,19.4,18.6,000,0.00,95,21.41,4.00,915.89
48390,KALASIN,กาฬสินธุ์,กาฬสินธุ์,16.33250,103.58833,10-02-2019,04:00:00,0.00,1010.37,0.0,25.2,24.5,000,0.00,96,30.69,6.00,994.24
48400,NAKHON SAWAN,นครสวรรค์ ,นครสวรรค์,15.67183,100.13236,10-02-2019,04:00:00,0.00,1009.67,7.4,27.7,25.7,170,0.00,89,33.05,5.00,1005.63
48401,TAKFA AGROMET.,ตากฟ้า สกษ.,นครสวรรค์,15.34944,100.53028,10-02-2019,04:00:00,0.00,1010.80,0.0,26.5,25.4,000,0.30,93,32.35,5.00,1000.07
48402,CHAINAT AGROMET.,ชัยนาท สกษ.,ชัยนาท,15.15000,100.18333,10-02-2019,04:00:00,0.00,1010.41,0.0,27.5,25.4,000,0.40,88,32.36,6.00,1008.48
