WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,Rainfall,Date,Time,LandVisibility,WindSpeed,WindDirection,Rainfall24Hr,MeanSeaLevelPressure,RelativeHumidity,StationPressure,AirTemperature,DewPoint,VaporPressure
48300,MAE HONG SON,แม่ฮ่องสอน,แม่ฮ่องสอน,19.29897,97.97578,0.01,08-07-2019,10:00:00,7.00,0.0,000,6.30,1006.56,88,975.72,26.7,24.5,30.81
48302,DOI ANG KANG,ดอยอ่างขาง,เชียงใหม่,19.93139,99.04833,0.00,08-07-2019,10:00:00,8.00,3.7,270,14.90,1003.84,95,843.68,20.0,19.2,22.24
48303,CHIANG RAI,เชียงราย,เชียงราย,19.96139,99.88139,0.00,08-07-2019,10:00:00,10.00,7.4,210,10.30,1005.34,71,962.35,29.6,23.7,29.24
48304,CHAING RAI AGROMET.,เชียงราย สกษ.,เชียงราย,19.87083,99.78278,0.00,08-07-2019,10:00:00,15.00,0.0,000,0.00,1005.43,69,960.47,29.0,22.7,27.56
48307,THUNG CHANG,ทุ่งช้าง,น่าน,19.41194,100.88353,0.00,08-07-2019,10:00:00,10.00,0.0,000,0.40,1005.95,74,968.75,29.0,23.9,29.74
48310,PHAYAO,พะเยา,พะเยา,19.13333,99.90000,0.00,08-07-2019,10:00:00,12.00,5.6,200,0.00,1005.63,71,961.11,29.0,23.2,28.37
48315,THA WANGPHA,ท่าวังผา,น่าน,19.11056,100.80250,0.00,08-07-2019,10:00:00,12.00,0.0,000,0.00,1006.33,77,979.95,29.8,25.4,32.46
48324,THOEN,เถิน,ลำปาง,17.63661,99.24475,0.40,08-07-2019,10:00:00,10.00,5.6,200,5.70,1006.79,81,985.12,27.5,23.9,29.60
48325,MAE SARIANG,แม่สะเรียง,แม่ฮ่องสอน,18.16667,97.93333,0.20,08-07-2019,10:00:00,6.00,0.0,000,22.90,1007.36,84,983.29,26.8,23.9,29.64
48327,CHIANG MAI,เชียงใหม่,เชียงใหม่,18.79000,98.97694,0.00,08-07-2019,10:00:00,10.00,3.7,230,0.60,1006.26,76,971.98,27.8,23.3,28.55
48328,LAMPANG,ลำปาง,ลำปาง,18.28333,99.51667,0.20,08-07-2019,10:00:00,10.00,0.0,000,0.70,1007.33,86,979.82,26.5,24.0,29.89
48329,LAMPHUN,ลำพูน,ลำพูน,18.56722,99.03389,0.00,08-07-2019,10:00:00,10.00,0.0,000,1.20,1006.38,81,973.00,27.5,23.9,29.60
48330,PHRAE,แพร่,แพร่,18.16667,100.16667,0.00,08-07-2019,10:00:00,12.00,5.6,270,0.00,1006.15,77,987.84,29.4,24.8,31.36
48331,NAN,น่าน,น่าน,18.77972,100.77778,0.00,08-07-2019,10:00:00,10.00,0.0,000,0.00,1005.88,71,983.31,29.5,23.7,29.33
48333,NAN AGROMET.,น่าน สกษ.,น่าน,18.86667,100.75000,0.00,08-07-2019,10:00:00,12.00,0.0,000,0.00,1005.71,72,976.18,29.5,23.9,29.60
48334,LAMPANG AGROMET.,ลำปาง สกษ.,ลำปาง,18.31667,99.28333,1.00,08-07-2019,10:00:00,8.00,0.0,000,3.20,1005.61,92,970.14,26.0,24.6,30.84
48350,LOEI AGROMET.,เลย สกษ.,เลย,17.40000,101.73333,0.00,08-07-2019,10:00:00,14.00,7.4,200,0.00,1004.38,66,975.23,31.3,24.1,30.08
48351,UTTARADIT,อุตรดิตถ์,อุตรดิตถ์,17.61667,100.10000,0.00,08-07-2019,10:00:00,10.00,0.0,000,0.00,1006.50,71,999.29,30.7,24.7,31.15
48352,NONG KHAI,หนองคาย,หนองคาย,17.86717,102.73303,0.00,08-07-2019,10:00:00,16.00,11.1,270,0.00,1004.34,68,984.86,32.4,25.7,32.96
48353,LOEI,เลย,เลย,17.45000,101.73333,0.00,08-07-2019,10:00:00,15.00,16.7,300,0.00,1004.88,54,976.75,31.6,21.2,25.16
48354,UDON THANI,อุดรธานี,อุดรธานี,17.38333,102.80000,0.00,08-07-2019,10:00:00,15.00,14.8,280,0.00,1004.75,62,984.96,31.8,23.6,29.11
