WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,WindSpeed,Date,Time,DewPoint,RelativeHumidity,StationPressure,Rainfall24Hr,AirTemperature,Rainfall,LandVisibility,WindDirection,MeanSeaLevelPressure,VaporPressure
48565,PHUKET AIRPORT,ภูเก็ต (ศูนย์ฯ),ภูเก็ต,8.14500,98.31444,9.3,09-14-2019,16:00:00,23.3,78,1007.34,6.70,27.5,6.70,8.00,280,1008.33,28.53
48566,KO LANTA,เกาะลันตา,กระบี่,7.53333,99.05000,0.0,09-14-2019,16:00:00,23.8,84,1008.20,8.80,26.7,2.80,9.00,000,1009.02,29.45
48567,TRANG AIRPORT,ตรัง,ตรัง,7.51667,99.61667,0.0,09-14-2019,16:00:00,24.7,82,1007.11,2.50,28.0,1.20,12.00,000,1008.92,31.11
48568,SONGKHLA,สงขลา,สงขลา,7.18211,100.60769,7.4,09-14-2019,16:00:00,22.4,64,1007.26,1.50,29.9,0.00,12.00,230,1008.01,27.09
48569,HAT YAI AIRPORT,หาดใหญ่,สงขลา,6.91667,100.43333,13.0,09-14-2019,16:00:00,23.0,74,1004.37,0.01,28.1,0.00,10.00,240,1008.35,28.04
48570,SATUN,สตูล,สตูล,6.65000,100.08333,0.0,09-14-2019,16:00:00,23.8,80,1007.97,1.20,27.6,0.70,10.00,000,1008.66,29.52
48571,KHO HONG AGROMET.,คอหงษ์ สกษ.,สงขลา,7.00000,100.50000,13.0,09-14-2019,16:00:00,23.1,70,1007.20,14.20,29.2,0.00,10.00,270,1008.31,28.21
48574,SA DAO,สะเดา,สงขลา,6.79806,100.39056,9.3,09-14-2019,16:00:00,24.0,82,1005.96,1.00,27.3,0.00,10.00,220,1008.88,29.77
48580,PATTANI AIRPORT,ปัตตานี,ปัตตานี,6.78333,101.15000,5.6,09-14-2019,16:00:00,23.2,87,1007.52,5.90,25.6,3.80,11.00,240,1008.21,28.51
48581,YALA AGROMET.,ยะลา สกษ.,ยะลา,6.51667,101.28333,0.0,09-14-2019,16:00:00,24.1,94,1005.08,9.50,25.1,9.50,7.00,000,1009.24,29.97
48583,NARATHIWAT,นราธิวาส,นราธิวาส,6.41667,101.81667,0.0,09-14-2019,16:00:00,22.3,84,1007.78,6.50,25.3,6.50,8.00,000,1008.37,26.95
