WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,DewPoint,Date,Time,WindDirection,WindSpeed,Rainfall24Hr,MaximumTemperature,MeanSeaLevelPressure,VaporPressure,LandVisibility,Rainfall,RelativeHumidity,AirTemperature,StationPressure
48300,MAE HONG SON,แม่ฮ่องสอน,แม่ฮ่องสอน,19.29897,97.97578,24.8,08-30-2019,19:00:00,000,0.0,0.10,32.7,999.39,31.35,10.00,0.01,90,26.7,968.78
48302,DOI ANG KANG,ดอยอ่างขาง,เชียงใหม่,19.93139,99.04833,17.1,08-30-2019,19:00:00,000,0.0,0.00,24.5,998.30,19.48,8.00,0.00,76,21.5,839.74
48303,CHIANG RAI,เชียงราย,เชียงราย,19.96139,99.88139,23.7,08-30-2019,19:00:00,010,7.4,0.01,34.3,997.15,29.35,12.00,0.00,64,31.5,954.77
48304,CHAING RAI AGROMET.,เชียงราย สกษ.,เชียงราย,19.87083,99.78278,23.1,08-30-2019,19:00:00,000,0.0,1.80,34.1,997.14,28.20,15.00,0.00,62,31.2,952.87
48307,THUNG CHANG,ทุ่งช้าง,น่าน,19.41194,100.88353,24.8,08-30-2019,19:00:00,000,0.0,11.30,31.5,998.89,31.25,8.00,1.10,96,25.5,961.54
48310,PHAYAO,พะเยา,พะเยา,19.13333,99.90000,25.6,08-30-2019,19:00:00,000,0.0,2.30,32.0,998.31,32.84,7.00,0.30,89,27.6,953.91
48315,THA WANGPHA,ท่าวังผา,น่าน,19.11056,100.80250,25.3,08-30-2019,19:00:00,000,0.0,3.30,33.6,998.94,32.18,10.00,0.70,92,26.7,972.48
48324,THOEN,เถิน,ลำปาง,17.63661,99.24475,27.0,08-30-2019,19:00:00,000,0.0,7.50,31.5,998.63,35.56,6.00,1.60,95,27.8,977.16
48325,MAE SARIANG,แม่สะเรียง,แม่ฮ่องสอน,18.16667,97.93333,26.7,08-30-2019,19:00:00,000,0.0,0.01,32.5,999.33,35.13,8.00,0.01,86,29.4,975.65
48327,CHIANG MAI,เชียงใหม่,เชียงใหม่,18.79000,98.97694,24.0,08-30-2019,19:00:00,160,3.7,4.60,31.4,998.82,29.85,10.00,0.10,83,27.2,964.72
48328,LAMPANG,ลำปาง,ลำปาง,18.28333,99.51667,24.7,08-30-2019,19:00:00,000,0.0,6.30,32.2,998.37,31.16,10.00,0.00,84,27.6,971.19
48329,LAMPHUN,ลำพูน,ลำพูน,18.56722,99.03389,23.9,08-30-2019,19:00:00,000,0.0,1.00,31.5,998.37,29.60,10.00,0.00,81,27.5,965.25
48330,PHRAE,แพร่,แพร่,18.16667,100.16667,25.3,08-30-2019,19:00:00,000,0.0,52.50,31.6,997.99,32.20,4.00,9.50,96,26.0,979.62
48331,NAN,น่าน,น่าน,18.77972,100.77778,24.9,08-30-2019,19:00:00,000,0.0,3.70,33.0,997.81,31.55,10.00,2.70,90,26.8,975.23
48333,NAN AGROMET.,น่าน สกษ.,น่าน,18.86667,100.75000,24.6,08-30-2019,19:00:00,000,0.0,14.50,32.9,998.15,30.84,10.00,1.50,92,26.0,968.50
48334,LAMPANG AGROMET.,ลำปาง สกษ.,ลำปาง,18.31667,99.28333,25.3,08-30-2019,19:00:00,000,0.0,1.80,31.2,999.18,32.19,5.00,0.00,83,28.4,964.21
48350,LOEI AGROMET.,เลย สกษ.,เลย,17.40000,101.73333,22.7,08-30-2019,19:00:00,090,13.0,50.90,32.5,998.31,27.51,6.00,0.20,92,24.0,968.63
48351,UTTARADIT,อุตรดิตถ์,อุตรดิตถ์,17.61667,100.10000,25.5,08-30-2019,19:00:00,340,5.6,2.00,33.5,997.72,32.55,8.00,2.00,85,28.3,990.51
48352,NONG KHAI,หนองคาย,หนองคาย,17.86717,102.73303,23.1,08-30-2019,19:00:00,080,9.3,2.80,31.5,997.68,28.20,6.00,0.80,92,24.4,977.81
48353,LOEI,เลย,เลย,17.45000,101.73333,22.1,08-30-2019,19:00:00,110,14.8,16.20,32.2,998.67,26.62,7.00,0.00,81,25.7,970.17
48354,UDON THANI,อุดรธานี,อุดรธานี,17.38333,102.80000,22.8,08-30-2019,19:00:00,030,9.3,18.20,30.7,996.92,27.75,8.00,2.90,95,23.7,976.75
48355,SAKON NAKHON AGROMET.,สกลนคร สกษ.,สกลนคร,17.12503,104.06100,21.8,08-30-2019,19:00:00,110,13.0,34.00,27.4,998.25,26.17,5.00,8.80,94,22.9,976.43
48356,SAKON NAKHON,สกลนคร,สกลนคร,17.15000,104.13333,22.6,08-30-2019,19:00:00,120,16.7,42.20,25.6,998.20,27.49,7.00,7.80,99,22.8,978.62
48357,NAKHON PHANOM,นครพนม,นครพนม,17.41083,104.78250,22.5,08-30-2019,19:00:00,110,11.1,25.00,26.0,1000.90,27.25,10.00,4.90,91,24.0,984.10
48358,NAKHON PHANOM AGROMET.,นครพนม สกษ.,นครพนม,17.44306,104.77361,22.9,08-30-2019,19:00:00,000,0.0,48.80,24.4,1001.01,27.83,10.00,8.80,96,23.6,983.52
48360,NONG BUA LAM PHU,หนองบัวลำภู,หนองบัวลำภู,17.23250,102.42944,22.4,08-30-2019,19:00:00,000,0.0,21.80,29.8,996.17,27.01,7.00,1.60,89,24.3,970.46
48372,SUKHOTHAI*,สุโขทัย,สุโขทัย,17.10611,99.80000,26.6,08-30-2019,19:00:00,000,0.0,1.10,30.5,997.73,34.81,8.00,1.10,92,28.0,992.02
48373,SI SAMRONG AGROMET.,ศรีสำโรง สกษ.,สุโขทัย,17.16136,99.86167,26.5,08-30-2019,19:00:00,000,0.0,2.20,30.3,997.35,34.64,6.00,2.00,94,27.5,991.23
48374,LOM SAK,หล่มสัก,เพชรบูรณ์,16.77361,101.24944,24.0,08-30-2019,19:00:00,000,0.0,105.90,28.6,999.14,29.87,10.00,12.80,95,24.9,982.72
48375,MAE SOT,แม่สอด,ตาก,16.65917,98.55083,25.1,08-30-2019,19:00:00,000,0.0,0.70,29.8,999.03,31.79,10.00,0.00,92,26.5,976.86
48376,TAK,ตาก,ตาก,16.87833,99.14333,23.3,08-30-2019,19:00:00,260,16.7,1.00,30.3,999.01,28.54,7.00,0.00,72,28.8,984.82
48377,BHUMIBOL DAM,เขื่อนภูมิพล,ตาก,17.24389,99.00250,24.0,08-30-2019,19:00:00,000,0.0,0.50,32.0,997.85,29.89,8.00,0.01,68,30.5,981.80
48378,PHITSANULOK,พิษณุโลก,พิษณุโลก,16.79481,100.27930,26.3,08-30-2019,19:00:00,150,11.1,18.60,29.2,999.00,34.19,6.00,7.60,96,27.0,993.81
48379,PHETCHABUN,เพชรบูรณ์,เพชรบูรณ์,16.43333,101.15000,24.3,08-30-2019,19:00:00,000,0.0,35.80,28.9,997.17,30.32,10.00,15.20,96,25.0,984.01
48380,KAMPHAENG PHET,กำแพงเพชร,กำแพงเพชร,16.48681,99.52697,26.1,08-30-2019,19:00:00,000,0.0,4.40,28.9,998.13,33.90,9.00,0.20,91,27.7,988.92
48381,KHON KAEN,ขอนแก่น,ขอนแก่น,16.46111,102.78972,23.4,08-30-2019,19:00:00,240,5.6,29.80,29.5,997.16,28.69,5.00,5.20,97,23.8,975.46
48382,MAHASARAKHAM,มหาสารคาม,มหาสารคาม,16.24722,103.06805,23.5,08-30-2019,19:00:00,210,5.6,206.60,26.0,997.37,28.94,5.00,17.80,100,23.5,979.83
48383,MUKDAHAN,มุกดาหาร,มุกดาหาร,16.54139,104.72889,23.2,08-30-2019,19:00:00,120,9.3,216.40,25.2,1000.14,28.36,10.00,8.60,94,24.2,984.27
48384,THA PHRA AGROMET.,ท่าพระ สกษ.,ขอนแก่น,16.33333,102.81667,23.5,08-30-2019,19:00:00,000,0.0,49.10,28.3,995.98,28.86,5.00,7.90,97,23.9,977.11
48385,UMPHANG,อุ้มผาง,ตาก,16.02472,98.86444,23.5,08-30-2019,19:00:00,000,0.0,2.90,26.0,1002.19,29.00,8.00,0.00,92,25.0,951.10
48386,PICHIT AGROMET.,พิจิตร สกษ.,พิจิตร,16.43806,100.29250,24.6,08-30-2019,19:00:00,100,14.8,56.20,28.2,1009.17,30.85,1.00,3.80,97,25.0,1005.17
48387,DOI MU SOE AGROMET.,ดอยมูเซอร์ สกษ.,ตาก,16.75000,98.93333,21.3,08-30-2019,19:00:00,200,9.3,3.90,22.2,1000.82,25.38,.40,0.01,97,21.8,906.41
48390,KALASIN,กาฬสินธุ์,กาฬสินธุ์,16.33250,103.58833,23.4,08-30-2019,19:00:00,180,27.8,226.50,25.3,996.56,28.77,1.00,16.10,98,23.7,980.57
48400,NAKHON SAWAN,นครสวรรค์ ,นครสวรรค์,15.67183,100.13236,25.0,08-30-2019,19:00:00,200,3.7,34.00,27.0,999.01,31.63,5.00,5.40,96,25.7,994.99
48401,TAKFA AGROMET.,ตากฟ้า สกษ.,นครสวรรค์,15.34944,100.53028,24.5,08-30-2019,19:00:00,000,0.0,21.80,26.4,1000.59,30.69,3.00,5.60,96,25.2,989.92
48402,CHAINAT AGROMET.,ชัยนาท สกษ.,ชัยนาท,15.15000,100.18333,25.1,08-30-2019,19:00:00,120,3.7,5.80,28.0,999.83,31.79,5.00,0.50,92,26.5,997.91
48403,CHAIYAPHUM,ชัยภูมิ,ชัยภูมิ,15.80000,102.03333,23.5,08-30-2019,19:00:00,230,13.0,55.60,27.4,998.61,28.96,8.00,14.10,97,24.1,977.73
48404,ROI ET AGROMET.,ร้อยเอ็ด สกษ.,ร้อยเอ็ด,16.07322,103.60844,22.5,08-30-2019,19:00:00,210,27.8,359.30,24.7,997.38,27.25,6.00,23.40,91,24.0,979.71
48405,ROI ET,ร้อยเอ็ด,ร้อยเอ็ด,16.02000,103.74389,23.4,08-30-2019,19:00:00,160,16.7,329.90,24.7,997.14,28.69,6.00,18.30,97,23.8,980.97
48407,UBON RATCHATHANI,อุบลราชธานี (ศูนย์ฯ),อุบลราชธานี,15.25000,104.86667,23.9,08-30-2019,19:00:00,150,9.3,64.50,27.5,1001.38,29.62,10.00,0.01,92,25.2,987.34
48408,UBON RATCHATHANI AGROMET.,อุบลราชธานี สกษ.,อุบลราชธานี,15.23914,105.02350,23.8,08-30-2019,19:00:00,000,0.0,61.80,27.5,1001.70,29.41,6.00,0.00,96,24.5,986.83
48409,SI SAKET AGROMET.,ศรีสะเกษ,ศรีสะเกษ,15.00000,104.05000,24.6,08-30-2019,19:00:00,210,11.1,46.70,25.3,1000.97,30.87,4.00,0.60,96,25.3,986.30
48410,UTHAITHANI,อุทัยธานี,อุทัยธานี,15.37417,100.03889,25.5,08-30-2019,19:00:00,"{'0': '   ', '@attributes': {'Unit': 'degree'}}",0.0,10.10,29.3,998.85,32.54,10.00,0.40,93,26.6,995.86
48413,WICHIAN BURI,วิเชียรบุรี,เพชรบูรณ์,15.65700,101.10800,24.1,08-30-2019,19:00:00,000,0.0,37.60,25.6,1000.06,30.05,7.00,11.40,95,25.0,992.11
48415,AYUTTHAYA,พระนครศรีอยุธยา,พระนครศรีอยุธยา,14.53472,100.72500,24.7,08-30-2019,19:00:00,230,5.6,3.20,29.0,1000.37,31.08,6.00,0.00,84,27.7,999.27
48416,THA TUM,ท่าตูม,สุรินทร์,15.31667,103.68333,24.1,08-30-2019,19:00:00,000,0.0,122.50,24.7,1000.16,29.93,3.00,3.20,97,24.5,985.46
48417,NAKORNNAYOK,นครนายก,นครนายก,14.36222,101.39278,19.6,08-30-2019,19:00:00,210,14.8,22.60,21.9,1001.85,22.85,.10,4.00,99,19.8,867.68
48418,BUA CHUM,บัวชุม  ,ลพบุรี,15.26667,101.18736,25.3,08-30-2019,19:00:00,000,0.0,36.60,26.2,999.99,32.34,4.00,8.80,99,25.5,994.13
48419,PATHUMTHANI,ปทุมธานี สกษ.,ปทุมธานี,14.10000,100.61667,25.1,08-30-2019,19:00:00,000,0.0,1.30,29.4,1000.76,31.79,8.00,0.01,83,28.2,999.97
48420,Samut Prakarn,สมุทรปราการ สกษ.,สมุทรปราการ,13.51667,100.76167,25.9,08-30-2019,19:00:00,210,22.2,0.90,29.2,1000.84,33.41,10.00,0.01,83,29.0,1000.40
48421,THONG PHAPHUM,ทองผาภูมิ,กาญจนบุรี,14.74222,98.63639,24.7,08-30-2019,19:00:00,000,0.0,0.00,28.5,1002.15,31.08,6.00,0.00,89,26.7,990.89
48425,SUPHAN BURI,สุพรรณบุรี,สุพรรณบุรี,14.47444,100.13889,24.4,08-30-2019,19:00:00,210,5.6,0.40,29.6,1000.48,30.62,10.00,0.01,78,28.6,999.48
48426,LOP BURI,ลพบุรี,ลพบุรี,14.79972,100.64500,25.5,08-30-2019,19:00:00,000,0.0,2.50,28.6,1000.25,32.61,7.00,0.30,90,27.2,998.44
48427,U THONG AGROMET.,อู่ทอง สกษ.,สุพรรณบุรี,14.30361,99.86472,23.0,08-30-2019,19:00:00,000,0.0,0.20,30.4,1000.82,28.16,7.00,0.01,72,28.6,1000.06
48429,SUVARNABHUMI AIRPORT,สนามบินสุวรรณภูมิ,สมุทรปราการ,13.68639,100.76750,25.1,08-30-2019,19:00:00,180,7.4,0.60,28.6,1000.96,31.82,10.00,0.01,82,28.5,1000.26
48430,PRACHIN BURI,ปราจีนบุรี,ปราจีนบุรี,14.05842,101.36930,25.6,08-30-2019,19:00:00,000,0.0,7.20,28.7,1000.86,32.81,6.00,0.10,90,27.3,1000.17
48431,NAKHON RATCHASIMA,นครราชสีมา,นครราชสีมา,14.96830,102.08603,23.3,08-30-2019,19:00:00,230,11.1,51.60,24.9,1000.06,28.53,6.00,10.30,96,24.0,978.84
48432,SURIN,สุรินทร์,สุรินทร์,14.88333,103.50000,24.1,08-30-2019,19:00:00,200,5.6,38.70,25.1,1000.07,30.03,6.00,2.50,97,24.7,983.34
48433,SURIN AGROMET.,สุรินทร์ สกษ.,สุรินทร์,14.88333,103.45000,24.0,08-30-2019,19:00:00,180,9.3,46.70,25.2,1000.52,29.77,4.00,3.50,96,24.7,984.08
48434,CHOK CHAI,โชคชัย,นครราชสีมา,14.71889,102.16861,23.8,08-30-2019,19:00:00,000,0.0,37.00,25.1,1000.18,29.49,4.00,9.00,97,24.4,978.29
48435,PAKCHONG AGROMET.,ปากช่อง สกษ.,นครราชสีมา,14.64389,101.33194,22.4,08-30-2019,19:00:00,220,14.8,8.90,25.8,1001.02,27.10,8.00,0.60,87,24.8,957.73
48436,NANG RONG,นางรอง,บุรีรัมย์,14.58333,102.80000,24.3,08-30-2019,19:00:00,270,3.7,32.90,24.8,1000.05,30.38,3.00,4.00,98,24.6,979.48
48437,BURIRUM,บุรีรัมย์,บุรีรัมย์,15.22575,103.24808,24.0,08-30-2019,19:00:00,220,20.4,82.20,24.7,1000.72,29.82,5.00,3.20,100,24.0,979.83
48438,SAMUTSONGKRAM,สมุทรสงคราม,สมุทรสงคราม,13.40778,100.03222,24.2,08-30-2019,19:00:00,250,11.1,0.01,30.9,1000.90,30.11,10.00,0.00,71,29.9,1000.47
48439,KABIN BURI,กบินทร์บุรี,ปราจีนบุรี,13.98333,101.70722,25.3,08-30-2019,19:00:00,000,0.0,11.80,27.4,1000.58,32.32,8.00,1.80,95,26.2,999.17
48440,SA KAEW,สระแก้ว,สระแก้ว,13.78889,102.03472,25.8,08-30-2019,19:00:00,000,0.0,17.00,27.6,1001.92,33.15,5.00,0.50,98,26.2,997.00
