WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,Rainfall,Date,Time,MeanSeaLevelPressure,WindDirection,StationPressure,AirTemperature,LandVisibility,DewPoint,MaximumTemperature,RelativeHumidity,VaporPressure,WindSpeed,Rainfall24Hr
48300,MAE HONG SON,แม่ฮ่องสอน,แม่ฮ่องสอน,19.29897,97.97578,0.00,08-29-2019,19:00:00,1001.95,000,971.44,28.5,12.00,25.7,33.4,85,32.96,0.0,0.50
48302,DOI ANG KANG,ดอยอ่างขาง,เชียงใหม่,19.93139,99.04833,0.00,08-29-2019,19:00:00,1001.28,120,842.10,21.2,8.00,19.8,22.6,92,23.06,7.4,2.40
48303,CHIANG RAI,เชียงราย,เชียงราย,19.96139,99.88139,0.00,08-29-2019,19:00:00,999.79,000,957.30,31.5,12.00,25.6,34.1,71,32.81,0.0,0.00
48304,CHAING RAI AGROMET.,เชียงราย สกษ.,เชียงราย,19.87083,99.78278,0.00,08-29-2019,19:00:00,1000.24,000,955.68,30.2,15.00,26.6,34.1,81,34.77,0.0,0.40
48307,THUNG CHANG,ทุ่งช้าง,น่าน,19.41194,100.88353,0.00,08-29-2019,19:00:00,1000.60,000,963.72,30.0,12.00,27.8,33.5,88,37.35,0.0,1.70
48310,PHAYAO,พะเยา,พะเยา,19.13333,99.90000,0.00,08-29-2019,19:00:00,1000.58,000,956.34,29.4,12.00,26.3,33.3,84,34.25,0.0,7.30
48315,THA WANGPHA,ท่าวังผา,น่าน,19.11056,100.80250,0.00,08-29-2019,19:00:00,1001.11,000,974.96,31.0,10.00,27.8,34.4,83,37.46,0.0,0.30
48324,THOEN,เถิน,ลำปาง,17.63661,99.24475,0.00,08-29-2019,19:00:00,1001.10,180,979.73,30.0,15.00,25.0,34.5,75,31.72,1.9,0.00
48325,MAE SARIANG,แม่สะเรียง,แม่ฮ่องสอน,18.16667,97.93333,0.00,08-29-2019,19:00:00,1002.53,000,978.79,29.5,8.00,25.7,33.2,80,33.00,0.0,0.00
48327,CHIANG MAI,เชียงใหม่,เชียงใหม่,18.79000,98.97694,0.00,08-29-2019,19:00:00,1001.01,000,967.20,30.5,10.00,25.1,33.5,73,31.88,0.0,0.01
