WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,StationPressure,Date,Time,AirTemperature,WindDirection,RelativeHumidity,Rainfall,MeanSeaLevelPressure,Rainfall24Hr,WindSpeed,VaporPressure,LandVisibility,DewPoint
48300,MAE HONG SON,แม่ฮ่องสอน,แม่ฮ่องสอน,19.29897,97.97578,977.38,07-13-2019,13:00:00,31.4,030,63,0.00,1007.78,22.20,1.9,29.15,10.00,23.6
48302,DOI ANG KANG,ดอยอ่างขาง,เชียงใหม่,19.93139,99.04833,845.10,07-13-2019,13:00:00,21.7,290,80,0.00,1004.55,0.00,18.5,20.85,8.00,18.2
48303,CHIANG RAI,เชียงราย,เชียงราย,19.96139,99.88139,962.73,07-13-2019,13:00:00,31.9,330,53,0.00,1005.41,0.00,5.6,25.18,15.00,21.2
48304,CHAING RAI AGROMET.,เชียงราย สกษ.,เชียงราย,19.87083,99.78278,960.94,07-13-2019,13:00:00,32.0,280,54,0.00,1005.47,0.00,13.0,25.91,15.00,21.7
48307,THUNG CHANG,ทุ่งช้าง,น่าน,19.41194,100.88353,970.88,07-13-2019,13:00:00,33.4,000,53,0.00,1007.61,0.40,0.0,27.51,12.00,22.7
48310,PHAYAO,พะเยา,พะเยา,19.13333,99.90000,961.63,07-13-2019,13:00:00,34.0,200,52,0.00,1005.45,0.00,9.3,27.58,15.00,22.7
48315,THA WANGPHA,ท่าวังผา,น่าน,19.11056,100.80250,979.99,07-13-2019,13:00:00,35.5,180,50,0.00,1005.89,0.00,5.6,28.64,12.00,23.3
48324,THOEN,เถิน,ลำปาง,17.63661,99.24475,985.49,07-13-2019,13:00:00,34.8,300,45,0.00,1006.64,0.00,9.3,24.97,12.00,21.1
48325,MAE SARIANG,แม่สะเรียง,แม่ฮ่องสอน,18.16667,97.93333,985.16,07-13-2019,13:00:00,29.5,000,71,0.00,1009.06,2.20,0.0,29.33,8.00,23.7
48327,CHIANG MAI,เชียงใหม่,เชียงใหม่,18.79000,98.97694,972.76,07-13-2019,13:00:00,34.7,170,43,0.00,1006.29,0.00,5.6,23.69,10.00,20.2
48328,LAMPANG,ลำปาง,ลำปาง,18.28333,99.51667,979.37,07-13-2019,13:00:00,35.6,300,40,0.00,1006.05,0.00,9.3,23.49,10.00,20.1
48329,LAMPHUN,ลำพูน,ลำพูน,18.56722,99.03389,973.99,07-13-2019,13:00:00,35.1,270,41,0.00,1006.58,0.00,7.4,23.36,15.00,20.0
48330,PHRAE,แพร่,แพร่,18.16667,100.16667,987.85,07-13-2019,13:00:00,34.7,250,45,0.00,1005.84,0.00,5.6,25.05,15.00,21.1
48331,NAN,น่าน,น่าน,18.77972,100.77778,983.15,07-13-2019,13:00:00,35.6,000,44,0.00,1005.26,0.00,0.0,25.70,10.00,21.5
48333,NAN AGROMET.,น่าน สกษ.,น่าน,18.86667,100.75000,976.45,07-13-2019,13:00:00,34.8,000,45,0.00,1005.47,0.00,0.0,25.24,12.00,21.3
48334,LAMPANG AGROMET.,ลำปาง สกษ.,ลำปาง,18.31667,99.28333,971.33,07-13-2019,13:00:00,34.5,000,44,0.00,1005.84,0.00,0.0,23.85,7.00,20.3
48350,LOEI AGROMET.,เลย สกษ.,เลย,17.40000,101.73333,975.60,07-13-2019,13:00:00,36.0,280,47,0.00,1004.32,0.00,14.8,27.64,17.00,22.7
48351,UTTARADIT,อุตรดิตถ์,อุตรดิตถ์,17.61667,100.10000,999.53,07-13-2019,13:00:00,35.0,000,49,0.00,1006.65,0.00,0.0,27.61,10.00,22.7
48352,NONG KHAI,หนองคาย,หนองคาย,17.86717,102.73303,985.49,07-13-2019,13:00:00,34.5,310,57,0.00,1004.85,1.50,9.3,30.93,15.00,24.6
48353,LOEI,เลย,เลย,17.45000,101.73333,976.89,07-13-2019,13:00:00,36.3,270,42,0.00,1004.59,0.00,14.8,25.12,17.00,21.2
48354,UDON THANI,อุดรธานี,อุดรธานี,17.38333,102.80000,985.82,07-13-2019,13:00:00,33.3,260,55,0.00,1005.54,0.00,14.8,28.15,15.00,23.0
48355,SAKON NAKHON AGROMET.,สกลนคร สกษ.,สกลนคร,17.12503,104.06100,984.18,07-13-2019,13:00:00,33.0,240,63,0.00,1005.44,0.00,5.6,31.87,12.00,25.1
48356,SAKON NAKHON,สกลนคร,สกลนคร,17.15000,104.13333,986.00,07-13-2019,13:00:00,33.0,000,65,0.00,1005.06,0.00,0.0,32.46,15.00,25.4
48357,NAKHON PHANOM,นครพนม,นครพนม,17.41083,104.78250,989.35,07-13-2019,13:00:00,31.0,000,72,0.00,1005.85,0.00,0.0,32.34,12.00,25.4
48358,NAKHON PHANOM AGROMET.,นครพนม สกษ.,นครพนม,17.44306,104.77361,988.94,07-13-2019,13:00:00,31.5,270,66,0.00,1006.07,0.00,3.7,30.49,10.00,24.4
48360,NONG BUA LAM PHU,หนองบัวลำภู,หนองบัวลำภู,17.23250,102.42944,979.00,07-13-2019,13:00:00,33.5,260,51,0.00,1004.15,0.00,5.6,26.59,12.00,22.1
48372,SUKHOTHAI*,สุโขทัย,สุโขทัย,17.10611,99.80000,1001.28,07-13-2019,13:00:00,35.2,270,50,0.00,1006.91,0.00,9.3,28.30,10.00,23.1
48373,SI SAMRONG AGROMET.,ศรีสำโรง สกษ.,สุโขทัย,17.16136,99.86167,1000.67,07-13-2019,13:00:00,35.6,270,49,0.00,1006.69,0.00,9.3,28.55,12.00,23.3
48374,LOM SAK,หล่มสัก,เพชรบูรณ์,16.77361,101.24944,990.85,07-13-2019,13:00:00,35.2,230,45,0.00,1006.85,0.00,7.4,25.47,10.00,21.4
48375,MAE SOT,แม่สอด,ตาก,16.65917,98.55083,985.39,07-13-2019,13:00:00,30.9,260,66,0.00,1007.43,2.80,11.1,29.56,10.00,23.9
