WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,Rainfall24Hr,Date,Time,AirTemperature,StationPressure,VaporPressure,WindDirection,WindSpeed,LandVisibility,MeanSeaLevelPressure,Rainfall,DewPoint,RelativeHumidity
48300,MAE HONG SON,แม่ฮ่องสอน,แม่ฮ่องสอน,19.29897,97.97578,1.80,07-09-2019,22:00:00,25.5,976.96,29.11,000,0.0,10.00,1007.95,0.00,23.6,89
48302,DOI ANG KANG,ดอยอ่างขาง,เชียงใหม่,19.93139,99.04833,6.00,07-09-2019,22:00:00,18.5,844.60,21.06,270,14.8,8.00,1005.82,0.00,18.3,99
48303,CHIANG RAI,เชียงราย,เชียงราย,19.96139,99.88139,0.60,07-09-2019,22:00:00,26.8,962.75,27.78,250,3.7,10.00,1006.16,0.60,22.8,79
48304,CHAING RAI AGROMET.,เชียงราย สกษ.,เชียงราย,19.87083,99.78278,0.80,07-09-2019,22:00:00,25.5,961.23,28.59,210,5.6,10.00,1006.76,0.80,23.3,88
48307,THUNG CHANG,ทุ่งช้าง,น่าน,19.41194,100.88353,0.00,07-09-2019,22:00:00,27.0,969.58,28.67,000,0.0,8.00,1007.06,0.00,23.3,80
48310,PHAYAO,พะเยา,พะเยา,19.13333,99.90000,0.00,07-09-2019,22:00:00,27.6,961.49,26.86,210,7.4,10.00,1006.24,0.00,22.3,73
48315,THA WANGPHA,ท่าวังผา,น่าน,19.11056,100.80250,1.60,07-09-2019,22:00:00,28.7,980.21,29.16,200,9.3,8.00,1006.70,0.00,23.6,74
48324,THOEN,เถิน,ลำปาง,17.63661,99.24475,0.00,07-09-2019,22:00:00,26.2,986.38,27.75,270,3.7,12.00,1008.17,0.00,22.8,82
48325,MAE SARIANG,แม่สะเรียง,แม่ฮ่องสอน,18.16667,97.93333,2.40,07-09-2019,22:00:00,24.3,985.59,28.79,000,0.0,6.00,1009.92,0.00,23.4,95
48327,CHIANG MAI,เชียงใหม่,เชียงใหม่,18.79000,98.97694,1.70,07-09-2019,22:00:00,25.4,973.63,28.67,000,0.0,10.00,1008.25,1.70,23.3,88
48328,LAMPANG,ลำปาง,ลำปาง,18.28333,99.51667,0.00,07-09-2019,22:00:00,27.0,981.46,26.06,000,0.0,10.00,1008.97,0.00,21.8,73
48329,LAMPHUN,ลำพูน,ลำพูน,18.56722,99.03389,0.00,07-09-2019,22:00:00,27.2,973.91,27.19,000,0.0,10.00,1007.36,0.00,22.5,75
48330,PHRAE,แพร่,แพร่,18.16667,100.16667,0.00,07-09-2019,22:00:00,28.2,988.55,29.03,000,0.0,10.00,1006.95,0.00,23.5,76
48331,NAN,น่าน,น่าน,18.77972,100.77778,0.00,07-09-2019,22:00:00,29.0,984.01,28.91,000,0.0,10.00,1006.63,0.00,23.5,72
48333,NAN AGROMET.,น่าน สกษ.,น่าน,18.86667,100.75000,1.40,07-09-2019,22:00:00,27.0,977.07,30.02,000,0.0,10.00,1006.89,0.00,24.1,84
48334,LAMPANG AGROMET.,ลำปาง สกษ.,ลำปาง,18.31667,99.28333,0.00,07-09-2019,22:00:00,27.5,972.20,28.26,000,0.0,7.00,1007.56,0.00,23.1,77
48350,LOEI AGROMET.,เลย สกษ.,เลย,17.40000,101.73333,0.00,07-09-2019,22:00:00,27.3,976.55,27.63,000,0.0,12.00,1006.14,0.00,22.7,76
48351,UTTARADIT,อุตรดิตถ์,อุตรดิตถ์,17.61667,100.10000,0.00,07-09-2019,22:00:00,29.5,999.87,27.69,000,0.0,9.00,1007.12,0.00,22.8,67
48352,NONG KHAI,หนองคาย,หนองคาย,17.86717,102.73303,0.00,07-09-2019,22:00:00,30.0,986.11,31.72,260,5.6,12.00,1005.78,0.00,25.0,75
48353,LOEI,เลย,เลย,17.45000,101.73333,0.00,07-09-2019,22:00:00,29.0,977.86,27.03,000,0.0,12.00,1006.26,0.00,22.4,68
48354,UDON THANI,อุดรธานี,อุดรธานี,17.38333,102.80000,0.00,07-09-2019,22:00:00,29.0,986.13,31.13,230,7.4,12.00,1006.14,0.00,24.7,78
48355,SAKON NAKHON AGROMET.,สกลนคร สกษ.,สกลนคร,17.12503,104.06100,5.40,07-09-2019,22:00:00,27.0,984.86,29.75,000,0.0,10.00,1006.55,0.00,24.0,83
48356,SAKON NAKHON,สกลนคร,สกลนคร,17.15000,104.13333,5.60,07-09-2019,22:00:00,27.5,986.77,29.88,000,0.0,12.00,1006.19,0.00,24.0,81
48357,NAKHON PHANOM,นครพนม,นครพนม,17.41083,104.78250,8.00,07-09-2019,22:00:00,28.4,990.18,32.75,000,0.0,10.00,1006.84,0.00,25.6,85
48358,NAKHON PHANOM AGROMET.,นครพนม สกษ.,นครพนม,17.44306,104.77361,4.10,07-09-2019,22:00:00,28.0,989.63,33.66,000,0.0,10.00,1006.97,0.00,26.0,89
48360,NONG BUA LAM PHU,หนองบัวลำภู,หนองบัวลำภู,17.23250,102.42944,0.00,07-09-2019,22:00:00,27.3,980.26,31.14,000,0.0,10.00,1005.96,0.00,24.7,86
48372,SUKHOTHAI*,สุโขทัย,สุโขทัย,17.10611,99.80000,0.00,07-09-2019,22:00:00,29.0,1001.36,27.03,240,14.8,10.00,1007.11,0.00,22.4,68
48373,SI SAMRONG AGROMET.,ศรีสำโรง สกษ.,สุโขทัย,17.16136,99.86167,0.00,07-09-2019,22:00:00,30.0,1001.61,30.31,260,11.1,10.00,1007.75,0.00,24.3,71
48374,LOM SAK,หล่มสัก,เพชรบูรณ์,16.77361,101.24944,0.00,07-09-2019,22:00:00,29.5,991.24,27.96,000,0.0,10.00,1007.55,0.00,22.9,68
48375,MAE SOT,แม่สอด,ตาก,16.65917,98.55083,9.90,07-09-2019,22:00:00,24.4,986.08,27.94,000,0.0,10.00,1008.62,1.90,22.9,91
48376,TAK,ตาก,ตาก,16.87833,99.14333,1.20,07-09-2019,22:00:00,26.2,994.45,28.01,280,11.1,10.00,1008.90,1.20,23.0,82
48377,BHUMIBOL DAM,เขื่อนภูมิพล,ตาก,17.24389,99.00250,0.20,07-09-2019,22:00:00,28.0,991.48,26.54,000,0.0,10.00,1007.82,0.00,22.1,70
48378,PHITSANULOK,พิษณุโลก,พิษณุโลก,16.79481,100.27930,0.00,07-09-2019,22:00:00,28.0,1002.64,29.46,240,11.1,10.00,1007.86,0.00,23.8,78
48379,PHETCHABUN,เพชรบูรณ์,เพชรบูรณ์,16.43333,101.15000,1.50,07-09-2019,22:00:00,28.8,992.76,31.29,000,0.0,10.00,1005.86,0.00,24.8,79
48380,KAMPHAENG PHET,กำแพงเพชร,กำแพงเพชร,16.48681,99.52697,0.00,07-09-2019,22:00:00,28.5,997.90,27.71,340,1.9,11.00,1007.18,0.00,22.8,71
48381,KHON KAEN,ขอนแก่น,ขอนแก่น,16.46111,102.78972,5.00,07-09-2019,22:00:00,29.0,985.15,28.37,250,5.6,10.00,1006.68,0.00,23.2,71
48382,MAHASARAKHAM,มหาสารคาม,มหาสารคาม,16.24722,103.06805,0.00,07-09-2019,22:00:00,29.5,989.43,29.33,220,11.1,12.00,1006.78,0.00,23.7,71
48383,MUKDAHAN,มุกดาหาร,มุกดาหาร,16.54139,104.72889,0.00,07-09-2019,22:00:00,28.5,990.17,29.33,200,3.7,10.00,1005.91,0.00,23.7,75
48384,THA PHRA AGROMET.,ท่าพระ สกษ.,ขอนแก่น,16.33333,102.81667,0.00,07-09-2019,22:00:00,29.4,987.26,28.04,000,0.0,8.00,1005.98,0.00,23.0,68
48385,UMPHANG,อุ้มผาง,ตาก,16.02472,98.86444,4.20,07-09-2019,22:00:00,23.0,959.60,25.36,000,0.0,7.00,1011.50,0.60,21.3,90
48386,PICHIT AGROMET.,พิจิตร สกษ.,พิจิตร,16.43806,100.29250,5.70,07-09-2019,22:00:00,25.2,1003.83,30.15,340,18.5,5.00,1007.81,5.70,24.2,94
48387,DOI MU SOE AGROMET.,ดอยมูเซอร์ สกษ.,ตาก,16.75000,98.93333,8.50,07-09-2019,22:00:00,20.4,913.91,23.26,300,9.3,.80,1009.58,5.50,19.9,97
48390,KALASIN,กาฬสินธุ์,กาฬสินธุ์,16.33250,103.58833,3.50,07-09-2019,22:00:00,27.7,990.73,33.33,000,0.0,6.00,1006.67,0.00,25.9,90
48400,NAKHON SAWAN,นครสวรรค์ ,นครสวรรค์,15.67183,100.13236,0.01,07-09-2019,22:00:00,28.2,1003.92,31.79,240,3.7,10.00,1007.94,0.00,25.1,83
48401,TAKFA AGROMET.,ตากฟ้า สกษ.,นครสวรรค์,15.34944,100.53028,0.30,07-09-2019,22:00:00,27.0,998.11,30.02,000,0.0,6.00,1008.80,0.30,24.1,84
48402,CHAINAT AGROMET.,ชัยนาท สกษ.,ชัยนาท,15.15000,100.18333,0.00,07-09-2019,22:00:00,28.5,1006.57,27.44,180,9.3,8.00,1008.49,0.00,22.6,71
48403,CHAIYAPHUM,ชัยภูมิ,ชัยภูมิ,15.80000,102.03333,0.00,07-09-2019,22:00:00,28.9,986.57,29.54,240,5.6,10.00,1007.31,0.00,23.8,74
48404,ROI ET AGROMET.,ร้อยเอ็ด สกษ.,ร้อยเอ็ด,16.07322,103.60844,0.00,07-09-2019,22:00:00,28.8,989.16,30.18,170,3.7,10.00,1006.71,0.00,24.2,76
48405,ROI ET,ร้อยเอ็ด,ร้อยเอ็ด,16.02000,103.74389,0.00,07-09-2019,22:00:00,29.5,990.43,31.28,190,7.4,10.00,1006.45,0.00,24.8,76
48407,UBON RATCHATHANI,อุบลราชธานี (ศูนย์ฯ),อุบลราชธานี,15.25000,104.86667,0.00,07-09-2019,22:00:00,27.3,993.59,28.16,240,7.4,10.00,1007.61,0.00,23.0,78
48408,UBON RATCHATHANI AGROMET.,อุบลราชธานี สกษ.,อุบลราชธานี,15.23914,105.02350,3.60,07-09-2019,22:00:00,27.5,993.74,28.53,000,0.0,10.00,1008.57,0.00,23.3,78
48409,SI SAKET AGROMET.,ศรีสะเกษ,ศรีสะเกษ,15.00000,104.05000,6.30,07-09-2019,22:00:00,25.1,994.07,30.23,000,0.0,3.00,1008.86,4.00,24.2,95
48410,UTHAITHANI,อุทัยธานี,อุทัยธานี,15.37417,100.03889,0.00,07-09-2019,22:00:00,28.8,1004.32,31.29,"{'0': '   ', '@attributes': {'Unit': 'degree'}}",0.0,10.00,1007.32,0.00,24.8,79
48413,WICHIAN BURI,วิเชียรบุรี,เพชรบูรณ์,15.65700,101.10800,3.40,07-09-2019,22:00:00,29.6,999.50,32.91,000,0.0,8.00,1007.38,0.00,25.6,79
48415,AYUTTHAYA,พระนครศรีอยุธยา,พระนครศรีอยุธยา,14.53472,100.72500,0.00,07-09-2019,22:00:00,27.0,1008.00,29.75,210,5.6,8.00,1009.11,0.00,24.0,83
48416,THA TUM,ท่าตูม,สุรินทร์,15.31667,103.68333,1.30,07-09-2019,22:00:00,27.2,993.22,30.94,000,0.0,8.00,1007.91,0.50,24.6,86
48417,NAKORNNAYOK,นครนายก,นครนายก,{'@attributes': {'Unit': 'decimal degree'}},{'@attributes': {'Unit': 'decimal degree'}},0.20,07-09-2019,22:00:00,20.0,874.51,23.13,240,1.9,.10,1009.63,0.20,19.8,99
48418,BUA CHUM,บัวชุม  ,ลพบุรี,15.26667,101.18736,0.00,07-09-2019,22:00:00,29.5,1002.16,29.33,000,0.0,10.00,1008.00,0.00,23.7,71
48419,PATHUMTHANI,ปทุมธานี สกษ.,ปทุมธานี,14.10000,100.61667,11.10,07-09-2019,22:00:00,26.2,1008.74,34.00,230,7.4,8.00,1009.55,6.50,26.2,100
48420,Samut Prakarn,สมุทรปราการ สกษ.,สมุทรปราการ,13.51667,100.76167,17.00,07-09-2019,22:00:00,25.0,1008.74,28.48,240,5.6,6.00,1009.19,17.00,23.2,90
48421,THONG PHAPHUM,ทองผาภูมิ,กาญจนบุรี,14.74222,98.63639,14.00,07-09-2019,22:00:00,25.7,998.93,30.28,000,0.0,5.00,1010.31,0.00,24.2,92
48425,SUPHAN BURI,สุพรรณบุรี,สุพรรณบุรี,14.47444,100.13889,0.00,07-09-2019,22:00:00,28.9,1008.00,28.72,000,0.0,10.00,1009.01,0.00,23.4,72
48426,LOP BURI,ลพบุรี,ลพบุรี,14.79972,100.64500,1.80,07-09-2019,22:00:00,28.5,1007.09,29.05,180,3.7,8.00,1008.91,0.00,23.6,75
48427,U THONG AGROMET.,อู่ทอง สกษ.,สุพรรณบุรี,14.30361,99.86472,0.00,07-09-2019,22:00:00,28.9,1008.36,26.58,230,3.7,5.00,1009.12,0.00,22.1,67
48429,SUVARNABHUMI AIRPORT,สนามบินสุวรรณภูมิ,สมุทรปราการ,13.68639,100.76750,18.20,07-09-2019,22:00:00,24.1,1009.16,28.70,190,3.7,8.00,1009.87,17.80,23.4,96
48430,PRACHIN BURI,ปราจีนบุรี,ปราจีนบุรี,14.05842,101.36930,0.00,07-09-2019,22:00:00,27.0,1008.54,30.02,330,3.7,7.00,1009.25,0.00,24.1,84
48431,NAKHON RATCHASIMA,นครราชสีมา,นครราชสีมา,14.96830,102.08603,0.00,07-09-2019,22:00:00,29.6,986.85,29.52,250,7.4,10.00,1007.84,0.00,23.8,71
48432,SURIN,สุรินทร์,สุรินทร์,14.88333,103.50000,6.70,07-09-2019,22:00:00,26.2,991.30,31.22,000,0.0,7.00,1008.08,0.20,24.8,92
48433,SURIN AGROMET.,สุรินทร์ สกษ.,สุรินทร์,14.88333,103.45000,10.60,07-09-2019,22:00:00,26.0,991.88,30.84,000,0.0,7.00,1008.39,0.00,24.6,92
48434,CHOK CHAI,โชคชัย,นครราชสีมา,14.71889,102.16861,0.00,07-09-2019,22:00:00,28.6,986.28,30.07,000,0.0,10.00,1008.04,0.00,24.1,77
48435,PAKCHONG AGROMET.,ปากช่อง สกษ.,นครราชสีมา,14.64389,101.33194,0.00,07-09-2019,22:00:00,27.3,965.43,27.11,230,11.1,10.00,1008.69,0.00,22.4,75
48436,NANG RONG,นางรอง,บุรีรัมย์,14.58333,102.80000,0.00,07-09-2019,22:00:00,28.0,987.41,27.85,230,5.6,10.00,1007.92,0.00,22.9,74
48437,BURIRUM,บุรีรัมย์,บุรีรัมย์,15.22575,103.24808,1.60,07-09-2019,22:00:00,25.9,988.46,31.46,160,3.7,8.00,1009.40,1.60,24.9,94
48438,SAMUTSONGKRAM,สมุทรสงคราม,สมุทรสงคราม,13.40778,100.03222,0.10,07-09-2019,22:00:00,28.8,1009.01,29.63,360,7.4,10.00,1009.45,0.10,23.9,75
48439,KABIN BURI,กบินทร์บุรี,ปราจีนบุรี,13.98333,101.70722,2.30,07-09-2019,22:00:00,26.0,1008.28,30.30,270,9.3,6.00,1009.71,2.30,24.3,90
48440,SA KAEW,สระแก้ว,สระแก้ว,13.78889,102.03472,42.10,07-09-2019,22:00:00,25.6,1004.23,32.26,000,0.0,7.00,1009.19,0.00,25.3,98
48450,KANCHANA BURI,กาญจนบุรี,กาญจนบุรี,14.02250,99.53583,0.00,07-09-2019,22:00:00,29.0,1005.90,27.56,250,3.7,10.00,1009.18,0.00,22.7,69
48451,NAKHONPATHOM,นครปฐม,นครปฐม,14.01167,99.97000,0.00,07-09-2019,22:00:00,27.9,1008.26,30.09,000,0.0,10.00,1009.37,0.00,24.1,80
48453,BANG NA AGROMET.,กรุงเทพฯ บางนา สกษ.,กรุงเทพมหานคร,13.66639,100.60611,19.80,07-09-2019,22:00:00,24.8,1009.17,28.90,000,0.0,8.00,1009.47,19.80,23.5,92
48455,BANGKOK METROPOLIS,กรุงเทพมหานคร,กรุงเทพมหานคร,13.72639,100.56000,16.40,07-09-2019,22:00:00,25.3,1009.56,29.54,000,0.0,10.00,1010.05,10.20,23.8,92
48456,DON MUANG AIRPORT,สนามบินดอนเมือง,กรุงเทพมหานคร,13.91917,100.60500,8.80,07-09-2019,22:00:00,26.1,1008.28,30.48,170,11.1,10.00,1009.69,8.80,24.4,90
48458,CHACHOENGSAO,ฉะเชิงเทรา,ฉะเชิงเทรา,13.51556,101.45833,0.00,07-09-2019,22:00:00,27.2,1002.93,32.05,230,3.7,10.00,1010.96,0.00,25.2,89
48459,CHON BURI,ชลบุรี,ชลบุรี,13.36667,100.98333,0.00,07-09-2019,22:00:00,27.0,1009.00,31.38,000,0.0,10.00,1009.29,0.00,24.8,88
48460,KO SICHANG,เกาะสีชัง,ชลบุรี,13.16167,100.80194,0.00,07-09-2019,22:00:00,29.0,1006.65,31.13,320,5.6,10.00,1009.78,0.00,24.7,78
48461,PHATTHAYA,พัทยา,ชลบุรี,12.92000,100.86944,0.00,07-09-2019,22:00:00,28.5,1002.42,29.60,210,7.4,10.00,1009.34,0.00,23.9,76
48462,ARANYA PRATHET,อรัญประเทศ,สระแก้ว,13.70000,102.58333,0.00,07-09-2019,22:00:00,27.0,1003.70,31.38,000,0.0,7.00,1009.32,0.00,24.8,88
48464,RATCHA BURI,ราชบุรี,ราชบุรี,13.48931,99.79239,0.00,07-09-2019,22:00:00,27.3,1009.04,29.50,000,0.0,10.00,1010.30,0.00,23.8,81
48465,PHETCHA BURI,เพชรบุรี,เพชรบุรี,12.99944,100.06056,0.00,07-09-2019,22:00:00,28.5,1010.48,31.54,000,0.0,11.00,1010.91,0.00,24.9,81
48474,NONG PHLUB AGROMET.,หนองพลับ สกษ.,ประจวบคีรีขันธ์,12.58333,99.73333,0.00,07-09-2019,22:00:00,25.3,997.36,27.46,000,0.0,10.00,1009.72,0.00,22.6,85
48475,HUA HIN,หัวหิน,ประจวบคีรีขันธ์,12.58611,99.96250,0.30,07-09-2019,22:00:00,27.8,1008.95,28.02,000,0.0,10.00,1009.67,0.00,23.0,75
48477,SATTAHIP,สัตหีบ,ชลบุรี,12.68333,100.98333,0.00,07-09-2019,22:00:00,29.5,1006.60,31.85,170,7.4,10.00,1009.02,0.00,25.1,77
48478,RAYONG,ระยอง,ระยอง,12.63222,101.34361,0.00,07-09-2019,22:00:00,28.2,1009.05,31.79,250,5.6,10.00,1009.57,0.00,25.1,83
48479,HUAI PONG AGROMET.,ห้วยโป่ง สกษ.,ระยอง,12.73333,101.13333,0.00,07-09-2019,22:00:00,26.8,1004.14,28.84,230,1.9,11.00,1009.31,0.00,23.4,82
48480,CHANTHA BURI,จันทบุรี,จันทบุรี,12.61667,102.11333,0.70,07-09-2019,22:00:00,28.5,1009.01,33.53,000,0.0,7.00,1009.42,0.00,26.0,86
48481,PHLIU  AGROMET.,พลิ้ว สกษ.,จันทบุรี,12.50861,102.17305,0.50,07-09-2019,22:00:00,27.4,1006.87,33.01,000,0.0,8.00,1009.64,0.00,25.7,90
48500,PRACHUAP KHIRIKHAN,ประจวบคีรีขันธ์,ประจวบคีรีขันธ์,11.83333,99.83333,0.00,07-09-2019,22:00:00,28.0,1009.06,27.32,000,0.0,10.00,1009.84,0.00,22.5,72
48501,TRAD,ตราด,ตราด,11.76667,102.88333,0.00,07-09-2019,22:00:00,26.8,1009.57,31.27,100,9.3,7.00,1010.03,0.00,24.8,89
48517,CHUMPHON,ชุมพร,ชุมพร,10.49875,99.18847,0.80,07-09-2019,22:00:00,28.2,1009.59,29.57,000,0.0,10.00,1010.27,0.00,23.9,77
48520,SAWI AGROMET.,สวี สกษ.,ชุมพร,10.33333,99.10000,0.00,07-09-2019,22:00:00,27.4,1008.32,31.89,000,0.0,8.00,1009.85,0.00,25.1,87
48532,RANONG,ระนอง,ระนอง,9.98333,98.61667,0.00,07-09-2019,22:00:00,27.5,1009.53,30.97,000,0.0,10.00,1010.44,0.00,24.6,84
48550,KO SAMUI,เกาะสมุย,สุราษฎร์ธานี,9.46667,100.05000,0.00,07-09-2019,22:00:00,28.1,1010.15,30.20,000,0.0,10.00,1010.83,0.00,24.2,79
48551,SURAT THANI,สุราษฎร์ธานี,สุราษฎร์ธานี,9.13556,99.15194,0.00,07-09-2019,22:00:00,26.0,1010.06,30.84,000,0.0,8.00,1010.86,0.00,24.6,92
48552,NAKHONSI THAMMARAT,นครศรีธรรมราช,นครศรีธรรมราช,8.53778,99.96389,0.00,07-09-2019,22:00:00,28.4,1009.26,33.04,000,0.0,10.00,1009.89,0.00,25.7,85
48554,NAKHONSI THAMMARAT AGROMET.,นครศรีธรรมราช สกษ.,นครศรีธรรมราช,8.35931,100.00000,0.01,07-09-2019,22:00:00,27.2,1010.13,31.22,000,0.0,10.00,1010.53,0.00,24.8,87
48555,SURAT THANI AGROMET.,สุราษฎร์ธานี สกษ.,สุราษฎร์ธานี,9.10000,99.63333,0.00,07-09-2019,22:00:00,27.5,1008.46,30.15,140,5.6,5.00,1012.69,0.00,24.2,82
48556,PHRA SANG,พระแสง สอท.,สุราษฎร์ธานี,8.57022,99.25825,0.00,07-09-2019,22:00:00,26.1,1010.07,30.22,000,0.0,10.00,1011.69,0.00,24.2,89
48557,CHAWANG,ฉวาง,นครศรีธรรมราช,8.43194,99.51194,0.00,07-09-2019,22:00:00,27.2,1007.22,32.61,000,0.0,8.00,1010.71,0.00,25.5,90
48560,PHATTHALUNG AGROMET.,พัทลุง สกษ.,พัทลุง,7.58333,100.16667,1.20,07-09-2019,22:00:00,26.5,1009.39,31.79,000,0.0,10.00,1010.75,0.00,25.1,92
48561,TAKUA PA,ตะกั่วป่า,พังงา,8.68417,98.25222,0.00,07-09-2019,22:00:00,26.7,1009.35,31.08,000,0.0,12.00,1010.24,0.00,24.7,89
48563,KRABI,กระบี่,กระบี่,8.10361,98.97528,0.00,07-09-2019,22:00:00,27.7,1007.23,31.64,000,0.0,10.00,1010.79,0.00,25.0,85
48564,PHUKET,ภูเก็ต,ภูเก็ต,7.88333,98.40000,0.00,07-09-2019,22:00:00,29.0,1010.20,31.13,000,0.0,10.00,1010.63,0.00,24.7,78
48565,PHUKET AIRPORT,ภูเก็ต (ศูนย์ฯ),ภูเก็ต,8.14500,98.31444,0.00,07-09-2019,22:00:00,27.9,1009.19,34.03,000,0.0,10.00,1010.18,0.00,26.2,91
48566,KO LANTA,เกาะลันตา,กระบี่,7.53333,99.05000,0.00,07-09-2019,22:00:00,28.6,1010.14,31.46,000,0.0,10.00,1010.96,0.00,24.9,80
48567,TRANG AIRPORT,ตรัง,ตรัง,7.51667,99.61667,0.00,07-09-2019,22:00:00,26.5,1009.29,30.70,000,0.0,10.00,1011.11,0.00,24.5,89
48568,SONGKHLA,สงขลา,สงขลา,7.18211,100.60769,1.30,07-09-2019,22:00:00,28.4,1009.79,28.59,200,3.7,10.00,1010.54,0.00,23.3,74
48569,HAT YAI AIRPORT,หาดใหญ่,สงขลา,6.91667,100.43333,0.00,07-09-2019,22:00:00,26.7,1006.95,29.99,000,0.0,10.00,1010.97,0.00,24.1,86
48570,SATUN,สตูล,สตูล,6.65000,100.08333,10.30,07-09-2019,22:00:00,26.0,1010.41,30.03,000,0.0,10.00,1011.10,0.00,24.1,89
48571,KHO HONG AGROMET.,คอหงษ์ สกษ.,สงขลา,7.00000,100.50000,0.00,07-09-2019,22:00:00,27.2,1010.01,29.31,000,0.0,10.00,1011.13,0.00,23.7,81
48574,SA DAO,สะเดา,สงขลา,6.79806,100.39056,0.00,07-09-2019,22:00:00,27.5,1007.84,31.25,000,0.0,10.00,1010.76,0.00,24.8,85
48580,PATTANI AIRPORT,ปัตตานี,ปัตตานี,6.78333,101.15000,1.80,07-09-2019,22:00:00,27.5,1009.30,33.50,000,0.0,7.00,1009.99,1.80,25.9,91
48581,YALA AGROMET.,ยะลา สกษ.,ยะลา,6.51667,101.28333,0.00,07-09-2019,22:00:00,26.2,1006.92,28.01,230,3.7,8.00,1011.07,0.00,23.0,82
48583,NARATHIWAT,นราธิวาส,นราธิวาส,6.41667,101.81667,0.00,07-09-2019,22:00:00,25.5,1009.95,24.78,000,0.0,10.00,1010.54,0.00,20.9,76
