WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,RelativeHumidity,Date,Time,Rainfall,StationPressure,VaporPressure,Rainfall24Hr,WindDirection,MaximumTemperature,LandVisibility,AirTemperature,DewPoint,WindSpeed,MeanSeaLevelPressure
48300,MAE HONG SON,แม่ฮ่องสอน,แม่ฮ่องสอน,19.29897,97.97578,88,07-27-2019,19:00:00,1.60,975.74,28.95,5.00,000,30.1,10.00,25.7,23.5,0.0,1006.68
48302,DOI ANG KANG,ดอยอ่างขาง,เชียงใหม่,19.93139,99.04833,99,07-27-2019,19:00:00,0.30,843.39,19.90,29.70,270,18.5,3.00,17.6,17.4,11.1,1004.91
48303,CHIANG RAI,เชียงราย,เชียงราย,19.96139,99.88139,80,07-27-2019,19:00:00,0.00,961.86,27.95,8.60,230,28.4,12.00,26.6,22.9,3.7,1005.26
48304,CHAING RAI AGROMET.,เชียงราย สกษ.,เชียงราย,19.87083,99.78278,80,07-27-2019,19:00:00,0.00,960.25,27.77,17.60,240,29.0,12.00,26.5,22.8,7.4,1005.57
48307,THUNG CHANG,ทุ่งช้าง,น่าน,19.41194,100.88353,80,07-27-2019,19:00:00,0.00,970.51,27.77,3.60,000,28.5,8.00,26.5,22.8,0.0,1008.09
48310,PHAYAO,พะเยา,พะเยา,19.13333,99.90000,91,07-27-2019,19:00:00,0.00,960.70,28.11,16.70,060,27.0,9.00,24.5,23.0,7.4,1005.89
48315,THA WANGPHA,ท่าวังผา,น่าน,19.11056,100.80250,80,07-27-2019,19:00:00,0.00,980.08,27.77,2.70,170,28.8,12.00,26.5,22.8,5.6,1006.77
48324,THOEN,เถิน,ลำปาง,17.63661,99.24475,82,07-27-2019,19:00:00,0.00,984.46,29.58,1.80,080,28.8,10.00,27.2,23.9,1.9,1006.13
48325,MAE SARIANG,แม่สะเรียง,แม่ฮ่องสอน,18.16667,97.93333,88,07-27-2019,19:00:00,0.30,982.98,30.43,1.10,000,28.5,8.00,26.5,24.3,0.0,1007.06
48327,CHIANG MAI,เชียงใหม่,เชียงใหม่,18.79000,98.97694,91,07-27-2019,19:00:00,3.10,972.14,28.11,16.30,000,26.2,10.00,24.5,23.0,0.0,1006.81
48328,LAMPANG,ลำปาง,ลำปาง,18.28333,99.51667,96,07-27-2019,19:00:00,0.80,979.07,29.05,17.40,000,25.7,10.00,24.3,23.6,0.0,1006.77
48329,LAMPHUN,ลำพูน,ลำพูน,18.56722,99.03389,94,07-27-2019,19:00:00,1.10,972.75,28.36,11.20,000,25.8,10.00,24.2,23.2,0.0,1006.50
48330,PHRAE,แพร่,แพร่,18.16667,100.16667,97,07-27-2019,19:00:00,0.10,988.13,29.13,15.90,000,25.5,12.00,24.2,23.6,0.0,1006.77
48331,NAN,น่าน,น่าน,18.77972,100.77778,79,07-27-2019,19:00:00,0.00,983.88,27.15,4.00,000,28.7,10.00,26.3,22.4,0.0,1006.70
48333,NAN AGROMET.,น่าน สกษ.,น่าน,18.86667,100.75000,88,07-27-2019,19:00:00,0.00,976.94,27.96,5.80,000,27.4,10.00,25.0,22.9,0.0,1006.95
48334,LAMPANG AGROMET.,ลำปาง สกษ.,ลำปาง,18.31667,99.28333,96,07-27-2019,19:00:00,0.80,970.93,28.88,12.40,000,24.7,6.00,24.2,23.5,0.0,1006.65
48350,LOEI AGROMET.,เลย สกษ.,เลย,17.40000,101.73333,70,07-27-2019,19:00:00,0.00,975.41,28.02,0.00,000,35.6,15.00,29.1,23.0,0.0,1004.79
48351,UTTARADIT,อุตรดิตถ์,อุตรดิตถ์,17.61667,100.10000,88,07-27-2019,19:00:00,0.00,999.55,29.50,3.50,000,27.2,7.00,26.0,23.8,0.0,1006.87
48352,NONG KHAI,หนองคาย,หนองคาย,17.86717,102.73303,66,07-27-2019,19:00:00,0.00,984.61,29.68,0.00,230,34.5,15.00,31.1,23.9,7.4,1004.17
48353,LOEI,เลย,เลย,17.45000,101.73333,57,07-27-2019,19:00:00,0.00,976.99,23.16,0.00,330,34.2,15.00,29.3,19.9,9.3,1005.35
48354,UDON THANI,อุดรธานี,อุดรธานี,17.38333,102.80000,58,07-27-2019,19:00:00,0.00,984.76,25.82,0.00,300,33.8,15.00,30.8,21.6,9.3,1004.62
48355,SAKON NAKHON AGROMET.,สกลนคร สกษ.,สกลนคร,17.12503,104.06100,74,07-27-2019,19:00:00,0.00,982.94,32.17,0.00,000,33.8,12.00,30.5,25.3,0.0,1004.34
48356,SAKON NAKHON,สกลนคร,สกลนคร,17.15000,104.13333,67,07-27-2019,19:00:00,0.00,984.82,29.65,0.00,260,33.6,12.00,30.8,23.9,1.9,1003.99
48357,NAKHON PHANOM,นครพนม,นครพนม,17.41083,104.78250,78,07-27-2019,19:00:00,0.00,988.26,32.13,11.30,000,32.3,12.00,29.5,25.2,0.0,1004.82
48358,NAKHON PHANOM AGROMET.,นครพนม สกษ.,นครพนม,17.44306,104.77361,81,07-27-2019,19:00:00,0.00,987.35,32.55,2.20,000,32.0,12.00,29.0,25.5,0.0,1004.59
48360,NONG BUA LAM PHU,หนองบัวลำภู,หนองบัวลำภู,17.23250,102.42944,68,07-27-2019,19:00:00,0.00,978.22,29.89,0.00,300,35.2,12.00,30.5,24.0,5.6,1003.60
48372,SUKHOTHAI*,สุโขทัย,สุโขทัย,17.10611,99.80000,92,07-27-2019,19:00:00,0.00,1000.37,31.99,0.30,000,28.0,10.00,26.6,25.2,0.0,1006.16
48373,SI SAMRONG AGROMET.,ศรีสำโรง สกษ.,สุโขทัย,17.16136,99.86167,90,07-27-2019,19:00:00,0.00,1000.01,31.05,0.70,000,27.5,10.00,26.4,24.7,0.0,1006.21
48374,LOM SAK,หล่มสัก,เพชรบูรณ์,16.77361,101.24944,61,07-27-2019,19:00:00,0.00,989.70,25.30,0.00,000,33.0,10.00,29.5,21.3,0.0,1005.99
48375,MAE SOT,แม่สอด,ตาก,16.65917,98.55083,80,07-27-2019,19:00:00,0.00,983.18,27.77,1.60,270,30.0,10.00,26.5,22.8,5.6,1005.49
48376,TAK,ตาก,ตาก,16.87833,99.14333,62,07-27-2019,19:00:00,0.00,992.33,25.39,0.00,260,31.0,10.00,29.4,21.3,9.3,1006.59
48377,BHUMIBOL DAM,เขื่อนภูมิพล,ตาก,17.24389,99.00250,61,07-27-2019,19:00:00,0.00,989.66,25.30,0.00,240,30.7,10.00,29.5,21.3,7.4,1005.89
48378,PHITSANULOK,พิษณุโลก,พิษณุโลก,16.79481,100.27930,81,07-27-2019,19:00:00,0.00,1000.93,30.26,0.01,000,29.8,10.00,27.7,24.2,0.0,1006.14
48379,PHETCHABUN,เพชรบูรณ์,เพชรบูรณ์,16.43333,101.15000,71,07-27-2019,19:00:00,0.00,991.53,29.33,0.30,000,32.1,12.00,29.5,23.7,0.0,1004.58
48380,KAMPHAENG PHET,กำแพงเพชร,กำแพงเพชร,16.48681,99.52697,78,07-27-2019,19:00:00,0.00,996.87,30.15,0.90,000,31.3,12.00,28.5,24.2,0.0,1006.14
48381,KHON KAEN,ขอนแก่น,ขอนแก่น,16.46111,102.78972,64,07-27-2019,19:00:00,0.00,982.93,28.84,1.50,290,34.4,10.00,31.1,23.4,3.7,1004.26
48382,MAHASARAKHAM,มหาสารคาม,มหาสารคาม,16.24722,103.06805,78,07-27-2019,19:00:00,0.00,987.40,31.13,0.00,000,34.2,12.00,29.0,24.7,0.0,1004.75
48383,MUKDAHAN,มุกดาหาร,มุกดาหาร,16.54139,104.72889,75,07-27-2019,19:00:00,0.00,988.50,32.75,0.60,000,34.2,10.00,30.5,25.6,0.0,1004.11
48384,THA PHRA AGROMET.,ท่าพระ สกษ.,ขอนแก่น,16.33333,102.81667,73,07-27-2019,19:00:00,0.00,985.02,33.57,0.00,000,35.0,10.00,31.3,26.0,0.0,1003.57
48385,UMPHANG,อุ้มผาง,ตาก,16.02472,98.86444,77,07-27-2019,19:00:00,0.00,955.10,27.00,3.80,000,28.6,10.00,26.8,22.4,0.0,1006.09
48386,PICHIT AGROMET.,พิจิตร สกษ.,พิจิตร,16.43806,100.29250,73,07-27-2019,19:00:00,0.01,1002.08,28.62,5.00,000,30.0,8.00,28.7,23.3,0.0,1006.01
48387,DOI MU SOE AGROMET.,ดอยมูเซอร์ สกษ.,ตาก,16.75000,98.93333,94,07-27-2019,19:00:00,0.00,912.42,24.28,2.80,250,23.2,6.00,21.7,20.6,11.1,1007.50
48390,KALASIN,กาฬสินธุ์,กาฬสินธุ์,16.33250,103.58833,90,07-27-2019,19:00:00,3.80,988.94,32.81,3.80,000,35.3,8.00,27.3,25.6,0.0,1004.88
48400,NAKHON SAWAN,นครสวรรค์ ,นครสวรรค์,15.67183,100.13236,77,07-27-2019,19:00:00,0.00,1002.02,30.46,0.00,000,32.2,9.00,28.8,24.3,0.0,1006.02
48401,TAKFA AGROMET.,ตากฟ้า สกษ.,นครสวรรค์,15.34944,100.53028,62,07-27-2019,19:00:00,0.00,995.95,26.21,0.00,330,34.2,9.00,30.0,21.9,3.7,1006.51
48402,CHAINAT AGROMET.,ชัยนาท สกษ.,ชัยนาท,15.15000,100.18333,64,07-27-2019,19:00:00,0.00,1003.94,27.39,0.00,300,35.7,12.00,30.2,22.6,5.6,1005.84
48403,CHAIYAPHUM,ชัยภูมิ,ชัยภูมิ,15.80000,102.03333,55,07-27-2019,19:00:00,0.00,984.97,21.74,0.01,230,35.4,10.00,28.9,18.8,9.3,1005.67
48404,ROI ET AGROMET.,ร้อยเอ็ด สกษ.,ร้อยเอ็ด,16.07322,103.60844,77,07-27-2019,19:00:00,0.00,986.88,29.38,0.10,000,33.8,10.00,28.1,23.7,0.0,1004.43
