WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,VaporPressure,Date,Time,AirTemperature,DewPoint,StationPressure,WindDirection,LandVisibility,Rainfall,RelativeHumidity,Rainfall24Hr,MeanSeaLevelPressure,WindSpeed
48300,MAE HONG SON,แม่ฮ่องสอน,แม่ฮ่องสอน,19.29897,97.97578,30.15,07-12-2019,01:00:00,25.2,24.2,978.91,000,8.00,0.60,94,7.40,1010.00,0.0
48302,DOI ANG KANG,ดอยอ่างขาง,เชียงใหม่,19.93139,99.04833,20.41,07-12-2019,01:00:00,18.0,17.8,845.98,270,8.00,0.00,99,5.50,1007.75,27.8
48303,CHIANG RAI,เชียงราย,เชียงราย,19.96139,99.88139,26.74,07-12-2019,01:00:00,26.8,22.2,964.37,300,10.00,0.00,76,0.30,1007.86,1.9
48304,CHAING RAI AGROMET.,เชียงราย สกษ.,เชียงราย,19.87083,99.78278,29.52,07-12-2019,01:00:00,26.3,23.8,962.36,220,12.00,0.00,86,5.00,1007.82,9.3
48307,THUNG CHANG,ทุ่งช้าง,น่าน,19.41194,100.88353,32.35,07-12-2019,01:00:00,26.5,25.4,970.67,000,5.00,0.00,93,0.00,1008.26,0.0
48310,PHAYAO,พะเยา,พะเยา,19.13333,99.90000,29.17,07-12-2019,01:00:00,26.4,23.6,963.33,060,7.00,0.40,85,0.40,1008.35,5.6
48315,THA WANGPHA,ท่าวังผา,น่าน,19.11056,100.80250,28.10,07-12-2019,01:00:00,27.7,23.0,982.05,140,8.00,0.00,76,0.00,1008.68,3.7
48324,THOEN,เถิน,ลำปาง,17.63661,99.24475,29.36,07-12-2019,01:00:00,25.2,23.7,987.67,000,12.00,0.00,92,0.01,1009.56,0.0
48325,MAE SARIANG,แม่สะเรียง,แม่ฮ่องสอน,18.16667,97.93333,28.53,07-12-2019,01:00:00,24.0,23.3,986.87,000,6.00,0.00,96,2.70,1011.25,0.0
48327,CHIANG MAI,เชียงใหม่,เชียงใหม่,18.79000,98.97694,26.88,07-12-2019,01:00:00,26.0,22.3,973.82,180,10.00,0.00,80,0.20,1008.38,3.7
48328,LAMPANG,ลำปาง,ลำปาง,18.28333,99.51667,27.36,07-12-2019,01:00:00,27.0,22.6,982.05,000,10.00,0.00,77,0.00,1009.59,0.0
48329,LAMPHUN,ลำพูน,ลำพูน,18.56722,99.03389,25.49,07-12-2019,01:00:00,27.7,21.4,975.45,000,10.00,0.00,69,0.00,1008.90,0.0
48330,PHRAE,แพร่,แพร่,18.16667,100.16667,31.13,07-12-2019,01:00:00,26.3,24.7,990.10,000,10.00,0.00,91,2.40,1008.65,0.0
