WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,MeanSeaLevelPressure,Date,Time,DewPoint,Rainfall24Hr,WindSpeed,Rainfall,RelativeHumidity,VaporPressure,WindDirection,LandVisibility,StationPressure,AirTemperature
48552,NAKHONSI THAMMARAT,นครศรีธรรมราช,นครศรีธรรมราช,8.53778,99.96389,1008.60,08-27-2019,13:00:00,22.5,1.50,13.0,0.00,57,27.19,300,10.00,1007.97,32.1
48554,NAKHONSI THAMMARAT AGROMET.,นครศรีธรรมราช สกษ.,นครศรีธรรมราช,8.35931,100.00000,1008.95,08-27-2019,13:00:00,25.1,5.60,11.1,0.00,59,31.90,240,10.00,1008.55,34.4
48555,SURAT THANI AGROMET.,สุราษฎร์ธานี สกษ.,สุราษฎร์ธานี,9.10000,99.63333,1010.79,08-27-2019,13:00:00,24.0,1.00,5.6,0.01,73,29.77,250,6.00,1006.60,29.3
48556,PHRA SANG,พระแสง สอท.,สุราษฎร์ธานี,8.57022,99.25825,1009.53,08-27-2019,13:00:00,23.1,14.80,9.3,0.20,67,28.26,230,12.00,1007.93,29.8
48557,CHAWANG,ฉวาง,นครศรีธรรมราช,8.43194,99.51194,1009.55,08-27-2019,13:00:00,25.4,9.30,7.4,1.30,86,32.52,240,8.00,1006.08,28.0
48560,PHATTHALUNG AGROMET.,พัทลุง สกษ.,พัทลุง,7.58333,100.16667,1009.31,08-27-2019,13:00:00,23.1,8.40,7.4,0.00,68,28.23,270,10.00,1007.97,29.5
48561,TAKUA PA,ตะกั่วป่า,พังงา,8.68417,98.25222,1009.80,08-27-2019,13:00:00,24.7,58.40,18.5,0.00,78,31.13,240,10.00,1008.92,29.0
48563,KRABI,กระบี่,กระบี่,8.10361,98.97528,1009.34,08-27-2019,13:00:00,23.5,6.20,5.6,0.00,68,28.91,250,10.00,1005.81,30.0
48564,PHUKET,ภูเก็ต,ภูเก็ต,7.88333,98.40000,1009.47,08-27-2019,13:00:00,23.0,9.40,11.1,0.00,63,28.09,260,10.00,1009.04,31.0
48566,KO LANTA,เกาะลันตา,กระบี่,7.53333,99.05000,1009.69,08-27-2019,13:00:00,25.4,1.40,27.8,0.00,82,32.42,280,10.00,1008.88,28.8
48567,TRANG AIRPORT,ตรัง,ตรัง,7.51667,99.61667,1009.43,08-27-2019,13:00:00,24.8,12.90,11.1,3.00,70,31.27,280,13.00,1007.64,30.9
48568,SONGKHLA,สงขลา,สงขลา,7.18211,100.60769,1009.76,08-27-2019,13:00:00,22.5,2.20,9.3,0.00,64,27.28,250,12.00,1009.01,30.0
48569,HAT YAI AIRPORT,หาดใหญ่,สงขลา,6.91667,100.43333,1010.25,08-27-2019,13:00:00,23.9,17.00,5.6,0.01,73,29.57,990,10.00,1006.27,29.2
48570,SATUN,สตูล,สตูล,6.65000,100.08333,1010.38,08-27-2019,13:00:00,25.1,1.10,9.3,0.50,79,31.89,240,10.00,1009.70,29.1
48571,KHO HONG AGROMET.,คอหงษ์ สกษ.,สงขลา,7.00000,100.50000,1009.90,08-27-2019,13:00:00,24.5,3.00,9.3,0.00,75,30.72,240,10.00,1008.79,29.5
48574,SA DAO,สะเดา,สงขลา,6.79806,100.39056,1010.32,08-27-2019,13:00:00,24.8,9.00,0.0,0.00,77,31.36,000,10.00,1007.41,29.4
48580,PATTANI AIRPORT,ปัตตานี,ปัตตานี,6.78333,101.15000,1009.73,08-27-2019,13:00:00,24.9,18.70,0.0,2.90,88,31.58,000,10.00,1009.04,27.1
48581,YALA AGROMET.,ยะลา สกษ.,ยะลา,6.51667,101.28333,1010.82,08-27-2019,13:00:00,23.2,17.60,11.1,10.40,90,28.48,230,7.00,1006.65,25.0
