WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,StationPressure,Date,Time,MeanSeaLevelPressure,RelativeHumidity,Rainfall,WindSpeed,Rainfall24Hr,WindDirection,LandVisibility,VaporPressure,DewPoint,AirTemperature
48479,HUAI PONG AGROMET.,ห้วยโป่ง สกษ.,ระยอง,12.73333,101.13333,1005.31,09-21-2019,22:00:00,1010.50,90,0.40,3.7,3.70,260,7.00,30.11,24.2,25.9
48480,CHANTHA BURI,จันทบุรี,จันทบุรี,12.61667,102.11333,1010.31,09-21-2019,22:00:00,1010.72,95,0.00,0.0,53.70,000,7.00,32.91,25.6,26.5
48481,PHLIU  AGROMET.,พลิ้ว สกษ.,จันทบุรี,12.50861,102.17305,1008.01,09-21-2019,22:00:00,1010.80,98,0.00,0.0,31.70,000,8.00,32.45,25.4,25.7
48500,PRACHUAP KHIRIKHAN,ประจวบคีรีขันธ์,ประจวบคีรีขันธ์,11.83333,99.83333,1010.72,09-21-2019,22:00:00,1011.51,93,1.60,0.0,4.30,000,6.00,30.44,24.3,25.5
48501,TRAD,ตราด,ตราด,11.76667,102.88333,1010.57,09-21-2019,22:00:00,1011.03,94,0.00,5.6,12.20,080,6.00,30.71,24.5,25.5
48517,CHUMPHON,ชุมพร,ชุมพร,10.49875,99.18847,1009.91,09-21-2019,22:00:00,1010.59,86,0.00,0.0,1.20,000,8.00,30.64,24.4,26.9
48520,SAWI AGROMET.,สวี สกษ.,ชุมพร,10.33333,99.10000,1008.76,09-21-2019,22:00:00,1010.30,82,0.00,0.0,5.60,000,7.00,28.29,23.1,26.5
48532,RANONG,ระนอง,ระนอง,9.98333,98.61667,1009.85,09-21-2019,22:00:00,1010.77,88,0.00,0.0,2.20,000,10.00,28.67,23.3,25.4
48550,KO SAMUI,เกาะสมุย,สุราษฎร์ธานี,9.46667,100.05000,1009.86,09-21-2019,22:00:00,1010.56,96,0.40,0.0,1.70,000,10.00,31.25,24.8,25.5
48551,SURAT THANI,สุราษฎร์ธานี,สุราษฎร์ธานี,9.13556,99.15194,1009.93,09-21-2019,22:00:00,1010.74,96,0.00,0.0,0.00,000,7.00,30.32,24.3,25.0
48552,NAKHONSI THAMMARAT,นครศรีธรรมราช,นครศรีธรรมราช,8.53778,99.96389,1010.13,09-21-2019,22:00:00,1010.77,94,0.00,0.0,0.20,000,10.00,31.65,25.0,26.0
48554,NAKHONSI THAMMARAT AGROMET.,นครศรีธรรมราช สกษ.,นครศรีธรรมราช,8.35931,100.00000,1010.08,09-21-2019,22:00:00,1010.49,94,0.00,0.0,0.10,000,10.00,32.23,25.3,26.3
48555,SURAT THANI AGROMET.,สุราษฎร์ธานี สกษ.,สุราษฎร์ธานี,9.10000,99.63333,1007.75,09-21-2019,22:00:00,1012.00,97,0.00,0.0,15.40,000,5.00,30.96,24.6,25.2
48556,PHRA SANG,พระแสง สอท.,สุราษฎร์ธานี,8.57022,99.25825,1008.98,09-21-2019,22:00:00,1010.61,93,0.00,0.0,0.00,000,10.00,30.63,24.4,25.6
48557,CHAWANG,ฉวาง,นครศรีธรรมราช,8.43194,99.51194,1006.81,09-21-2019,22:00:00,1010.31,93,0.00,0.0,0.70,000,7.00,31.00,24.6,25.8
48560,PHATTHALUNG AGROMET.,พัทลุง สกษ.,พัทลุง,7.58333,100.16667,1010.65,09-21-2019,22:00:00,1012.02,95,0.00,3.7,0.60,270,9.00,31.55,24.9,25.8
48561,TAKUA PA,ตะกั่วป่า,พังงา,8.68417,98.25222,1008.47,09-21-2019,22:00:00,1009.36,94,0.00,0.0,0.00,000,10.00,31.65,25.0,26.0
48563,KRABI,กระบี่,กระบี่,8.10361,98.97528,1006.92,09-21-2019,22:00:00,1010.50,88,0.00,0.0,0.00,000,10.00,29.50,23.8,26.0
48564,PHUKET,ภูเก็ต,ภูเก็ต,7.88333,98.40000,1009.60,09-21-2019,22:00:00,1010.03,82,0.00,0.0,0.00,000,10.00,30.64,24.4,27.9
48565,PHUKET AIRPORT,ภูเก็ต (ศูนย์ฯ),ภูเก็ต,8.14500,98.31444,1008.51,09-21-2019,22:00:00,1009.51,90,0.00,0.0,0.00,000,10.00,31.44,24.9,26.6
48566,KO LANTA,เกาะลันตา,กระบี่,7.53333,99.05000,1009.70,09-21-2019,22:00:00,1010.52,85,0.00,5.6,0.00,080,10.00,29.72,23.9,26.7
48567,TRANG AIRPORT,ตรัง,ตรัง,7.51667,99.61667,1008.89,09-21-2019,22:00:00,1010.71,88,0.00,0.0,0.00,000,6.00,32.36,25.4,27.5
48568,SONGKHLA,สงขลา,สงขลา,7.18211,100.60769,1010.06,09-21-2019,22:00:00,1010.81,86,0.00,0.0,1.20,000,4.00,30.45,24.3,26.8
48569,HAT YAI AIRPORT,หาดใหญ่,สงขลา,6.91667,100.43333,1006.94,09-21-2019,22:00:00,1010.95,90,0.00,3.7,0.00,080,5.00,31.44,24.9,26.6
48570,SATUN,สตูล,สตูล,6.65000,100.08333,1010.95,09-21-2019,22:00:00,1011.64,94,0.00,0.0,0.00,000,6.00,32.63,25.5,26.5
48571,KHO HONG AGROMET.,คอหงษ์ สกษ.,สงขลา,7.00000,100.50000,1009.49,09-21-2019,22:00:00,1010.60,82,0.00,0.0,0.00,000,10.00,30.92,24.6,27.9
48574,SA DAO,สะเดา,สงขลา,6.79806,100.39056,1007.98,09-21-2019,22:00:00,1010.91,93,0.00,0.0,0.00,000,7.00,31.96,25.1,26.3
48580,PATTANI AIRPORT,ปัตตานี,ปัตตานี,6.78333,101.15000,1009.84,09-21-2019,22:00:00,1010.53,90,0.00,0.0,0.00,000,6.00,32.21,25.3,27.0
48581,YALA AGROMET.,ยะลา สกษ.,ยะลา,6.51667,101.28333,1006.13,09-21-2019,22:00:00,1010.29,90,0.00,3.7,0.00,290,4.00,28.83,23.4,25.2
48583,NARATHIWAT,นราธิวาส,นราธิวาส,6.41667,101.81667,1010.57,09-21-2019,22:00:00,1011.17,97,81.10,0.0,81.10,000,4.00,28.78,23.4,24.0
