WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,VaporPressure,Date,Time,RelativeHumidity,Rainfall24Hr,StationPressure,WindDirection,DewPoint,WindSpeed,LandVisibility,MeanSeaLevelPressure,AirTemperature,Rainfall
48300,MAE HONG SON,แม่ฮ่องสอน,แม่ฮ่องสอน,19.29897,97.97578,26.09,10-07-2019,01:00:00,91,3.20,981.59,000,21.8,0.0,8.00,1012.97,23.3,0.00
48302,DOI ANG KANG,ดอยอ่างขาง,เชียงใหม่,19.93139,99.04833,22.40,10-07-2019,01:00:00,97,0.00,851.66,180,19.3,9.3,8.00,1013.46,19.8,0.00
48303,CHIANG RAI,เชียงราย,เชียงราย,19.96139,99.88139,25.60,10-07-2019,01:00:00,91,0.01,969.48,040,21.5,3.7,10.00,1013.77,23.0,0.00
48304,CHAING RAI AGROMET.,เชียงราย สกษ.,เชียงราย,19.87083,99.78278,25.68,10-07-2019,01:00:00,94,1.00,967.61,000,21.5,0.0,10.00,1013.90,22.6,0.00
48307,THUNG CHANG,ทุ่งช้าง,น่าน,19.41194,100.88353,27.40,10-07-2019,01:00:00,100,0.90,975.87,000,22.6,0.0,6.00,1014.16,22.6,0.00
48310,PHAYAO,พะเยา,พะเยา,19.13333,99.90000,26.01,10-07-2019,01:00:00,94,2.50,968.12,000,21.7,0.0,8.00,1013.93,22.8,0.00
48315,THA WANGPHA,ท่าวังผา,น่าน,19.11056,100.80250,26.58,10-07-2019,01:00:00,96,3.00,986.81,000,22.1,0.0,5.00,1014.02,22.7,0.00
48324,THOEN,เถิน,ลำปาง,17.63661,99.24475,28.35,10-07-2019,01:00:00,96,3.00,989.72,000,23.2,0.0,5.00,1011.76,23.9,0.00
48325,MAE SARIANG,แม่สะเรียง,แม่ฮ่องสอน,18.16667,97.93333,26.83,10-07-2019,01:00:00,96,0.90,987.55,000,22.2,0.0,6.00,1012.03,23.0,0.00
48327,CHIANG MAI,เชียงใหม่,เชียงใหม่,18.79000,98.97694,25.84,10-07-2019,01:00:00,87,16.50,978.08,000,21.6,0.0,10.00,1013.04,23.9,0.00
48328,LAMPANG,ลำปาง,ลำปาง,18.28333,99.51667,27.66,10-07-2019,01:00:00,96,0.10,985.70,000,22.8,0.0,10.00,1013.66,23.5,0.00
48329,LAMPHUN,ลำพูน,ลำพูน,18.56722,99.03389,27.00,10-07-2019,01:00:00,92,0.00,979.01,000,22.3,0.0,8.00,1013.04,23.7,0.00
48330,PHRAE,แพร่,แพร่,18.16667,100.16667,28.01,10-07-2019,01:00:00,94,0.00,993.32,290,23.0,1.9,4.00,1012.07,24.0,0.00
48331,NAN,น่าน,น่าน,18.77972,100.77778,26.50,10-07-2019,01:00:00,92,0.00,989.72,000,22.0,0.0,10.00,1012.90,23.4,0.00
48333,NAN AGROMET.,น่าน สกษ.,น่าน,18.86667,100.75000,24.98,10-07-2019,01:00:00,95,0.00,982.77,000,21.1,0.0,7.00,1013.27,22.0,0.00
48334,LAMPANG AGROMET.,ลำปาง สกษ.,ลำปาง,18.31667,99.28333,28.53,10-07-2019,01:00:00,96,0.00,976.02,000,23.3,0.0,7.00,1011.95,24.0,0.00
48350,LOEI AGROMET.,เลย สกษ.,เลย,17.40000,101.73333,24.19,10-07-2019,01:00:00,93,1.00,981.66,000,20.6,0.0,5.00,1011.97,21.8,0.00
48351,UTTARADIT,อุตรดิตถ์,อุตรดิตถ์,17.61667,100.10000,27.66,10-07-2019,01:00:00,82,0.00,1003.89,000,22.7,0.0,8.00,1011.24,26.0,0.00
48352,NONG KHAI,หนองคาย,หนองคาย,17.86717,102.73303,29.38,10-07-2019,01:00:00,90,5.80,992.14,350,23.7,3.7,5.00,1012.22,25.5,5.80
48354,UDON THANI,อุดรธานี,อุดรธานี,17.38333,102.80000,29.21,10-07-2019,01:00:00,89,3.00,991.73,290,23.7,1.9,10.00,1012.07,25.7,0.00
48355,SAKON NAKHON AGROMET.,สกลนคร สกษ.,สกลนคร,17.12503,104.06100,27.41,10-07-2019,01:00:00,96,1.20,991.03,000,22.6,0.0,8.00,1013.15,23.2,0.00
48356,SAKON NAKHON,สกลนคร,สกลนคร,17.15000,104.13333,26.76,10-07-2019,01:00:00,87,0.01,992.25,000,22.2,0.0,10.00,1011.97,24.6,0.00
48357,NAKHON PHANOM,นครพนม,นครพนม,17.41083,104.78250,25.84,10-07-2019,01:00:00,86,9.00,995.93,000,21.6,0.0,11.00,1012.92,24.2,0.00
48358,NAKHON PHANOM AGROMET.,นครพนม สกษ.,นครพนม,17.44306,104.77361,25.84,10-07-2019,01:00:00,92,0.00,995.17,000,21.6,0.0,10.00,1012.90,23.0,0.00
48360,NONG BUA LAM PHU,หนองบัวลำภู,หนองบัวลำภู,17.23250,102.42944,28.75,10-07-2019,01:00:00,89,2.50,984.99,000,23.4,0.0,10.00,1010.99,25.3,0.00
48372,SUKHOTHAI*,สุโขทัย,สุโขทัย,17.10611,99.80000,32.86,10-07-2019,01:00:00,93,0.00,1005.44,000,25.6,0.0,8.00,1011.25,26.9,0.00
48373,SI SAMRONG AGROMET.,ศรีสำโรง สกษ.,สุโขทัย,17.16136,99.86167,32.77,10-07-2019,01:00:00,92,0.00,1005.00,000,25.6,0.0,6.00,1011.21,27.0,0.00
48374,LOM SAK,หล่มสัก,เพชรบูรณ์,16.77361,101.24944,25.43,10-07-2019,01:00:00,82,3.80,995.75,000,21.4,0.0,8.00,1012.39,24.7,0.00
48375,MAE SOT,แม่สอด,ตาก,16.65917,98.55083,28.11,10-07-2019,01:00:00,91,0.00,988.74,000,23.0,0.0,8.00,1011.34,24.5,0.00
48376,TAK,ตาก,ตาก,16.87833,99.14333,29.36,10-07-2019,01:00:00,92,0.00,997.77,280,23.7,3.7,6.00,1012.31,25.2,0.00
48377,BHUMIBOL DAM,เขื่อนภูมิพล,ตาก,17.24389,99.00250,28.88,10-07-2019,01:00:00,96,0.00,995.26,000,23.5,0.0,8.00,1011.87,24.2,0.00
48378,PHITSANULOK,พิษณุโลก,พิษณุโลก,16.79481,100.27930,30.65,10-07-2019,01:00:00,92,0.00,1006.39,000,24.4,0.0,6.00,1011.66,25.9,0.00
48379,PHETCHABUN,เพชรบูรณ์,เพชรบูรณ์,16.43333,101.15000,26.43,10-07-2019,01:00:00,83,0.00,997.17,000,22.0,0.0,10.00,1010.50,25.0,0.00
48380,KAMPHAENG PHET,กำแพงเพชร,กำแพงเพชร,16.48681,99.52697,31.74,10-07-2019,01:00:00,95,8.70,1001.68,000,25.0,0.0,10.00,1011.08,25.9,0.20
