WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,MeanSeaLevelPressure,Date,Time,VaporPressure,StationPressure,WindSpeed,MinimumTemperature,WindDirection,LandVisibility,Rainfall,DewPoint,AirTemperature,RelativeHumidity,Rainfall24Hr
48300,MAE HONG SON,แม่ฮ่องสอน,แม่ฮ่องสอน,19.29897,97.97578,1007.62,07-30-2019,07:00:00,30.17,976.64,0.0,23.0,000,10.00,0.00,24.2,25.5,93,0.30
48302,DOI ANG KANG,ดอยอ่างขาง,เชียงใหม่,19.93139,99.04833,1004.98,07-30-2019,07:00:00,20.41,843.65,24.1,17.7,300,5.00,0.00,17.8,18.0,99,9.50
48303,CHIANG RAI,เชียงราย,เชียงราย,19.96139,99.88139,1005.20,07-30-2019,07:00:00,27.70,961.84,3.7,26.7,170,12.00,0.00,22.8,26.9,78,0.00
48304,CHAING RAI AGROMET.,เชียงราย สกษ.,เชียงราย,19.87083,99.78278,1005.19,07-30-2019,07:00:00,29.28,959.71,0.0,24.0,000,15.00,0.00,23.7,25.3,91,0.01
48307,THUNG CHANG,ทุ่งช้าง,น่าน,19.41194,100.88353,1006.77,07-30-2019,07:00:00,29.82,968.94,0.0,23.7,000,8.00,14.00,24.0,24.0,100,20.80
48310,PHAYAO,พะเยา,พะเยา,19.13333,99.90000,1005.88,07-30-2019,07:00:00,28.18,960.91,3.7,25.3,050,8.00,0.00,23.1,26.0,84,0.00
48315,THA WANGPHA,ท่าวังผา,น่าน,19.11056,100.80250,1007.39,07-30-2019,07:00:00,29.77,980.53,3.7,23.5,130,5.00,10.20,24.0,24.7,96,46.10
48324,THOEN,เถิน,ลำปาง,17.63661,99.24475,1006.39,07-30-2019,07:00:00,25.87,984.62,1.9,25.8,350,10.00,0.00,21.6,26.0,77,0.00
48325,MAE SARIANG,แม่สะเรียง,แม่ฮ่องสอน,18.16667,97.93333,1008.73,07-30-2019,07:00:00,27.95,984.47,0.0,22.5,000,8.00,0.00,22.9,24.7,90,13.60
48327,CHIANG MAI,เชียงใหม่,เชียงใหม่,18.79000,98.97694,1006.76,07-30-2019,07:00:00,30.57,972.26,0.0,25.8,000,12.00,0.00,24.4,26.0,91,0.01
48328,LAMPANG,ลำปาง,ลำปาง,18.28333,99.51667,1007.87,07-30-2019,07:00:00,28.18,980.29,0.0,25.4,000,10.00,0.00,23.1,26.0,84,0.00
48329,LAMPHUN,ลำพูน,ลำพูน,18.56722,99.03389,1006.25,07-30-2019,07:00:00,28.92,972.78,5.6,26.2,240,10.00,0.00,23.5,26.7,83,0.00
48330,PHRAE,แพร่,แพร่,18.16667,100.16667,1005.91,07-30-2019,07:00:00,28.97,987.40,3.7,25.8,270,10.00,0.00,23.5,26.0,86,0.00
48331,NAN,น่าน,น่าน,18.77972,100.77778,1006.80,07-30-2019,07:00:00,30.98,983.91,0.0,25.1,000,5.00,0.50,24.6,25.5,95,3.10
48333,NAN AGROMET.,น่าน สกษ.,น่าน,18.86667,100.75000,1006.39,07-30-2019,07:00:00,29.41,976.35,0.0,24.3,000,6.00,2.20,23.8,24.5,96,2.20
48334,LAMPANG AGROMET.,ลำปาง สกษ.,ลำปาง,18.31667,99.28333,1006.35,07-30-2019,07:00:00,27.29,970.80,0.0,25.5,000,8.00,0.00,22.5,25.5,84,0.00
48350,LOEI AGROMET.,เลย สกษ.,เลย,17.40000,101.73333,1005.88,07-30-2019,07:00:00,30.84,976.17,0.0,25.9,000,10.00,0.01,24.6,26.0,92,0.01
48351,UTTARADIT,อุตรดิตถ์,อุตรดิตถ์,17.61667,100.10000,1006.33,07-30-2019,07:00:00,29.08,999.02,0.0,26.5,000,8.00,0.00,23.6,26.5,84,0.01
48352,NONG KHAI,หนองคาย,หนองคาย,17.86717,102.73303,1006.97,07-30-2019,07:00:00,28.78,986.89,5.6,23.7,240,2.00,9.40,23.4,24.0,97,15.40
48353,LOEI,เลย,เลย,17.45000,101.73333,1006.17,07-30-2019,07:00:00,26.88,977.49,0.0,25.5,000,6.00,0.01,22.3,26.0,80,0.01
48354,UDON THANI,อุดรธานี,อุดรธานี,17.38333,102.80000,1007.22,07-30-2019,07:00:00,30.32,986.93,3.7,24.7,320,5.00,8.00,24.3,25.0,96,17.30
48355,SAKON NAKHON AGROMET.,สกลนคร สกษ.,สกลนคร,17.12503,104.06100,1007.03,07-30-2019,07:00:00,29.41,985.14,3.7,23.5,010,10.00,0.40,23.8,24.5,96,23.70
48356,SAKON NAKHON,สกลนคร,สกลนคร,17.15000,104.13333,1006.42,07-30-2019,07:00:00,30.30,986.81,0.0,23.5,000,12.00,0.30,24.3,24.7,97,10.50
48357,NAKHON PHANOM,นครพนม,นครพนม,17.41083,104.78250,1007.53,07-30-2019,07:00:00,28.45,990.64,0.0,23.2,000,10.00,0.00,23.2,24.4,93,7.40
48358,NAKHON PHANOM AGROMET.,นครพนม สกษ.,นครพนม,17.44306,104.77361,1007.45,07-30-2019,07:00:00,28.53,989.87,0.0,22.0,000,10.00,0.90,23.3,24.0,96,13.00
48360,NONG BUA LAM PHU,หนองบัวลำภู,หนองบัวลำภู,17.23250,102.42944,1005.97,07-30-2019,07:00:00,31.12,980.07,0.0,25.0,000,5.00,2.40,24.7,25.0,98,29.20
48372,SUKHOTHAI*,สุโขทัย,สุโขทัย,17.10611,99.80000,1005.93,07-30-2019,07:00:00,29.33,1000.16,0.0,24.8,000,10.00,0.00,23.7,27.5,80,0.80
48373,SI SAMRONG AGROMET.,ศรีสำโรง สกษ.,สุโขทัย,17.16136,99.86167,1005.90,07-30-2019,07:00:00,28.75,999.68,0.0,25.0,000,10.00,0.00,23.4,25.3,89,1.60
48374,LOM SAK,หล่มสัก,เพชรบูรณ์,16.77361,101.24944,1006.56,07-30-2019,07:00:00,30.43,990.11,0.0,25.2,000,10.00,0.00,24.3,26.5,88,0.00
48375,MAE SOT,แม่สอด,ตาก,16.65917,98.55083,1007.50,07-30-2019,07:00:00,28.27,984.95,3.7,23.0,160,10.00,0.00,23.1,24.0,95,2.00
48376,TAK,ตาก,ตาก,16.87833,99.14333,1007.21,07-30-2019,07:00:00,24.38,992.85,18.5,27.0,260,8.00,0.00,20.7,27.5,66,0.00
48377,BHUMIBOL DAM,เขื่อนภูมิพล,ตาก,17.24389,99.00250,1005.79,07-30-2019,07:00:00,26.95,989.46,13.0,26.0,120,7.00,0.00,22.3,27.5,73,0.00
48378,PHITSANULOK,พิษณุโลก,พิษณุโลก,16.79481,100.27930,1006.37,07-30-2019,07:00:00,30.84,1001.13,5.6,25.0,300,10.00,0.00,24.6,26.0,92,11.60
48379,PHETCHABUN,เพชรบูรณ์,เพชรบูรณ์,16.43333,101.15000,1005.17,07-30-2019,07:00:00,29.50,991.96,0.0,24.8,000,10.00,0.00,23.8,26.0,88,0.00
48380,KAMPHAENG PHET,กำแพงเพชร,กำแพงเพชร,16.48681,99.52697,1006.65,07-30-2019,07:00:00,26.75,997.34,0.0,26.8,000,12.00,0.00,22.2,27.1,75,0.00
48381,KHON KAEN,ขอนแก่น,ขอนแก่น,16.46111,102.78972,1008.31,07-30-2019,07:00:00,32.01,986.52,0.0,24.9,000,9.00,0.00,25.2,25.9,96,0.40
48382,MAHASARAKHAM,มหาสารคาม,มหาสารคาม,16.24722,103.06805,1006.31,07-30-2019,07:00:00,33.35,988.78,0.0,25.0,000,10.00,0.00,25.9,26.3,98,6.80
48383,MUKDAHAN,มุกดาหาร,มุกดาหาร,16.54139,104.72889,1006.61,07-30-2019,07:00:00,30.85,990.68,3.7,24.2,180,8.00,1.00,24.6,25.0,97,9.60
48384,THA PHRA AGROMET.,ท่าพระ สกษ.,ขอนแก่น,16.33333,102.81667,1005.39,07-30-2019,07:00:00,33.60,986.48,0.0,25.2,000,8.00,0.00,26.0,26.0,100,13.60
48385,UMPHANG,อุ้มผาง,ตาก,16.02472,98.86444,1008.74,07-30-2019,07:00:00,25.21,956.81,0.0,21.1,000,7.00,0.50,21.2,22.0,95,15.60
