WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,Rainfall24Hr,Date,Time,WindDirection,RelativeHumidity,VaporPressure,WindSpeed,StationPressure,LandVisibility,AirTemperature,MeanSeaLevelPressure,Rainfall,DewPoint
48334,LAMPANG AGROMET.,ลำปาง สกษ.,ลำปาง,18.31667,99.28333,3.80,07-28-2019,13:00:00,000,67,29.65,0.0,971.44,7.00,30.8,1006.39,0.00,23.9
48350,LOEI AGROMET.,เลย สกษ.,เลย,17.40000,101.73333,0.00,07-28-2019,13:00:00,020,48,27.68,5.6,975.60,16.00,35.6,1004.36,0.00,22.8
48351,UTTARADIT,อุตรดิตถ์,อุตรดิตถ์,17.61667,100.10000,0.40,07-28-2019,13:00:00,000,58,29.25,0.0,999.28,10.00,33.0,1006.44,0.00,23.7
48352,NONG KHAI,หนองคาย,หนองคาย,17.86717,102.73303,0.00,07-28-2019,13:00:00,200,57,30.93,5.6,985.38,18.00,34.5,1004.74,0.00,24.6
48353,LOEI,เลย,เลย,17.45000,101.73333,0.00,07-28-2019,13:00:00,290,43,23.58,11.1,976.73,17.00,34.5,1004.59,0.00,20.1
48354,UDON THANI,อุดรธานี,อุดรธานี,17.38333,102.80000,0.00,07-28-2019,13:00:00,260,44,23.46,13.0,985.87,15.00,34.0,1005.54,0.00,20.1
48355,SAKON NAKHON AGROMET.,สกลนคร สกษ.,สกลนคร,17.12503,104.06100,0.00,07-28-2019,13:00:00,270,54,28.92,7.4,984.74,15.00,34.1,1005.93,0.00,23.5
48356,SAKON NAKHON,สกลนคร,สกลนคร,17.15000,104.13333,0.00,07-28-2019,13:00:00,320,53,27.34,9.3,986.26,18.00,33.6,1005.28,0.00,22.6
48357,NAKHON PHANOM,นครพนม,นครพนม,17.41083,104.78250,0.01,07-28-2019,13:00:00,330,58,28.77,1.9,989.98,12.00,32.9,1006.38,0.00,23.4
48358,NAKHON PHANOM AGROMET.,นครพนม สกษ.,นครพนม,17.44306,104.77361,0.00,07-28-2019,13:00:00,310,65,31.35,3.7,989.57,12.00,32.2,1006.66,0.00,24.8
48360,NONG BUA LAM PHU,หนองบัวลำภู,หนองบัวลำภู,17.23250,102.42944,0.00,07-28-2019,13:00:00,220,42,24.39,7.4,979.32,13.00,35.5,1004.31,0.00,20.7
48372,SUKHOTHAI*,สุโขทัย,สุโขทัย,17.10611,99.80000,0.20,07-28-2019,13:00:00,000,67,31.68,0.0,1002.81,10.00,31.8,1008.52,0.00,25.0
48373,SI SAMRONG AGROMET.,ศรีสำโรง สกษ.,สุโขทัย,17.16136,99.86167,0.20,07-28-2019,13:00:00,270,60,30.11,7.4,1000.70,12.00,33.0,1006.77,0.00,24.2
48374,LOM SAK,หล่มสัก,เพชรบูรณ์,16.77361,101.24944,0.00,07-28-2019,13:00:00,000,58,28.25,0.0,990.78,10.00,32.5,1006.91,0.00,23.1
48375,MAE SOT,แม่สอด,ตาก,16.65917,98.55083,0.00,07-28-2019,13:00:00,240,63,29.07,9.3,983.81,10.00,31.5,1005.77,0.00,23.6
48376,TAK,ตาก,ตาก,16.87833,99.14333,0.00,07-28-2019,13:00:00,140,53,28.55,3.7,992.41,9.00,34.2,1006.45,0.00,23.3
48377,BHUMIBOL DAM,เขื่อนภูมิพล,ตาก,17.24389,99.00250,0.00,07-28-2019,13:00:00,000,45,28.70,0.0,989.54,12.00,37.2,1005.36,0.00,23.4
48378,PHITSANULOK,พิษณุโลก,พิษณุโลก,16.79481,100.27930,0.01,07-28-2019,13:00:00,230,55,27.84,5.6,1001.69,10.00,33.0,1006.82,0.00,22.9
48379,PHETCHABUN,เพชรบูรณ์,เพชรบูรณ์,16.43333,101.15000,0.00,07-28-2019,13:00:00,000,59,30.70,0.0,992.34,12.00,33.7,1005.22,0.00,24.5
48380,KAMPHAENG PHET,กำแพงเพชร,กำแพงเพชร,16.48681,99.52697,0.01,07-28-2019,13:00:00,050,55,27.84,3.7,997.18,14.00,33.0,1006.32,0.00,22.9
48381,KHON KAEN,ขอนแก่น,ขอนแก่น,16.46111,102.78972,0.00,07-28-2019,13:00:00,270,48,26.92,9.3,984.27,12.00,34.8,1005.37,0.00,22.3
48382,MAHASARAKHAM,มหาสารคาม,มหาสารคาม,16.24722,103.06805,0.00,07-28-2019,13:00:00,000,51,29.86,0.0,988.95,10.00,35.8,1005.94,0.00,24.0
48383,MUKDAHAN,มุกดาหาร,มุกดาหาร,16.54139,104.72889,0.40,07-28-2019,13:00:00,290,56,28.84,7.4,990.12,12.00,33.5,1005.60,0.00,23.4
48384,THA PHRA AGROMET.,ท่าพระ สกษ.,ขอนแก่น,16.33333,102.81667,0.00,07-28-2019,13:00:00,160,50,28.18,3.7,986.17,10.00,35.0,1004.52,0.00,23.1
48385,UMPHANG,อุ้มผาง,ตาก,16.02472,98.86444,0.00,07-28-2019,13:00:00,000,70,26.90,0.0,957.45,11.00,28.2,1008.32,0.00,22.3
48386,PICHIT AGROMET.,พิจิตร สกษ.,พิจิตร,16.43806,100.29250,0.01,07-28-2019,13:00:00,140,57,28.56,5.6,1002.56,15.00,32.8,1006.44,0.00,23.3
48387,DOI MU SOE AGROMET.,ดอยมูเซอร์ สกษ.,ตาก,16.75000,98.93333,1.30,07-28-2019,13:00:00,300,75,26.48,9.3,913.04,9.00,26.8,1006.51,0.00,22.0
48390,KALASIN,กาฬสินธุ์,กาฬสินธุ์,16.33250,103.58833,3.80,07-28-2019,13:00:00,310,50,26.93,7.4,990.50,10.00,34.1,1006.10,0.00,22.3
48400,NAKHON SAWAN,นครสวรรค์ ,นครสวรรค์,15.67183,100.13236,0.00,07-28-2019,13:00:00,000,59,31.34,0.0,1002.68,12.00,34.0,1006.62,0.00,24.8
48401,TAKFA AGROMET.,ตากฟ้า สกษ.,นครสวรรค์,15.34944,100.53028,0.00,07-28-2019,13:00:00,190,48,25.63,3.7,997.14,10.00,34.0,1007.58,0.00,21.5
48402,CHAINAT AGROMET.,ชัยนาท สกษ.,ชัยนาท,15.15000,100.18333,0.00,07-28-2019,13:00:00,000,53,27.43,0.0,1006.12,14.00,33.5,1008.01,0.00,22.6
48403,CHAIYAPHUM,ชัยภูมิ,ชัยภูมิ,15.80000,102.03333,0.00,07-28-2019,13:00:00,210,39,23.54,18.5,985.16,12.00,36.2,1005.37,0.00,20.1
48404,ROI ET AGROMET.,ร้อยเอ็ด สกษ.,ร้อยเอ็ด,16.07322,103.60844,0.00,07-28-2019,13:00:00,000,54,27.28,0.0,988.56,10.00,33.0,1005.86,0.00,22.5
48405,ROI ET,ร้อยเอ็ด,ร้อยเอ็ด,16.02000,103.74389,0.00,07-28-2019,13:00:00,210,51,26.59,9.3,989.88,10.00,33.5,1005.67,0.00,22.1
48407,UBON RATCHATHANI,อุบลราชธานี (ศูนย์ฯ),อุบลราชธานี,15.25000,104.86667,2.30,07-28-2019,13:00:00,300,57,28.17,13.0,992.85,10.00,32.6,1006.62,0.00,23.0
48408,UBON RATCHATHANI AGROMET.,อุบลราชธานี สกษ.,อุบลราชธานี,15.23914,105.02350,0.80,07-28-2019,13:00:00,000,64,30.65,0.0,992.82,10.00,32.0,1007.41,0.00,24.5
48409,SI SAKET AGROMET.,ศรีสะเกษ,ศรีสะเกษ,15.00000,104.05000,0.00,07-28-2019,13:00:00,300,55,28.68,13.0,993.44,10.00,33.7,1007.80,0.00,23.3
48410,UTHAITHANI,อุทัยธานี,อุทัยธานี,15.37417,100.03889,0.00,07-28-2019,13:00:00,"{'0': '   ', '@attributes': {'Unit': 'degree'}}",44,25.70,0.0,1003.53,10.00,35.6,1006.47,0.00,21.5
48413,WICHIAN BURI,วิเชียรบุรี,เพชรบูรณ์,15.65700,101.10800,0.00,07-28-2019,13:00:00,000,55,28.35,0.0,998.83,10.00,33.4,1006.62,0.00,23.2
48415,AYUTTHAYA,พระนครศรีอยุธยา,พระนครศรีอยุธยา,14.53472,100.72500,0.00,07-28-2019,13:00:00,210,60,29.06,11.1,1006.14,8.00,32.2,1007.23,0.00,23.6
48416,THA TUM,ท่าตูม,สุรินทร์,15.31667,103.68333,0.00,07-28-2019,13:00:00,240,45,23.72,5.6,992.43,8.00,34.0,1006.78,0.00,20.2
48417,NAKORNNAYOK,นครนายก,นครนายก,14.36222,101.39278,0.00,07-28-2019,13:00:00,180,91,24.65,7.4,872.97,8.00,22.4,1006.71,0.00,20.9
48418,BUA CHUM,บัวชุม  ,ลพบุรี,15.26667,101.18736,0.00,07-28-2019,13:00:00,240,52,28.59,5.6,1000.69,10.00,34.5,1006.42,0.00,23.3
48419,PATHUMTHANI,ปทุมธานี สกษ.,ปทุมธานี,14.10000,100.61667,0.00,07-28-2019,13:00:00,230,51,27.33,3.7,1006.57,12.00,34.3,1007.36,0.00,22.6
48420,Samut Prakarn,สมุทรปราการ สกษ.,สมุทรปราการ,13.51667,100.76167,0.00,07-28-2019,13:00:00,230,65,31.15,11.1,1007.12,10.00,32.1,1007.56,0.00,24.7
48421,THONG PHAPHUM,ทองผาภูมิ,กาญจนบุรี,14.74222,98.63639,0.00,07-28-2019,13:00:00,000,57,28.68,0.0,997.07,10.00,33.0,1008.16,0.00,23.3
48425,SUPHAN BURI,สุพรรณบุรี,สุพรรณบุรี,14.47444,100.13889,0.00,07-28-2019,13:00:00,000,54,29.54,0.0,1006.36,12.00,34.4,1007.35,0.00,23.8
48426,LOP BURI,ลพบุรี,ลพบุรี,14.79972,100.64500,0.00,07-28-2019,13:00:00,160,64,31.11,11.1,1005.44,12.00,32.5,1007.23,0.00,24.7
48427,U THONG AGROMET.,อู่ทอง สกษ.,สุพรรณบุรี,14.30361,99.86472,0.00,07-28-2019,13:00:00,000,53,27.51,0.0,1006.12,9.00,33.4,1006.87,0.00,22.7
48429,SUVARNABHUMI AIRPORT,สนามบินสุวรรณภูมิ,สมุทรปราการ,13.68639,100.76750,7.20,07-28-2019,13:00:00,200,57,28.56,16.7,1006.94,10.00,32.8,1007.63,0.00,23.3
48430,PRACHIN BURI,ปราจีนบุรี,ปราจีนบุรี,14.05842,101.36930,23.00,07-28-2019,13:00:00,000,65,31.77,0.0,1007.73,7.00,32.4,1008.42,0.00,25.1
48431,NAKHON RATCHASIMA,นครราชสีมา,นครราชสีมา,14.96830,102.08603,0.00,07-28-2019,13:00:00,290,42,24.81,9.3,985.46,12.00,36.0,1005.98,0.00,21.0
48432,SURIN,สุรินทร์,สุรินทร์,14.88333,103.50000,7.20,07-28-2019,13:00:00,240,50,27.13,9.3,990.10,11.00,34.2,1006.41,0.00,22.4
48433,SURIN AGROMET.,สุรินทร์ สกษ.,สุรินทร์,14.88333,103.45000,8.90,07-28-2019,13:00:00,240,56,28.92,5.6,990.80,10.00,33.4,1006.88,0.00,23.5
48434,CHOK CHAI,โชคชัย,นครราชสีมา,14.71889,102.16861,0.10,07-28-2019,13:00:00,260,42,24.12,18.5,984.82,10.00,35.5,1006.06,0.00,20.5
48435,PAKCHONG AGROMET.,ปากช่อง สกษ.,นครราชสีมา,14.64389,101.33194,0.00,07-28-2019,13:00:00,250,54,25.91,29.6,964.47,15.00,32.0,1007.02,0.00,21.7
48436,NANG RONG,นางรอง,บุรีรัมย์,14.58333,102.80000,0.00,07-28-2019,13:00:00,210,46,26.23,5.6,986.06,12.00,35.3,1006.05,0.00,21.9
48437,BURIRUM,บุรีรัมย์,บุรีรัมย์,15.22575,103.24808,0.00,07-28-2019,13:00:00,270,56,30.63,9.3,987.73,10.00,34.5,1008.06,0.00,24.4
48438,SAMUTSONGKRAM,สมุทรสงคราม,สมุทรสงคราม,13.40778,100.03222,0.00,07-28-2019,13:00:00,140,59,27.82,13.0,1006.76,10.00,32.0,1007.19,0.00,22.8
48439,KABIN BURI,กบินทร์บุรี,ปราจีนบุรี,13.98333,101.70722,17.80,07-28-2019,13:00:00,000,72,31.72,0.0,1006.16,10.00,30.7,1007.56,0.00,25.0
48440,SA KAEW,สระแก้ว,สระแก้ว,13.78889,102.03472,0.10,07-28-2019,13:00:00,000,69,33.20,0.0,1002.79,9.00,32.1,1007.65,0.00,25.8
48450,KANCHANA BURI,กาญจนบุรี,กาญจนบุรี,14.02250,99.53583,0.00,07-28-2019,13:00:00,230,40,24.29,3.7,1003.63,12.00,36.3,1006.83,0.00,20.6
48453,BANG NA AGROMET.,กรุงเทพฯ บางนา สกษ.,กรุงเทพมหานคร,13.66639,100.60611,0.00,07-28-2019,13:00:00,200,56,29.87,7.4,1007.22,10.00,34.0,1007.52,0.00,24.0
48454,BANGKOK PORT (KLONG TOEI),กรุงเทพฯ ท่าเรือคลองเตย,กรุงเทพมหานคร,13.70694,100.56805,0.00,07-28-2019,13:00:00,240,57,28.68,5.6,1006.03,10.00,33.0,1006.71,0.00,23.3
48455,BANGKOK METROPOLIS,กรุงเทพมหานคร,กรุงเทพมหานคร,13.72639,100.56000,0.00,07-28-2019,13:00:00,130,56,29.87,3.7,1006.75,10.00,34.0,1007.22,0.00,24.0
48456,DON MUANG AIRPORT,สนามบินดอนเมือง,กรุงเทพมหานคร,13.91917,100.60500,0.00,07-28-2019,13:00:00,200,55,29.00,9.3,1005.98,10.00,34.0,1007.36,0.00,23.5
48457,PILOT STATION,นำร่อง,สมุทรปราการ,13.39389,100.59944,0.01,07-28-2019,13:00:00,190,73,30.47,9.3,1006.65,10.00,29.8,1008.31,0.00,24.4
48458,CHACHOENGSAO,ฉะเชิงเทรา,ฉะเชิงเทรา,13.51556,101.45833,0.01,07-28-2019,13:00:00,000,55,27.44,0.0,1001.53,10.00,32.8,1009.40,0.00,22.6
48459,CHON BURI,ชลบุรี,ชลบุรี,13.36667,100.98333,2.00,07-28-2019,13:00:00,270,66,32.49,16.7,1007.06,10.00,32.6,1007.34,0.00,25.4
48460,KO SICHANG,เกาะสีชัง,ชลบุรี,13.16167,100.80194,0.00,07-28-2019,13:00:00,260,61,29.22,5.6,1004.74,12.00,32.0,1007.82,0.00,23.7
48461,PHATTHAYA,พัทยา,ชลบุรี,12.92000,100.86944,0.00,07-28-2019,13:00:00,210,62,28.32,5.6,1001.04,10.00,31.4,1007.89,0.00,23.1
48462,ARANYA PRATHET,อรัญประเทศ,สระแก้ว,13.70000,102.58333,0.00,07-28-2019,13:00:00,270,63,31.79,13.0,1001.77,8.00,33.1,1007.26,0.00,25.1
48463,LAEM CHABANG,แหลมฉบัง,ชลบุรี,13.07694,100.87583,0.00,07-28-2019,13:00:00,260,54,28.31,11.1,999.51,10.00,33.8,1008.63,0.00,23.1
48464,RATCHA BURI,ราชบุรี,ราชบุรี,13.48931,99.79239,0.01,07-28-2019,13:00:00,140,55,29.83,3.7,1007.09,15.00,34.4,1008.32,0.00,24.0
48465,PHETCHA BURI,เพชรบุรี,เพชรบุรี,12.99944,100.06056,0.00,07-28-2019,13:00:00,140,66,33.06,18.5,1006.70,11.00,33.0,1007.12,0.00,25.7
48474,NONG PHLUB AGROMET.,หนองพลับ สกษ.,ประจวบคีรีขันธ์,12.58333,99.73333,0.00,07-28-2019,13:00:00,260,42,23.44,3.7,994.99,9.00,35.0,1006.93,0.00,20.0
48475,HUA HIN,หัวหิน,ประจวบคีรีขันธ์,12.58611,99.96250,0.00,07-28-2019,13:00:00,120,67,33.66,9.3,1006.44,10.00,33.0,1007.14,0.00,26.0
48477,SATTAHIP,สัตหีบ,ชลบุรี,12.68333,100.98333,0.00,07-28-2019,13:00:00,180,51,27.94,7.4,1005.68,10.00,34.6,1008.05,0.00,22.9
48478,RAYONG,ระยอง,ระยอง,12.63222,101.34361,0.00,07-28-2019,13:00:00,270,68,31.23,11.1,1007.83,10.00,31.3,1008.34,0.00,24.8
48479,HUAI PONG AGROMET.,ห้วยโป่ง สกษ.,ระยอง,12.73333,101.13333,0.00,07-28-2019,13:00:00,130,53,27.94,1.9,1002.62,11.00,33.9,1007.66,0.00,22.9
48480,CHANTHA BURI,จันทบุรี,จันทบุรี,12.61667,102.11333,1.20,07-28-2019,13:00:00,220,64,29.63,9.3,1008.50,9.00,31.5,1008.91,0.00,23.9
48481,PHLIU  AGROMET.,พลิ้ว สกษ.,จันทบุรี,12.50861,102.17305,2.70,07-28-2019,13:00:00,000,75,33.81,0.0,1006.69,8.00,31.0,1009.43,0.00,26.1
48500,PRACHUAP KHIRIKHAN,ประจวบคีรีขันธ์,ประจวบคีรีขันธ์,11.83333,99.83333,0.00,07-28-2019,13:00:00,180,57,31.36,11.1,1007.22,10.00,34.7,1007.99,0.00,24.8
48501,TRAD,ตราด,ตราด,11.76667,102.88333,5.30,07-28-2019,13:00:00,260,72,32.68,5.6,1009.05,8.00,31.3,1009.51,0.00,25.5
48517,CHUMPHON,ชุมพร,ชุมพร,10.49875,99.18847,0.01,07-28-2019,13:00:00,300,63,28.87,7.4,1007.77,10.00,31.4,1008.44,0.00,23.5
48520,SAWI AGROMET.,สวี สกษ.,ชุมพร,10.33333,99.10000,0.60,07-28-2019,13:00:00,050,71,30.31,3.7,1007.58,9.00,30.0,1009.10,0.00,24.3
48532,RANONG,ระนอง,ระนอง,9.98333,98.61667,29.20,07-28-2019,13:00:00,200,71,29.33,3.7,1009.19,10.00,29.5,1010.10,2.20,23.7
48550,KO SAMUI,เกาะสมุย,สุราษฎร์ธานี,9.46667,100.05000,0.00,07-28-2019,13:00:00,280,64,29.04,13.0,1009.31,12.00,31.2,1009.99,0.00,23.6
48551,SURAT THANI,สุราษฎร์ธานี,สุราษฎร์ธานี,9.13556,99.15194,0.10,07-28-2019,13:00:00,360,56,26.72,7.4,1009.27,10.00,32.0,1010.05,0.10,22.2
48552,NAKHONSI THAMMARAT,นครศรีธรรมราช,นครศรีธรรมราช,8.53778,99.96389,19.00,07-28-2019,13:00:00,360,58,28.73,5.6,1008.75,10.00,32.6,1009.37,0.00,23.4
48554,NAKHONSI THAMMARAT AGROMET.,นครศรีธรรมราช สกษ.,นครศรีธรรมราช,8.35931,100.00000,0.00,07-28-2019,13:00:00,000,48,27.16,0.0,1008.81,12.00,35.2,1009.21,0.00,22.4
48555,SURAT THANI AGROMET.,สุราษฎร์ธานี สกษ.,สุราษฎร์ธานี,9.10000,99.63333,0.00,07-28-2019,13:00:00,310,70,30.74,5.6,1007.68,8.00,30.5,1011.86,0.00,24.5
48556,PHRA SANG,พระแสง สอท.,สุราษฎร์ธานี,8.57022,99.25825,0.00,07-28-2019,13:00:00,000,48,24.67,0.0,1006.92,10.00,33.5,1008.50,0.00,20.9
48557,CHAWANG,ฉวาง,นครศรีธรรมราช,8.43194,99.51194,0.00,07-28-2019,13:00:00,230,58,29.25,7.4,1006.37,10.00,33.0,1009.78,0.00,23.7
48560,PHATTHALUNG AGROMET.,พัทลุง สกษ.,พัทลุง,7.58333,100.16667,17.80,07-28-2019,13:00:00,000,62,29.51,0.0,1008.01,10.00,32.0,1009.34,0.00,23.8
48561,TAKUA PA,ตะกั่วป่า,พังงา,8.68417,98.25222,1.60,07-28-2019,13:00:00,000,80,30.98,0.0,1009.38,10.00,28.5,1010.26,0.00,24.6
48563,KRABI,กระบี่,กระบี่,8.10361,98.97528,0.00,07-28-2019,13:00:00,000,70,31.47,0.0,1006.39,10.00,31.0,1009.91,0.00,24.9
48564,PHUKET,ภูเก็ต,ภูเก็ต,7.88333,98.40000,0.00,07-28-2019,13:00:00,260,62,31.92,11.1,1008.86,10.00,33.3,1009.29,0.00,25.1
48565,PHUKET AIRPORT,ภูเก็ต (ศูนย์ฯ),ภูเก็ต,8.14500,98.31444,0.01,07-28-2019,13:00:00,000,73,33.48,0.0,1009.25,10.00,31.4,1010.23,0.01,25.9
48566,KO LANTA,เกาะลันตา,กระบี่,7.53333,99.05000,0.00,07-28-2019,13:00:00,240,62,29.51,11.1,1009.62,10.00,32.0,1010.42,0.00,23.8
48567,TRANG AIRPORT,ตรัง,ตรัง,7.51667,99.61667,0.00,07-28-2019,13:00:00,240,51,25.90,11.1,1008.44,13.00,33.0,1010.23,0.00,21.7
48568,SONGKHLA,สงขลา,สงขลา,7.18211,100.60769,0.50,07-28-2019,13:00:00,160,53,26.34,3.7,1009.02,12.00,32.8,1009.76,0.00,21.9
48569,HAT YAI AIRPORT,หาดใหญ่,สงขลา,6.91667,100.43333,0.00,07-28-2019,13:00:00,250,49,25.00,16.7,1006.00,10.00,33.1,1009.92,0.00,21.1
48570,SATUN,สตูล,สตูล,6.65000,100.08333,0.00,07-28-2019,13:00:00,000,53,26.04,0.0,1010.57,10.00,32.5,1011.25,0.00,21.8
48571,KHO HONG AGROMET.,คอหงษ์ สกษ.,สงขลา,7.00000,100.50000,17.00,07-28-2019,13:00:00,230,53,26.15,11.1,1008.49,10.00,32.7,1009.59,0.00,21.8
48574,SA DAO,สะเดา,สงขลา,6.79806,100.39056,0.00,07-28-2019,13:00:00,290,54,28.84,20.4,1007.23,12.00,34.2,1010.09,0.00,23.4
48580,PATTANI AIRPORT,ปัตตานี,ปัตตานี,6.78333,101.15000,9.90,07-28-2019,13:00:00,000,53,28.88,0.0,1008.07,11.00,34.5,1008.75,0.00,23.5
48581,YALA AGROMET.,ยะลา สกษ.,ยะลา,6.51667,101.28333,0.00,07-28-2019,13:00:00,240,45,24.10,14.8,1005.61,10.00,34.2,1009.64,0.00,20.5
48583,NARATHIWAT,นราธิวาส,นราธิวาส,6.41667,101.81667,17.60,07-28-2019,13:00:00,060,64,30.16,14.8,1009.30,12.00,31.9,1009.88,0.00,24.2
