WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,Rainfall24Hr,Date,Time,WindDirection,RelativeHumidity,VaporPressure,WindSpeed,StationPressure,LandVisibility,AirTemperature,MeanSeaLevelPressure,Rainfall,DewPoint
48300,MAE HONG SON,แม่ฮ่องสอน,แม่ฮ่องสอน,19.29897,97.97578,3.10,07-28-2019,13:00:00,230,65,29.40,1.9,976.47,15.00,31.1,1006.88,0.00,23.8
48302,DOI ANG KANG,ดอยอ่างขาง,เชียงใหม่,19.93139,99.04833,4.10,07-28-2019,13:00:00,300,71,20.50,9.3,844.75,8.00,23.5,1003.11,0.00,17.9
48303,CHIANG RAI,เชียงราย,เชียงราย,19.96139,99.88139,0.00,07-28-2019,13:00:00,140,60,27.68,7.4,962.92,15.00,31.5,1005.66,0.00,22.8
48304,CHAING RAI AGROMET.,เชียงราย สกษ.,เชียงราย,19.87083,99.78278,0.00,07-28-2019,13:00:00,000,60,27.68,0.0,961.29,15.00,31.5,1005.91,0.00,22.8
48307,THUNG CHANG,ทุ่งช้าง,น่าน,19.41194,100.88353,0.00,07-28-2019,13:00:00,000,69,27.28,0.0,969.65,10.00,28.7,1006.91,0.00,22.5
48310,PHAYAO,พะเยา,พะเยา,19.13333,99.90000,1.80,07-28-2019,13:00:00,200,56,26.15,11.1,961.77,10.00,31.7,1005.93,0.00,21.8
48315,THA WANGPHA,ท่าวังผา,น่าน,19.11056,100.80250,0.00,07-28-2019,13:00:00,000,63,28.48,0.0,980.98,12.00,31.2,1007.27,0.00,23.2
48324,THOEN,เถิน,ลำปาง,17.63661,99.24475,0.10,07-28-2019,13:00:00,210,44,24.61,9.3,984.89,16.00,34.9,1006.03,0.00,20.8
48325,MAE SARIANG,แม่สะเรียง,แม่ฮ่องสอน,18.16667,97.93333,0.30,07-28-2019,13:00:00,000,63,28.09,0.0,983.97,10.00,31.0,1007.72,0.00,23.0
48327,CHIANG MAI,เชียงใหม่,เชียงใหม่,18.79000,98.97694,3.60,07-28-2019,13:00:00,000,59,27.41,0.0,972.87,10.00,31.5,1006.76,0.00,22.6
48328,LAMPANG,ลำปาง,ลำปาง,18.28333,99.51667,4.80,07-28-2019,13:00:00,000,62,28.91,0.0,979.75,10.00,31.7,1006.79,0.00,23.5
48329,LAMPHUN,ลำพูน,ลำพูน,18.56722,99.03389,2.20,07-28-2019,13:00:00,000,56,26.15,0.0,973.56,12.00,31.7,1006.50,0.00,21.8
48330,PHRAE,แพร่,แพร่,18.16667,100.16667,1.80,07-28-2019,13:00:00,270,58,28.25,5.6,988.26,12.00,32.5,1006.39,0.00,23.1
48331,NAN,น่าน,น่าน,18.77972,100.77778,0.00,07-28-2019,13:00:00,100,65,29.60,7.4,984.37,10.00,31.2,1006.83,0.00,23.9
48333,NAN AGROMET.,น่าน สกษ.,น่าน,18.86667,100.75000,0.00,07-28-2019,13:00:00,000,66,28.97,0.0,977.47,12.00,30.6,1006.94,0.00,23.5
