WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,RelativeHumidity,Date,Time,WindDirection,LandVisibility,AirTemperature,Rainfall,MeanSeaLevelPressure,StationPressure,DewPoint,Rainfall24Hr,WindSpeed,VaporPressure,MaximumTemperature
48300,MAE HONG SON,แม่ฮ่องสอน,แม่ฮ่องสอน,19.29897,97.97578,94,08-16-2019,19:00:00,000,7.00,26.2,4.80,1003.26,972.48,25.2,11.90,0.0,32.04,27.6
48302,DOI ANG KANG,ดอยอ่างขาง,เชียงใหม่,19.93139,99.04833,100,08-16-2019,19:00:00,300,1.00,18.6,0.00,1002.77,842.08,18.6,21.30,22.2,21.41,19.1
48303,CHIANG RAI,เชียงราย,เชียงราย,19.96139,99.88139,76,08-16-2019,19:00:00,190,10.00,28.8,0.00,1000.89,957.98,24.0,1.30,1.9,29.90,30.0
48304,CHAING RAI AGROMET.,เชียงราย สกษ.,เชียงราย,19.87083,99.78278,84,08-16-2019,19:00:00,000,15.00,26.0,0.00,1001.72,956.50,23.1,3.60,0.0,28.18,29.1
48307,THUNG CHANG,ทุ่งช้าง,น่าน,19.41194,100.88353,96,08-16-2019,19:00:00,000,6.00,25.5,1.80,1003.40,965.87,24.8,31.70,0.0,31.25,28.5
48310,PHAYAO,พะเยา,พะเยา,19.13333,99.90000,95,08-16-2019,19:00:00,120,7.00,24.6,1.10,1002.97,957.93,23.7,26.90,5.6,29.33,30.7
48315,THA WANGPHA,ท่าวังผา,น่าน,19.11056,100.80250,95,08-16-2019,19:00:00,130,5.00,24.8,69.00,1003.55,976.81,23.9,78.70,9.3,29.69,28.0
48324,THOEN,เถิน,ลำปาง,17.63661,99.24475,96,08-16-2019,19:00:00,000,7.00,25.9,2.00,1003.30,981.60,25.2,2.70,0.0,32.01,34.5
48325,MAE SARIANG,แม่สะเรียง,แม่ฮ่องสอน,18.16667,97.93333,94,08-16-2019,19:00:00,000,8.00,27.0,2.30,1004.23,980.26,26.0,2.50,0.0,33.62,32.5
48327,CHIANG MAI,เชียงใหม่,เชียงใหม่,18.79000,98.97694,92,08-16-2019,19:00:00,000,10.00,26.0,1.30,1003.48,969.09,24.6,11.00,0.0,30.84,31.0
48328,LAMPANG,ลำปาง,ลำปาง,18.28333,99.51667,96,08-16-2019,19:00:00,000,8.00,25.5,1.20,1003.63,976.13,24.8,32.20,0.0,31.25,34.1
48329,LAMPHUN,ลำพูน,ลำพูน,18.56722,99.03389,95,08-16-2019,19:00:00,000,10.00,26.0,3.70,1003.23,969.79,25.1,3.70,0.0,31.93,33.5
48330,PHRAE,แพร่,แพร่,18.16667,100.16667,96,08-16-2019,19:00:00,000,5.00,25.0,6.40,1003.52,984.99,24.3,23.80,0.0,30.32,32.0
48331,NAN,น่าน,น่าน,18.77972,100.77778,94,08-16-2019,19:00:00,000,6.00,25.3,36.00,1003.58,980.75,24.3,42.50,0.0,30.34,31.6
48333,NAN AGROMET.,น่าน สกษ.,น่าน,18.86667,100.75000,92,08-16-2019,19:00:00,000,8.00,25.0,18.30,1003.47,973.57,23.5,37.30,0.0,29.00,29.8
48334,LAMPANG AGROMET.,ลำปาง สกษ.,ลำปาง,18.31667,99.28333,88,08-16-2019,19:00:00,000,6.00,25.5,0.50,1003.61,968.16,23.3,0.70,0.0,28.59,32.0
48350,LOEI AGROMET.,เลย สกษ.,เลย,17.40000,101.73333,89,08-16-2019,19:00:00,000,12.00,26.9,0.00,1002.90,973.36,24.9,5.20,0.0,31.46,32.3
48351,UTTARADIT,อุตรดิตถ์,อุตรดิตถ์,17.61667,100.10000,90,08-16-2019,19:00:00,000,8.00,26.2,3.50,1003.28,995.98,24.5,3.50,0.0,30.67,34.8
48352,NONG KHAI,หนองคาย,หนองคาย,17.86717,102.73303,98,08-16-2019,19:00:00,190,13.00,26.1,0.00,1003.27,983.41,25.7,1.20,5.6,32.95,32.3
48353,LOEI,เลย,เลย,17.45000,101.73333,84,08-16-2019,19:00:00,080,12.00,27.0,0.00,1002.59,974.10,24.1,7.90,11.1,30.02,32.3
48354,UDON THANI,อุดรธานี,อุดรธานี,17.38333,102.80000,93,08-16-2019,19:00:00,140,8.00,25.5,2.10,1003.65,983.46,24.3,8.40,3.7,30.44,33.1
48355,SAKON NAKHON AGROMET.,สกลนคร สกษ.,สกลนคร,17.12503,104.06100,87,08-16-2019,19:00:00,240,6.00,24.8,8.00,1004.17,982.37,22.4,10.50,5.6,27.10,31.9
48356,SAKON NAKHON,สกลนคร,สกลนคร,17.15000,104.13333,91,08-16-2019,19:00:00,270,6.00,25.5,8.10,1003.49,983.99,23.9,13.10,3.7,29.64,31.9
48357,NAKHON PHANOM,นครพนม,นครพนม,17.41083,104.78250,88,08-16-2019,19:00:00,120,10.00,28.0,0.00,1003.97,987.34,25.9,10.40,3.7,33.37,29.1
48358,NAKHON PHANOM AGROMET.,นครพนม สกษ.,นครพนม,17.44306,104.77361,93,08-16-2019,19:00:00,000,10.00,28.0,0.00,1004.03,986.74,26.7,63.60,0.0,35.11,29.6
48360,NONG BUA LAM PHU,หนองบัวลำภู,หนองบัวลำภู,17.23250,102.42944,97,08-16-2019,19:00:00,000,10.00,25.5,5.40,1002.69,976.91,25.1,5.40,0.0,31.79,33.7
48372,SUKHOTHAI*,สุโขทัย,สุโขทัย,17.10611,99.80000,69,08-16-2019,19:00:00,250,10.00,30.7,0.00,1002.57,996.88,24.4,0.00,9.3,30.58,35.0
48373,SI SAMRONG AGROMET.,ศรีสำโรง สกษ.,สุโขทัย,17.16136,99.86167,71,08-16-2019,19:00:00,270,10.00,30.5,0.00,1002.77,996.68,24.7,0.00,14.8,31.03,34.0
48374,LOM SAK,หล่มสัก,เพชรบูรณ์,16.77361,101.24944,67,08-16-2019,19:00:00,180,10.00,31.5,0.00,1003.63,987.49,24.7,0.00,9.3,31.06,35.0
48375,MAE SOT,แม่สอด,ตาก,16.65917,98.55083,86,08-16-2019,19:00:00,210,10.00,26.8,0.00,1003.10,980.85,24.2,5.30,3.7,30.18,29.4
48376,TAK,ตาก,ตาก,16.87833,99.14333,68,08-16-2019,19:00:00,270,7.00,29.5,0.00,1003.92,989.69,22.9,0.00,5.6,27.96,32.5
48377,BHUMIBOL DAM,เขื่อนภูมิพล,ตาก,17.24389,99.00250,68,08-16-2019,19:00:00,120,7.00,29.5,0.00,1002.59,986.42,22.9,0.00,11.1,27.96,32.7
48378,PHITSANULOK,พิษณุโลก,พิษณุโลก,16.79481,100.27930,78,08-16-2019,19:00:00,000,10.00,29.0,0.00,1003.74,998.57,24.7,0.00,0.0,31.13,34.2
48379,PHETCHABUN,เพชรบูรณ์,เพชรบูรณ์,16.43333,101.15000,78,08-16-2019,19:00:00,000,10.00,29.3,0.00,1001.86,988.83,25.0,0.00,0.0,31.73,35.0
48380,KAMPHAENG PHET,กำแพงเพชร,กำแพงเพชร,16.48681,99.52697,83,08-16-2019,19:00:00,010,10.00,29.2,1.40,1002.94,993.72,26.1,1.40,1.9,33.83,34.0
