WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,DewPoint,Date,Time,WindDirection,AirTemperature,RelativeHumidity,VaporPressure,StationPressure,Rainfall,WindSpeed,LandVisibility,Rainfall24Hr,MeanSeaLevelPressure
48300,MAE HONG SON,แม่ฮ่องสอน,แม่ฮ่องสอน,19.29897,97.97578,23.9,09-11-2019,01:00:00,000,25.2,92,29.62,977.96,0.00,0.0,8.00,0.70,1009.02
48303,CHIANG RAI,เชียงราย,เชียงราย,19.96139,99.88139,24.0,09-11-2019,01:00:00,000,25.2,93,29.89,964.44,1.20,0.0,10.00,4.30,1008.17
48304,CHAING RAI AGROMET.,เชียงราย สกษ.,เชียงราย,19.87083,99.78278,24.2,09-11-2019,01:00:00,000,25.2,94,30.15,962.68,2.60,0.0,12.00,7.40,1008.32
48307,THUNG CHANG,ทุ่งช้าง,น่าน,19.41194,100.88353,24.0,09-11-2019,01:00:00,000,25.5,92,29.91,971.54,3.40,0.0,{'@attributes': {'Unit': 'km'}},3.40,1009.28
48310,PHAYAO,พะเยา,พะเยา,19.13333,99.90000,23.7,09-11-2019,01:00:00,120,25.2,92,29.36,963.29,0.00,5.6,10.00,0.00,1008.49
48315,THA WANGPHA,ท่าวังผา,น่าน,19.11056,100.80250,24.6,09-11-2019,01:00:00,000,26.9,87,30.91,983.11,0.01,0.0,7.00,0.01,1009.84
48324,THOEN,เถิน,ลำปาง,17.63661,99.24475,21.9,09-11-2019,01:00:00,000,25.2,82,26.27,987.83,0.00,0.0,12.00,0.00,1009.73
48325,MAE SARIANG,แม่สะเรียง,แม่ฮ่องสอน,18.16667,97.93333,22.8,09-11-2019,01:00:00,000,24.0,93,27.76,986.11,0.00,0.0,6.00,0.40,1010.47
48327,CHIANG MAI,เชียงใหม่,เชียงใหม่,18.79000,98.97694,21.8,09-11-2019,01:00:00,200,26.6,75,26.14,974.19,0.00,3.7,10.00,0.00,1008.69
48328,LAMPANG,ลำปาง,ลำปาง,18.28333,99.51667,22.3,09-11-2019,01:00:00,000,26.0,80,26.88,982.78,0.00,0.0,10.00,0.00,1010.42
48329,LAMPHUN,ลำพูน,ลำพูน,18.56722,99.03389,22.6,09-11-2019,01:00:00,000,26.3,80,27.41,975.26,0.00,0.0,10.00,0.80,1008.87
48330,PHRAE,แพร่,แพร่,18.16667,100.16667,23.2,09-11-2019,01:00:00,270,25.8,85,28.34,990.52,0.00,3.7,10.00,0.00,1009.11
48331,NAN,น่าน,น่าน,18.77972,100.77778,23.9,09-11-2019,01:00:00,000,26.5,86,29.62,986.33,0.00,0.0,10.00,0.00,1009.19
48333,NAN AGROMET.,น่าน สกษ.,น่าน,18.86667,100.75000,24.1,09-11-2019,01:00:00,000,25.6,92,30.09,979.16,0.00,0.0,7.00,0.00,1009.18
