WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,WindDirection,Date,Time,Rainfall,LandVisibility,StationPressure,WindSpeed,RelativeHumidity,VaporPressure,DewPoint,AirTemperature,MeanSeaLevelPressure,Rainfall24Hr
48300,MAE HONG SON,แม่ฮ่องสอน,แม่ฮ่องสอน,19.29897,97.97578,000,08-29-2019,16:00:00,0.00,15.00,971.50,0.0,72,32.34,25.4,31.0,1001.76,0.50
48302,DOI ANG KANG,ดอยอ่างขาง,เชียงใหม่,19.93139,99.04833,120,08-29-2019,16:00:00,0.00,8.00,841.90,5.6,84,22.62,19.5,22.3,1000.41,2.40
48303,CHIANG RAI,เชียงราย,เชียงราย,19.96139,99.88139,000,08-29-2019,16:00:00,0.00,12.00,957.64,0.0,57,30.46,24.3,34.0,999.79,0.00
48304,CHAING RAI AGROMET.,เชียงราย สกษ.,เชียงราย,19.87083,99.78278,000,08-29-2019,16:00:00,0.00,15.00,956.12,0.0,56,28.32,23.1,33.1,1000.26,0.40
48307,THUNG CHANG,ทุ่งช้าง,น่าน,19.41194,100.88353,150,08-29-2019,16:00:00,0.00,12.00,963.79,11.1,70,35.19,26.8,33.0,1000.30,2.20
48310,PHAYAO,พะเยา,พะเยา,19.13333,99.90000,000,08-29-2019,16:00:00,0.00,12.00,956.70,0.0,41,20.38,17.8,33.0,1000.44,7.30
48315,THA WANGPHA,ท่าวังผา,น่าน,19.11056,100.80250,170,08-29-2019,16:00:00,0.00,12.00,975.03,5.6,70,37.26,27.8,33.9,1000.93,0.30
48324,THOEN,เถิน,ลำปาง,17.63661,99.24475,330,08-29-2019,16:00:00,0.00,15.00,979.76,3.7,59,31.21,24.8,33.8,1000.87,0.00
48325,MAE SARIANG,แม่สะเรียง,แม่ฮ่องสอน,18.16667,97.93333,000,08-29-2019,16:00:00,0.00,10.00,978.46,0.0,65,30.94,24.6,32.0,1002.00,0.00
48327,CHIANG MAI,เชียงใหม่,เชียงใหม่,18.79000,98.97694,360,08-29-2019,16:00:00,0.01,10.00,967.73,5.6,61,30.61,24.4,33.1,1001.27,0.01
48328,LAMPANG,ลำปาง,ลำปาง,18.28333,99.51667,000,08-29-2019,16:00:00,1.20,10.00,975.00,0.0,72,33.10,25.7,31.5,1001.92,1.20
48329,LAMPHUN,ลำพูน,ลำพูน,18.56722,99.03389,000,08-29-2019,16:00:00,0.00,12.00,968.43,0.0,66,31.52,24.9,32.0,1001.17,0.00
48330,PHRAE,แพร่,แพร่,18.16667,100.16667,180,08-29-2019,16:00:00,0.00,12.00,982.59,1.9,66,33.06,25.7,33.0,1000.59,0.90
48331,NAN,น่าน,น่าน,18.77972,100.77778,000,08-29-2019,16:00:00,0.00,10.00,978.28,0.0,69,35.10,26.7,33.1,1000.46,2.30
48333,NAN AGROMET.,น่าน สกษ.,น่าน,18.86667,100.75000,000,08-29-2019,16:00:00,0.00,12.00,971.45,0.0,70,34.60,26.5,32.6,1000.54,0.00
48334,LAMPANG AGROMET.,ลำปาง สกษ.,ลำปาง,18.31667,99.28333,000,08-29-2019,16:00:00,0.00,7.00,966.21,0.0,72,32.76,25.6,31.2,1000.92,2.00
48350,LOEI AGROMET.,เลย สกษ.,เลย,17.40000,101.73333,320,08-29-2019,16:00:00,0.00,15.00,970.02,7.4,74,37.06,27.7,33.0,998.85,0.00
48351,UTTARADIT,อุตรดิตถ์,อุตรดิตถ์,17.61667,100.10000,000,08-29-2019,16:00:00,0.00,11.00,993.86,0.0,61,32.67,25.5,34.2,1000.95,0.00
