WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,MeanSeaLevelPressure,Date,Time,LandVisibility,DewPoint,StationPressure,AirTemperature,Rainfall24Hr,VaporPressure,Rainfall,WindDirection,WindSpeed,RelativeHumidity
48300,MAE HONG SON,แม่ฮ่องสอน,แม่ฮ่องสอน,19.29897,97.97578,1006.18,07-23-2019,04:00:00,10.00,23.4,975.29,26.0,0.00,28.70,0.00,000,0.0,85
48302,DOI ANG KANG,ดอยอ่างขาง,เชียงใหม่,19.93139,99.04833,1005.04,07-23-2019,04:00:00,8.00,17.1,843.85,18.3,2.70,19.53,0.00,270,14.8,93
48303,CHIANG RAI,เชียงราย,เชียงราย,19.96139,99.88139,1005.12,07-23-2019,04:00:00,10.00,23.8,961.49,25.0,1.80,29.52,0.00,000,0.0,93
48304,CHAING RAI AGROMET.,เชียงราย สกษ.,เชียงราย,19.87083,99.78278,1005.28,07-23-2019,04:00:00,10.00,23.9,959.71,24.8,0.60,29.69,0.20,000,0.0,95
48307,THUNG CHANG,ทุ่งช้าง,น่าน,19.41194,100.88353,1005.94,07-23-2019,04:00:00,6.00,24.1,968.17,24.3,0.40,30.10,0.00,000,0.0,99
48310,PHAYAO,พะเยา,พะเยา,19.13333,99.90000,1005.11,07-23-2019,04:00:00,7.00,21.7,960.39,27.5,0.00,25.91,0.00,200,3.7,71
48315,THA WANGPHA,ท่าวังผา,น่าน,19.11056,100.80250,1005.83,07-23-2019,04:00:00,8.00,24.9,979.17,26.5,0.10,31.52,0.00,000,0.0,91
48324,THOEN,เถิน,ลำปาง,17.63661,99.24475,1005.23,07-23-2019,04:00:00,15.00,21.0,983.60,27.5,0.00,24.89,0.00,000,0.0,68
48325,MAE SARIANG,แม่สะเรียง,แม่ฮ่องสอน,18.16667,97.93333,1007.02,07-23-2019,04:00:00,5.00,23.8,982.78,24.5,2.30,29.41,2.00,000,0.0,96
48327,CHIANG MAI,เชียงใหม่,เชียงใหม่,18.79000,98.97694,1005.39,07-23-2019,04:00:00,10.00,21.3,971.04,27.0,0.00,25.30,0.00,000,0.0,71
48328,LAMPANG,ลำปาง,ลำปาง,18.28333,99.51667,1005.73,07-23-2019,04:00:00,10.00,21.8,978.31,27.0,0.00,26.06,0.00,000,0.0,73
48329,LAMPHUN,ลำพูน,ลำพูน,18.56722,99.03389,1005.28,07-23-2019,04:00:00,10.00,22.4,971.92,27.4,0.00,27.03,0.00,000,0.0,74
48330,PHRAE,แพร่,แพร่,18.16667,100.16667,1005.50,07-23-2019,04:00:00,10.00,22.4,987.08,27.4,0.01,27.03,0.00,260,5.6,74
48331,NAN,น่าน,น่าน,18.77972,100.77778,1005.14,07-23-2019,04:00:00,10.00,23.3,982.42,27.1,0.00,28.59,0.00,000,0.0,80
48333,NAN AGROMET.,น่าน สกษ.,น่าน,18.86667,100.75000,1005.47,07-23-2019,04:00:00,6.00,24.6,975.60,26.0,0.00,30.84,0.00,000,0.0,92
48334,LAMPANG AGROMET.,ลำปาง สกษ.,ลำปาง,18.31667,99.28333,1005.69,07-23-2019,04:00:00,6.00,21.8,970.33,27.0,0.00,26.06,0.00,000,0.0,73
48350,LOEI AGROMET.,เลย สกษ.,เลย,17.40000,101.73333,1005.28,07-23-2019,04:00:00,10.00,22.1,975.47,24.8,0.00,26.60,0.00,000,0.0,85
48351,UTTARADIT,อุตรดิตถ์,อุตรดิตถ์,17.61667,100.10000,1006.11,07-23-2019,04:00:00,9.00,24.7,998.82,27.6,0.50,31.16,0.00,000,0.0,84
48352,NONG KHAI,หนองคาย,หนองคาย,17.86717,102.73303,1005.00,07-23-2019,04:00:00,10.00,25.6,985.16,27.0,0.00,32.77,0.00,000,0.0,92
48353,LOEI,เลย,เลย,17.45000,101.73333,1005.45,07-23-2019,04:00:00,10.00,23.2,976.80,26.1,0.00,28.36,0.00,000,0.0,84
48354,UDON THANI,อุดรธานี,อุดรธานี,17.38333,102.80000,1005.19,07-23-2019,04:00:00,10.00,25.6,985.07,27.0,0.01,32.77,0.01,060,1.9,92
48355,SAKON NAKHON AGROMET.,สกลนคร สกษ.,สกลนคร,17.12503,104.06100,1005.99,07-23-2019,04:00:00,10.00,23.6,984.15,24.8,19.40,29.16,0.00,000,0.0,93
48356,SAKON NAKHON,สกลนคร,สกลนคร,17.15000,104.13333,1005.12,07-23-2019,04:00:00,10.00,24.1,985.52,24.5,20.40,29.93,0.00,000,0.0,97
48357,NAKHON PHANOM,นครพนม,นครพนม,17.41083,104.78250,1006.63,07-23-2019,04:00:00,10.00,23.1,989.75,24.3,43.70,28.28,0.00,120,3.7,93
48358,NAKHON PHANOM AGROMET.,นครพนม สกษ.,นครพนม,17.44306,104.77361,1006.44,07-23-2019,04:00:00,10.00,22.8,988.85,23.5,41.80,27.66,0.00,000,0.0,96
48360,NONG BUA LAM PHU,หนองบัวลำภู,หนองบัวลำภู,17.23250,102.42944,1004.09,07-23-2019,04:00:00,10.00,22.8,978.37,26.5,0.00,27.77,0.00,000,0.0,80
48372,SUKHOTHAI*,สุโขทัย,สุโขทัย,17.10611,99.80000,1005.68,07-23-2019,04:00:00,10.00,25.8,999.90,27.4,0.00,33.29,0.00,120,3.7,91
