WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,LandVisibility,Date,Time,Rainfall24Hr,DewPoint,StationPressure,WindSpeed,VaporPressure,MeanSeaLevelPressure,WindDirection,AirTemperature,Rainfall,RelativeHumidity
48300,MAE HONG SON,แม่ฮ่องสอน,แม่ฮ่องสอน,19.29897,97.97578,7.00,09-28-2019,01:00:00,31.30,22.2,983.78,0.0,26.83,1015.19,000,23.6,0.00,92
48302,DOI ANG KANG,ดอยอ่างขาง,เชียงใหม่,19.93139,99.04833,8.00,09-28-2019,01:00:00,0.00,15.6,851.02,9.3,17.69,1014.90,120,16.1,0.00,97
48303,CHIANG RAI,เชียงราย,เชียงราย,19.96139,99.88139,10.00,09-28-2019,01:00:00,0.01,19.6,972.03,3.7,22.75,1016.70,030,21.3,0.00,90
48304,CHAING RAI AGROMET.,เชียงราย สกษ.,เชียงราย,19.87083,99.78278,7.00,09-28-2019,01:00:00,3.40,19.6,969.76,0.0,22.77,1016.41,000,21.0,0.00,92
48307,THUNG CHANG,ทุ่งช้าง,น่าน,19.41194,100.88353,5.00,09-28-2019,01:00:00,2.30,21.1,977.86,0.0,25.07,1016.40,000,21.3,0.00,99
48310,PHAYAO,พะเยา,พะเยา,19.13333,99.90000,8.00,09-28-2019,01:00:00,4.10,20.8,970.47,0.0,24.50,1016.52,000,22.0,0.00,93
48315,THA WANGPHA,ท่าวังผา,น่าน,19.11056,100.80250,7.00,09-28-2019,01:00:00,16.30,21.9,989.34,0.0,26.33,1016.60,000,23.0,0.00,94
48324,THOEN,เถิน,ลำปาง,17.63661,99.24475,10.00,09-28-2019,01:00:00,11.70,22.9,992.72,0.0,27.92,1014.85,000,23.5,0.00,96
48325,MAE SARIANG,แม่สะเรียง,แม่ฮ่องสอน,18.16667,97.93333,6.00,09-28-2019,01:00:00,0.00,23.2,990.47,0.0,28.35,1014.95,000,23.9,0.00,96
48327,CHIANG MAI,เชียงใหม่,เชียงใหม่,18.79000,98.97694,10.00,09-28-2019,01:00:00,14.20,22.3,980.71,0.0,26.84,1015.69,000,24.5,0.00,87
48329,LAMPHUN,ลำพูน,ลำพูน,18.56722,99.03389,10.00,09-28-2019,01:00:00,1.80,22.6,981.32,0.0,27.42,1015.42,000,23.8,0.00,93
48330,PHRAE,แพร่,แพร่,18.16667,100.16667,3.00,09-28-2019,01:00:00,0.00,22.6,995.71,0.0,27.34,1014.51,000,23.9,0.00,92
48331,NAN,น่าน,น่าน,18.77972,100.77778,10.00,09-28-2019,01:00:00,4.50,22.0,992.37,0.0,26.50,1015.67,000,22.8,0.00,96
48333,NAN AGROMET.,น่าน สกษ.,น่าน,18.86667,100.75000,6.00,09-28-2019,01:00:00,7.50,20.8,985.13,0.0,24.59,1015.74,000,21.6,0.00,95
48334,LAMPANG AGROMET.,ลำปาง สกษ.,ลำปาง,18.31667,99.28333,6.00,09-28-2019,01:00:00,1.20,21.2,979.27,0.0,25.21,1015.57,000,22.0,0.00,95
48350,LOEI AGROMET.,เลย สกษ.,เลย,17.40000,101.73333,5.00,09-28-2019,01:00:00,0.00,20.5,984.04,0.0,24.03,1014.40,000,22.0,0.00,91
48351,UTTARADIT,อุตรดิตถ์,อุตรดิตถ์,17.61667,100.10000,8.00,09-28-2019,01:00:00,0.60,22.9,1006.56,0.0,27.87,1013.97,000,24.8,0.00,89
48352,NONG KHAI,หนองคาย,หนองคาย,17.86717,102.73303,4.00,09-28-2019,01:00:00,0.00,22.0,994.14,7.4,26.39,1014.19,070,26.6,0.00,76
48353,LOEI,เลย,เลย,17.45000,101.73333,5.00,09-28-2019,01:00:00,0.00,21.1,985.27,0.0,24.95,1014.43,000,23.5,0.00,86
48354,UDON THANI,อุดรธานี,อุดรธานี,17.38333,102.80000,6.00,09-28-2019,01:00:00,0.00,22.2,993.96,3.7,26.79,1014.35,080,25.8,0.00,81
48355,SAKON NAKHON AGROMET.,สกลนคร สกษ.,สกลนคร,17.12503,104.06100,5.00,09-28-2019,01:00:00,0.00,21.5,992.72,0.0,25.60,1014.89,000,23.0,0.00,91
48356,SAKON NAKHON,สกลนคร,สกลนคร,17.15000,104.13333,9.00,09-28-2019,01:00:00,0.00,20.9,994.90,3.7,24.78,1014.68,090,24.6,0.00,80
48357,NAKHON PHANOM,นครพนม,นครพนม,17.41083,104.78250,10.00,09-28-2019,01:00:00,0.00,19.3,997.74,0.0,22.39,1014.78,000,24.0,0.00,75
48358,NAKHON PHANOM AGROMET.,นครพนม สกษ.,นครพนม,17.44306,104.77361,8.00,09-28-2019,01:00:00,0.00,20.4,997.42,0.0,23.99,1015.16,000,23.5,0.00,83
48360,NONG BUA LAM PHU,หนองบัวลำภู,หนองบัวลำภู,17.23250,102.42944,8.00,09-28-2019,01:00:00,0.00,20.7,986.96,0.0,24.45,1013.09,000,24.4,0.00,80
48372,SUKHOTHAI*,สุโขทัย,สุโขทัย,17.10611,99.80000,8.00,09-28-2019,01:00:00,0.00,24.7,1008.39,3.7,31.12,1014.26,280,25.0,0.00,98
48373,SI SAMRONG AGROMET.,ศรีสำโรง สกษ.,สุโขทัย,17.16136,99.86167,6.00,09-28-2019,01:00:00,1.00,24.6,1008.45,0.0,30.85,1014.73,000,25.0,0.00,97
48374,LOM SAK,หล่มสัก,เพชรบูรณ์,16.77361,101.24944,10.00,09-28-2019,01:00:00,0.00,21.9,998.44,0.0,26.19,1015.10,000,25.3,0.00,81
48375,MAE SOT,แม่สอด,ตาก,16.65917,98.55083,8.00,09-28-2019,01:00:00,6.60,22.3,989.92,0.0,27.00,1012.61,000,23.7,0.00,92
48376,TAK,ตาก,ตาก,16.87833,99.14333,6.00,09-28-2019,01:00:00,4.80,23.7,1000.47,0.0,29.25,1015.08,000,24.7,0.00,94
48377,BHUMIBOL DAM,เขื่อนภูมิพล,ตาก,17.24389,99.00250,8.00,09-28-2019,01:00:00,0.00,22.1,997.68,0.0,26.66,1014.37,000,23.5,0.00,92
48378,PHITSANULOK,พิษณุโลก,พิษณุโลก,16.79481,100.27930,10.00,09-28-2019,01:00:00,6.00,24.6,1008.66,0.0,30.84,1013.94,000,26.0,0.00,92
48379,PHETCHABUN,เพชรบูรณ์,เพชรบูรณ์,16.43333,101.15000,10.00,09-28-2019,01:00:00,2.20,24.3,999.47,0.0,30.34,1012.82,000,25.3,0.00,94
48380,KAMPHAENG PHET,กำแพงเพชร,กำแพงเพชร,16.48681,99.52697,6.00,09-28-2019,01:00:00,5.70,23.7,1004.20,0.0,29.25,1013.66,000,24.7,0.00,94
48381,KHON KAEN,ขอนแก่น,ขอนแก่น,16.46111,102.78972,7.00,09-28-2019,01:00:00,0.00,21.5,992.10,14.8,25.70,1014.01,090,25.9,0.00,77
48382,MAHASARAKHAM,มหาสารคาม,มหาสารคาม,16.24722,103.06805,7.00,09-28-2019,01:00:00,0.00,22.6,995.92,0.0,27.46,1013.64,000,25.3,0.00,85
48383,MUKDAHAN,มุกดาหาร,มุกดาหาร,16.54139,104.72889,10.00,09-28-2019,01:00:00,0.00,19.9,997.64,3.7,23.17,1013.71,020,24.5,0.00,75
48384,THA PHRA AGROMET.,ท่าพระ สกษ.,ขอนแก่น,16.33333,102.81667,7.00,09-28-2019,01:00:00,0.00,23.0,994.12,0.0,28.02,1013.29,000,24.3,0.00,92
48385,UMPHANG,อุ้มผาง,ตาก,16.02472,98.86444,6.00,09-28-2019,01:00:00,0.00,20.6,962.34,0.0,24.27,1014.57,000,22.0,0.00,92
48386,PICHIT AGROMET.,พิจิตร สกษ.,พิจิตร,16.43806,100.29250,3.00,09-28-2019,01:00:00,0.00,24.6,1009.29,0.0,30.97,1013.28,000,26.5,0.00,89
48387,DOI MU SOE AGROMET.,ดอยมูเซอร์ สกษ.,ตาก,16.75000,98.93333,2.50,09-28-2019,01:00:00,0.80,19.1,918.96,0.0,22.10,1015.33,000,19.9,0.00,95
48390,KALASIN,กาฬสินธุ์,กาฬสินธุ์,16.33250,103.58833,6.00,09-28-2019,01:00:00,0.00,21.9,998.08,0.0,26.26,1014.30,000,24.6,0.00,85
48400,NAKHON SAWAN,นครสวรรค์ ,นครสวรรค์,15.67183,100.13236,6.00,09-28-2019,01:00:00,0.00,24.7,1009.79,0.0,31.08,1013.86,000,26.7,0.00,89
48401,TAKFA AGROMET.,ตากฟ้า สกษ.,นครสวรรค์,15.34944,100.53028,7.00,09-28-2019,01:00:00,0.00,23.3,1003.83,0.0,28.59,1014.64,000,25.5,0.00,88
48402,CHAINAT AGROMET.,ชัยนาท สกษ.,ชัยนาท,15.15000,100.18333,8.00,09-28-2019,01:00:00,0.00,23.9,1011.09,0.0,29.64,1013.03,000,26.8,0.00,84
48403,CHAIYAPHUM,ชัยภูมิ,ชัยภูมิ,15.80000,102.03333,8.00,09-28-2019,01:00:00,0.00,20.5,992.51,0.0,24.05,1013.67,000,24.6,0.00,78
48404,ROI ET AGROMET.,ร้อยเอ็ด สกษ.,ร้อยเอ็ด,16.07322,103.60844,10.00,09-28-2019,01:00:00,0.00,21.0,995.49,5.6,24.86,1013.41,050,24.5,0.00,81
48405,ROI ET,ร้อยเอ็ด,ร้อยเอ็ด,16.02000,103.74389,10.00,09-28-2019,01:00:00,0.00,20.9,997.16,0.0,24.78,1013.51,000,25.5,0.00,76
48407,UBON RATCHATHANI,อุบลราชธานี (ศูนย์ฯ),อุบลราชธานี,15.25000,104.86667,10.00,09-28-2019,01:00:00,0.00,20.2,998.66,0.0,23.64,1012.86,000,25.1,0.00,74
48408,UBON RATCHATHANI AGROMET.,อุบลราชธานี สกษ.,อุบลราชธานี,15.23914,105.02350,10.00,09-28-2019,01:00:00,0.00,20.4,998.45,0.0,23.96,1013.47,000,25.0,0.00,76
48409,SI SAKET AGROMET.,ศรีสะเกษ,ศรีสะเกษ,15.00000,104.05000,6.00,09-28-2019,01:00:00,0.00,20.8,998.88,13.0,24.53,1013.71,040,25.8,0.00,74
48410,UTHAITHANI,อุทัยธานี,อุทัยธานี,15.37417,100.03889,10.00,09-28-2019,01:00:00,0.00,24.7,1010.59,0.0,31.13,1013.64,"{'@attributes': {'Unit': 'degree'}, '0': '   '}",26.3,0.00,91
48413,WICHIAN BURI,วิเชียรบุรี,เพชรบูรณ์,15.65700,101.10800,8.00,09-28-2019,01:00:00,0.00,22.6,1004.99,0.0,27.46,1013.03,000,25.3,0.00,85
48415,AYUTTHAYA,พระนครศรีอยุธยา,พระนครศรีอยุธยา,14.53472,100.72500,8.00,09-28-2019,01:00:00,0.00,23.5,1011.40,0.0,28.98,1012.52,000,26.3,0.00,85
48416,THA TUM,ท่าตูม,สุรินทร์,15.31667,103.68333,8.00,09-28-2019,01:00:00,0.00,25.1,998.60,3.7,31.95,1013.33,090,28.0,0.00,85
48417,NAKORNNAYOK,นครนายก,นครนายก,14.36222,101.39278,8.00,09-28-2019,01:00:00,0.00,17.0,878.34,5.6,19.31,1014.26,050,19.6,0.00,85
48418,BUA CHUM,บัวชุม  ,ลพบุรี,15.26667,101.18736,8.00,09-28-2019,01:00:00,0.00,22.5,1007.52,0.0,27.17,1013.49,000,24.1,0.00,91
48419,PATHUMTHANI,ปทุมธานี สกษ.,ปทุมธานี,14.10000,100.61667,7.00,09-28-2019,01:00:00,1.80,24.4,1013.15,0.0,30.56,1013.96,000,28.0,0.00,81
48420,Samut Prakarn,สมุทรปราการ สกษ.,สมุทรปราการ,13.51667,100.76167,8.00,09-28-2019,01:00:00,0.00,25.9,1011.75,0.0,33.37,1012.20,000,28.0,0.00,88
48421,THONG PHAPHUM,ทองผาภูมิ,กาญจนบุรี,14.74222,98.63639,4.00,09-28-2019,01:00:00,0.00,23.4,1001.88,0.0,28.72,1013.34,000,24.7,0.00,92
48425,SUPHAN BURI,สุพรรณบุรี,สุพรรณบุรี,14.47444,100.13889,7.00,09-28-2019,01:00:00,0.00,23.9,1012.19,5.6,29.72,1013.21,360,26.7,0.00,85
48426,LOP BURI,ลพบุรี,ลพบุรี,14.79972,100.64500,7.00,09-28-2019,01:00:00,0.00,23.0,1011.07,0.0,28.03,1012.91,000,26.5,0.00,81
48429,SUVARNABHUMI AIRPORT,สนามบินสุวรรณภูมิ,สมุทรปราการ,13.68639,100.76750,9.00,09-28-2019,01:00:00,0.00,25.0,1011.97,3.7,31.67,1012.67,030,28.0,0.00,84
