WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,LandVisibility,Date,Time,Rainfall24Hr,DewPoint,StationPressure,WindSpeed,VaporPressure,MeanSeaLevelPressure,WindDirection,AirTemperature,Rainfall,RelativeHumidity
48430,PRACHIN BURI,ปราจีนบุรี,ปราจีนบุรี,14.05842,101.36930,7.00,09-28-2019,01:00:00,0.00,23.5,1011.69,3.7,29.03,1012.40,070,28.2,0.00,76
48431,NAKHON RATCHASIMA,นครราชสีมา,นครราชสีมา,14.96830,102.08603,8.00,09-28-2019,01:00:00,0.00,22.8,992.07,0.0,27.81,1013.46,000,25.5,0.00,85
48432,SURIN,สุรินทร์,สุรินทร์,14.88333,103.50000,6.00,09-28-2019,01:00:00,0.00,23.7,996.27,0.0,29.33,1013.13,000,26.2,0.00,86
48433,SURIN AGROMET.,สุรินทร์ สกษ.,สุรินทร์,14.88333,103.45000,6.00,09-28-2019,01:00:00,0.00,22.8,997.14,5.6,27.70,1013.79,050,25.0,0.00,88
48434,CHOK CHAI,โชคชัย,นครราชสีมา,14.71889,102.16861,4.00,09-28-2019,01:00:00,0.00,22.7,991.28,0.0,27.54,1013.40,000,25.2,0.00,86
48435,PAKCHONG AGROMET.,ปากช่อง สกษ.,นครราชสีมา,14.64389,101.33194,9.00,09-28-2019,01:00:00,0.00,19.3,969.32,11.1,22.35,1013.03,100,25.5,0.00,69
48436,NANG RONG,นางรอง,บุรีรัมย์,14.58333,102.80000,7.00,09-28-2019,01:00:00,0.00,23.8,992.19,0.0,29.52,1013.01,000,25.0,0.00,93
48437,BURIRUM,บุรีรัมย์,บุรีรัมย์,15.22575,103.24808,6.00,09-28-2019,01:00:00,0.00,23.4,993.92,14.8,28.72,1015.06,050,24.7,0.00,92
48438,SAMUTSONGKRAM,สมุทรสงคราม,สมุทรสงคราม,13.40778,100.03222,10.00,09-28-2019,01:00:00,0.00,24.1,1011.68,0.0,30.02,1012.11,000,27.0,0.00,84
48439,KABIN BURI,กบินทร์บุรี,ปราจีนบุรี,13.98333,101.70722,6.00,09-28-2019,01:00:00,0.00,25.1,1010.89,0.0,31.91,1012.31,000,26.7,0.00,91
48440,SA KAEW,สระแก้ว,สระแก้ว,13.78889,102.03472,7.00,09-28-2019,01:00:00,15.00,24.6,1007.40,0.0,30.85,1012.40,000,25.0,0.00,97
48450,KANCHANA BURI,กาญจนบุรี,กาญจนบุรี,14.02250,99.53583,7.00,09-28-2019,01:00:00,0.00,23.3,1009.60,0.0,28.59,1012.91,000,27.1,0.00,80
48451,NAKHONPATHOM,นครปฐม,นครปฐม,14.01167,99.97000,10.00,09-28-2019,01:00:00,2.50,24.8,1011.56,0.0,31.22,1012.67,000,27.2,0.00,87
48453,BANG NA AGROMET.,กรุงเทพฯ บางนา สกษ.,กรุงเทพมหานคร,13.66639,100.60611,10.00,09-28-2019,01:00:00,0.00,25.8,1012.35,0.0,33.20,1012.65,000,28.2,0.00,87
48455,BANGKOK METROPOLIS,กรุงเทพมหานคร,กรุงเทพมหานคร,13.72639,100.56000,10.00,09-28-2019,01:00:00,0.00,25.1,1013.05,0.0,31.95,1013.54,000,28.0,0.00,85
48456,DON MUANG AIRPORT,สนามบินดอนเมือง,กรุงเทพมหานคร,13.91917,100.60500,8.00,09-28-2019,01:00:00,0.01,26.0,1011.18,5.6,33.57,1012.59,130,28.1,0.00,88
48458,CHACHOENGSAO,ฉะเชิงเทรา,ฉะเชิงเทรา,13.51556,101.45833,10.00,09-28-2019,01:00:00,0.00,23.9,1005.62,0.0,29.61,1013.73,000,24.9,0.00,94
48459,CHON BURI,ชลบุรี,ชลบุรี,13.36667,100.98333,6.00,09-28-2019,01:00:00,4.70,25.0,1011.57,0.0,31.61,1011.86,000,27.4,0.00,87
48460,KO SICHANG,เกาะสีชัง,ชลบุรี,13.16167,100.80194,10.00,09-28-2019,01:00:00,14.30,24.0,1008.88,0.0,29.82,1012.04,000,25.6,0.00,91
48461,PHATTHAYA,พัทยา,ชลบุรี,12.92000,100.86944,10.00,09-28-2019,01:00:00,13.80,24.7,1005.32,0.0,31.08,1012.33,000,25.7,0.00,94
48462,ARANYA PRATHET,อรัญประเทศ,สระแก้ว,13.70000,102.58333,10.00,09-28-2019,01:00:00,18.00,24.9,1006.61,0.0,31.55,1012.25,000,25.8,0.00,95
48464,RATCHA BURI,ราชบุรี,ราชบุรี,13.48931,99.79239,10.00,09-28-2019,01:00:00,4.50,24.8,1011.90,0.0,31.33,1013.17,000,25.4,0.00,97
48465,PHETCHA BURI,เพชรบุรี,เพชรบุรี,12.99944,100.06056,11.00,09-28-2019,01:00:00,1.10,25.3,1011.57,0.0,32.16,1012.00,000,{'@attributes': {'Unit': 'celcius'}},0.00,88
48474,NONG PHLUB AGROMET.,หนองพลับ สกษ.,ประจวบคีรีขันธ์,12.58333,99.73333,8.00,09-28-2019,01:00:00,23.00,23.3,1000.33,0.0,28.53,1012.78,000,24.0,0.00,96
48475,HUA HIN,หัวหิน,ประจวบคีรีขันธ์,12.58611,99.96250,7.00,09-28-2019,01:00:00,6.80,24.9,1011.60,0.0,31.52,1012.32,000,26.5,0.00,91
48477,SATTAHIP,สัตหีบ,ชลบุรี,12.68333,100.98333,6.00,09-28-2019,01:00:00,3.10,23.8,1010.11,0.0,29.52,1012.58,000,25.0,0.00,93
48478,RAYONG,ระยอง,ระยอง,12.63222,101.34361,8.00,09-28-2019,01:00:00,0.10,24.2,1011.80,0.0,30.15,1012.32,000,25.2,0.00,94
48479,HUAI PONG AGROMET.,ห้วยโป่ง สกษ.,ระยอง,12.73333,101.13333,7.00,09-28-2019,01:00:00,1.40,24.0,1006.97,0.0,29.79,1012.19,000,25.0,0.00,94
48480,CHANTHA BURI,จันทบุรี,จันทบุรี,12.61667,102.11333,7.00,09-28-2019,01:00:00,0.00,23.9,1011.55,0.0,29.64,1011.96,000,26.8,0.00,84
48481,PHLIU  AGROMET.,พลิ้ว สกษ.,จันทบุรี,12.50861,102.17305,8.00,09-28-2019,01:00:00,0.00,25.2,1009.12,0.0,32.04,1011.92,000,26.2,0.00,94
48500,PRACHUAP KHIRIKHAN,ประจวบคีรีขันธ์,ประจวบคีรีขันธ์,11.83333,99.83333,10.00,09-28-2019,01:00:00,5.50,23.5,1011.67,0.0,28.92,1012.46,000,25.1,0.00,91
48501,TRAD,ตราด,ตราด,11.76667,102.88333,6.00,09-28-2019,01:00:00,0.00,23.9,1011.02,5.6,29.62,1011.48,100,25.2,0.00,92
48517,CHUMPHON,ชุมพร,ชุมพร,10.49875,99.18847,8.00,09-28-2019,01:00:00,0.70,22.9,1011.48,0.0,27.87,1012.17,000,24.8,0.00,89
48520,SAWI AGROMET.,สวี สกษ.,ชุมพร,10.33333,99.10000,7.00,09-28-2019,01:00:00,4.60,23.5,1010.78,0.0,28.89,1012.33,000,24.5,0.00,94
48532,RANONG,ระนอง,ระนอง,9.98333,98.61667,10.00,09-28-2019,01:00:00,0.40,23.2,1011.37,0.0,28.48,1012.30,000,25.0,0.00,90
48550,KO SAMUI,เกาะสมุย,สุราษฎร์ธานี,9.46667,100.05000,10.00,09-28-2019,01:00:00,1.00,25.3,1012.00,0.0,32.20,1012.69,000,26.0,0.00,96
48551,SURAT THANI,สุราษฎร์ธานี,สุราษฎร์ธานี,9.13556,99.15194,8.00,09-28-2019,01:00:00,0.00,24.0,1011.84,3.7,29.79,1012.64,280,25.0,0.00,94
48552,NAKHONSI THAMMARAT,นครศรีธรรมราช,นครศรีธรรมราช,8.53778,99.96389,10.00,09-28-2019,01:00:00,2.40,25.3,1011.67,0.0,32.32,1012.31,000,26.2,2.40,95
48554,NAKHONSI THAMMARAT AGROMET.,นครศรีธรรมราช สกษ.,นครศรีธรรมราช,8.35931,100.00000,10.00,09-28-2019,01:00:00,3.40,24.3,1011.67,0.0,30.32,1012.08,000,25.0,3.40,96
48555,SURAT THANI AGROMET.,สุราษฎร์ธานี สกษ.,สุราษฎร์ธานี,9.10000,99.63333,5.00,09-28-2019,01:00:00,0.01,23.8,1010.16,0.0,29.41,1014.44,000,24.5,0.00,96
48557,CHAWANG,ฉวาง,นครศรีธรรมราช,8.43194,99.51194,6.00,09-28-2019,01:00:00,0.00,24.3,1008.76,0.0,30.32,1012.28,000,25.0,0.00,96
48560,PHATTHALUNG AGROMET.,พัทลุง สกษ.,พัทลุง,7.58333,100.16667,10.00,09-28-2019,01:00:00,0.00,24.8,1011.37,0.0,31.38,1012.74,000,26.0,0.00,93
48561,TAKUA PA,ตะกั่วป่า,พังงา,8.68417,98.25222,10.00,09-28-2019,01:00:00,25.90,23.7,1011.30,0.0,29.23,1012.20,000,24.4,0.00,96
48563,KRABI,กระบี่,กระบี่,8.10361,98.97528,10.00,09-28-2019,01:00:00,0.00,23.8,1008.54,0.0,29.54,1012.14,000,25.3,0.00,92
48564,PHUKET,ภูเก็ต,ภูเก็ต,7.88333,98.40000,10.00,09-28-2019,01:00:00,8.00,25.4,1011.26,0.0,32.46,1011.70,000,26.7,3.40,93
48565,PHUKET AIRPORT,ภูเก็ต (ศูนย์ฯ),ภูเก็ต,8.14500,98.31444,10.00,09-28-2019,01:00:00,0.01,24.8,1010.49,0.0,31.25,1011.49,000,25.5,0.00,96
48567,TRANG AIRPORT,ตรัง,ตรัง,7.51667,99.61667,10.00,09-28-2019,01:00:00,0.00,24.3,1010.23,0.0,30.40,1012.06,000,26.2,0.00,89
48568,SONGKHLA,สงขลา,สงขลา,7.18211,100.60769,10.00,09-28-2019,01:00:00,0.30,23.5,1011.93,1.9,28.97,1012.69,160,26.0,0.00,86
48569,HAT YAI AIRPORT,หาดใหญ่,สงขลา,6.91667,100.43333,10.00,09-28-2019,01:00:00,0.60,24.9,1008.32,0.0,31.44,1012.35,000,25.6,0.60,96
48570,SATUN,สตูล,สตูล,6.65000,100.08333,10.00,09-28-2019,01:00:00,0.00,24.6,1012.16,0.0,30.87,1012.85,000,25.3,0.00,96
48571,KHO HONG AGROMET.,คอหงษ์ สกษ.,สงขลา,7.00000,100.50000,10.00,09-28-2019,01:00:00,0.00,24.4,1011.26,0.0,30.63,1012.39,000,25.6,0.00,93
48574,SA DAO,สะเดา,สงขลา,6.79806,100.39056,10.00,09-28-2019,01:00:00,1.60,24.8,1009.66,0.0,31.38,1012.61,000,26.0,0.00,93
