WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,StationPressure,Date,Time,WindSpeed,Rainfall24Hr,WindDirection,Rainfall,MeanSeaLevelPressure,AirTemperature,DewPoint,RelativeHumidity,VaporPressure,LandVisibility
48455,BANGKOK METROPOLIS,กรุงเทพมหานคร,กรุงเทพมหานคร,13.72639,100.56000,1006.46,07-23-2019,01:00:00,0.0,0.00,000,0.00,1006.95,29.0,26.2,85,33.99,10.00
48456,DON MUANG AIRPORT,สนามบินดอนเมือง,กรุงเทพมหานคร,13.91917,100.60500,1006.26,07-23-2019,01:00:00,11.1,0.00,190,0.00,1007.66,29.1,26.9,88,35.38,10.00
48458,CHACHOENGSAO,ฉะเชิงเทรา,ฉะเชิงเทรา,13.51556,101.45833,1001.70,07-23-2019,01:00:00,3.7,0.00,220,0.00,1009.73,26.8,24.9,90,31.55,10.00
48459,CHON BURI,ชลบุรี,ชลบุรี,13.36667,100.98333,1007.03,07-23-2019,01:00:00,0.0,0.00,000,0.00,1007.31,29.3,26.1,83,33.74,10.00
48460,KO SICHANG,เกาะสีชัง,ชลบุรี,13.16167,100.80194,1004.36,07-23-2019,01:00:00,0.0,0.00,000,0.00,1007.48,29.0,25.9,83,33.41,10.00
48461,PHATTHAYA,พัทยา,ชลบุรี,12.92000,100.86944,1000.63,07-23-2019,01:00:00,5.6,0.00,240,0.00,1007.53,29.0,26.0,84,33.70,10.00
48462,ARANYA PRATHET,อรัญประเทศ,สระแก้ว,13.70000,102.58333,1001.89,07-23-2019,01:00:00,3.7,0.00,300,0.00,1007.49,27.1,24.1,84,29.93,7.00
48464,RATCHA BURI,ราชบุรี,ราชบุรี,13.48931,99.79239,1007.36,07-23-2019,01:00:00,3.7,0.00,240,0.00,1008.63,27.0,25.7,93,33.06,10.00
48465,PHETCHA BURI,เพชรบุรี,เพชรบุรี,12.99944,100.06056,1007.48,07-23-2019,01:00:00,0.0,0.00,000,0.00,1007.91,29.2,26.1,83,33.83,11.00
48474,NONG PHLUB AGROMET.,หนองพลับ สกษ.,ประจวบคีรีขันธ์,12.58333,99.73333,996.16,07-23-2019,01:00:00,0.0,0.00,000,0.00,1008.48,25.7,23.5,88,28.95,8.00
48475,HUA HIN,หัวหิน,ประจวบคีรีขันธ์,12.58611,99.96250,1007.18,07-23-2019,01:00:00,0.0,0.00,000,0.00,1007.89,28.2,24.8,82,31.23,10.00
48477,SATTAHIP,สัตหีบ,ชลบุรี,12.68333,100.98333,1005.30,07-23-2019,01:00:00,7.4,0.01,180,0.00,1007.73,28.6,25.5,83,32.59,10.00
48478,RAYONG,ระยอง,ระยอง,12.63222,101.34361,1007.58,07-23-2019,01:00:00,9.3,0.01,230,0.00,1008.09,29.5,26.0,81,33.58,10.00
48479,HUAI PONG AGROMET.,ห้วยโป่ง สกษ.,ระยอง,12.73333,101.13333,1002.80,07-23-2019,01:00:00,1.9,0.00,260,0.00,1007.92,29.0,25.3,81,32.26,10.00
48480,CHANTHA BURI,จันทบุรี,จันทบุรี,12.61667,102.11333,1007.96,07-23-2019,01:00:00,0.0,1.20,000,0.00,1008.37,27.6,25.9,91,33.41,7.00
48481,PHLIU  AGROMET.,พลิ้ว สกษ.,จันทบุรี,12.50861,102.17305,1006.06,07-23-2019,01:00:00,0.0,1.00,000,0.00,1008.84,26.8,26.1,96,33.79,8.00
48500,PRACHUAP KHIRIKHAN,ประจวบคีรีขันธ์,ประจวบคีรีขันธ์,11.83333,99.83333,1008.41,07-23-2019,01:00:00,0.0,0.00,000,0.00,1009.20,27.5,24.0,81,29.88,10.00
48501,TRAD,ตราด,ตราด,11.76667,102.88333,1007.24,07-23-2019,01:00:00,5.6,10.60,070,0.00,1007.70,25.0,24.3,96,30.32,7.00
48517,CHUMPHON,ชุมพร,ชุมพร,10.49875,99.18847,1008.31,07-23-2019,01:00:00,0.0,0.00,000,0.00,1009.00,26.5,23.9,86,29.62,8.00
48520,SAWI AGROMET.,สวี สกษ.,ชุมพร,10.33333,99.10000,1007.48,07-23-2019,01:00:00,0.0,0.00,000,0.00,1009.02,25.8,24.6,93,31.00,8.00
48532,RANONG,ระนอง,ระนอง,9.98333,98.61667,1008.73,07-23-2019,01:00:00,0.0,0.00,000,0.00,1009.66,25.5,23.6,89,29.11,10.00
48550,KO SAMUI,เกาะสมุย,สุราษฎร์ธานี,9.46667,100.05000,1008.90,07-23-2019,01:00:00,5.6,0.00,270,0.00,1009.59,27.8,25.8,89,33.25,10.00
48551,SURAT THANI,สุราษฎร์ธานี,สุราษฎร์ธานี,9.13556,99.15194,1009.00,07-23-2019,01:00:00,0.0,0.00,000,0.00,1009.81,24.5,23.0,91,28.11,8.00
48552,NAKHONSI THAMMARAT,นครศรีธรรมราช,นครศรีธรรมราช,8.53778,99.96389,1008.44,07-23-2019,01:00:00,0.0,0.00,000,0.00,1009.08,27.0,25.6,92,32.77,10.00
48554,NAKHONSI THAMMARAT AGROMET.,นครศรีธรรมราช สกษ.,นครศรีธรรมราช,8.35931,100.00000,1008.49,07-23-2019,01:00:00,0.0,0.00,000,0.00,1008.90,25.8,24.6,93,31.00,10.00
48555,SURAT THANI AGROMET.,สุราษฎร์ธานี สกษ.,สุราษฎร์ธานี,9.10000,99.63333,1006.90,07-23-2019,01:00:00,0.0,0.00,000,0.00,1011.14,26.2,24.6,91,30.94,6.00
48556,PHRA SANG,พระแสง สอท.,สุราษฎร์ธานี,8.57022,99.25825,1008.68,07-23-2019,01:00:00,0.0,0.00,000,0.00,1010.31,25.0,24.7,98,31.12,6.00
48557,CHAWANG,ฉวาง,นครศรีธรรมราช,8.43194,99.51194,1006.08,07-23-2019,01:00:00,0.0,0.00,000,0.00,1009.57,26.3,25.1,93,31.96,7.00
48560,PHATTHALUNG AGROMET.,พัทลุง สกษ.,พัทลุง,7.58333,100.16667,1008.54,07-23-2019,01:00:00,0.0,0.00,000,0.00,1009.90,24.8,23.3,92,28.64,8.00
48561,TAKUA PA,ตะกั่วป่า,พังงา,8.68417,98.25222,1008.61,07-23-2019,01:00:00,0.0,0.20,000,0.00,1009.50,26.0,24.6,92,30.84,10.00
48563,KRABI,กระบี่,กระบี่,8.10361,98.97528,1004.88,07-23-2019,01:00:00,0.0,0.00,000,0.00,1008.47,24.5,22.7,90,27.60,10.00
48564,PHUKET,ภูเก็ต,ภูเก็ต,7.88333,98.40000,1008.91,07-23-2019,01:00:00,0.0,0.00,000,0.00,1009.35,26.8,24.5,87,30.72,10.00
48565,PHUKET AIRPORT,ภูเก็ต (ศูนย์ฯ),ภูเก็ต,8.14500,98.31444,1008.01,07-23-2019,01:00:00,0.0,0.00,000,0.00,1009.01,25.5,23.9,91,29.64,10.00
48566,KO LANTA,เกาะลันตา,กระบี่,7.53333,99.05000,1008.69,07-23-2019,01:00:00,13.0,0.00,280,0.00,1009.52,25.3,24.3,94,30.34,10.00
48567,TRANG AIRPORT,ตรัง,ตรัง,7.51667,99.61667,1008.01,07-23-2019,01:00:00,0.0,7.60,000,0.00,1009.84,24.5,23.8,96,29.41,10.00
48568,SONGKHLA,สงขลา,สงขลา,7.18211,100.60769,1008.63,07-23-2019,01:00:00,3.7,0.00,270,0.00,1009.39,25.8,22.8,84,27.82,10.00
48569,HAT YAI AIRPORT,หาดใหญ่,สงขลา,6.91667,100.43333,1005.79,07-23-2019,01:00:00,0.0,2.40,000,0.00,1009.83,24.0,23.0,94,28.01,9.00
48570,SATUN,สตูล,สตูล,6.65000,100.08333,1010.17,07-23-2019,01:00:00,0.0,0.00,000,0.00,1010.86,25.0,24.1,95,30.05,10.00
48571,KHO HONG AGROMET.,คอหงษ์ สกษ.,สงขลา,7.00000,100.50000,1008.47,07-23-2019,01:00:00,0.0,5.00,000,0.00,1009.60,24.2,23.5,96,28.88,10.00
48574,SA DAO,สะเดา,สงขลา,6.79806,100.39056,1006.84,07-23-2019,01:00:00,0.0,0.01,000,0.00,1009.78,24.7,23.7,94,29.25,10.00
