WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,LandVisibility,Date,Time,StationPressure,MinimumTemperature,MeanSeaLevelPressure,WindSpeed,Rainfall,DewPoint,Rainfall24Hr,VaporPressure,WindDirection,AirTemperature,RelativeHumidity
48300,MAE HONG SON,แม่ฮ่องสอน,แม่ฮ่องสอน,19.29897,97.97578,10.00,08-09-2019,07:00:00,972.81,23.9,1003.67,0.0,0.01,24.7,11.70,31.17,000,25.6,95
48302,DOI ANG KANG,ดอยอ่างขาง,เชียงใหม่,19.93139,99.04833,6.00,08-09-2019,07:00:00,840.96,18.7,1001.31,24.1,2.50,18.6,2.50,21.46,270,18.8,99
48303,CHIANG RAI,เชียงราย,เชียงราย,19.96139,99.88139,10.00,08-09-2019,07:00:00,957.90,26.4,1001.07,0.0,0.30,25.4,0.30,32.49,000,27.0,91
48304,CHAING RAI AGROMET.,เชียงราย สกษ.,เชียงราย,19.87083,99.78278,12.00,08-09-2019,07:00:00,956.11,24.5,1001.40,0.0,0.00,24.8,0.00,31.25,000,25.5,96
48307,THUNG CHANG,ทุ่งช้าง,น่าน,19.41194,100.88353,10.00,08-09-2019,07:00:00,964.70,25.1,1002.15,0.0,0.00,25.3,0.00,32.18,000,25.7,97
48310,PHAYAO,พะเยา,พะเยา,19.13333,99.90000,8.00,08-09-2019,07:00:00,957.20,25.0,1001.92,0.0,0.00,23.6,0.00,29.08,000,26.5,84
48315,THA WANGPHA,ท่าวังผา,น่าน,19.11056,100.80250,7.00,08-09-2019,07:00:00,975.66,26.0,1002.22,0.0,0.00,25.5,0.01,32.63,000,26.5,94
48324,THOEN,เถิน,ลำปาง,17.63661,99.24475,12.00,08-09-2019,07:00:00,981.26,26.1,1002.94,0.0,0.10,24.6,0.10,30.94,000,26.2,91
48325,MAE SARIANG,แม่สะเรียง,แม่ฮ่องสอน,18.16667,97.93333,5.00,08-09-2019,07:00:00,980.16,23.5,1004.28,0.0,0.00,24.2,1.20,30.15,000,25.2,94
48327,CHIANG MAI,เชียงใหม่,เชียงใหม่,18.79000,98.97694,10.00,08-09-2019,07:00:00,967.86,26.4,1002.14,0.0,0.00,24.3,0.01,30.34,000,26.6,87
48328,LAMPANG,ลำปาง,ลำปาง,18.28333,99.51667,10.00,08-09-2019,07:00:00,975.13,26.5,1002.49,0.0,0.00,24.2,0.00,30.18,000,26.8,86
48329,LAMPHUN,ลำพูน,ลำพูน,18.56722,99.03389,8.00,08-09-2019,07:00:00,968.83,25.8,1002.24,0.0,0.40,24.8,0.40,31.38,000,26.0,93
48330,PHRAE,แพร่,แพร่,18.16667,100.16667,15.00,08-09-2019,07:00:00,983.16,26.1,1001.58,5.6,0.00,24.2,0.00,30.13,230,26.2,89
48331,NAN,น่าน,น่าน,18.77972,100.77778,10.00,08-09-2019,07:00:00,979.11,26.4,1001.77,0.0,0.00,25.0,0.00,31.74,000,26.9,90
48333,NAN AGROMET.,น่าน สกษ.,น่าน,18.86667,100.75000,10.00,08-09-2019,07:00:00,971.88,25.3,1001.68,0.0,0.00,24.8,0.00,31.25,000,25.5,96
48334,LAMPANG AGROMET.,ลำปาง สกษ.,ลำปาง,18.31667,99.28333,5.00,08-09-2019,07:00:00,967.28,25.5,1002.71,0.0,0.60,24.8,0.60,31.25,000,25.5,96
48350,LOEI AGROMET.,เลย สกษ.,เลย,17.40000,101.73333,12.00,08-09-2019,07:00:00,970.98,25.8,1000.53,0.0,0.00,24.6,0.00,30.84,000,26.0,92
48351,UTTARADIT,อุตรดิตถ์,อุตรดิตถ์,17.61667,100.10000,8.00,08-09-2019,07:00:00,995.19,26.7,1002.46,0.0,0.70,24.8,0.70,31.38,000,27.0,88
48352,NONG KHAI,หนองคาย,หนองคาย,17.86717,102.73303,6.00,08-09-2019,07:00:00,981.06,25.6,1000.88,5.6,0.10,23.8,0.10,29.50,180,26.0,88
48353,LOEI,เลย,เลย,17.45000,101.73333,15.00,08-09-2019,07:00:00,972.52,25.6,1000.91,0.0,0.00,24.0,0.00,29.88,000,27.5,81
48354,UDON THANI,อุดรธานี,อุดรธานี,17.38333,102.80000,12.00,08-09-2019,07:00:00,980.72,25.3,1000.83,7.4,3.30,25.4,3.30,32.45,100,25.7,98
48355,SAKON NAKHON AGROMET.,สกลนคร สกษ.,สกลนคร,17.12503,104.06100,12.00,08-09-2019,07:00:00,979.87,25.5,1001.53,0.0,0.20,25.3,24.50,32.20,000,26.0,96
48356,SAKON NAKHON,สกลนคร,สกลนคร,17.15000,104.13333,12.00,08-09-2019,07:00:00,981.31,25.7,1000.69,0.0,2.40,25.8,2.40,33.19,000,26.5,96
48357,NAKHON PHANOM,นครพนม,นครพนม,17.41083,104.78250,12.00,08-09-2019,07:00:00,984.63,25.0,1001.24,1.9,0.00,24.6,2.70,30.97,060,27.5,84
48358,NAKHON PHANOM AGROMET.,นครพนม สกษ.,นครพนม,17.44306,104.77361,12.00,08-09-2019,07:00:00,984.28,23.1,1001.65,0.0,0.00,24.6,13.60,31.00,000,25.8,93
48360,NONG BUA LAM PHU,หนองบัวลำภู,หนองบัวลำภู,17.23250,102.42944,11.00,08-09-2019,07:00:00,974.66,25.8,1000.32,3.7,0.20,25.0,0.20,31.76,080,26.2,93
