WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,AirTemperature,Date,Time,DewPoint,Rainfall24Hr,LandVisibility,VaporPressure,RelativeHumidity,Rainfall,MinimumTemperature,WindSpeed,StationPressure,WindDirection,MeanSeaLevelPressure
48300,MAE HONG SON,แม่ฮ่องสอน,แม่ฮ่องสอน,19.29897,97.97578,24.7,08-24-2019,07:00:00,23.8,47.00,2.00,29.51,95,0.20,23.3,0.0,976.73,000,1007.80
48303,CHIANG RAI,เชียงราย,เชียงราย,19.96139,99.88139,24.6,08-24-2019,07:00:00,23.7,7.90,9.00,29.33,95,0.00,24.0,1.9,963.93,020,1007.72
48304,CHAING RAI AGROMET.,เชียงราย สกษ.,เชียงราย,19.87083,99.78278,24.1,08-24-2019,07:00:00,23.7,13.00,15.00,29.22,97,0.00,22.4,0.0,962.16,000,1007.95
48307,THUNG CHANG,ทุ่งช้าง,น่าน,19.41194,100.88353,23.0,08-24-2019,07:00:00,22.8,92.60,7.00,27.82,99,1.20,22.5,0.0,970.21,000,1008.23
48310,PHAYAO,พะเยา,พะเยา,19.13333,99.90000,23.6,08-24-2019,07:00:00,23.3,40.20,5.00,28.60,98,2.00,23.2,0.0,962.61,000,1008.03
48315,THA WANGPHA,ท่าวังผา,น่าน,19.11056,100.80250,24.8,08-24-2019,07:00:00,24.2,45.60,6.00,30.22,97,2.10,24.5,0.0,980.95,000,1007.81
48324,THOEN,เถิน,ลำปาง,17.63661,99.24475,24.5,08-24-2019,07:00:00,24.1,2.40,12.00,29.93,97,0.40,24.5,0.0,985.78,000,1007.69
48325,MAE SARIANG,แม่สะเรียง,แม่ฮ่องสอน,18.16667,97.93333,24.5,08-24-2019,07:00:00,23.8,8.10,5.00,29.41,96,0.00,23.0,0.0,983.97,000,1008.24
48327,CHIANG MAI,เชียงใหม่,เชียงใหม่,18.79000,98.97694,24.2,08-24-2019,07:00:00,23.3,15.40,10.00,28.62,95,0.50,24.0,0.0,973.16,000,1007.91
48328,LAMPANG,ลำปาง,ลำปาง,18.28333,99.51667,24.6,08-24-2019,07:00:00,24.3,49.40,8.00,30.38,98,0.00,24.0,0.0,980.10,000,1007.80
48329,LAMPHUN,ลำพูน,ลำพูน,18.56722,99.03389,24.5,08-24-2019,07:00:00,23.8,18.40,10.00,29.41,96,0.00,24.3,0.0,974.05,000,1007.82
48330,PHRAE,แพร่,แพร่,18.16667,100.16667,24.8,08-24-2019,07:00:00,24.1,34.90,15.00,29.95,96,0.60,24.1,0.0,988.64,000,1007.25
48331,NAN,น่าน,น่าน,18.77972,100.77778,25.0,08-24-2019,07:00:00,24.0,0.00,10.00,29.79,94,0.00,24.5,0.0,984.66,000,1007.60
48333,NAN AGROMET.,น่าน สกษ.,น่าน,18.86667,100.75000,24.5,08-24-2019,07:00:00,23.8,5.00,6.00,29.41,96,0.00,24.0,0.0,977.54,000,1007.62
48334,LAMPANG AGROMET.,ลำปาง สกษ.,ลำปาง,18.31667,99.28333,24.2,08-24-2019,07:00:00,23.5,16.60,4.00,28.88,96,0.00,24.0,0.0,972.46,000,1008.23
48350,LOEI AGROMET.,เลย สกษ.,เลย,17.40000,101.73333,24.6,08-24-2019,07:00:00,24.4,29.50,12.00,30.65,99,0.00,24.0,0.0,976.78,000,1006.65
48351,UTTARADIT,อุตรดิตถ์,อุตรดิตถ์,17.61667,100.10000,24.8,08-24-2019,07:00:00,24.1,11.80,8.00,29.95,96,0.00,24.5,0.0,999.76,000,1007.12
48352,NONG KHAI,หนองคาย,หนองคาย,17.86717,102.73303,25.0,08-24-2019,07:00:00,24.7,128.60,3.00,31.12,98,48.80,24.3,3.7,986.75,300,1006.76
48353,LOEI,เลย,เลย,17.45000,101.73333,25.0,08-24-2019,07:00:00,24.4,29.20,12.00,30.58,97,0.00,24.8,5.6,978.02,360,1006.81
48354,UDON THANI,อุดรธานี,อุดรธานี,17.38333,102.80000,25.5,08-24-2019,07:00:00,24.5,21.60,4.00,30.71,94,10.10,24.8,3.7,986.93,290,1007.19
48355,SAKON NAKHON AGROMET.,สกลนคร สกษ.,สกลนคร,17.12503,104.06100,24.8,08-24-2019,07:00:00,23.6,40.40,10.00,29.16,93,19.10,24.3,11.1,984.61,310,1006.47
48356,SAKON NAKHON,สกลนคร,สกลนคร,17.15000,104.13333,24.5,08-24-2019,07:00:00,24.3,43.60,8.00,30.46,99,16.60,23.8,13.0,986.35,320,1005.97
48357,NAKHON PHANOM,นครพนม,นครพนม,17.41083,104.78250,24.5,08-24-2019,07:00:00,23.5,24.60,10.00,28.89,94,0.10,23.7,0.0,989.87,000,1006.74
48358,NAKHON PHANOM AGROMET.,นครพนม สกษ.,นครพนม,17.44306,104.77361,24.4,08-24-2019,07:00:00,23.7,54.50,11.00,29.23,96,1.60,22.5,0.0,989.42,000,1006.97
48360,NONG BUA LAM PHU,หนองบัวลำภู,หนองบัวลำภู,17.23250,102.42944,25.3,08-24-2019,07:00:00,24.4,14.50,6.00,30.60,95,5.30,25.0,0.0,980.42,000,1006.30
48372,SUKHOTHAI*,สุโขทัย,สุโขทัย,17.10611,99.80000,25.8,08-24-2019,07:00:00,25.6,4.20,10.00,32.92,99,0.00,23.3,0.0,1001.77,000,1007.58
48373,SI SAMRONG AGROMET.,ศรีสำโรง สกษ.,สุโขทัย,17.16136,99.86167,25.5,08-24-2019,07:00:00,25.2,3.10,10.00,32.07,98,0.10,24.5,0.0,1001.01,000,1007.23
48374,LOM SAK,หล่มสัก,เพชรบูรณ์,16.77361,101.24944,25.0,08-24-2019,07:00:00,24.0,12.20,10.00,29.79,94,2.50,24.6,0.0,991.10,000,1007.65
48375,MAE SOT,แม่สอด,ตาก,16.65917,98.55083,24.5,08-24-2019,07:00:00,23.8,6.90,8.00,29.41,96,0.30,23.8,0.0,984.14,000,1006.63
48376,TAK,ตาก,ตาก,16.87833,99.14333,26.5,08-24-2019,07:00:00,23.4,0.00,10.00,28.82,83,0.00,25.8,0.0,993.97,000,1008.40
48377,BHUMIBOL DAM,เขื่อนภูมิพล,ตาก,17.24389,99.00250,25.5,08-24-2019,07:00:00,24.5,0.00,7.00,30.71,94,0.00,25.0,0.0,991.09,000,1007.56
48378,PHITSANULOK,พิษณุโลก,พิษณุโลก,16.79481,100.27930,25.3,08-24-2019,07:00:00,25.0,39.50,7.00,31.68,98,12.50,24.7,5.6,1002.25,120,1007.51
48379,PHETCHABUN,เพชรบูรณ์,เพชรบูรณ์,16.43333,101.15000,25.2,08-24-2019,07:00:00,24.3,0.80,10.00,30.42,95,0.80,24.8,0.0,992.72,000,1005.98
48380,KAMPHAENG PHET,กำแพงเพชร,กำแพงเพชร,16.48681,99.52697,25.8,08-24-2019,07:00:00,25.2,4.40,10.00,32.09,97,0.00,25.4,0.0,998.04,000,1007.40
48381,KHON KAEN,ขอนแก่น,ขอนแก่น,16.46111,102.78972,25.2,08-24-2019,07:00:00,24.6,4.70,4.00,30.96,97,3.50,24.8,0.0,985.25,000,1007.07
48382,MAHASARAKHAM,มหาสารคาม,มหาสารคาม,16.24722,103.06805,25.0,08-24-2019,07:00:00,25.0,2.90,8.00,31.66,100,0.70,24.8,0.0,989.37,000,1006.99
48383,MUKDAHAN,มุกดาหาร,มุกดาหาร,16.54139,104.72889,24.3,08-24-2019,07:00:00,23.9,58.10,10.00,29.57,97,25.40,24.0,0.0,989.74,000,1005.69
48384,THA PHRA AGROMET.,ท่าพระ สกษ.,ขอนแก่น,16.33333,102.81667,25.5,08-24-2019,07:00:00,24.9,6.90,5.00,31.52,97,3.00,25.1,7.4,987.13,260,1006.08
48385,UMPHANG,อุ้มผาง,ตาก,16.02472,98.86444,22.5,08-24-2019,07:00:00,21.7,17.70,7.00,26.01,95,0.00,21.8,0.0,958.50,000,1010.43
48386,PICHIT AGROMET.,พิจิตร สกษ.,พิจิตร,16.43806,100.29250,26.0,08-24-2019,07:00:00,25.3,0.50,5.00,32.20,96,0.50,25.3,3.7,1003.13,340,1007.10
48387,DOI MU SOE AGROMET.,ดอยมูเซอร์ สกษ.,ตาก,16.75000,98.93333,20.8,08-24-2019,07:00:00,20.5,14.60,.25,24.08,98,0.00,20.1,9.3,912.69,190,1008.10
48390,KALASIN,กาฬสินธุ์,กาฬสินธุ์,16.33250,103.58833,25.5,08-24-2019,07:00:00,25.3,15.60,5.00,32.34,99,4.20,24.5,0.0,990.63,000,1006.69
48400,NAKHON SAWAN,นครสวรรค์ ,นครสวรรค์,15.67183,100.13236,25.4,08-24-2019,07:00:00,24.4,11.30,10.00,30.52,94,0.00,24.8,0.0,1003.46,000,1007.51
48401,TAKFA AGROMET.,ตากฟ้า สกษ.,นครสวรรค์,15.34944,100.53028,25.5,08-24-2019,07:00:00,24.0,1.30,8.00,29.91,92,0.00,24.9,0.0,997.91,000,1008.65
48402,CHAINAT AGROMET.,ชัยนาท สกษ.,ชัยนาท,15.15000,100.18333,25.5,08-24-2019,07:00:00,23.9,13.10,8.00,29.64,91,0.00,24.9,5.6,1005.71,180,1007.65
48403,CHAIYAPHUM,ชัยภูมิ,ชัยภูมิ,15.80000,102.03333,25.7,08-24-2019,07:00:00,23.9,1.80,10.00,29.74,90,0.00,24.0,3.7,986.31,250,1007.26
48404,ROI ET AGROMET.,ร้อยเอ็ด สกษ.,ร้อยเอ็ด,16.07322,103.60844,25.7,08-24-2019,07:00:00,24.8,4.30,8.00,31.36,95,2.30,24.7,7.4,988.96,240,1006.70
48405,ROI ET,ร้อยเอ็ด,ร้อยเอ็ด,16.02000,103.74389,25.6,08-24-2019,07:00:00,25.4,5.30,7.00,32.53,99,2.20,25.0,5.6,990.37,290,1006.59
