WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,RelativeHumidity,Date,Time,DewPoint,Rainfall24Hr,WindSpeed,VaporPressure,LandVisibility,Rainfall,StationPressure,WindDirection,MeanSeaLevelPressure,AirTemperature
48300,MAE HONG SON,แม่ฮ่องสอน,แม่ฮ่องสอน,19.29897,97.97578,93,08-29-2019,04:00:00,24.6,0.80,0.0,30.92,6.00,0.00,974.89,000,1005.77,25.9
48302,DOI ANG KANG,ดอยอ่างขาง,เชียงใหม่,19.93139,99.04833,99,08-29-2019,04:00:00,18.7,7.90,5.6,21.60,7.00,0.00,843.65,120,1004.45,18.9
48303,CHIANG RAI,เชียงราย,เชียงราย,19.96139,99.88139,91,08-29-2019,04:00:00,24.0,14.40,0.0,29.82,10.00,0.00,962.06,000,1005.62,25.6
48304,CHAING RAI AGROMET.,เชียงราย สกษ.,เชียงราย,19.87083,99.78278,95,08-29-2019,04:00:00,24.2,30.60,0.0,30.23,12.00,0.00,960.15,000,1005.69,25.1
48307,THUNG CHANG,ทุ่งช้าง,น่าน,19.41194,100.88353,100,08-29-2019,04:00:00,24.7,2.20,0.0,31.10,5.00,1.70,968.16,000,1005.87,24.7
48310,PHAYAO,พะเยา,พะเยา,19.13333,99.90000,97,08-29-2019,04:00:00,24.3,7.30,0.0,30.30,6.00,0.00,960.82,000,1005.99,24.7
48315,THA WANGPHA,ท่าวังผา,น่าน,19.11056,100.80250,95,08-29-2019,04:00:00,24.7,0.60,0.0,31.17,6.00,0.00,979.02,000,1005.76,25.6
48324,THOEN,เถิน,ลำปาง,17.63661,99.24475,97,08-29-2019,04:00:00,24.8,0.00,0.0,31.33,12.00,0.00,983.20,000,1004.98,25.4
48325,MAE SARIANG,แม่สะเรียง,แม่ฮ่องสอน,18.16667,97.93333,89,08-29-2019,04:00:00,23.4,0.00,0.0,28.75,6.00,0.00,982.15,000,1006.31,25.3
48327,CHIANG MAI,เชียงใหม่,เชียงใหม่,18.79000,98.97694,88,08-29-2019,04:00:00,24.3,0.80,0.0,30.43,10.00,0.01,971.41,000,1005.83,26.5
48328,LAMPANG,ลำปาง,ลำปาง,18.28333,99.51667,94,08-29-2019,04:00:00,24.6,17.60,0.0,30.90,10.00,0.00,979.54,000,1007.13,25.6
48329,LAMPHUN,ลำพูน,ลำพูน,18.56722,99.03389,90,08-29-2019,04:00:00,24.5,0.70,0.0,30.67,10.00,0.00,971.67,000,1005.16,26.2
48330,PHRAE,แพร่,แพร่,18.16667,100.16667,96,08-29-2019,04:00:00,25.3,2.50,0.0,32.20,10.00,0.00,986.23,000,1004.73,26.0
48331,NAN,น่าน,น่าน,18.77972,100.77778,96,08-29-2019,04:00:00,24.8,3.60,0.0,31.25,10.00,0.00,982.41,000,1005.26,25.5
48333,NAN AGROMET.,น่าน สกษ.,น่าน,18.86667,100.75000,97,08-29-2019,04:00:00,24.0,2.70,0.0,29.85,7.00,0.00,975.52,000,1005.53,24.6
