WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,DewPoint,Date,Time,MeanSeaLevelPressure,WindDirection,VaporPressure,Rainfall,WindSpeed,RelativeHumidity,Rainfall24Hr,LandVisibility,StationPressure,AirTemperature
48300,MAE HONG SON,แม่ฮ่องสอน,แม่ฮ่องสอน,19.29897,97.97578,24.2,09-09-2019,01:00:00,1008.06,000,30.23,0.00,0.0,95,5.30,8.00,977.02,25.1
48302,DOI ANG KANG,ดอยอ่างขาง,เชียงใหม่,19.93139,99.04833,18.4,09-09-2019,01:00:00,1005.10,290,21.19,0.60,31.5,99,2.60,8.00,844.04,18.6
48303,CHIANG RAI,เชียงราย,เชียงราย,19.96139,99.88139,23.6,09-09-2019,01:00:00,1005.46,000,29.19,0.00,0.0,83,3.00,10.00,962.06,26.7
48304,CHAING RAI AGROMET.,เชียงราย สกษ.,เชียงราย,19.87083,99.78278,23.8,09-09-2019,01:00:00,1005.41,000,29.50,0.00,0.0,88,0.00,12.00,960.02,26.0
48307,THUNG CHANG,ทุ่งช้าง,น่าน,19.41194,100.88353,24.8,09-09-2019,01:00:00,1007.23,000,31.25,0.00,0.0,96,0.50,6.00,969.56,25.5
48310,PHAYAO,พะเยา,พะเยา,19.13333,99.90000,23.8,09-09-2019,01:00:00,1005.83,090,29.50,0.00,3.7,88,0.10,7.00,960.86,26.0
48315,THA WANGPHA,ท่าวังผา,น่าน,19.11056,100.80250,24.3,09-09-2019,01:00:00,1006.91,100,30.30,0.00,5.6,90,1.60,7.00,980.18,26.0
48324,THOEN,เถิน,ลำปาง,17.63661,99.24475,22.8,09-09-2019,01:00:00,1007.64,000,27.69,0.00,0.0,91,0.00,13.00,985.73,24.4
48325,MAE SARIANG,แม่สะเรียง,แม่ฮ่องสอน,18.16667,97.93333,24.2,09-09-2019,01:00:00,1008.69,000,30.15,0.00,0.0,94,2.10,6.00,984.47,25.2
48327,CHIANG MAI,เชียงใหม่,เชียงใหม่,18.79000,98.97694,23.2,09-09-2019,01:00:00,1006.96,000,28.43,0.00,0.0,78,0.00,10.00,972.60,27.3
48328,LAMPANG,ลำปาง,ลำปาง,18.28333,99.51667,23.7,09-09-2019,01:00:00,1006.97,000,29.38,0.00,0.0,90,9.60,10.00,979.37,25.5
48329,LAMPHUN,ลำพูน,ลำพูน,18.56722,99.03389,22.8,09-09-2019,01:00:00,1006.79,000,27.77,0.00,0.0,80,0.00,10.00,973.28,26.5
48330,PHRAE,แพร่,แพร่,18.16667,100.16667,24.9,09-09-2019,01:00:00,1006.62,260,31.46,0.00,3.7,94,7.60,12.00,988.09,25.9
48331,NAN,น่าน,น่าน,18.77972,100.77778,24.7,09-09-2019,01:00:00,1006.61,000,31.11,0.00,0.0,93,3.20,10.00,983.77,26.0
48333,NAN AGROMET.,น่าน สกษ.,น่าน,18.86667,100.75000,23.9,09-09-2019,01:00:00,1006.69,000,29.62,0.00,0.0,92,0.10,7.00,976.71,25.2
48334,LAMPANG AGROMET.,ลำปาง สกษ.,ลำปาง,18.31667,99.28333,23.5,09-09-2019,01:00:00,1006.86,000,29.00,0.00,0.0,92,0.00,7.00,971.23,25.0
48350,LOEI AGROMET.,เลย สกษ.,เลย,17.40000,101.73333,23.9,09-09-2019,01:00:00,1005.07,150,29.62,0.00,3.7,92,0.00,12.00,975.31,25.2
48351,UTTARADIT,อุตรดิตถ์,อุตรดิตถ์,17.61667,100.10000,25.1,09-09-2019,01:00:00,1006.70,000,31.94,0.00,0.0,90,0.01,9.00,999.40,27.0
48352,NONG KHAI,หนองคาย,หนองคาย,17.86717,102.73303,25.0,09-09-2019,01:00:00,1005.25,210,31.64,0.00,5.6,85,0.00,10.00,985.45,27.7
48353,LOEI,เลย,เลย,17.45000,101.73333,23.1,09-09-2019,01:00:00,1005.83,160,28.18,0.00,3.7,84,0.00,12.00,977.16,26.0
48354,UDON THANI,อุดรธานี,อุดรธานี,17.38333,102.80000,24.5,09-09-2019,01:00:00,1005.94,210,30.83,0.00,3.7,87,0.01,12.00,985.81,27.0
48355,SAKON NAKHON AGROMET.,สกลนคร สกษ.,สกลนคร,17.12503,104.06100,24.6,09-09-2019,01:00:00,1005.86,180,30.97,0.00,3.7,84,0.00,12.00,984.21,27.5
48356,SAKON NAKHON,สกลนคร,สกลนคร,17.15000,104.13333,25.0,09-09-2019,01:00:00,1005.02,000,31.64,0.00,0.0,85,0.00,10.00,985.63,27.7
48357,NAKHON PHANOM,นครพนม,นครพนม,17.41083,104.78250,25.9,09-09-2019,01:00:00,1006.14,000,33.45,0.01,0.0,89,0.01,12.00,989.47,27.9
48358,NAKHON PHANOM AGROMET.,นครพนม สกษ.,นครพนม,17.44306,104.77361,25.1,09-09-2019,01:00:00,1006.29,000,31.79,0.00,0.0,92,0.40,10.00,988.88,26.5
48360,NONG BUA LAM PHU,หนองบัวลำภู,หนองบัวลำภู,17.23250,102.42944,25.4,09-09-2019,01:00:00,1004.61,000,32.43,0.00,0.0,94,28.40,10.00,978.86,26.4
48372,SUKHOTHAI*,สุโขทัย,สุโขทัย,17.10611,99.80000,23.6,09-09-2019,01:00:00,1006.75,260,29.19,0.00,5.6,77,0.00,10.00,1000.99,28.0
48373,SI SAMRONG AGROMET.,ศรีสำโรง สกษ.,สุโขทัย,17.16136,99.86167,23.6,09-09-2019,01:00:00,1006.34,000,29.19,0.00,0.0,77,0.00,10.00,1000.17,28.0
48374,LOM SAK,หล่มสัก,เพชรบูรณ์,16.77361,101.24944,23.3,09-09-2019,01:00:00,1007.46,000,28.59,0.00,0.0,88,0.00,10.00,990.94,25.5
48375,MAE SOT,แม่สอด,ตาก,16.65917,98.55083,23.8,09-09-2019,01:00:00,1007.44,000,29.41,2.60,0.0,96,12.90,8.00,984.93,24.5
48376,TAK,ตาก,ตาก,16.87833,99.14333,22.6,09-09-2019,01:00:00,1008.25,270,27.40,0.00,9.3,73,0.00,8.00,993.89,27.9
48377,BHUMIBOL DAM,เขื่อนภูมิพล,ตาก,17.24389,99.00250,22.0,09-09-2019,01:00:00,1007.28,000,26.45,0.00,0.0,70,0.00,8.00,990.95,28.1
48378,PHITSANULOK,พิษณุโลก,พิษณุโลก,16.79481,100.27930,22.3,09-09-2019,01:00:00,1007.42,270,26.93,0.00,13.0,68,0.00,10.00,1002.22,28.8
48379,PHETCHABUN,เพชรบูรณ์,เพชรบูรณ์,16.43333,101.15000,24.2,09-09-2019,01:00:00,1005.94,000,30.23,0.00,0.0,95,5.10,10.00,992.68,25.1
48380,KAMPHAENG PHET,กำแพงเพชร,กำแพงเพชร,16.48681,99.52697,23.3,09-09-2019,01:00:00,1007.51,270,28.55,0.00,1.9,83,0.00,11.00,998.16,26.5
48381,KHON KAEN,ขอนแก่น,ขอนแก่น,16.46111,102.78972,24.9,09-09-2019,01:00:00,1006.28,240,31.49,0.00,5.6,93,28.20,10.00,984.55,26.2
48382,MAHASARAKHAM,มหาสารคาม,มหาสารคาม,16.24722,103.06805,24.6,09-09-2019,01:00:00,1004.88,240,30.84,0.00,9.3,92,2.70,8.00,987.36,26.0
48383,MUKDAHAN,มุกดาหาร,มุกดาหาร,16.54139,104.72889,24.6,09-09-2019,01:00:00,1005.90,000,30.97,0.00,0.0,84,0.00,10.00,990.11,27.5
48384,THA PHRA AGROMET.,ท่าพระ สกษ.,ขอนแก่น,16.33333,102.81667,24.8,09-09-2019,01:00:00,1004.89,200,31.38,0.00,5.6,88,9.80,8.00,986.05,27.0
48385,UMPHANG,อุ้มผาง,ตาก,16.02472,98.86444,21.5,09-09-2019,01:00:00,1009.41,000,25.60,1.00,0.0,91,3.70,6.00,957.62,23.0
48386,PICHIT AGROMET.,พิจิตร สกษ.,พิจิตร,16.43806,100.29250,26.4,09-09-2019,01:00:00,1007.32,230,34.36,0.00,7.4,94,4.30,6.00,1003.37,27.5
48387,DOI MU SOE AGROMET.,ดอยมูเซอร์ สกษ.,ตาก,16.75000,98.93333,20.8,09-09-2019,01:00:00,1009.81,220,24.61,1.50,9.3,99,6.10,.10,914.30,21.0
48390,KALASIN,กาฬสินธุ์,กาฬสินธุ์,16.33250,103.58833,26.2,09-09-2019,01:00:00,1006.01,000,33.99,0.00,0.0,96,0.50,6.00,990.03,26.9
48400,NAKHON SAWAN,นครสวรรค์ ,นครสวรรค์,15.67183,100.13236,24.7,09-09-2019,01:00:00,1007.07,000,31.05,0.00,0.0,85,0.00,10.00,1003.05,27.4
