WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,VaporPressure,Date,Time,DewPoint,Rainfall24Hr,WindDirection,WindSpeed,LandVisibility,StationPressure,AirTemperature,RelativeHumidity,Rainfall,MeanSeaLevelPressure
48300,MAE HONG SON,แม่ฮ่องสอน,แม่ฮ่องสอน,19.29897,97.97578,31.47,08-21-2019,16:00:00,24.9,3.00,000,0.0,12.00,970.46,31.0,70,0.01,1000.68
48302,DOI ANG KANG,ดอยอ่างขาง,เชียงใหม่,19.93139,99.04833,22.01,08-21-2019,16:00:00,19.0,17.10,140,14.8,3.00,842.11,19.2,99,0.00,1002.45
48303,CHIANG RAI,เชียงราย,เชียงราย,19.96139,99.88139,27.81,08-21-2019,16:00:00,22.8,11.50,000,0.0,10.00,959.09,28.7,71,6.90,1002.06
48304,CHAING RAI AGROMET.,เชียงราย สกษ.,เชียงราย,19.87083,99.78278,27.97,08-21-2019,16:00:00,22.9,3.70,000,0.0,15.00,957.33,28.5,72,0.00,1002.21
48307,THUNG CHANG,ทุ่งช้าง,น่าน,19.41194,100.88353,30.40,08-21-2019,16:00:00,24.3,65.60,000,0.0,12.00,966.07,29.2,75,0.00,1003.14
48310,PHAYAO,พะเยา,พะเยา,19.13333,99.90000,29.73,08-21-2019,16:00:00,23.9,9.20,160,14.8,8.00,957.55,30.7,67,0.00,1001.65
48315,THA WANGPHA,ท่าวังผา,น่าน,19.11056,100.80250,31.81,08-21-2019,16:00:00,25.1,21.40,000,0.0,10.00,976.99,29.2,79,0.00,1003.34
48324,THOEN,เถิน,ลำปาง,17.63661,99.24475,30.01,08-21-2019,16:00:00,24.1,0.30,130,14.8,20.00,981.00,30.7,68,0.00,1002.34
48325,MAE SARIANG,แม่สะเรียง,แม่ฮ่องสอน,18.16667,97.93333,32.75,08-21-2019,16:00:00,25.6,0.30,000,0.0,10.00,977.97,30.5,75,0.00,1001.61
48327,CHIANG MAI,เชียงใหม่,เชียงใหม่,18.79000,98.97694,29.55,08-21-2019,16:00:00,23.8,1.60,210,3.7,10.00,967.60,31.6,64,1.30,1001.30
48328,LAMPANG,ลำปาง,ลำปาง,18.28333,99.51667,33.95,08-21-2019,16:00:00,26.2,61.40,000,0.0,10.00,975.35,27.3,94,14.10,1002.67
48329,LAMPHUN,ลำพูน,ลำพูน,18.56722,99.03389,29.98,08-21-2019,16:00:00,24.1,4.90,030,5.6,12.00,968.40,30.4,69,0.00,1001.31
48330,PHRAE,แพร่,แพร่,18.16667,100.16667,33.15,08-21-2019,16:00:00,25.8,3.20,000,0.0,12.00,984.08,31.8,71,3.00,1002.18
48331,NAN,น่าน,น่าน,18.77972,100.77778,28.62,08-21-2019,16:00:00,23.3,90.10,000,0.0,10.00,980.04,30.7,65,0.00,1002.44
48333,NAN AGROMET.,น่าน สกษ.,น่าน,18.86667,100.75000,29.78,08-21-2019,16:00:00,24.0,61.50,120,3.7,10.00,973.20,30.3,69,0.00,1002.56
48334,LAMPANG AGROMET.,ลำปาง สกษ.,ลำปาง,18.31667,99.28333,33.78,08-21-2019,16:00:00,26.1,28.80,000,0.0,7.00,967.53,27.5,92,0.00,1002.72
48350,LOEI AGROMET.,เลย สกษ.,เลย,17.40000,101.73333,30.81,08-21-2019,16:00:00,24.5,7.00,120,13.0,3.00,973.36,26.7,88,1.80,1002.91
48351,UTTARADIT,อุตรดิตถ์,อุตรดิตถ์,17.61667,100.10000,31.11,08-21-2019,16:00:00,24.7,0.00,000,0.0,10.00,995.05,32.5,64,0.00,1002.18
48352,NONG KHAI,หนองคาย,หนองคาย,17.86717,102.73303,32.92,08-21-2019,16:00:00,25.6,78.40,000,0.0,15.00,983.59,30.3,76,0.00,1003.18
48353,LOEI,เลย,เลย,17.45000,101.73333,30.02,08-21-2019,16:00:00,24.1,18.30,090,7.4,5.00,974.86,27.0,84,1.70,1003.37
48354,UDON THANI,อุดรธานี,อุดรธานี,17.38333,102.80000,30.62,08-21-2019,16:00:00,24.4,63.90,360,1.9,15.00,983.49,30.3,71,0.00,1003.35
48355,SAKON NAKHON AGROMET.,สกลนคร สกษ.,สกลนคร,17.12503,104.06100,32.63,08-21-2019,16:00:00,25.5,24.20,000,0.0,12.00,982.26,32.8,66,0.00,1003.49
48356,SAKON NAKHON,สกลนคร,สกลนคร,17.15000,104.13333,31.27,08-21-2019,16:00:00,24.8,3.00,030,3.7,12.00,983.68,30.9,70,0.00,1002.82
48357,NAKHON PHANOM,นครพนม,นครพนม,17.41083,104.78250,31.27,08-21-2019,16:00:00,24.8,0.90,000,0.0,12.00,987.71,30.2,73,0.00,1004.22
48358,NAKHON PHANOM AGROMET.,นครพนม สกษ.,นครพนม,17.44306,104.77361,32.01,08-21-2019,16:00:00,25.2,3.70,260,3.7,12.00,986.46,30.0,75,0.01,1003.63
48360,NONG BUA LAM PHU,หนองบัวลำภู,หนองบัวลำภู,17.23250,102.42944,31.79,08-21-2019,16:00:00,25.1,0.40,090,5.6,10.00,977.23,26.5,92,0.40,1002.92
48372,SUKHOTHAI*,สุโขทัย,สุโขทัย,17.10611,99.80000,31.68,08-21-2019,16:00:00,25.0,0.00,000,0.0,10.00,996.92,31.8,67,0.00,1002.59
48373,SI SAMRONG AGROMET.,ศรีสำโรง สกษ.,สุโขทัย,17.16136,99.86167,32.35,08-21-2019,16:00:00,25.4,0.00,140,5.6,8.00,996.63,31.7,69,0.00,1002.70
48374,LOM SAK,หล่มสัก,เพชรบูรณ์,16.77361,101.24944,29.89,08-21-2019,16:00:00,24.0,4.00,000,0.0,10.00,987.36,30.5,68,0.00,1003.55
48375,MAE SOT,แม่สอด,ตาก,16.65917,98.55083,27.44,08-21-2019,16:00:00,22.6,0.90,000,0.0,10.00,980.27,28.5,71,0.40,1002.37
48376,TAK,ตาก,ตาก,16.87833,99.14333,32.02,08-21-2019,16:00:00,25.2,17.50,000,0.0,7.00,989.44,26.9,90,14.40,1003.78
48377,BHUMIBOL DAM,เขื่อนภูมิพล,ตาก,17.24389,99.00250,33.34,08-21-2019,16:00:00,25.9,6.00,000,0.0,7.00,986.02,30.5,76,3.00,1002.13
48378,PHITSANULOK,พิษณุโลก,พิษณุโลก,16.79481,100.27930,30.77,08-21-2019,16:00:00,24.5,0.00,150,9.3,10.00,997.99,32.2,64,0.00,1003.11
48379,PHETCHABUN,เพชรบูรณ์,เพชรบูรณ์,16.43333,101.15000,30.86,08-21-2019,16:00:00,24.6,4.50,000,0.0,12.00,989.30,30.7,70,0.00,1002.27
48380,KAMPHAENG PHET,กำแพงเพชร,กำแพงเพชร,16.48681,99.52697,30.57,08-21-2019,16:00:00,24.4,0.00,200,13.0,13.00,993.64,32.1,64,0.00,1002.77
