WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,VaporPressure,Date,Time,DewPoint,Rainfall24Hr,WindDirection,WindSpeed,LandVisibility,StationPressure,AirTemperature,RelativeHumidity,Rainfall,MeanSeaLevelPressure
48381,KHON KAEN,ขอนแก่น,ขอนแก่น,16.46111,102.78972,26.23,08-21-2019,16:00:00,21.9,0.00,190,9.3,10.00,981.32,33.6,50,0.00,1002.45
48382,MAHASARAKHAM,มหาสารคาม,มหาสารคาม,16.24722,103.06805,29.25,08-21-2019,16:00:00,23.7,35.20,200,7.4,10.00,985.05,33.0,58,0.00,1002.12
48383,MUKDAHAN,มุกดาหาร,มุกดาหาร,16.54139,104.72889,31.93,08-21-2019,16:00:00,25.1,19.20,190,5.6,12.00,987.49,31.5,69,0.00,1003.03
48384,THA PHRA AGROMET.,ท่าพระ สกษ.,ขอนแก่น,16.33333,102.81667,26.39,08-21-2019,16:00:00,22.0,0.00,170,11.1,10.00,983.42,33.4,51,0.00,1001.82
48385,UMPHANG,อุ้มผาง,ตาก,16.02472,98.86444,28.06,08-21-2019,16:00:00,23.0,22.40,000,0.0,10.00,953.06,25.2,88,4.10,1004.21
48386,PICHIT AGROMET.,พิจิตร สกษ.,พิจิตร,16.43806,100.29250,31.15,08-21-2019,16:00:00,24.7,0.10,180,7.4,10.00,998.91,32.1,65,0.00,1002.79
48387,DOI MU SOE AGROMET.,ดอยมูเซอร์ สกษ.,ตาก,16.75000,98.93333,25.76,08-21-2019,16:00:00,21.6,9.50,220,7.4,3.00,909.65,22.8,93,9.40,1004.08
48390,KALASIN,กาฬสินธุ์,กาฬสินธุ์,16.33250,103.58833,34.07,08-21-2019,16:00:00,26.2,41.70,000,0.0,10.00,987.40,32.5,70,0.00,1003.04
48400,NAKHON SAWAN,นครสวรรค์ ,นครสวรรค์,15.67183,100.13236,29.29,08-21-2019,16:00:00,23.7,50.20,000,0.0,12.00,999.07,33.3,57,0.00,1003.01
48401,TAKFA AGROMET.,ตากฟ้า สกษ.,นครสวรรค์,15.34944,100.53028,28.10,08-21-2019,16:00:00,23.0,1.40,230,3.7,10.00,993.65,32.0,59,0.00,1004.12
48402,CHAINAT AGROMET.,ชัยนาท สกษ.,ชัยนาท,15.15000,100.18333,29.22,08-21-2019,16:00:00,23.7,0.00,150,9.3,10.00,1001.82,32.0,61,0.00,1003.71
48403,CHAIYAPHUM,ชัยภูมิ,ชัยภูมิ,15.80000,102.03333,26.95,08-21-2019,16:00:00,22.3,4.60,230,14.8,10.00,982.55,33.4,52,0.00,1002.89
48404,ROI ET AGROMET.,ร้อยเอ็ด สกษ.,ร้อยเอ็ด,16.07322,103.60844,31.11,08-21-2019,16:00:00,24.7,3.60,220,11.1,10.00,985.76,32.5,64,0.00,1003.04
48405,ROI ET,ร้อยเอ็ด,ร้อยเอ็ด,16.02000,103.74389,31.02,08-21-2019,16:00:00,24.7,2.80,160,7.4,10.00,986.86,32.6,63,0.00,1002.65
48407,UBON RATCHATHANI,อุบลราชธานี (ศูนย์ฯ),อุบลราชธานี,15.25000,104.86667,31.30,08-21-2019,16:00:00,24.8,24.60,000,0.0,10.00,990.18,26.1,93,22.10,1004.22
48408,UBON RATCHATHANI AGROMET.,อุบลราชธานี สกษ.,อุบลราชธานี,15.23914,105.02350,32.36,08-21-2019,16:00:00,25.4,6.80,000,0.0,10.00,990.56,27.5,88,4.60,1005.33
48409,SI SAKET AGROMET.,ศรีสะเกษ,ศรีสะเกษ,15.00000,104.05000,32.10,08-21-2019,16:00:00,25.2,0.10,220,3.7,10.00,989.61,32.0,68,0.00,1004.00
48410,UTHAITHANI,อุทัยธานี,อุทัยธานี,15.37417,100.03889,29.79,08-21-2019,16:00:00,24.0,32.20,"{'@attributes': {'Unit': 'degree'}, '0': '   '}",0.0,10.00,1000.11,32.0,63,0.01,1003.07
48413,WICHIAN BURI,วิเชียรบุรี,เพชรบูรณ์,15.65700,101.10800,30.32,08-21-2019,16:00:00,24.3,48.50,000,0.0,10.00,995.12,31.7,65,0.00,1002.92
48415,AYUTTHAYA,พระนครศรีอยุธยา,พระนครศรีอยุธยา,14.53472,100.72500,29.58,08-21-2019,16:00:00,23.9,12.60,230,20.4,8.00,1002.84,32.6,60,0.00,1003.93
48416,THA TUM,ท่าตูม,สุรินทร์,15.31667,103.68333,24.38,08-21-2019,16:00:00,20.7,6.70,000,0.0,8.00,989.14,33.2,48,0.00,1003.48
48417,NAKORNNAYOK,นครนายก,นครนายก,14.36222,101.39278,24.23,08-21-2019,16:00:00,20.6,46.60,200,5.6,.10,871.30,20.9,98,0.00,1005.49
48418,BUA CHUM,บัวชุม  ,ลพบุรี,15.26667,101.18736,29.74,08-21-2019,16:00:00,24.0,14.60,190,13.0,10.00,997.56,33.1,59,0.00,1003.30
48419,PATHUMTHANI,ปทุมธานี สกษ.,ปทุมธานี,14.10000,100.61667,27.77,08-21-2019,16:00:00,22.8,3.30,230,14.8,12.00,1003.48,34.8,50,0.00,1004.26
48420,Samut Prakarn,สมุทรปราการ สกษ.,สมุทรปราการ,13.51667,100.76167,30.90,08-21-2019,16:00:00,24.6,2.40,210,18.5,10.00,1004.35,31.0,69,0.00,1004.79
48421,THONG PHAPHUM,ทองผาภูมิ,กาญจนบุรี,14.74222,98.63639,31.72,08-21-2019,16:00:00,25.0,9.60,000,0.0,6.00,994.25,30.0,75,0.00,1005.42
48425,SUPHAN BURI,สุพรรณบุรี,สุพรรณบุรี,14.47444,100.13889,31.17,08-21-2019,16:00:00,24.7,10.40,160,9.3,12.00,1002.73,34.2,58,0.00,1003.71
48426,LOP BURI,ลพบุรี,ลพบุรี,14.79972,100.64500,27.84,08-21-2019,16:00:00,22.9,1.00,140,9.3,12.00,1001.95,33.0,55,0.00,1003.73
48427,U THONG AGROMET.,อู่ทอง สกษ.,สุพรรณบุรี,14.30361,99.86472,27.85,08-21-2019,16:00:00,22.9,0.01,000,0.0,8.00,1002.98,32.3,58,0.00,1003.73
48429,SUVARNABHUMI AIRPORT,สนามบินสุวรรณภูมิ,สมุทรปราการ,13.68639,100.76750,27.71,08-21-2019,16:00:00,22.8,0.20,200,22.2,10.00,1004.11,31.8,59,0.00,1004.80
48430,PRACHIN BURI,ปราจีนบุรี,ปราจีนบุรี,14.05842,101.36930,31.59,08-21-2019,16:00:00,25.0,25.50,240,3.7,9.00,1003.41,33.7,60,0.00,1004.10
48431,NAKHON RATCHASIMA,นครราชสีมา,นครราชสีมา,14.96830,102.08603,26.19,08-21-2019,16:00:00,21.9,3.80,280,11.1,12.00,982.02,35.0,47,0.00,1002.54
48432,SURIN,สุรินทร์,สุรินทร์,14.88333,103.50000,28.39,08-21-2019,16:00:00,23.2,8.50,000,0.0,11.00,986.98,33.7,54,0.00,1003.27
48433,SURIN AGROMET.,สุรินทร์ สกษ.,สุรินทร์,14.88333,103.45000,30.93,08-21-2019,16:00:00,24.6,16.90,180,7.4,10.00,987.58,34.5,57,0.00,1003.55
48434,CHOK CHAI,โชคชัย,นครราชสีมา,14.71889,102.16861,29.54,08-21-2019,16:00:00,23.8,12.50,240,3.7,10.00,981.82,34.4,54,0.00,1003.07
48435,PAKCHONG AGROMET.,ปากช่อง สกษ.,นครราชสีมา,14.64389,101.33194,27.80,08-21-2019,16:00:00,22.8,15.30,250,18.5,15.00,961.28,29.7,67,0.00,1004.01
48436,NANG RONG,นางรอง,บุรีรัมย์,14.58333,102.80000,25.86,08-21-2019,16:00:00,21.6,0.60,180,9.3,12.00,982.69,35.4,45,0.00,1002.60
48437,BURIRUM,บุรีรัมย์,บุรีรัมย์,15.22575,103.24808,32.69,08-21-2019,16:00:00,25.5,25.60,160,13.0,10.00,984.35,32.0,69,0.00,1004.79
48438,SAMUTSONGKRAM,สมุทรสงคราม,สมุทรสงคราม,13.40778,100.03222,31.77,08-21-2019,16:00:00,25.0,1.20,190,11.1,10.00,1003.84,29.6,77,0.70,1004.27
48439,KABIN BURI,กบินทร์บุรี,ปราจีนบุรี,13.98333,101.70722,33.41,08-21-2019,16:00:00,25.9,12.20,260,3.7,11.00,1001.94,33.3,65,0.00,1003.32
48440,SA KAEW,สระแก้ว,สระแก้ว,13.78889,102.03472,32.32,08-21-2019,16:00:00,25.3,19.60,000,0.0,8.00,1000.11,27.9,86,3.60,1005.02
48450,KANCHANA BURI,กาญจนบุรี,กาญจนบุรี,14.02250,99.53583,29.60,08-21-2019,16:00:00,23.9,0.00,250,7.4,12.00,1001.43,29.5,72,0.00,1004.69
48451,NAKHONPATHOM,นครปฐม,นครปฐม,14.01167,99.97000,29.29,08-21-2019,16:00:00,23.7,0.00,000,0.0,10.00,1002.61,34.0,55,0.00,1003.69
48453,BANG NA AGROMET.,กรุงเทพฯ บางนา สกษ.,กรุงเทพมหานคร,13.66639,100.60611,28.58,08-21-2019,16:00:00,23.3,12.00,210,11.1,10.00,1004.63,32.1,60,0.00,1004.93
48454,BANGKOK PORT (KLONG TOEI),กรุงเทพฯ ท่าเรือคลองเตย,กรุงเทพมหานคร,13.70694,100.56805,30.28,08-21-2019,16:00:00,24.2,6.40,190,13.0,12.00,1003.99,32.8,61,0.00,1004.66
48455,BANGKOK METROPOLIS,กรุงเทพมหานคร,กรุงเทพมหานคร,13.72639,100.56000,28.97,08-21-2019,16:00:00,23.5,9.50,110,3.7,10.00,1003.94,33.0,58,0.00,1004.42
48456,DON MUANG AIRPORT,สนามบินดอนเมือง,กรุงเทพมหานคร,13.91917,100.60500,29.50,08-21-2019,16:00:00,23.8,0.80,210,18.5,10.00,1002.95,34.1,55,0.00,1004.32
48457,PILOT STATION,นำร่อง,สมุทรปราการ,13.39389,100.59944,35.23,08-21-2019,16:00:00,26.8,6.60,190,20.4,12.00,1003.46,30.0,83,0.00,1005.12
48458,CHACHOENGSAO,ฉะเชิงเทรา,ฉะเชิงเทรา,13.51556,101.45833,31.69,08-21-2019,16:00:00,25.0,3.90,180,3.7,10.00,997.62,32.5,65,0.00,1005.46
48459,CHON BURI,ชลบุรี,ชลบุรี,13.36667,100.98333,30.94,08-21-2019,16:00:00,24.6,0.01,330,9.3,12.00,1004.47,32.7,63,0.00,1004.75
48460,KO SICHANG,เกาะสีชัง,ชลบุรี,13.16167,100.80194,30.74,08-21-2019,16:00:00,24.5,7.20,310,5.6,10.00,1001.94,30.5,70,0.00,1005.03
48461,PHATTHAYA,พัทยา,ชลบุรี,12.92000,100.86944,30.29,08-21-2019,16:00:00,24.3,6.20,240,11.1,12.00,998.31,30.7,69,0.00,1005.15
48462,ARANYA PRATHET,อรัญประเทศ,สระแก้ว,13.70000,102.58333,31.87,08-21-2019,16:00:00,25.1,3.80,200,13.0,8.00,998.88,33.0,63,0.00,1004.36
48463,LAEM CHABANG,แหลมฉบัง,ชลบุรี,13.07694,100.87583,31.03,08-21-2019,16:00:00,24.7,3.20,240,14.8,12.00,995.46,30.5,71,0.00,1004.65
48464,RATCHA BURI,ราชบุรี,ราชบุรี,13.48931,99.79239,33.08,08-21-2019,16:00:00,25.7,2.90,270,7.4,8.00,1004.63,29.4,81,2.90,1005.88
48465,PHETCHA BURI,เพชรบุรี,เพชรบุรี,12.99944,100.06056,34.24,08-21-2019,16:00:00,26.3,1.30,160,11.1,11.00,1004.60,32.3,71,0.01,1005.02
48474,NONG PHLUB AGROMET.,หนองพลับ สกษ.,ประจวบคีรีขันธ์,12.58333,99.73333,29.86,08-21-2019,16:00:00,24.0,0.00,270,3.7,10.00,993.89,30.2,70,0.00,1006.00
48475,HUA HIN,หัวหิน,ประจวบคีรีขันธ์,12.58611,99.96250,34.11,08-21-2019,16:00:00,26.2,5.70,240,14.8,9.00,1004.99,28.5,88,5.50,1005.69
48477,SATTAHIP,สัตหีบ,ชลบุรี,12.68333,100.98333,29.71,08-21-2019,16:00:00,23.9,0.00,230,14.8,10.00,1003.64,34.2,55,0.00,1006.01
48478,RAYONG,ระยอง,ระยอง,12.63222,101.34361,32.05,08-21-2019,16:00:00,25.2,0.01,240,13.0,10.00,1005.63,30.3,74,0.00,1006.14
48479,HUAI PONG AGROMET.,ห้วยโป่ง สกษ.,ระยอง,12.73333,101.13333,28.54,08-21-2019,16:00:00,23.3,0.20,200,3.7,12.00,1000.17,31.8,61,0.00,1005.23
48480,CHANTHA BURI,จันทบุรี,จันทบุรี,12.61667,102.11333,32.09,08-21-2019,16:00:00,25.2,4.10,220,7.4,10.00,1005.71,30.6,73,0.00,1006.11
48481,PHLIU  AGROMET.,พลิ้ว สกษ.,จันทบุรี,12.50861,102.17305,32.42,08-21-2019,16:00:00,25.4,9.10,000,0.0,8.00,1003.74,29.5,79,0.00,1006.48
48500,PRACHUAP KHIRIKHAN,ประจวบคีรีขันธ์,ประจวบคีรีขันธ์,11.83333,99.83333,30.15,08-21-2019,16:00:00,24.2,1.00,000,0.0,10.00,1005.72,28.5,78,1.00,1006.50
48501,TRAD,ตราด,ตราด,11.76667,102.88333,33.41,08-21-2019,16:00:00,25.9,71.60,230,5.6,8.00,1006.04,29.7,80,0.00,1006.50
48517,CHUMPHON,ชุมพร,ชุมพร,10.49875,99.18847,28.91,08-21-2019,16:00:00,23.5,2.40,240,5.6,8.00,1006.33,30.0,68,2.40,1007.00
48520,SAWI AGROMET.,สวี สกษ.,ชุมพร,10.33333,99.10000,29.75,08-21-2019,16:00:00,24.0,0.40,270,3.7,9.00,1004.86,30.0,70,0.40,1006.37
48532,RANONG,ระนอง,ระนอง,9.98333,98.61667,28.41,08-21-2019,16:00:00,23.2,39.40,190,5.6,10.00,1007.65,27.0,80,25.90,1008.56
48550,KO SAMUI,เกาะสมุย,สุราษฎร์ธานี,9.46667,100.05000,29.80,08-21-2019,16:00:00,24.0,0.00,250,14.8,10.00,1006.04,34.8,54,0.00,1006.71
48551,SURAT THANI,สุราษฎร์ธานี,สุราษฎร์ธานี,9.13556,99.15194,31.10,08-21-2019,16:00:00,24.7,1.20,280,13.0,10.00,1006.98,31.1,69,0.00,1007.77
48552,NAKHONSI THAMMARAT,นครศรีธรรมราช,นครศรีธรรมราช,8.53778,99.96389,30.26,08-21-2019,16:00:00,24.2,34.60,060,11.1,7.00,1006.38,26.7,86,34.60,1007.02
48554,NAKHONSI THAMMARAT AGROMET.,นครศรีธรรมราช สกษ.,นครศรีธรรมราช,8.35931,100.00000,31.60,08-21-2019,16:00:00,25.0,7.80,360,7.4,10.00,1006.12,26.4,92,7.80,1006.53
48555,SURAT THANI AGROMET.,สุราษฎร์ธานี สกษ.,สุราษฎร์ธานี,9.10000,99.63333,28.28,08-21-2019,16:00:00,23.1,0.00,260,5.6,6.00,1003.97,32.8,57,0.00,1008.11
48556,PHRA SANG,พระแสง สอท.,สุราษฎร์ธานี,8.57022,99.25825,29.27,08-21-2019,16:00:00,23.7,1.60,300,18.5,12.00,1006.29,26.6,84,1.60,1007.90
48557,CHAWANG,ฉวาง,นครศรีธรรมราช,8.43194,99.51194,30.45,08-21-2019,16:00:00,24.3,0.00,210,7.4,8.00,1003.87,33.3,60,0.00,1007.27
48560,PHATTHALUNG AGROMET.,พัทลุง สกษ.,พัทลุง,7.58333,100.16667,27.99,08-21-2019,16:00:00,22.9,0.00,280,13.0,10.00,1005.68,33.5,54,0.00,1007.00
48561,TAKUA PA,ตะกั่วป่า,พังงา,8.68417,98.25222,31.55,08-21-2019,16:00:00,24.9,22.40,000,0.0,10.00,1007.69,26.8,90,12.20,1008.57
48563,KRABI,กระบี่,กระบี่,8.10361,98.97528,30.76,08-21-2019,16:00:00,24.5,1.40,260,5.6,10.00,1004.83,26.1,91,1.10,1008.40
48564,PHUKET,ภูเก็ต,ภูเก็ต,7.88333,98.40000,29.74,08-21-2019,16:00:00,23.9,10.20,280,9.3,10.00,1007.79,29.0,74,9.80,1008.22
48565,PHUKET AIRPORT,ภูเก็ต (ศูนย์ฯ),ภูเก็ต,8.14500,98.31444,30.81,08-21-2019,16:00:00,24.5,6.80,320,7.4,8.00,1007.08,27.7,83,5.00,1008.07
48566,KO LANTA,เกาะลันตา,กระบี่,7.53333,99.05000,30.90,08-21-2019,16:00:00,24.6,0.40,270,33.3,10.00,1007.56,28.6,79,0.00,1008.37
48567,TRANG AIRPORT,ตรัง,ตรัง,7.51667,99.61667,30.86,08-21-2019,16:00:00,24.6,7.80,210,14.8,14.00,1006.15,30.7,70,0.60,1007.94
48568,SONGKHLA,สงขลา,สงขลา,7.18211,100.60769,29.63,08-21-2019,16:00:00,23.9,2.10,260,13.0,12.00,1006.42,32.2,62,0.10,1007.16
48569,HAT YAI AIRPORT,หาดใหญ่,สงขลา,6.91667,100.43333,30.82,08-21-2019,16:00:00,24.5,0.00,230,11.1,10.00,1003.82,30.4,71,0.00,1007.77
48570,SATUN,สตูล,สตูล,6.65000,100.08333,31.93,08-21-2019,16:00:00,25.1,21.30,000,0.0,10.00,1008.33,31.5,69,0.00,1009.00
48571,KHO HONG AGROMET.,คอหงษ์ สกษ.,สงขลา,7.00000,100.50000,30.90,08-21-2019,16:00:00,24.6,0.40,180,16.7,10.00,1006.23,31.0,69,0.01,1007.33
48574,SA DAO,สะเดา,สงขลา,6.79806,100.39056,31.60,08-21-2019,16:00:00,25.0,7.90,260,3.7,12.00,1004.92,31.2,70,0.01,1007.80
48580,PATTANI AIRPORT,ปัตตานี,ปัตตานี,6.78333,101.15000,32.05,08-21-2019,16:00:00,25.2,3.70,220,5.6,12.00,1006.22,29.6,77,3.70,1006.90
48581,YALA AGROMET.,ยะลา สกษ.,ยะลา,6.51667,101.28333,28.86,08-21-2019,16:00:00,23.5,10.70,260,9.3,8.00,1003.92,28.4,75,0.00,1008.02
48583,NARATHIWAT,นราธิวาส,นราธิวาส,6.41667,101.81667,28.87,08-21-2019,16:00:00,23.5,96.00,000,0.0,8.00,1006.31,25.8,87,27.60,1006.90
