WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,RelativeHumidity,Date,Time,MaximumTemperature,WindSpeed,LandVisibility,WindDirection,AirTemperature,DewPoint,VaporPressure,StationPressure,Rainfall,MeanSeaLevelPressure,Rainfall24Hr
48300,MAE HONG SON,แม่ฮ่องสอน,แม่ฮ่องสอน,19.29897,97.97578,91,08-25-2019,19:00:00,32.7,0.0,10.00,000,26.6,25.0,31.71,973.44,2.30,1004.21,33.70
48302,DOI ANG KANG,ดอยอ่างขาง,เชียงใหม่,19.93139,99.04833,88,08-25-2019,19:00:00,22.3,3.7,8.00,130,20.7,18.6,21.44,842.88,0.00,1002.49,0.00
48303,CHIANG RAI,เชียงราย,เชียงราย,19.96139,99.88139,71,08-25-2019,19:00:00,33.6,3.7,12.00,130,30.6,24.8,31.23,959.29,0.00,1002.00,0.00
48304,CHAING RAI AGROMET.,เชียงราย สกษ.,เชียงราย,19.87083,99.78278,75,08-25-2019,19:00:00,33.2,0.0,15.00,000,31.0,26.0,33.52,957.50,0.00,1002.01,3.00
48307,THUNG CHANG,ทุ่งช้าง,น่าน,19.41194,100.88353,84,08-25-2019,19:00:00,32.0,0.0,7.00,000,27.5,24.6,30.97,966.60,0.00,1003.90,6.10
48310,PHAYAO,พะเยา,พะเยา,19.13333,99.90000,76,08-25-2019,19:00:00,33.5,0.0,15.00,000,29.0,24.4,30.57,957.23,0.00,1001.58,0.00
48315,THA WANGPHA,ท่าวังผา,น่าน,19.11056,100.80250,80,08-25-2019,19:00:00,34.7,0.0,10.00,000,30.0,26.1,33.75,977.04,0.00,1003.32,0.00
48324,THOEN,เถิน,ลำปาง,17.63661,99.24475,92,08-25-2019,19:00:00,34.6,0.0,12.00,000,26.0,24.6,30.84,982.41,4.90,1004.12,4.90
48325,MAE SARIANG,แม่สะเรียง,แม่ฮ่องสอน,18.16667,97.93333,84,08-25-2019,19:00:00,31.5,0.0,8.00,000,26.5,23.6,29.08,980.81,0.20,1004.84,1.50
48327,CHIANG MAI,เชียงใหม่,เชียงใหม่,18.79000,98.97694,71,08-25-2019,19:00:00,34.0,5.6,10.00,210,30.1,24.2,30.22,968.97,0.00,1002.89,5.80
48328,LAMPANG,ลำปาง,ลำปาง,18.28333,99.51667,75,08-25-2019,19:00:00,34.2,0.0,10.00,000,30.0,25.0,31.72,976.16,0.00,1003.26,0.00
48329,LAMPHUN,ลำพูน,ลำพูน,18.56722,99.03389,76,08-25-2019,19:00:00,33.1,0.0,12.00,000,29.0,24.3,30.29,969.70,0.00,1002.81,3.80
48330,PHRAE,แพร่,แพร่,18.16667,100.16667,76,08-25-2019,19:00:00,33.8,5.6,12.00,240,29.6,24.9,31.48,984.81,0.00,1003.06,4.40
48331,NAN,น่าน,น่าน,18.77972,100.77778,69,08-25-2019,19:00:00,34.7,0.0,10.00,000,31.7,25.4,32.35,979.83,0.00,1002.15,3.40
48333,NAN AGROMET.,น่าน สกษ.,น่าน,18.86667,100.75000,68,08-25-2019,19:00:00,34.2,0.0,12.00,000,30.6,24.0,29.81,973.07,0.00,1002.40,12.20
48334,LAMPANG AGROMET.,ลำปาง สกษ.,ลำปาง,18.31667,99.28333,78,08-25-2019,19:00:00,32.0,0.0,7.00,000,29.5,25.2,32.13,967.76,0.00,1002.73,0.00
48350,LOEI AGROMET.,เลย สกษ.,เลย,17.40000,101.73333,86,08-25-2019,19:00:00,32.9,0.0,14.00,000,28.0,25.4,32.52,973.23,0.00,1002.65,1.20
48351,UTTARADIT,อุตรดิตถ์,อุตรดิตถ์,17.61667,100.10000,75,08-25-2019,19:00:00,33.7,0.0,10.00,000,30.7,25.8,33.17,996.30,0.00,1003.49,7.30
48352,NONG KHAI,หนองคาย,หนองคาย,17.86717,102.73303,76,08-25-2019,19:00:00,34.5,3.7,12.00,160,31.5,26.6,34.90,982.74,0.00,1002.24,0.00
48353,LOEI,เลย,เลย,17.45000,101.73333,71,08-25-2019,19:00:00,32.7,5.6,15.00,150,29.5,23.7,29.33,974.37,0.00,1002.63,1.20
48354,UDON THANI,อุดรธานี,อุดรธานี,17.38333,102.80000,86,08-25-2019,19:00:00,33.6,3.7,15.00,130,28.8,26.3,34.15,983.10,0.00,1003.06,60.10
48355,SAKON NAKHON AGROMET.,สกลนคร สกษ.,สกลนคร,17.12503,104.06100,87,08-25-2019,19:00:00,31.7,0.0,10.00,000,27.1,24.8,31.30,982.61,0.00,1004.25,3.10
48356,SAKON NAKHON,สกลนคร,สกลนคร,17.15000,104.13333,93,08-25-2019,19:00:00,30.9,0.0,10.00,000,26.5,25.4,32.35,984.28,5.10,1003.72,13.90
48357,NAKHON PHANOM,นครพนม,นครพนม,17.41083,104.78250,92,08-25-2019,19:00:00,32.0,0.0,10.00,000,25.3,24.0,29.80,988.29,5.70,1005.09,16.70
48358,NAKHON PHANOM AGROMET.,นครพนม สกษ.,นครพนม,17.44306,104.77361,92,08-25-2019,19:00:00,31.0,0.0,10.00,000,25.5,24.0,29.91,987.42,0.00,1004.87,5.90
