WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,WindDirection,Date,Time,LandVisibility,StationPressure,VaporPressure,MeanSeaLevelPressure,Rainfall,Rainfall24Hr,AirTemperature,RelativeHumidity,DewPoint,WindSpeed
48300,MAE HONG SON,แม่ฮ่องสอน,แม่ฮ่องสอน,19.29897,97.97578,000,09-28-2019,22:00:00,10.00,984.32,27.35,1015.65,0.00,0.00,24.5,89,22.6,0.0
48302,DOI ANG KANG,ดอยอ่างขาง,เชียงใหม่,19.93139,99.04833,200,09-28-2019,22:00:00,8.00,851.64,18.87,1014.44,0.00,0.00,18.1,91,16.6,9.3
48303,CHIANG RAI,เชียงราย,เชียงราย,19.96139,99.88139,000,09-28-2019,22:00:00,10.00,971.38,24.78,1015.56,0.00,0.00,24.3,82,20.9,0.0
48304,CHAING RAI AGROMET.,เชียงราย สกษ.,เชียงราย,19.87083,99.78278,000,09-28-2019,22:00:00,8.00,969.37,24.16,1015.68,0.00,0.00,23.0,86,20.5,0.0
48307,THUNG CHANG,ทุ่งช้าง,น่าน,19.41194,100.88353,000,09-28-2019,22:00:00,6.00,977.53,28.11,1015.63,0.00,0.00,24.5,91,23.0,0.0
48310,PHAYAO,พะเยา,พะเยา,19.13333,99.90000,000,09-28-2019,22:00:00,8.00,970.11,26.42,1015.90,0.00,0.00,23.5,91,22.0,0.0
48315,THA WANGPHA,ท่าวังผา,น่าน,19.11056,100.80250,000,09-28-2019,22:00:00,8.00,988.43,28.38,1015.49,0.00,0.00,24.8,91,23.2,0.0
48324,THOEN,เถิน,ลำปาง,17.63661,99.24475,000,09-28-2019,22:00:00,4.00,993.10,28.63,1015.16,0.00,6.40,24.5,93,23.3,0.0
48325,MAE SARIANG,แม่สะเรียง,แม่ฮ่องสอน,18.16667,97.93333,000,09-28-2019,22:00:00,8.00,991.42,29.67,1015.87,0.00,6.10,24.5,97,23.9,0.0
48327,CHIANG MAI,เชียงใหม่,เชียงใหม่,18.79000,98.97694,000,09-28-2019,22:00:00,10.00,980.33,27.66,1015.12,0.00,0.00,26.0,82,22.7,0.0
48328,LAMPANG,ลำปาง,ลำปาง,18.28333,99.51667,000,09-28-2019,22:00:00,10.00,988.59,28.83,1016.47,0.00,0.00,25.2,90,23.4,0.0
48329,LAMPHUN,ลำพูน,ลำพูน,18.56722,99.03389,000,09-28-2019,22:00:00,8.00,981.37,29.50,1015.22,0.00,0.00,26.0,88,23.8,0.0
48330,PHRAE,แพร่,แพร่,18.16667,100.16667,000,09-28-2019,22:00:00,4.00,995.73,28.87,1014.41,0.00,0.01,25.8,87,23.5,0.0
48331,NAN,น่าน,น่าน,18.77972,100.77778,000,09-28-2019,22:00:00,10.00,991.66,28.59,1014.72,0.00,0.00,25.5,88,23.3,0.0
48333,NAN AGROMET.,น่าน สกษ.,น่าน,18.86667,100.75000,000,09-28-2019,22:00:00,7.00,984.79,26.17,1015.20,0.00,0.00,23.5,90,21.8,0.0
48334,LAMPANG AGROMET.,ลำปาง สกษ.,ลำปาง,18.31667,99.28333,000,09-28-2019,22:00:00,8.00,980.17,28.83,1016.10,0.00,0.00,25.2,90,23.4,0.0
48350,LOEI AGROMET.,เลย สกษ.,เลย,17.40000,101.73333,000,09-28-2019,22:00:00,3.00,984.70,24.41,1015.04,0.00,0.00,22.4,90,20.7,0.0
48351,UTTARADIT,อุตรดิตถ์,อุตรดิตถ์,17.61667,100.10000,000,09-28-2019,22:00:00,8.00,1006.49,30.56,1013.82,0.00,0.00,28.0,81,24.4,0.0
48352,NONG KHAI,หนองคาย,หนองคาย,17.86717,102.73303,000,09-28-2019,22:00:00,5.00,994.31,28.28,1014.29,0.00,0.00,27.8,76,23.1,0.0
48353,LOEI,เลย,เลย,17.45000,101.73333,000,09-28-2019,22:00:00,4.00,986.04,25.35,1015.12,0.00,0.00,24.5,82,21.3,0.0
48354,UDON THANI,อุดรธานี,อุดรธานี,17.38333,102.80000,000,09-28-2019,22:00:00,8.00,994.30,28.42,1014.70,0.00,0.00,25.7,86,23.2,0.0
48355,SAKON NAKHON AGROMET.,สกลนคร สกษ.,สกลนคร,17.12503,104.06100,280,09-28-2019,22:00:00,6.00,993.52,26.93,1015.60,0.00,0.00,24.4,88,22.3,3.7
48356,SAKON NAKHON,สกลนคร,สกลนคร,17.15000,104.13333,120,09-28-2019,22:00:00,7.00,994.60,26.65,1014.24,0.00,0.00,26.6,77,22.1,3.7
48357,NAKHON PHANOM,นครพนม,นครพนม,17.41083,104.78250,000,09-28-2019,22:00:00,7.00,998.11,22.32,1014.98,0.00,0.00,27.0,63,19.3,0.0
48358,NAKHON PHANOM AGROMET.,นครพนม สกษ.,นครพนม,17.44306,104.77361,000,09-28-2019,22:00:00,6.00,997.61,25.35,1015.35,0.00,0.00,23.6,87,21.3,0.0
48360,NONG BUA LAM PHU,หนองบัวลำภู,หนองบัวลำภู,17.23250,102.42944,000,09-28-2019,22:00:00,6.00,987.04,24.78,1013.22,0.00,0.00,24.0,83,20.9,0.0
48372,SUKHOTHAI*,สุโขทัย,สุโขทัย,17.10611,99.80000,000,09-28-2019,22:00:00,8.00,1008.62,33.94,1014.43,0.00,0.00,28.0,90,26.2,0.0
48373,SI SAMRONG AGROMET.,ศรีสำโรง สกษ.,สุโขทัย,17.16136,99.86167,000,09-28-2019,22:00:00,7.00,1008.23,33.78,1014.45,0.00,0.00,27.5,92,26.1,0.0
48374,LOM SAK,หล่มสัก,เพชรบูรณ์,16.77361,101.24944,000,09-28-2019,22:00:00,10.00,998.10,27.06,1014.60,0.00,0.00,28.0,72,22.4,0.0
48375,MAE SOT,แม่สอด,ตาก,16.65917,98.55083,020,09-28-2019,22:00:00,8.00,990.63,27.92,1013.15,0.00,0.00,26.0,83,22.9,7.4
48376,TAK,ตาก,ตาก,16.87833,99.14333,000,09-28-2019,22:00:00,6.00,1000.84,31.08,1015.36,0.00,0.00,26.7,89,24.7,0.0
48377,BHUMIBOL DAM,เขื่อนภูมิพล,ตาก,17.24389,99.00250,000,09-28-2019,22:00:00,8.00,998.52,28.81,1015.16,0.00,0.00,24.6,93,23.4,0.0
48378,PHITSANULOK,พิษณุโลก,พิษณุโลก,16.79481,100.27930,000,09-28-2019,22:00:00,10.00,1009.24,30.45,1014.49,0.00,0.00,27.8,82,24.3,0.0
48379,PHETCHABUN,เพชรบูรณ์,เพชรบูรณ์,16.43333,101.15000,000,09-28-2019,22:00:00,10.00,999.25,29.57,1012.47,0.00,0.00,28.2,77,23.9,0.0
48380,KAMPHAENG PHET,กำแพงเพชร,กำแพงเพชร,16.48681,99.52697,000,09-28-2019,22:00:00,6.00,1005.14,32.33,1014.53,0.00,0.00,27.2,90,25.3,0.0
48381,KHON KAEN,ขอนแก่น,ขอนแก่น,16.46111,102.78972,040,09-28-2019,22:00:00,8.00,992.46,24.71,1014.29,0.00,0.00,27.1,69,20.9,5.6
48382,MAHASARAKHAM,มหาสารคาม,มหาสารคาม,16.24722,103.06805,000,09-28-2019,22:00:00,10.00,996.55,28.67,1014.17,0.00,0.00,27.0,80,23.3,0.0
48383,MUKDAHAN,มุกดาหาร,มุกดาหาร,16.54139,104.72889,060,09-28-2019,22:00:00,10.00,997.85,24.79,1013.79,0.00,0.00,27.0,70,21.0,3.7
48384,THA PHRA AGROMET.,ท่าพระ สกษ.,ขอนแก่น,16.33333,102.81667,000,09-28-2019,22:00:00,7.00,994.40,27.03,1013.52,0.00,0.00,25.2,84,22.4,0.0
48385,UMPHANG,อุ้มผาง,ตาก,16.02472,98.86444,000,09-28-2019,22:00:00,7.00,962.33,25.68,1014.29,0.00,0.00,23.5,89,21.5,0.0
48386,PICHIT AGROMET.,พิจิตร สกษ.,พิจิตร,16.43806,100.29250,000,09-28-2019,22:00:00,5.00,1009.65,31.86,1013.61,0.00,0.00,28.8,80,25.1,0.0
48387,DOI MU SOE AGROMET.,ดอยมูเซอร์ สกษ.,ตาก,16.75000,98.93333,000,09-28-2019,22:00:00,5.00,920.22,22.38,1016.65,0.00,0.00,20.1,95,19.3,0.0
48390,KALASIN,กาฬสินธุ์,กาฬสินธุ์,16.33250,103.58833,000,09-28-2019,22:00:00,8.00,997.78,27.86,1013.89,0.00,0.00,26.7,80,22.9,0.0
48400,NAKHON SAWAN,นครสวรรค์ ,นครสวรรค์,15.67183,100.13236,000,09-28-2019,22:00:00,9.00,1009.89,29.21,1013.95,0.00,0.00,27.0,82,23.6,0.0
48401,TAKFA AGROMET.,ตากฟ้า สกษ.,นครสวรรค์,15.34944,100.53028,020,09-28-2019,22:00:00,7.00,1004.05,27.88,1014.80,0.00,0.00,27.0,78,22.9,3.7
48402,CHAINAT AGROMET.,ชัยนาท สกษ.,ชัยนาท,15.15000,100.18333,000,09-28-2019,22:00:00,7.00,1012.23,29.60,1014.17,0.00,0.00,27.5,81,23.9,0.0
48403,CHAIYAPHUM,ชัยภูมิ,ชัยภูมิ,15.80000,102.03333,020,09-28-2019,22:00:00,8.00,993.08,26.58,1014.09,0.00,0.00,27.0,75,22.1,3.7
48404,ROI ET AGROMET.,ร้อยเอ็ด สกษ.,ร้อยเอ็ด,16.07322,103.60844,020,09-28-2019,22:00:00,10.00,995.90,29.50,1013.73,0.00,0.00,26.0,88,23.8,3.7
