WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,Date,Time,RelativeHumidity,WindDirection,MeanSeaLevelPressure,WindSpeed,DewPoint,Rainfall24Hr,AirTemperature,MaximumTemperature,Rainfall,LandVisibility,VaporPressure,StationPressure
48373,SI SAMRONG AGROMET.,ศรีสำโรง สกษ.,สุโขทัย,17.16136,99.86167,09-12-2019,19:00:00,83,000,1008.48,0.0,26.6,0.00,29.8,32.3,0.00,12.00,34.80,1002.34
48374,LOM SAK,หล่มสัก,เพชรบูรณ์,16.77361,101.24944,09-12-2019,19:00:00,75,000,1008.86,0.0,25.0,0.40,30.0,33.0,0.00,10.00,31.72,992.56
48375,MAE SOT,แม่สอด,ตาก,16.65917,98.55083,09-12-2019,19:00:00,77,200,1009.46,5.6,22.3,2.50,26.6,31.7,0.00,10.00,26.91,987.06
48376,TAK,ตาก,ตาก,16.87833,99.14333,09-12-2019,19:00:00,60,270,1009.48,7.4,22.1,0.00,30.8,34.6,0.00,7.00,26.62,995.24
48377,BHUMIBOL DAM,เขื่อนภูมิพล,ตาก,17.24389,99.00250,09-12-2019,19:00:00,64,000,1008.54,0.0,21.6,1.00,29.0,31.7,0.00,7.00,25.71,992.24
48378,PHITSANULOK,พิษณุโลก,พิษณุโลก,16.79481,100.27930,09-12-2019,19:00:00,77,000,1009.23,0.0,24.6,0.10,29.0,32.5,0.00,10.00,30.85,1004.02
48379,PHETCHABUN,เพชรบูรณ์,เพชรบูรณ์,16.43333,101.15000,09-12-2019,19:00:00,75,000,1007.05,0.0,25.0,0.00,30.0,33.8,0.00,12.00,31.72,993.99
48380,KAMPHAENG PHET,กำแพงเพชร,กำแพงเพชร,16.48681,99.52697,09-12-2019,19:00:00,69,000,1008.76,0.0,24.4,0.01,30.7,33.2,0.00,10.00,30.58,999.54
48381,KHON KAEN,ขอนแก่น,ขอนแก่น,16.46111,102.78972,09-12-2019,19:00:00,75,000,1008.04,0.0,24.5,0.10,29.4,33.0,0.00,10.00,30.80,986.51
48382,MAHASARAKHAM,มหาสารคาม,มหาสารคาม,16.24722,103.06805,09-12-2019,19:00:00,71,240,1010.05,5.6,23.2,0.00,29.0,34.3,0.00,10.00,28.37,992.62
48383,MUKDAHAN,มุกดาหาร,มุกดาหาร,16.54139,104.72889,09-12-2019,19:00:00,87,200,1007.94,3.7,25.1,0.00,27.5,33.4,0.00,10.00,31.80,992.12
48384,THA PHRA AGROMET.,ท่าพระ สกษ.,ขอนแก่น,16.33333,102.81667,09-12-2019,19:00:00,80,000,1007.46,0.0,24.6,0.00,28.5,32.8,0.00,8.00,30.98,988.66
48385,UMPHANG,อุ้มผาง,ตาก,16.02472,98.86444,09-12-2019,19:00:00,84,000,1009.63,0.0,22.2,0.60,25.2,29.2,0.00,9.00,26.78,958.20
