WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,WindSpeed,Date,Time,MeanSeaLevelPressure,LandVisibility,StationPressure,AirTemperature,VaporPressure,WindDirection,RelativeHumidity,DewPoint,Rainfall24Hr,Rainfall
48300,MAE HONG SON,แม่ฮ่องสอน,แม่ฮ่องสอน,19.29897,97.97578,0.0,09-13-2019,10:00:00,1012.10,10.00,981.08,26.5,27.77,000,80,22.8,4.00,0.00
48302,DOI ANG KANG,ดอยอ่างขาง,เชียงใหม่,19.93139,99.04833,0.0,09-13-2019,10:00:00,1010.05,8.00,848.45,19.1,21.43,000,97,18.6,11.00,0.00
48303,CHIANG RAI,เชียงราย,เชียงราย,19.96139,99.88139,7.4,09-13-2019,10:00:00,1009.94,12.00,966.74,29.5,29.60,130,72,23.9,0.20,0.00
48304,CHAING RAI AGROMET.,เชียงราย สกษ.,เชียงราย,19.87083,99.78278,0.0,09-13-2019,10:00:00,1009.93,15.00,964.84,29.5,29.33,000,71,23.7,0.00,0.00
48307,THUNG CHANG,ทุ่งช้าง,น่าน,19.41194,100.88353,5.6,09-13-2019,10:00:00,1010.24,12.00,973.01,30.0,33.17,320,78,25.8,0.00,0.00
48310,PHAYAO,พะเยา,พะเยา,19.13333,99.90000,0.0,09-13-2019,10:00:00,1009.62,12.00,965.20,31.0,29.48,000,66,23.8,0.00,0.00
48315,THA WANGPHA,ท่าวังผา,น่าน,19.11056,100.80250,0.0,09-13-2019,10:00:00,1010.77,12.00,984.29,30.0,30.87,000,73,24.6,0.00,0.00
48324,THOEN,เถิน,ลำปาง,17.63661,99.24475,3.7,09-13-2019,10:00:00,1010.66,15.00,989.09,30.1,27.74,180,65,22.8,0.00,0.00
48325,MAE SARIANG,แม่สะเรียง,แม่ฮ่องสอน,18.16667,97.93333,0.0,09-13-2019,10:00:00,1012.92,8.00,988.70,26.6,28.47,000,82,23.2,5.00,0.00
48327,CHIANG MAI,เชียงใหม่,เชียงใหม่,18.79000,98.97694,5.6,09-13-2019,10:00:00,1011.06,10.00,976.84,29.8,27.71,020,66,22.8,20.80,0.00
48328,LAMPANG,ลำปาง,ลำปาง,18.28333,99.51667,0.0,09-13-2019,10:00:00,1011.45,10.00,984.09,29.5,28.78,000,70,23.4,19.10,0.00
