WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,StationPressure,Date,Time,AirTemperature,DewPoint,Rainfall24Hr,WindSpeed,LandVisibility,WindDirection,MeanSeaLevelPressure,Rainfall,RelativeHumidity,VaporPressure
48300,MAE HONG SON,แม่ฮ่องสอน,แม่ฮ่องสอน,19.29897,97.97578,973.13,08-08-2019,04:00:00,24.8,23.6,8.90,0.0,5.00,000,1004.08,0.20,93,29.16
48302,DOI ANG KANG,ดอยอ่างขาง,เชียงใหม่,19.93139,99.04833,841.13,08-08-2019,04:00:00,18.3,17.8,4.80,24.1,8.00,280,1001.81,0.00,97,20.37
48303,CHIANG RAI,เชียงราย,เชียงราย,19.96139,99.88139,960.02,08-08-2019,04:00:00,24.9,23.3,3.10,0.0,10.00,000,1003.60,0.00,91,28.56
48304,CHAING RAI AGROMET.,เชียงราย สกษ.,เชียงราย,19.87083,99.78278,957.58,08-08-2019,04:00:00,24.0,23.3,0.00,0.0,12.00,000,1003.17,0.00,96,28.53
48307,THUNG CHANG,ทุ่งช้าง,น่าน,19.41194,100.88353,963.56,08-08-2019,04:00:00,24.0,23.3,0.00,0.0,5.00,000,1001.18,0.00,96,28.53
48310,PHAYAO,พะเยา,พะเยา,19.13333,99.90000,958.45,08-08-2019,04:00:00,25.0,22.8,0.20,0.0,8.00,000,1003.46,0.00,88,27.70
48315,THA WANGPHA,ท่าวังผา,น่าน,19.11056,100.80250,977.17,08-08-2019,04:00:00,26.2,24.5,0.01,3.7,7.00,130,1003.80,0.00,90,30.67
48324,THOEN,เถิน,ลำปาง,17.63661,99.24475,982.67,08-08-2019,04:00:00,23.9,23.3,5.90,0.0,10.00,000,1004.55,0.10,97,28.61
48325,MAE SARIANG,แม่สะเรียง,แม่ฮ่องสอน,18.16667,97.93333,980.99,08-08-2019,04:00:00,24.4,23.5,21.90,0.0,5.00,000,1005.20,0.30,95,28.97
48327,CHIANG MAI,เชียงใหม่,เชียงใหม่,18.79000,98.97694,969.18,08-08-2019,04:00:00,25.0,22.9,0.20,0.0,10.00,000,1003.70,0.00,88,27.96
48328,LAMPANG,ลำปาง,ลำปาง,18.28333,99.51667,977.98,08-08-2019,04:00:00,25.0,23.5,0.70,0.0,10.00,000,1005.59,0.00,92,29.00
48329,LAMPHUN,ลำพูน,ลำพูน,18.56722,99.03389,970.10,08-08-2019,04:00:00,24.5,23.0,0.50,0.0,10.00,000,1003.73,0.00,91,28.11
48330,PHRAE,แพร่,แพร่,18.16667,100.16667,984.78,08-08-2019,04:00:00,25.5,23.3,0.60,1.9,10.00,210,1003.28,0.00,88,28.59
48331,NAN,น่าน,น่าน,18.77972,100.77778,980.75,08-08-2019,04:00:00,26.1,24.5,0.01,0.0,10.00,000,1003.51,0.00,91,30.76
48333,NAN AGROMET.,น่าน สกษ.,น่าน,18.86667,100.75000,973.78,08-08-2019,04:00:00,26.0,24.6,0.00,0.0,6.00,000,1003.59,0.00,92,30.84
48334,LAMPANG AGROMET.,ลำปาง สกษ.,ลำปาง,18.31667,99.28333,969.24,08-08-2019,04:00:00,24.6,24.0,3.60,0.0,4.00,000,1004.85,0.00,97,29.85
48350,LOEI AGROMET.,เลย สกษ.,เลย,17.40000,101.73333,972.09,08-08-2019,04:00:00,25.6,22.9,0.00,3.7,12.00,270,1001.71,0.00,85,27.99
48351,UTTARADIT,อุตรดิตถ์,อุตรดิตถ์,17.61667,100.10000,996.55,08-08-2019,04:00:00,26.0,23.8,0.01,0.0,8.00,000,1003.85,0.00,88,29.50
