WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,WindSpeed,Date,Time,Rainfall24Hr,DewPoint,Rainfall,AirTemperature,LandVisibility,VaporPressure,MeanSeaLevelPressure,StationPressure,WindDirection,RelativeHumidity
48390,KALASIN,กาฬสินธุ์,กาฬสินธุ์,16.33250,103.58833,0.0,08-14-2019,01:00:00,4.10,26.0,1.00,26.6,5.00,33.67,1007.67,991.66,000,97
48400,NAKHON SAWAN,นครสวรรค์ ,นครสวรรค์,15.67183,100.13236,0.0,08-14-2019,01:00:00,0.70,24.8,0.00,27.7,10.00,31.36,1008.50,1004.47,000,84
48401,TAKFA AGROMET.,ตากฟ้า สกษ.,นครสวรรค์,15.34944,100.53028,0.0,08-14-2019,01:00:00,2.90,25.8,0.20,26.5,7.00,33.19,1009.58,998.86,000,96
48402,CHAINAT AGROMET.,ชัยนาท สกษ.,ชัยนาท,15.15000,100.18333,3.7,08-14-2019,01:00:00,1.30,25.0,0.30,26.7,7.00,31.63,1008.79,1006.86,170,90
48403,CHAIYAPHUM,ชัยภูมิ,ชัยภูมิ,15.80000,102.03333,0.0,08-14-2019,01:00:00,2.30,24.4,0.50,25.6,10.00,30.63,1008.90,987.90,000,93
48404,ROI ET AGROMET.,ร้อยเอ็ด สกษ.,ร้อยเอ็ด,16.07322,103.60844,9.3,08-14-2019,01:00:00,2.40,24.0,1.00,25.5,10.00,29.91,1007.77,990.01,260,92
48405,ROI ET,ร้อยเอ็ด,ร้อยเอ็ด,16.02000,103.74389,5.6,08-14-2019,01:00:00,1.90,24.7,0.30,26.1,9.00,31.03,1007.59,991.37,210,92
48407,UBON RATCHATHANI,อุบลราชธานี (ศูนย์ฯ),อุบลราชธานี,15.25000,104.86667,3.7,08-14-2019,01:00:00,0.70,23.3,0.10,25.5,10.00,28.59,1009.17,995.04,210,88
48408,UBON RATCHATHANI AGROMET.,อุบลราชธานี สกษ.,อุบลราชธานี,15.23914,105.02350,0.0,08-14-2019,01:00:00,0.60,24.0,0.00,25.5,7.00,29.91,1009.57,994.64,000,92
48409,SI SAKET AGROMET.,ศรีสะเกษ,ศรีสะเกษ,15.00000,104.05000,0.0,08-14-2019,01:00:00,2.90,24.3,0.90,24.9,4.00,30.40,1009.48,994.67,000,97
48410,UTHAITHANI,อุทัยธานี,อุทัยธานี,15.37417,100.03889,0.0,08-14-2019,01:00:00,1.00,25.6,0.20,27.2,10.00,32.89,1008.29,1005.27,"{'0': '   ', '@attributes': {'Unit': 'degree'}}",91
48413,WICHIAN BURI,วิเชียรบุรี,เพชรบูรณ์,15.65700,101.10800,0.0,08-14-2019,01:00:00,6.40,25.6,0.50,26.5,7.00,32.91,1008.67,1000.69,000,95
48415,AYUTTHAYA,พระนครศรีอยุธยา,พระนครศรีอยุธยา,14.53472,100.72500,7.4,08-14-2019,01:00:00,3.90,25.6,2.80,27.0,7.00,32.77,1009.41,1008.29,190,92
48416,THA TUM,ท่าตูม,สุรินทร์,15.31667,103.68333,3.7,08-14-2019,01:00:00,1.50,24.8,1.50,27.2,7.00,31.22,1005.99,991.33,090,87
48417,NAKORNNAYOK,นครนายก,นครนายก,14.36222,101.39278,5.6,08-14-2019,01:00:00,11.80,20.2,1.40,20.4,.05,23.72,1010.41,875.34,260,99
48418,BUA CHUM,บัวชุม  ,ลพบุรี,15.26667,101.18736,0.0,08-14-2019,01:00:00,0.01,23.3,0.01,25.1,10.00,28.66,1008.96,1003.03,000,90
48419,PATHUMTHANI,ปทุมธานี สกษ.,ปทุมธานี,14.10000,100.61667,0.0,08-14-2019,01:00:00,1.20,25.4,1.20,28.5,7.00,32.39,1010.02,1009.22,000,83
48420,Samut Prakarn,สมุทรปราการ สกษ.,สมุทรปราการ,13.51667,100.76167,9.3,08-14-2019,01:00:00,0.00,25.1,0.00,29.2,10.00,31.81,1006.69,1006.25,210,79
48421,THONG PHAPHUM,ทองผาภูมิ,กาญจนบุรี,14.74222,98.63639,0.0,08-14-2019,01:00:00,13.00,24.8,0.60,25.2,3.00,31.22,1010.64,999.23,000,97
48425,SUPHAN BURI,สุพรรณบุรี,สุพรรณบุรี,14.47444,100.13889,1.9,08-14-2019,01:00:00,0.40,25.4,0.10,27.5,10.00,32.36,1009.26,1008.25,180,88
48426,LOP BURI,ลพบุรี,ลพบุรี,14.79972,100.64500,0.0,08-14-2019,01:00:00,7.40,26.2,0.40,27.1,7.00,34.11,1009.27,1007.45,000,95
48427,U THONG AGROMET.,อู่ทอง สกษ.,สุพรรณบุรี,14.30361,99.86472,0.0,08-14-2019,01:00:00,0.60,24.8,0.00,27.0,7.00,31.38,1009.25,1008.48,000,88
48429,SUVARNABHUMI AIRPORT,สนามบินสุวรรณภูมิ,สมุทรปราการ,13.68639,100.76750,7.4,08-14-2019,01:00:00,0.01,25.8,0.01,27.9,10.00,33.17,1010.05,1009.34,240,88
48430,PRACHIN BURI,ปราจีนบุรี,ปราจีนบุรี,14.05842,101.36930,3.7,08-14-2019,01:00:00,1.10,26.5,1.00,27.8,6.00,34.69,1009.14,1008.44,090,93
48431,NAKHON RATCHASIMA,นครราชสีมา,นครราชสีมา,14.96830,102.08603,3.7,08-14-2019,01:00:00,3.80,24.2,2.40,25.7,7.00,30.28,1009.44,988.14,270,92
48432,SURIN,สุรินทร์,สุรินทร์,14.88333,103.50000,0.0,08-14-2019,01:00:00,34.50,24.1,0.00,25.0,7.00,30.05,1009.00,992.15,000,95
48433,SURIN AGROMET.,สุรินทร์ สกษ.,สุรินทร์,14.88333,103.45000,3.7,08-14-2019,01:00:00,41.00,24.4,0.00,24.7,5.00,30.56,1009.62,993.02,180,98
48434,CHOK CHAI,โชคชัย,นครราชสีมา,14.71889,102.16861,0.0,08-14-2019,01:00:00,14.50,24.8,0.20,25.5,10.00,31.25,1008.98,986.97,000,96
48435,PAKCHONG AGROMET.,ปากช่อง สกษ.,นครราชสีมา,14.64389,101.33194,7.4,08-14-2019,01:00:00,5.00,23.2,3.70,25.1,9.00,28.40,1009.66,966.04,200,89
48436,NANG RONG,นางรอง,บุรีรัมย์,14.58333,102.80000,3.7,08-14-2019,01:00:00,18.40,25.4,0.20,25.7,7.00,32.45,1008.79,988.11,160,98
