WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,StationPressure,Date,Time,DewPoint,VaporPressure,WindSpeed,MeanSeaLevelPressure,RelativeHumidity,WindDirection,AirTemperature,Rainfall24Hr,LandVisibility,Rainfall
48300,MAE HONG SON,แม่ฮ่องสอน,แม่ฮ่องสอน,19.29897,97.97578,978.71,07-13-2019,01:00:00,24.1,29.95,0.0,1009.83,96,000,24.8,22.20,7.00,11.90
48303,CHIANG RAI,เชียงราย,เชียงราย,19.96139,99.88139,963.00,07-13-2019,01:00:00,21.7,25.92,3.7,1006.28,69,260,27.8,0.00,12.00,0.00
48304,CHAING RAI AGROMET.,เชียงราย สกษ.,เชียงราย,19.87083,99.78278,960.96,07-13-2019,01:00:00,23.8,29.43,5.6,1006.34,86,250,26.4,0.00,12.00,0.00
48307,THUNG CHANG,ทุ่งช้าง,น่าน,19.41194,100.88353,969.22,07-13-2019,01:00:00,22.8,27.70,0.0,1006.93,88,000,25.0,0.40,5.00,0.00
48310,PHAYAO,พะเยา,พะเยา,19.13333,99.90000,961.90,07-13-2019,01:00:00,23.6,29.10,0.0,1006.79,83,000,26.8,0.00,10.00,0.00
48315,THA WANGPHA,ท่าวังผา,น่าน,19.11056,100.80250,981.02,07-13-2019,01:00:00,25.4,32.36,0.0,1007.64,88,000,27.5,0.00,7.00,0.00
48324,THOEN,เถิน,ลำปาง,17.63661,99.24475,986.61,07-13-2019,01:00:00,22.5,27.19,0.0,1008.33,75,000,27.2,0.00,10.00,0.00
48325,MAE SARIANG,แม่สะเรียง,แม่ฮ่องสอน,18.16667,97.93333,986.55,07-13-2019,01:00:00,23.0,28.03,0.0,1010.88,91,000,24.6,2.20,6.00,0.10
48327,CHIANG MAI,เชียงใหม่,เชียงใหม่,18.79000,98.97694,974.46,07-13-2019,01:00:00,21.5,25.61,0.0,1008.75,66,000,28.5,0.00,10.00,0.00
48328,LAMPANG,ลำปาง,ลำปาง,18.28333,99.51667,982.35,07-13-2019,01:00:00,21.7,25.96,0.0,1009.74,66,000,28.7,0.00,10.00,0.00
48329,LAMPHUN,ลำพูน,ลำพูน,18.56722,99.03389,975.00,07-13-2019,01:00:00,21.0,24.83,0.0,1008.35,64,000,28.5,0.00,10.00,0.00
48330,PHRAE,แพร่,แพร่,18.16667,100.16667,988.78,07-13-2019,01:00:00,22.1,26.65,5.6,1007.17,69,240,28.5,0.00,10.00,0.00
48331,NAN,น่าน,น่าน,18.77972,100.77778,984.34,07-13-2019,01:00:00,23.9,29.68,0.0,1006.93,72,000,29.4,0.00,10.00,0.00
48333,NAN AGROMET.,น่าน สกษ.,น่าน,18.86667,100.75000,977.14,07-13-2019,01:00:00,23.5,28.86,0.0,1006.81,75,000,28.4,0.00,8.00,0.00
48334,LAMPANG AGROMET.,ลำปาง สกษ.,ลำปาง,18.31667,99.28333,972.76,07-13-2019,01:00:00,22.0,26.37,0.0,1008.06,69,000,28.2,0.00,8.00,0.00
48350,LOEI AGROMET.,เลย สกษ.,เลย,17.40000,101.73333,976.36,07-13-2019,01:00:00,23.7,29.31,0.0,1005.96,81,000,27.2,0.00,12.00,0.00
